vx	vy	vz	score	numLines
-0.83619847	-0.54842506	-0.00144211	4546.04	285
-0.09789688	0.99519651	-0.00033090	4010.68	315
0.97825488	-0.20740577	-0.00048248	2365.94	180

nLines	x1	y1	x2	y2	length
285
	5.13	3.78	21.42	15.04	19.80
	22.17	3.74	28.90	7.68	7.80
	34.95	4.07	94.84	45.24	72.67
	42.07	3.89	100.03	43.43	70.16
	150.13	40.89	157.02	46.48	8.87
	167.56	54.00	196.23	74.91	35.48
	210.88	4.10	218.03	10.97	9.92
	338.54	3.98	342.92	10.01	7.46
	357.48	4.01	361.01	9.99	6.94
	365.84	4.09	380.35	27.10	27.20
	370.26	3.85	377.07	15.97	13.90
	379.96	3.57	385.60	16.22	13.84
	384.72	3.96	390.36	14.82	12.24
	393.43	4.03	412.07	39.93	40.45
	400.59	3.95	408.07	20.90	18.52
	505.60	4.31	506.51	11.04	6.79
	541.19	3.98	543.81	24.94	21.12
	19.23	4.65	91.16	52.83	86.58
	95.94	7.06	102.05	12.43	8.14
	333.99	7.01	342.47	20.03	15.54
	349.88	20.11	364.88	44.07	28.27
	70.00	7.52	79.99	15.02	12.49
	3.57	8.52	19.19	18.61	18.59
	363.77	9.16	378.63	34.92	29.74
	479.76	8.98	481.98	16.09	7.46
	78.98	11.11	106.10	34.03	35.50
	361.02	17.99	372.04	35.98	21.09
	36.67	12.96	43.83	17.26	8.36
	222.82	13.79	227.34	18.76	6.72
	352.75	15.18	367.35	38.86	27.82
	23.98	15.77	40.88	27.11	20.35
	570.30	15.99	570.01	24.00	8.01
	244.29	16.66	279.43	55.46	52.35
	397.99	18.00	413.01	44.90	30.80
	113.02	19.98	117.19	23.13	5.22
	529.69	20.02	530.51	30.07	10.08
	50.67	22.44	74.01	37.48	27.77
	395.30	48.05	406.08	66.97	21.77
	506.64	22.99	509.57	43.99	21.21
	345.93	25.04	362.21	49.75	29.59
	478.01	24.98	480.08	31.02	6.38
	87.06	26.28	100.13	34.90	15.65
	246.09	25.92	250.28	30.68	6.34
	251.12	38.93	268.25	54.79	23.35
	8.08	27.29	18.08	32.82	11.42
	395.91	27.05	416.13	62.95	41.20
	6.14	54.78	34.94	69.23	32.22
	572.19	27.92	572.49	33.98	6.07
	44.95	30.07	87.17	57.84	50.53
	294.91	31.08	298.50	35.78	5.90
	543.25	31.04	544.52	38.90	7.96
	394.93	32.03	412.92	64.06	36.73
	411.46	77.01	406.48	69.07	9.38
	229.99	34.34	237.23	41.84	10.42
	46.02	35.96	67.08	51.39	26.11
	269.08	38.97	275.56	46.96	10.29
	103.47	37.67	111.98	42.96	10.02
	216.16	39.80	223.97	46.45	10.26
	370.24	39.92	384.27	61.83	26.02
	350.24	40.75	356.87	50.14	11.50
	419.26	40.99	427.37	57.25	18.18
	107.30	90.20	134.81	107.83	32.67
