vx	vy	vz	score	numLines
0.97895142	0.20408704	0.00161276	3660.16	123
-0.99744045	-0.07150200	0.00008646	2826.82	191
-0.04503139	0.99898557	0.00006318	2522.75	159

nLines	x1	y1	x2	y2	length
123
	127.19	3.30	140.96	7.41	14.37
	170.14	3.41	248.03	25.47	80.96
	188.14	3.45	324.87	44.35	142.71
	156.07	3.67	169.03	7.45	13.50
	3.98	9.12	39.00	16.01	35.69
	180.08	10.13	187.15	12.59	7.49
	188.26	11.10	207.96	15.79	20.25
	88.97	17.05	100.14	19.64	11.47
	480.03	16.86	483.98	20.02	5.06
	187.94	19.82	205.00	24.02	17.57
	206.04	20.80	220.06	23.83	14.34
	76.01	22.91	156.00	38.96	81.58
	128.01	25.83	136.85	27.30	8.97
	250.96	26.85	299.97	40.11	50.77
	75.02	28.64	122.03	36.75	47.71
	255.00	37.56	284.00	44.11	29.73
	301.97	40.16	337.02	49.84	36.36
	9.04	41.23	14.93	42.10	5.96
	191.92	40.53	218.06	45.45	26.59
	634.50	43.18	623.82	73.91	32.53
	327.85	45.56	368.68	56.45	42.26
	186.01	47.94	207.06	51.68	21.39
	210.98	49.45	242.90	56.20	32.63
	340.87	52.23	368.96	58.22	28.72
	370.00	58.01	426.91	75.80	59.63
	132.04	58.28	138.86	59.44	6.92
	89.07	58.95	94.96	59.80	5.95
	255.04	60.21	266.69	63.19	12.02
	269.03	59.88	292.97	63.65	24.24
	309.10	60.37	319.80	62.39	10.88
	329.96	70.36	307.83	65.60	22.64
	612.04	74.00	608.43	102.00	28.23
	434.26	70.41	429.17	68.86	5.32
	275.90	77.87	270.05	77.37	5.87
	328.57	167.03	316.94	169.44	11.88
	502.63	69.03	508.01	72.08	6.19
	347.07	69.83	360.04	72.95	13.34
	574.83	72.07	578.58	78.39	7.35
	4.00	75.94	12.01	76.61	8.04
	454.00	77.00	464.83	80.13	11.27
	62.94	79.29	70.04	79.62	7.11
	205.99	96.29	216.02	96.93	10.05
	66.06	101.82	76.99	101.59	10.93
	62.92	137.42	69.13	137.11	6.22
	554.14	148.75	501.14	176.30	59.73
	611.79	150.17	613.07	156.06	6.02
	444.98	152.90	485.09	145.29	40.82
	524.99	159.97	300.87	253.72	242.94
	558.48	162.32	542.08	176.11	21.42
	297.12	421.13	568.00	165.01	372.79
	531.90	166.22	519.01	173.24	14.67
	572.03	170.01	560.70	183.78	17.83
	569.34	195.68	580.96	172.97	25.52
	535.16	178.31	530.27	182.33	6.33
	523.50	181.99	528.09	179.20	5.38
	559.11	179.06	525.95	217.94	51.10
	406.25	206.55	462.17	183.33	60.54
	555.08	191.05	560.06	185.56	7.41
	570.86	186.25	557.25	213.08	30.08
	595.50	189.81	594.52	195.94	6.20
	322.91	195.37	313.08	197.70	10.10
	406.04	198.46	412.07	195.88	6.56
	568.39	197.76	551.01	235.07	41.17
	300.90	239.75	404.97	200.45	111.25
	325.95	206.46	314.01	210.03	12.46
	495.07	206.71	488.98	210.64	7.25
	399.15	209.42	374.29	219.38	26.78
	76.95	223.69	87.03	221.93	10.24
	442.84	229.42	448.00	226.04	6.17
	534.31	238.34	539.00	231.74	8.10
	489.42	234.32	353.09	357.61	183.82
	351.60	358.54	332.01	378.01	27.62
	548.02	236.01	531.11	274.02	41.60
	525.84	278.82	451.55	421.03	160.45
	586.51	236.99	585.52	242.90	5.99
	299.99	249.32	320.08	239.69	22.28
	500.51	255.02	494.60	261.97	9.13
	91.97	276.80	105.87	272.61	14.52
	141.94	301.32	63.93	330.36	83.24
	62.93	330.85	3.94	348.85	61.67
	91.00	273.99	107.00	269.99	16.49
	118.02	284.56	128.95	280.86	11.54
	450.69	281.66	445.68	286.68	7.09
	14.79	297.36	59.00	286.06	45.63
	442.76	288.79	308.03	421.03	188.79
	114.66	293.69	99.03	299.67	16.74
	9.06	297.63	17.14	295.55	8.34
	510.31	294.93	486.74	334.72	46.25
	123.03	302.74	141.06	297.14	18.88
	92.96	314.82	113.97	307.48	22.25
	431.41	307.34	425.12	313.13	8.56
	140.96	318.90	4.04	375.61	148.19
	135.44	312.45	141.06	310.08	6.10
	23.38	314.31	33.00	310.94	10.19
	138.03	314.21	63.95	344.35	79.98
	530.68	324.90	528.62	331.45	6.87
	510.85	323.34	507.73	328.88	6.36
	3.95	382.86	142.01	324.03	150.08
	592.72	332.05	592.07	339.92	7.89
	4.07	344.74	21.15	339.48	17.87
	500.61	342.07	469.10	409.97	74.86
	482.61	343.06	445.12	409.07	75.91
	57.89	347.25	35.05	356.12	24.51
