vx	vy	vz	score	numLines
-0.23862431	0.97111119	0.00122385	8902.19	389
0.75556577	0.65507276	0.00022445	8548.65	535
-0.53870440	-0.84249383	-0.00130893	1099.23	226

nLines	x1	y1	x2	y2	length
389
	447.32	9.98	431.81	28.88	24.46
	553.46	9.98	454.32	115.33	144.67
	562.59	9.00	567.68	3.76	7.30
	576.76	9.76	582.55	3.57	8.48
	471.50	5.31	429.89	56.37	65.87
	304.97	11.99	291.37	32.91	24.95
	474.27	11.38	438.04	54.03	55.96
	559.37	12.30	457.72	117.75	146.47
	444.10	118.68	541.20	15.14	141.95
	296.52	17.98	290.47	29.13	12.69
	516.38	34.60	476.89	77.91	58.61
	529.47	20.00	517.98	33.97	18.08
	488.90	26.92	452.68	68.73	55.32
	462.93	124.92	557.60	28.71	134.97
	316.21	32.16	300.97	54.99	27.45
	320.98	32.00	300.81	59.86	34.39
	480.99	41.99	470.13	55.08	17.01
	548.01	45.01	544.20	49.16	5.64
	325.64	55.61	321.99	60.97	6.49
	442.13	67.04	438.89	70.99	5.11
	452.91	73.96	459.81	66.73	9.98
	510.90	82.25	490.92	102.91	28.74
	365.95	108.01	353.87	123.95	20.00
	483.80	109.88	478.93	114.39	6.64
	549.25	110.14	530.19	127.28	25.64
	358.39	145.05	386.88	111.87	43.73
	379.31	115.36	358.51	140.49	32.62
	452.49	121.38	444.48	130.54	12.17
	457.69	121.65	452.68	126.72	7.12
	518.25	135.10	513.36	139.95	6.89
	399.52	125.45	373.99	155.99	39.81
	403.93	126.94	390.69	141.67	19.80
	429.99	131.00	410.93	151.93	28.31
	600.18	137.21	552.99	175.45	60.74
	378.19	181.12	424.96	131.96	67.86
	438.13	132.10	335.07	240.11	149.28
	439.59	136.58	424.79	151.82	21.24
	559.98	174.99	602.98	139.85	55.53
	372.08	141.07	367.43	146.42	7.09
	442.23	146.23	393.94	196.98	70.05
	443.50	148.74	429.60	163.67	20.40
	422.62	153.62	385.65	192.65	53.76
	616.04	154.06	572.55	187.57	54.91
	446.01	171.00	442.04	174.38	5.22
	396.62	165.69	386.82	175.83	14.11
	634.06	169.58	559.39	224.92	92.94
	426.09	180.09	430.02	176.03	5.65
	633.85	180.30	558.84	234.85	92.75
	412.38	180.90	401.93	190.93	14.48
	633.91	186.37	557.90	240.81	93.50
	333.20	230.13	369.91	191.55	53.26
	372.87	191.94	365.70	198.70	9.85
	383.89	194.89	340.66	238.74	61.57
	456.36	194.91	442.22	209.09	20.02
	633.99	197.46	570.06	243.09	78.54
	613.79	205.73	622.54	199.63	10.67
	385.16	204.04	343.98	244.98	58.07
	610.57	208.44	602.99	213.98	9.40
	481.72	216.93	468.04	229.08	18.29
	469.10	248.03	501.99	220.97	42.59
	368.65	223.55	356.78	235.78	17.05
	514.91	233.89	483.01	260.01	41.23
	487.39	278.90	539.05	240.68	64.27
	290.24	274.83	323.14	241.73	46.67
	293.93	281.90	334.70	241.68	57.26
	530.86	260.84	557.01	242.64	31.86
	296.35	285.20	335.82	244.77	56.50
	399.70	247.14	388.96	256.96	14.55
	557.14	252.03	541.01	264.49	20.38
	337.11	253.05	303.05	287.06	48.13
	498.54	292.41	540.03	265.56	49.42
	423.05	267.03	412.03	276.55	14.56
	442.10	270.29	414.96	292.99	35.38
	453.96	281.96	426.99	303.45	34.48
	489.20	288.39	506.43	276.59	20.88
	280.94	285.56	253.53	313.00	38.78
	290.59	286.06	254.10	323.16	52.03
	485.92	290.37	434.23	328.43	64.19
	352.47	290.23	342.67	299.60	13.56
	474.08	289.67	430.90	321.97	53.93
	254.80	292.74	246.60	301.70	12.15
	486.68	293.55	388.86	365.76	121.58
	295.01	295.00	264.97	325.97	43.15
	444.08	334.10	491.03	300.02	58.01
	368.00	332.00	390.82	312.71	29.88
	230.00	317.00	214.99	334.97	23.42
	265.57	316.51	228.75	353.83	52.43
	589.04	317.02	573.00	327.11	18.95
	246.93	321.84	225.49	344.49	31.19
	574.00	342.51	609.86	321.70	41.46
	401.82	322.78	378.91	340.88	29.20
	215.52	362.41	253.20	325.19	52.96
	584.05	325.10	579.89	327.97	5.05
	423.00	327.95	386.18	355.18	45.79
