vx	vy	vz	score	numLines
-0.14271952	0.98976293	-0.00069832	4691.80	413
-0.85806596	-0.51353902	-0.00069408	2262.61	195
-0.59389266	0.80454363	0.00102590	1570.77	133

nLines	x1	y1	x2	y2	length
413
	46.18	11.01	44.73	27.01	16.07
	57.49	3.98	54.91	29.98	26.13
	69.02	4.00	68.49	22.26	18.26
	95.03	4.00	93.39	19.97	16.06
	154.07	4.02	153.55	11.86	7.86
	157.31	4.00	156.99	11.00	7.01
	228.36	4.00	228.87	13.13	9.15
	262.01	4.00	262.00	12.00	8.00
	316.71	3.99	317.66	13.94	10.00
	335.66	3.97	335.96	10.00	6.04
	385.98	4.00	386.99	15.00	11.05
	333.08	11.99	333.56	26.08	14.10
	66.43	35.53	64.69	49.00	13.58
	275.78	6.97	276.21	17.02	10.06
	323.03	8.00	324.07	16.00	8.07
	106.57	8.98	105.91	43.00	34.03
	140.83	11.96	140.93	29.96	17.99
	145.33	13.05	144.68	30.04	17.01
	328.89	13.14	329.95	20.00	6.95
	188.94	14.00	188.54	20.76	6.77
	89.65	15.04	88.71	21.96	6.98
	248.34	15.01	249.00	25.00	10.01
	289.39	21.69	290.11	32.96	11.29
	152.49	22.00	152.10	32.01	10.02
	261.45	22.02	262.61	35.01	13.04
	337.42	23.13	337.66	29.01	5.88
	93.15	24.00	91.98	37.99	14.04
	59.39	25.72	58.83	33.01	7.31
	33.23	27.12	32.04	43.00	15.93
	107.34	47.90	106.07	63.01	15.17
	269.17	28.80	270.27	38.97	10.23
	213.68	30.04	214.16	38.01	7.99
	384.03	37.97	386.47	53.00	15.22
	125.36	32.94	125.14	40.02	7.08
	373.51	32.95	374.34	45.02	12.10
	141.24	33.99	139.91	51.95	18.01
	407.93	35.07	408.91	42.06	7.07
	326.01	51.00	329.48	83.02	32.21
	395.00	50.00	396.35	61.40	11.48
	156.71	38.02	156.01	46.00	8.01
	186.24	41.03	186.29	51.15	10.11
	277.34	41.25	277.69	46.93	5.69
	18.68	43.96	17.16	58.08	14.20
	22.09	44.00	20.42	57.79	13.89
	32.27	47.95	30.03	60.01	12.27
	405.69	69.95	406.57	83.13	13.20
	333.53	54.99	339.06	90.97	36.40
	320.55	48.02	322.80	79.04	31.10
	375.09	48.99	376.08	59.94	10.99
	194.04	52.01	194.01	60.00	7.99
	217.30	52.12	217.51	60.98	8.86
	300.10	50.00	301.53	63.96	14.04
	52.06	51.02	48.75	87.93	37.06
	379.70	51.20	380.87	60.02	8.89
	38.06	83.01	40.05	65.01	18.11
	278.45	70.98	281.77	120.97	50.10
	232.20	56.77	232.65	62.06	5.31
	17.27	62.01	15.18	74.08	12.25
	309.34	65.81	309.99	73.17	7.39
	243.54	67.98	243.51	73.98	6.00
	349.54	65.97	350.36	73.10	7.17
	255.11	67.99	255.59	87.04	19.05
	29.42	69.93	24.12	104.18	34.65
	16.23	112.88	14.93	124.98	12.17
	271.90	75.01	272.12	92.99	17.98
	276.14	97.96	277.29	117.00	19.07
	401.10	69.86	402.52	77.10	7.38
	148.68	72.19	147.01	93.00	20.88
	139.14	105.01	139.11	125.15	20.14
	174.57	71.92	174.54	89.71	17.79
	259.89	73.97	260.47	86.82	12.86
	342.28	76.98	343.71	93.99	17.07
	361.05	77.99	361.94	88.00	10.05
	70.04	95.96	69.27	104.99	9.07
	77.89	99.91	79.83	82.96	17.06
	168.36	80.06	168.02	93.00	12.94
	410.59	80.12	411.58	86.10	6.07
	135.59	81.02	134.43	125.81	44.81
	86.86	82.99	86.15	106.11	23.12
	199.62	83.85	199.74	94.94	11.09
	297.02	92.99	296.95	102.24	9.26
	377.29	105.15	376.47	88.42	16.76
	384.91	93.67	387.37	110.14	16.65
	255.65	89.97	255.85	95.01	5.05
	264.28	91.97	264.46	110.05	18.08
	363.40	92.04	364.54	108.83	16.82
	156.08	94.00	155.41	104.05	10.07
	178.30	95.00	178.24	100.09	5.09
	255.71	97.03	255.87	106.11	9.08
	304.06	98.96	304.05	112.00	13.04
	99.36	100.63	98.77	106.07	5.47
	147.83	100.99	146.95	112.00	11.04
	390.98	101.00	391.99	111.00	10.05
	411.89	114.06	413.16	128.94	14.93
	272.98	102.01	272.85	113.01	11.00
	271.49	102.99	271.55	110.98	7.99
	310.50	110.79	309.53	102.99	7.87
	213.41	104.86	213.46	116.99	12.13
	394.76	105.01	395.61	113.10	8.13
	351.44	106.93	352.28	112.10	5.25
	61.52	116.98	60.46	130.79	13.85
	398.66	107.89	399.73	114.39	6.59
	23.89	109.00	22.96	116.97	8.02
	377.52	108.88	379.74	124.92	16.19
	306.57	136.00	304.92	115.91	20.16
	360.90	140.13	362.78	158.04	18.01
	33.33	123.98	27.91	166.97	43.33
	6.36	116.96	5.52	125.71	8.79
	318.01	113.00	319.00	131.00	18.03
	155.00	115.00	154.44	121.44	6.46
	147.05	152.00	147.08	164.00	12.00
	150.65	169.04	149.48	186.89	17.89
	281.73	146.31	283.99	201.01	54.75
	310.57	114.96	311.31	134.94	19.99
	237.87	128.01	239.05	153.01	25.03
	321.36	115.96	321.61	131.01	15.06
	324.04	119.00	325.05	131.99	13.03
	203.89	120.02	204.08	127.99	7.97
	328.84	121.98	329.62	127.88	5.95
	86.18	154.01	85.39	171.07	17.08
	333.32	123.96	334.66	141.15	17.24
	165.63	135.74	165.17	142.92	7.19
	221.77	126.02	221.61	131.27	5.25
	230.06	126.00	229.95	149.99	23.99
	249.90	135.07	251.20	161.00	25.97
	337.11	127.01	337.75	140.05	13.05
	96.43	128.98	94.57	148.14	19.26
	340.43	129.03	341.33	143.92	14.92
	329.72	129.55	329.84	135.04	5.49
	207.77	130.96	208.14	138.91	7.96
	561.93	138.05	564.41	150.97	13.16
	136.54	132.00	135.93	137.96	6.00
	127.04	147.03	127.12	156.00	8.97
	415.04	132.97	415.67	141.10	8.16
	109.74	134.06	109.20	139.98	5.94
	263.87	143.14	266.16	169.02	25.97
	9.13	148.12	7.79	154.97	6.98
	43.15	137.06	42.17	150.05	13.02
	133.12	152.08	132.54	161.14	9.08
	305.13	139.99	306.12	151.96	12.01
	255.08	141.00	255.02	161.00	20.00
	274.67	150.94	275.31	172.00	21.06
	279.63	176.90	280.62	200.01	23.14
	579.77	150.21	583.21	165.05	15.24
	38.25	145.04	37.68	151.01	5.99
	98.60	146.95	97.74	159.95	13.02
	141.06	154.05	140.46	162.05	8.02
	179.01	148.00	179.13	156.06	8.06
	152.11	149.00	151.40	164.05	15.06
	93.33	150.95	91.94	161.99	11.13
	209.26	154.77	208.90	165.98	11.21
	229.80	152.96	230.50	173.47	20.51
	280.38	153.05	280.19	174.01	20.96
	572.33	153.87	573.90	162.04	8.32
	238.78	155.96	239.97	177.01	21.08
	349.98	156.01	350.73	160.99	5.03
	7.74	158.99	5.96	169.99	11.15
	366.04	159.97	366.80	168.06	8.13
	14.21	161.02	12.09	176.01	15.14
	399.91	165.01	402.06	182.93	18.05
	134.94	162.02	133.59	187.02	25.03
	411.04	173.00	413.38	191.87	19.02
	146.14	165.88	145.65	190.02	24.14
	600.31	168.12	603.54	181.98	14.23
	388.54	164.99	391.47	193.07	28.23
	140.38	166.01	139.72	184.00	18.00
	51.58	168.14	47.47	210.03	42.09
	422.04	195.99	423.83	213.06	17.16
	198.14	169.04	198.79	179.96	10.94
	60.68	170.25	59.22	189.01	18.81
	96.00	185.00	92.19	237.01	52.16
	256.40	171.00	256.52	185.02	14.03
	266.11	172.05	267.93	192.00	20.04
	84.83	178.94	84.10	184.00	5.12
	275.13	178.65	276.06	196.04	17.41
	15.59	179.94	12.23	203.13	23.44
	6.88	212.95	4.14	232.11	19.35
