vx	vy	vz	score	numLines
0.00564962	0.99998404	-0.00000424	8600.39	392
0.99147243	0.13031605	0.00038662	6814.05	326

nLines	x1	y1	x2	y2	length
392
	5.12	47.00	5.02	8.00	39.00
	12.18	6.93	12.94	22.00	15.09
	33.09	7.98	33.42	41.99	34.01
	26.97	9.02	27.88	54.98	45.97
	22.48	10.00	22.75	20.98	10.98
	122.23	52.92	122.04	19.01	33.91
	22.77	24.19	23.32	36.76	12.58
	156.24	22.14	157.25	56.01	33.88
	137.59	24.00	139.13	63.99	40.03
	147.77	66.83	147.37	56.05	10.79
	128.39	25.02	126.86	57.03	32.04
	146.96	26.06	147.32	35.97	9.92
	151.13	24.94	151.29	55.07	30.13
	241.21	35.04	241.98	65.00	29.98
	23.70	44.99	23.54	51.01	6.02
	272.99	38.01	272.69	69.95	31.95
	146.99	39.73	147.67	51.98	12.27
	247.61	39.07	247.06	50.00	10.95
	257.31	39.13	256.66	51.99	12.88
	269.02	40.99	268.32	66.95	25.97
	264.30	41.97	264.43	50.98	9.02
	10.51	43.11	10.39	48.98	5.87
	351.36	49.02	352.37	80.82	31.82
	247.08	52.00	246.18	70.00	18.03
	264.03	53.55	264.31	64.99	11.44
	257.21	55.99	257.35	78.01	22.02
	152.39	57.02	152.42	69.96	12.94
	356.14	63.99	356.51	81.01	17.03
	5.23	69.14	5.64	80.98	11.85
	264.24	68.86	263.63	80.09	11.25
	3.90	83.00	6.37	328.00	245.01
	3.60	341.00	4.33	490.06	149.06
	376.04	84.00	376.33	94.11	10.12
	46.71	108.43	48.57	177.01	68.61
	51.97	114.00	52.69	189.99	76.00
	65.29	105.98	65.81	191.03	85.05
	113.86	110.34	114.81	192.99	82.66
	108.96	114.08	110.58	160.12	46.07
	175.46	117.00	175.80	197.00	80.00
	43.75	112.02	44.55	181.00	68.98
	129.52	112.06	130.27	195.14	83.09
	23.42	113.99	23.47	129.78	15.79
	40.67	115.22	41.10	129.00	13.79
	19.34	115.02	20.23	127.00	12.02
	33.32	117.00	33.76	127.00	10.00
	37.23	116.99	37.82	128.97	11.99
	87.77	119.92	89.53	152.03	32.16
	191.82	118.00	192.57	198.01	80.01
	106.90	118.98	107.00	193.00	74.02
	72.75	119.98	72.78	133.06	13.08
	83.74	120.10	84.09	133.00	12.91
	96.90	121.12	97.72	134.01	12.92
	134.43	120.02	135.29	140.01	20.01
	16.88	120.99	17.14	127.00	6.01
	101.21	121.08	101.71	135.01	13.94
	235.50	121.29	237.13	200.04	78.77
	291.84	127.12	292.92	202.95	75.84
	168.53	123.10	168.95	197.02	73.92
	250.31	122.99	250.57	202.02	79.03
	146.78	125.02	146.97	140.00	14.98
	172.55	124.97	172.69	165.97	41.00
	163.38	125.86	163.48	140.00	14.14
	150.66	128.01	151.00	154.00	25.99
	228.50	128.36	229.37	196.02	67.66
	306.72	128.02	307.71	205.07	77.06
	198.56	130.29	198.29	157.99	27.70
	207.96	131.01	208.02	144.00	13.00
	285.54	134.03	285.74	204.16	70.13
	346.50	133.03	347.25	205.00	71.98
	24.62	130.95	24.36	145.01	14.06
	223.90	132.05	224.70	146.08	14.06
	15.85	131.95	15.68	141.08	9.13
	19.95	132.02	19.97	146.00	13.98
	212.33	132.01	212.19	145.01	12.99
	356.97	132.01	358.72	208.01	76.03
	394.77	135.40	396.22	182.03	46.65
	38.10	132.96	37.30	147.74	14.80
	254.37	133.04	254.41	150.97	17.93
	220.02	134.00	220.00	143.00	9.00
	257.68	134.19	257.59	148.01	13.82
	84.17	137.02	84.65	151.02	14.02
	282.46	137.00	282.38	149.90	12.91
	101.68	137.93	102.05	152.98	15.06
	265.97	138.00	266.10	148.01	10.01
	97.75	139.01	97.75	151.01	12.00
	279.78	139.09	279.64	148.03	8.94
	340.55	138.95	340.92	207.07	68.12
	77.06	140.01	76.77	147.98	7.98
	334.72	141.17	335.41	153.97	12.82
	136.64	141.04	136.58	154.00	12.96
	361.45	140.99	360.98	154.96	13.98
	146.55	141.96	146.79	154.99	13.03
	325.70	142.00	325.92	167.00	25.00
	163.54	143.17	163.46	155.98	12.81
	331.22	142.98	331.44	153.09	10.11
	389.65	143.05	390.91	209.03	65.99
	376.48	144.15	375.88	172.05	27.91
	289.66	146.03	289.04	159.01	12.99
	386.51	145.99	386.62	156.99	11.00
	207.75	146.88	207.51	159.06	12.18
	223.48	147.98	223.95	161.00	13.03
	368.95	148.02	369.51	156.75	8.75
	220.32	148.93	220.07	158.99	10.07
	381.28	149.12	381.63	155.99	6.88
	70.69	150.98	71.21	191.11	40.14
	257.28	151.02	257.26	164.00	12.97
	270.75	150.98	270.75	163.99	13.01
	266.04	152.00	265.85	164.97	12.97
	282.65	152.98	283.07	165.94	12.97
	279.68	153.94	279.82	163.00	9.05
	41.62	154.99	41.79	186.04	31.05
	335.16	156.95	335.66	168.99	12.05
	37.39	156.11	36.56	170.00	13.91
	135.13	157.00	135.20	195.09	38.09
	332.28	156.83	331.91	168.97	12.15
	102.40	159.91	102.04	173.00	13.10
	97.42	161.98	97.65	173.00	11.03
	152.36	162.12	151.99	178.00	15.89
	372.90	161.96	373.39	170.02	8.08
	381.91	163.02	382.25	171.01	7.99
	110.48	164.15	110.55	179.04	14.89
	361.58	163.98	361.83	170.01	6.03
	164.78	164.97	164.52	176.98	12.01
	88.31	166.00	88.63	173.99	8.00
	159.28	166.68	159.56	177.23	10.55
	210.35	167.61	209.89	180.97	13.37
	226.39	169.01	226.56	197.01	28.00
	213.24	197.85	213.14	185.03	12.82
