vx	vy	vz	score	numLines
-0.99253364	-0.12197016	-0.00051051	3787.90	334
-0.01036317	0.99994630	-0.00002453	3389.61	198
-0.99418028	0.10772846	0.00039437	1917.26	319

nLines	x1	y1	x2	y2	length
334
	130.95	3.42	135.97	3.91	5.04
	68.05	3.68	78.98	4.61	10.97
	272.11	3.58	448.99	28.95	178.69
	300.00	3.55	322.02	6.89	22.27
	335.02	4.27	436.02	17.80	101.90
	45.11	4.69	74.98	8.29	30.09
	243.99	4.92	249.13	5.44	5.16
	327.04	7.45	348.14	9.62	21.21
	404.81	10.33	428.15	13.68	23.58
	50.00	10.85	60.02	12.10	10.10
	206.03	10.94	211.95	12.08	6.04
	63.04	11.93	71.57	12.49	8.55
	357.06	11.67	372.19	13.36	15.22
	93.00	13.17	105.00	13.99	12.03
	374.10	13.29	384.00	15.01	10.04
	613.08	13.22	618.35	14.09	5.35
	85.01	13.91	92.00	14.78	7.04
	415.04	19.49	441.02	22.86	26.19
	253.95	23.46	265.00	25.52	11.23
	455.03	27.32	461.15	28.38	6.21
	484.92	27.70	493.09	28.62	8.23
	164.43	29.48	170.02	30.10	5.62
	505.88	30.13	512.04	30.86	6.21
	52.01	32.20	57.00	33.01	5.06
	224.00	32.02	233.06	33.56	9.19
	43.99	34.72	51.03	35.24	7.06
	361.89	34.59	368.21	35.57	6.39
	53.07	35.20	62.00	35.91	8.96
	94.00	40.41	87.98	39.93	6.04
	254.85	35.27	281.82	40.29	27.43
	481.89	35.65	487.01	36.09	5.14
	223.00	36.96	238.00	38.95	15.13
	533.04	38.61	545.95	39.63	12.95
	3.98	40.29	11.99	40.92	8.03
	45.05	39.78	60.00	40.94	15.00
	285.00	40.06	302.01	42.86	17.23
	265.97	41.06	278.00	43.14	12.21
	384.02	41.10	393.15	42.74	9.27
	135.67	50.81	129.00	50.51	6.68
	256.97	42.90	265.87	43.65	8.93
	316.04	45.07	332.92	47.30	17.03
	290.02	45.71	305.99	47.70	16.10
	514.04	47.60	531.94	50.14	18.08
	338.94	48.26	366.99	51.71	28.26
	628.96	48.92	633.96	49.63	5.06
	387.98	52.29	398.03	52.85	10.07
	350.12	53.65	370.05	54.82	19.96
	379.09	53.24	391.08	55.48	12.19
	531.96	55.57	548.04	57.40	16.18
	362.45	58.30	368.01	59.01	5.60
	439.00	62.77	455.24	63.62	16.26
	20.07	60.15	32.93	62.03	13.00
	394.00	60.01	404.92	61.56	11.02
	613.01	62.10	606.32	61.36	6.73
	32.97	65.93	21.00	65.64	11.97
	60.80	62.88	69.01	63.84	8.26
	229.36	65.58	236.95	65.84	7.59
	583.19	65.38	589.99	66.40	6.87
	418.01	66.63	425.26	67.67	7.33
	469.95	66.70	475.80	67.57	5.91
	491.06	66.35	497.11	67.29	6.12
	98.12	71.64	104.98	72.12	6.88
	464.05	74.75	469.97	75.10	5.94
	222.05	78.08	238.01	79.97	16.07
	440.02	83.39	447.97	83.75	7.96
	224.00	83.51	237.98	84.37	14.00
	256.01	84.69	266.00	86.03	10.08
	286.02	85.77	301.00	86.45	15.00
	349.01	91.13	354.99	91.64	6.01
	453.01	92.23	461.35	92.51	8.34
	358.01	92.02	369.21	92.47	11.21
	506.98	94.56	513.76	95.37	6.83
	453.00	94.67	461.00	95.00	8.01
	130.51	96.74	135.99	96.91	5.48
	356.99	96.30	369.02	97.23	12.07
	164.95	101.26	169.98	101.88	5.07
	624.05	102.76	633.89	103.68	9.88
	201.09	104.49	206.98	104.88	5.90
	254.03	123.24	248.99	123.01	5.04
	126.95	107.43	132.91	107.47	5.95
	89.00	109.10	96.01	109.50	7.02
	404.91	113.86	399.82	113.29	5.12
	94.99	110.87	104.97	111.69	10.02
	297.03	113.88	302.92	114.11	5.89
	186.02	116.92	194.07	117.72	8.09
	15.00	122.01	31.01	122.47	16.02
	154.93	122.27	160.15	122.51	5.23
	558.01	126.14	546.96	125.89	11.06
	223.96	123.90	237.92	124.61	13.98
	529.12	125.81	534.23	126.29	5.13
	46.08	127.17	57.01	128.51	11.01
	98.10	127.54	105.01	128.36	6.95
