vx	vy	vz	score	numLines
0.04582831	0.99893839	-0.00467592	3936.42	275
-0.81144025	-0.58443280	-0.00173782	1267.77	143
0.64199835	0.76670602	0.00007926	426.46	144

nLines	x1	y1	x2	y2	length
275
	452.23	3.49	460.02	6.95	8.52
	491.27	3.43	503.00	8.57	12.80
	345.23	3.60	354.07	8.37	10.05
	376.24	3.54	387.00	9.57	12.33
	437.12	3.75	511.00	39.46	82.06
	358.92	11.08	399.26	34.55	46.67
	508.07	29.92	516.92	34.15	9.81
	506.52	32.44	517.23	37.46	11.83
	398.66	32.51	419.78	47.37	25.83
	432.01	33.96	443.04	39.82	12.49
	372.04	38.47	380.99	44.02	10.53
	435.16	39.84	443.10	44.46	9.19
	231.05	41.94	258.16	67.50	37.25
	432.07	43.81	442.01	50.45	11.95
	231.42	45.56	252.98	69.01	31.86
	225.42	52.54	257.07	88.93	48.23
	220.61	55.30	253.13	92.98	49.78
	365.91	69.62	388.90	85.11	27.72
	354.00	60.00	359.30	63.62	6.42
	364.92	60.10	372.13	64.86	8.64
	216.65	64.27	219.97	68.03	5.01
	353.94	72.30	348.26	67.87	7.20
	259.51	69.00	280.79	90.23	30.06
	254.34	70.68	263.69	81.32	14.17
	223.56	73.38	231.27	83.11	12.42
	348.41	82.61	354.71	87.36	7.88
	232.95	85.05	239.25	91.79	9.22
	44.55	110.01	50.50	163.06	53.39
	15.16	112.97	15.36	124.08	11.11
	307.94	118.67	377.00	190.97	99.99
	323.97	124.03	412.98	215.03	127.29
	279.11	163.92	348.98	257.02	116.40
	349.37	257.71	353.72	262.88	6.76
	378.41	150.07	391.74	163.22	18.73
	277.61	121.93	282.55	127.47	7.42
	285.06	129.98	294.02	140.99	14.20
	293.94	131.05	298.56	136.35	7.03
	390.45	132.47	401.28	140.76	13.63
	262.81	134.19	331.20	218.91	108.88
	330.10	135.93	334.15	139.78	5.58
	317.22	140.85	330.17	155.84	19.81
	282.84	143.15	290.00	152.00	11.39
	304.79	143.17	309.28	148.70	7.12
	25.09	143.98	25.71	151.00	7.05
	299.60	147.37	304.27	152.81	7.17
	117.07	198.99	108.01	165.00	35.17
	292.26	154.74	297.16	160.89	7.86
	289.88	157.77	294.22	162.81	6.65
	339.64	160.43	344.32	165.09	6.60
	143.48	162.96	146.97	172.01	9.70
	147.76	173.08	162.38	216.12	45.45
	299.20	162.84	308.33	174.74	14.99
	305.61	164.34	310.93	171.07	8.58
	222.83	185.17	232.68	203.30	20.63
	177.02	181.98	179.86	189.09	7.65
	317.73	179.23	321.41	184.06	6.07
	209.62	179.94	213.04	186.99	7.83
	358.05	179.96	369.23	192.12	16.52
	129.25	186.13	130.78	191.07	5.17
	354.42	182.36	393.27	225.77	58.26
	351.32	185.64	366.15	202.87	22.74
	170.04	187.97	174.94	201.03	13.95
	230.45	187.74	241.60	209.24	24.22
	334.04	188.94	355.44	212.43	31.77
	410.61	189.57	420.77	198.15	13.30
	344.43	190.66	350.38	197.63	9.16
	378.07	192.00	402.15	217.67	35.20
	183.20	194.13	197.60	227.95	36.76
	370.81	194.29	380.81	206.02	15.42
	141.35	196.87	144.93	209.02	12.67
	332.80	198.32	348.93	217.07	24.72
	330.69	199.92	356.02	233.98	42.45
	116.92	201.02	121.61	218.09	17.70
	410.20	200.77	446.50	241.50	54.56
	354.07	201.93	360.19	208.78	9.18
	211.86	209.06	225.88	239.06	33.12
	419.44	203.57	429.85	215.10	15.53
	328.02	205.98	352.26	236.77	39.19
	116.96	216.03	120.41	227.97	12.43
	248.30	209.60	251.49	214.69	6.01
	420.38	209.56	433.40	222.68	18.49
	101.22	210.84	104.57	222.07	11.72
	362.13	210.90	365.38	214.73	5.02
	163.24	219.15	167.87	231.04	12.76
	267.69	212.90	270.86	218.12	6.11
	110.22	214.98	112.96	224.01	9.43
	376.48	214.62	389.18	228.86	19.08
	159.91	222.18	161.72	227.14	5.28
	392.89	217.14	396.98	222.02	6.37
	417.59	217.35	437.16	235.62	26.77
	245.94	218.02	248.78	223.14	5.85
	331.64	221.37	369.70	269.23	61.15
	436.35	220.64	460.86	244.13	33.95
	282.62	222.31	298.11	242.27	25.27
	353.91	223.08	359.81	230.18	9.23
	375.71	223.28	392.80	242.17	25.48
	373.60	224.36	390.11	243.92	25.59
	98.04	225.00	103.82	250.09	25.74
	166.49	232.99	170.49	244.01	11.72
	246.38	225.76	258.13	243.69	21.44
	436.22	225.63	449.89	240.08	19.89
	251.03	227.90	267.51	253.99	30.85
	402.16	227.86	405.86	232.13	5.66
	105.89	229.05	109.84	243.03	14.53
	122.14	228.85	170.18	386.92	165.20
	275.22	232.64	279.93	239.06	7.96
	374.54	234.42	385.58	248.42	17.84
	270.50	237.99	285.76	262.12	28.55
	372.50	235.72	376.43	240.64	6.30
	243.82	238.14	248.96	247.02	10.26
	266.60	238.93	274.11	250.73	13.99
	218.13	239.89	227.58	259.97	22.19
	355.40	239.79	359.36	244.72	6.33
	368.27	250.76	374.96	259.02	10.63
	229.68	244.89	248.28	282.11	41.61
	278.70	240.95	285.98	253.01	14.09
	289.06	240.95	292.01	245.00	5.00
	342.94	242.05	348.54	249.59	9.38
	172.07	244.26	195.76	302.12	62.52
	283.68	244.29	289.40	254.40	11.62
	380.16	244.86	383.17	248.86	5.00
	455.30	244.69	470.20	260.81	21.95
	110.86	246.04	112.07	251.00	5.10
	203.58	245.94	207.23	254.10	8.94
	451.63	246.28	469.87	265.11	26.22
	253.53	247.00	256.46	252.06	5.84
	362.04	248.97	376.09	266.93	22.80
	407.96	250.03	411.84	254.21	5.70
	252.20	253.15	260.98	269.01	18.13
	296.36	251.39	309.03	270.97	23.32
	465.01	251.00	470.81	256.15	7.76
	475.10	251.91	484.77	262.25	14.16
	401.58	253.30	411.12	263.86	14.23
	306.03	254.97	314.34	266.52	14.23
	105.03	254.99	112.82	292.04	37.86
	208.52	255.01	220.55	277.16	25.21
	271.84	261.10	280.77	277.34	18.54
	293.00	259.00	297.28	266.11	8.30
	121.93	260.00	126.01	275.00	15.54
	249.20	259.91	253.68	268.89	10.04
	262.18	271.58	272.74	288.15	19.64
	129.35	262.03	133.41	276.00	14.55
	323.29	262.65	331.09	273.87	13.67
	287.48	266.44	305.96	295.27	34.25
	339.89	264.75	371.37	305.72	51.67
	205.77	266.13	209.08	272.95	7.58
	388.98	266.02	396.96	276.05	12.81
	231.03	266.98	237.41	281.03	15.43
	353.35	268.72	376.16	297.82	36.98
	494.20	268.88	509.02	284.96	21.87
	301.71	272.20	319.44	298.36	31.61
	474.84	270.22	479.85	275.15	7.03
	325.42	272.54	329.25	277.86	6.56
	134.02	278.98	137.70	293.94	15.40
	177.98	275.35	181.89	284.05	9.54
