vx	vy	vz	score	numLines
-0.99993953	-0.01099670	-0.00001487	5892.67	165
-0.12541680	0.99210407	-0.00038803	5096.55	144
0.95129897	0.30826963	0.00031729	334.31	52

nLines	x1	y1	x2	y2	length
165
	192.90	58.76	116.03	58.26	76.87
	466.04	63.34	542.98	62.76	76.94
	521.98	30.08	535.02	30.45	13.04
	478.17	5.60	483.98	5.28	5.81
	609.05	5.88	618.25	6.20	9.21
	473.03	9.53	482.27	9.74	9.25
	185.00	9.99	192.98	10.28	7.98
	184.60	14.61	191.92	14.67	7.32
	358.04	20.12	369.01	20.49	10.97
	477.00	22.84	484.98	22.95	7.98
	465.93	23.70	470.99	23.97	5.07
	125.99	26.92	143.97	26.95	17.98
	249.02	43.24	239.32	42.62	9.72
	585.98	30.55	601.96	30.22	15.99
	293.01	31.23	305.00	32.01	12.02
	119.97	38.09	139.66	38.64	19.70
	598.01	42.12	586.97	42.11	11.04
	517.94	42.93	537.06	43.56	19.13
	469.12	45.05	479.86	44.59	10.75
	582.92	63.31	634.00	63.99	51.09
	273.98	55.78	283.14	55.43	9.17
	4.00	55.62	75.01	57.02	71.02
	232.01	59.93	309.91	59.87	77.90
	349.02	60.86	425.82	61.38	76.80
	4.00	61.60	80.01	62.83	76.02
	107.89	62.51	199.05	64.61	91.19
	224.98	65.57	312.00	66.03	87.02
	343.02	66.09	433.82	66.32	90.81
	467.99	69.56	559.96	69.20	91.97
	576.98	69.19	634.00	70.07	57.02
	4.03	83.44	77.09	84.88	73.08
	106.07	87.09	197.95	88.18	91.89
	225.05	87.80	314.96	88.08	89.91
	343.03	89.09	433.06	90.42	90.03
	3.99	90.20	69.91	91.60	65.94
	147.04	90.43	155.81	90.50	8.77
	161.20	90.12	177.89	90.25	16.70
	468.02	89.61	553.01	90.99	85.00
	229.14	91.66	235.89	91.65	6.75
	580.20	91.83	634.00	91.90	53.80
	354.94	93.05	360.26	93.19	5.33
	480.59	93.00	485.76	92.88	5.17
	588.11	184.94	634.00	187.73	45.98
	115.00	93.89	190.02	95.21	75.03
	605.04	94.46	599.14	94.58	5.90
	611.05	94.84	617.01	94.54	5.96
	234.00	95.04	308.09	95.78	74.10
	525.00	95.01	530.02	95.02	5.03
	350.90	96.39	426.01	98.05	75.13
	470.93	97.22	545.03	98.28	74.10
	587.96	98.32	634.01	99.27	46.06
	232.99	103.42	241.98	102.95	9.00
	521.97	101.91	538.94	102.75	16.99
	409.94	104.82	423.96	104.07	14.04
	411.03	144.88	422.95	145.63	11.95
	36.04	124.50	30.14	124.34	5.90
	354.00	114.03	359.99	114.28	5.99
	503.16	113.32	515.97	113.22	12.81
	602.04	118.10	608.34	118.44	6.31
	46.00	118.99	51.03	119.03	5.03
	233.99	120.97	240.96	121.21	6.98
	308.01	178.10	228.77	177.72	79.23
	367.95	140.45	380.04	140.86	12.10
	304.98	144.41	299.94	144.52	5.05
	12.01	153.60	3.77	153.26	8.24
	359.03	160.94	368.64	160.70	9.61
	408.11	155.76	414.01	155.43	5.92
	4.01	173.32	63.00	174.06	58.99
	107.13	175.72	187.12	176.59	80.00
	350.15	177.80	430.71	178.57	80.56
	4.00	179.64	68.97	180.54	64.98
	473.00	179.52	552.98	179.90	79.98
	594.30	180.45	634.00	181.60	39.71
	98.03	181.65	193.01	182.94	95.00
	220.96	183.53	315.97	182.89	95.00
	471.99	186.11	559.98	185.58	87.98
	347.92	184.24	438.04	184.65	90.12
	300.05	204.43	311.98	205.05	11.94
	3.94	205.25	67.00	205.97	63.07
	323.96	207.23	340.03	207.78	16.07
	538.01	206.05	549.01	206.21	11.01
	95.00	207.02	187.01	207.40	92.01
	220.02	208.34	315.98	209.63	95.96
