vx	vy	vz	score	numLines
0.50827293	0.86119603	-0.00016380	11342.57	212
-0.87338632	-0.48702714	-0.00094656	5005.51	143
-0.98176740	-0.19008478	-0.00074191	3250.25	120

nLines	x1	y1	x2	y2	length
212
	4.94	4.03	80.03	131.98	148.35
	108.58	3.96	114.58	13.42	11.21
	119.53	3.98	127.39	17.06	15.26
	128.47	4.01	141.91	26.05	25.82
	145.39	4.07	173.35	50.35	54.07
	163.10	3.94	202.50	67.00	74.36
	202.76	21.19	249.91	97.08	89.34
	316.01	3.99	346.93	51.06	56.31
	323.65	4.23	329.10	13.26	10.54
	344.53	3.98	377.44	54.04	59.91
	355.94	4.04	393.06	62.99	69.67
	376.38	4.07	417.04	64.97	73.22
	457.41	73.46	415.10	9.92	76.34
	334.86	5.06	365.13	51.22	55.20
	124.48	7.34	134.57	21.96	17.76
	407.55	15.33	442.04	67.98	62.94
	473.06	24.94	512.79	85.20	72.18
	324.37	9.74	349.59	48.96	46.63
	335.42	13.81	361.08	50.94	45.13
	387.91	15.05	396.95	28.03	15.82
	396.41	14.63	430.70	64.87	60.82
	435.79	15.02	477.99	77.01	74.99
	192.84	29.11	221.54	76.27	55.21
	124.71	69.27	191.11	178.94	128.20
	523.78	38.30	561.86	95.15	68.42
	464.95	29.74	498.83	79.11	59.88
	186.07	28.87	211.46	69.03	47.51
	404.60	29.64	427.33	63.76	40.99
	491.57	29.95	531.39	88.08	70.46
	53.74	32.18	124.35	151.09	138.29
	91.04	32.97	96.90	42.10	10.86
	399.61	33.29	404.38	40.42	8.58
	459.65	33.90	488.64	76.91	51.86
	516.76	43.41	548.30	89.81	56.10
	3.83	40.10	46.36	113.08	84.47
	540.25	42.94	578.48	98.02	67.04
	569.83	51.18	605.46	104.39	64.04
	461.69	46.22	483.93	76.05	37.21
	512.90	50.07	539.68	87.88	46.33
	3.76	52.13	36.33	108.11	64.77
	562.92	56.06	592.35	99.11	52.15
	38.14	52.70	41.07	57.29	5.45
	126.80	53.17	134.05	63.95	12.99
	584.07	54.98	619.50	106.00	62.11
	610.05	61.95	634.06	96.96	42.45
	554.46	56.42	567.58	74.63	22.44
	110.95	78.64	163.83	166.10	102.21
