vx	vy	vz	score	numLines
0.84509021	-0.53462303	-0.00086526	3400.00	189
-0.24718066	0.96896900	-0.00089145	2674.38	295
0.75700189	0.65341196	0.00097468	1596.08	28

nLines	x1	y1	x2	y2	length
189
	62.07	109.09	278.81	3.59	241.06
	58.02	143.05	199.07	76.67	155.89
	200.06	76.15	308.20	29.36	117.83
	303.89	40.26	294.60	45.02	10.44
	276.14	53.11	290.61	46.69	15.83
	274.07	60.24	194.96	94.40	86.16
	281.01	70.08	296.16	63.33	16.58
	278.99	66.98	283.95	64.89	5.39
	311.30	67.43	303.02	70.49	8.84
	239.06	68.11	230.02	72.03	9.86
	278.12	71.32	266.93	75.84	12.07
	261.94	73.89	266.98	71.94	5.40
	284.91	77.72	291.99	74.96	7.60
	276.01	90.01	313.79	74.59	40.81
	222.68	75.79	209.49	81.46	14.36
	249.19	83.24	257.04	80.13	8.45
	236.22	81.46	230.10	84.29	6.75
	272.97	82.44	267.90	84.71	5.56
	244.07	85.15	229.89	91.37	15.48
	275.47	84.95	267.78	88.57	8.50
	306.00	86.01	296.84	89.70	9.88
	312.09	87.50	302.97	90.94	9.75
	178.83	95.25	190.70	89.66	13.12
	274.07	90.42	258.20	96.83	17.11
	221.17	91.44	211.04	96.11	11.15
	278.83	96.69	291.98	91.96	13.98
	283.78	98.80	295.20	94.34	12.26
	191.04	96.17	47.78	161.69	157.53
	224.00	110.54	256.04	97.85	34.46
	197.97	100.93	202.93	98.83	5.39
	261.06	104.13	273.03	99.10	12.99
	279.10	100.27	267.02	105.03	12.99
	303.93	101.77	310.26	99.26	6.81
	275.51	116.07	267.77	119.40	8.43
	286.08	108.68	293.14	105.73	7.66
	311.13	107.72	316.03	106.05	5.17
	185.56	110.63	192.29	107.52	7.41
	309.07	108.40	276.58	120.69	34.73
	248.61	112.69	257.05	109.17	9.15
	257.63	123.06	250.86	125.65	7.24
	177.30	114.43	184.00	111.01	7.53
	221.98	111.39	208.91	116.79	14.15
	205.06	127.03	193.98	130.93	11.74
	222.11	120.03	210.09	124.22	12.72
	167.00	115.00	173.20	112.54	6.67
	247.00	113.16	241.37	115.47	6.08
	266.85	115.69	274.02	113.09	7.63
	226.00	117.99	237.12	113.84	11.88
	231.34	119.49	239.10	116.63	8.27
	239.63	130.06	234.02	132.04	5.96
	206.11	118.27	191.97	123.93	15.23
	303.70	122.74	313.11	119.47	9.96
	249.94	122.79	256.01	120.06	6.66
	275.02	121.32	189.71	154.65	91.59
	223.20	122.36	215.76	125.77	8.18
	311.08	132.06	304.93	134.79	6.73
	118.93	122.90	108.83	128.21	11.41
	279.00	129.01	292.95	122.83	15.26
	137.15	127.29	142.91	124.81	6.27
	189.08	125.34	105.91	160.80	90.41
	100.94	169.96	93.06	173.27	8.54
	295.02	125.14	284.74	129.97	11.36
	233.03	129.13	238.04	127.25	5.35
	107.07	128.32	97.94	132.37	9.99
	142.31	129.30	134.01	133.02	9.09
	199.43	132.52	205.02	130.14	6.07
	261.12	135.39	274.02	130.06	13.96
