vx	vy	vz	score	numLines
0.50728383	-0.86176987	-0.00397522	7250.90	441
-0.00953018	0.99995459	0.00000304	4729.83	269
-0.99962058	-0.02754438	-0.00005493	3541.77	350

nLines	x1	y1	x2	y2	length
441
	302.55	3.47	295.08	7.13	8.31
	497.82	3.41	474.02	11.23	25.05
	215.77	4.10	208.91	8.31	8.05
	275.85	9.86	287.94	3.89	13.49
	306.85	6.91	295.00	12.06	12.92
	325.20	7.25	331.88	3.81	7.51
	326.00	12.53	344.64	3.58	20.67
	349.71	8.51	359.89	3.82	11.21
	387.78	8.80	402.93	3.71	15.99
	416.17	4.20	387.53	15.41	30.76
	423.44	11.52	443.86	3.54	21.92
	506.91	8.78	473.90	19.34	34.66
	592.33	16.03	575.00	21.01	18.03
	595.92	5.86	605.94	3.62	10.26
	524.00	15.42	557.95	4.72	35.59
	466.98	5.98	458.76	8.40	8.57
	596.91	15.25	629.91	5.53	34.40
	204.13	16.18	217.12	9.12	14.78
	288.99	8.98	277.03	15.06	13.42
	323.61	17.54	344.09	9.61	21.96
	360.97	10.40	350.03	15.03	11.88
	420.55	20.00	446.30	10.36	27.50
	629.00	15.44	593.76	23.99	36.26
	416.41	11.39	389.00	21.99	29.39
	276.09	20.16	290.96	12.97	16.51
	305.02	13.03	294.30	18.29	11.94
	472.63	26.52	515.01	13.01	44.48
	215.89	14.28	203.56	20.61	13.86
	467.42	28.56	460.09	31.17	7.78
	459.19	16.20	466.68	13.60	7.93
	523.99	23.70	555.93	13.78	33.45
	345.36	15.28	325.12	23.72	21.92
	351.01	21.03	366.29	15.26	16.34
	291.21	17.20	275.93	24.89	17.11
	382.20	18.20	376.34	20.95	6.48
	416.14	18.16	389.00	28.54	29.06
	444.11	17.73	422.51	25.53	22.97
	365.13	21.36	350.05	27.07	16.12
	460.00	23.56	466.93	20.92	7.42
	516.20	21.29	473.97	34.47	44.24
	325.09	29.65	343.74	21.75	20.26
	544.92	26.43	559.80	21.51	15.67
	215.86	23.23	210.00	27.00	6.97
	291.25	23.34	277.01	30.03	15.73
	294.00	29.54	305.14	24.26	12.32
	417.39	24.27	388.96	34.85	30.34
	197.57	35.05	191.09	38.75	7.46
	421.67	31.74	444.10	25.63	23.24
	598.96	32.81	630.03	25.08	32.02
	629.12	34.69	594.97	42.92	35.13
	543.01	26.43	523.96	31.92	19.82
	573.73	30.14	591.11	25.62	17.96
	218.51	26.79	210.05	31.07	9.48
	343.95	27.35	324.95	35.35	20.61
	290.61	28.46	276.95	35.47	15.35
	349.97	32.91	364.84	27.69	15.76
	418.85	29.05	389.09	41.19	32.14
	294.08	34.78	304.80	29.69	11.87
	513.89	29.78	473.96	42.41	41.88
	418.01	45.01	388.07	54.21	31.32
	523.06	41.30	557.01	31.52	35.33
	215.97	32.91	208.01	37.41	9.14
	343.61	33.46	323.96	40.96	21.03
	422.95	39.89	444.07	33.15	22.17
	350.17	39.29	364.94	33.84	15.75
	305.16	35.28	294.03	40.07	12.11
	592.56	79.77	630.03	74.03	37.91
	275.94	40.90	285.93	35.84	11.20
	459.92	38.32	465.88	36.69	6.18
	573.99	38.98	584.05	36.60	10.33
	388.00	48.00	417.09	38.09	30.73
	473.07	50.20	515.99	37.58	44.74
	275.85	45.57	291.79	38.86	17.29
	343.83	39.27	324.99	46.98	20.35
	294.02	45.15	306.04	41.04	12.71
	349.93	45.31	365.07	40.12	16.01
	422.97	46.93	445.15	40.32	23.14
	522.70	49.67	556.99	40.86	35.40
	215.99	42.43	196.98	53.06	21.77
	595.03	52.13	633.99	41.97	40.27
	276.15	50.32	291.06	43.60	16.36
	460.03	46.58	468.34	44.29	8.62
	572.89	48.18	589.00	43.70	16.72
	324.07	52.11	343.90	44.79	21.14
	294.07	50.18	305.27	46.51	11.79
	417.35	51.93	387.75	60.60	30.84
	514.09	46.11	473.00	57.56	42.66
	350.07	51.64	366.29	46.57	17.00
	423.05	54.13	446.15	48.14	23.86
	217.96	61.96	210.04	65.06	8.50
	383.29	49.27	378.03	51.10	5.57
	522.98	57.94	557.20	49.42	35.26
	289.02	50.42	276.04	55.67	13.99
	306.51	51.39	293.03	56.49	14.41
	323.98	57.96	344.07	51.12	21.22
	458.99	53.93	467.98	51.97	9.20
	350.02	57.76	364.98	52.96	15.71
	572.94	56.78	589.07	53.09	16.55
	597.92	60.87	634.07	52.64	37.07
	513.95	54.44	473.00	65.00	42.29
	422.91	61.76	445.01	55.64	22.93
	380.96	56.41	376.18	58.08	5.07
	324.89	63.30	343.87	56.84	20.05
	418.14	58.00	387.08	68.45	32.77
	523.03	66.09	557.00	57.78	34.97
	348.88	63.86	365.18	59.29	16.93
	178.88	61.22	174.26	63.35	5.09
	275.99	65.98	291.44	60.96	16.24
	305.39	62.38	293.91	66.34	12.15
	572.15	66.06	590.01	62.18	18.27
	12.66	69.12	3.90	77.35	12.02
	324.15	69.32	342.95	62.80	19.90
	422.49	68.46	444.04	62.55	22.35
	472.03	73.06	514.94	62.93	44.09
	593.94	70.79	634.00	63.77	40.67
	350.03	70.09	365.03	65.59	15.66
	387.02	74.03	417.05	66.06	31.07
	458.98	68.92	468.05	67.07	9.25
	523.08	74.19	557.96	66.93	35.63
	293.97	71.50	304.96	67.89	11.58
	306.11	73.05	294.02	77.11	12.75
	324.07	75.12	344.07	69.08	20.89
	289.99	70.42	276.06	75.69	14.90
	421.84	75.41	445.23	70.68	23.85
	472.93	80.37	515.07	71.07	43.15
	349.93	76.39	366.27	72.44	16.81
	573.04	75.19	588.02	71.57	15.41
	386.74	80.77	416.31	73.36	30.48
	459.15	76.38	468.08	74.12	9.21
	323.94	80.86	343.06	74.60	20.12
	218.22	76.11	208.12	80.46	10.99
	274.78	80.69	288.04	76.60	13.87
	522.97	82.90	556.98	75.91	34.72
	422.00	82.95	444.88	77.84	23.44
	293.90	82.38	306.07	79.07	12.61
	348.92	82.67	364.04	78.55	15.68
	387.97	87.41	417.20	80.24	30.09
	471.93	87.86	511.83	79.67	40.73
	274.73	85.61	290.29	81.46	16.10
	323.92	86.85	343.96	80.94	20.90
	572.92	83.41	587.87	80.68	15.20
	467.07	82.12	458.22	84.49	9.16
	594.95	88.31	628.04	82.78	33.54
	522.98	90.82	554.97	84.37	32.64
	628.07	91.59	593.89	98.34	34.84
	294.06	88.12	303.88	84.72	10.39
	348.78	88.77	363.97	84.70	15.73
	421.91	89.81	445.01	85.03	23.60
	209.03	89.29	217.23	86.23	8.75
	274.89	90.82	290.33	86.65	15.99
	323.96	92.38	344.04	87.04	20.77
	387.00	93.99	416.08	87.09	29.89
	443.99	99.67	422.03	104.08	22.40
