vx	vy	vz	score	numLines
-0.02416227	0.99970805	-0.00009420	1664.53	88
0.94828087	0.31743062	0.00109132	1035.31	128
-0.99814066	0.06095257	-0.00012451	586.47	92

nLines	x1	y1	x2	y2	length
88
	39.32	87.02	39.14	93.02	6.00
	43.19	92.05	41.84	136.98	44.96
	40.38	268.01	43.16	148.00	120.04
	92.25	140.01	91.91	153.01	13.00
	104.44	272.08	107.45	150.01	122.11
	92.89	154.15	93.94	258.00	103.86
	93.96	259.00	91.37	315.90	56.96
	193.82	157.67	192.90	265.02	107.36
	331.83	164.03	332.15	170.77	6.75
	73.21	167.89	73.18	184.12	16.23
	82.95	168.98	82.95	174.01	5.03
	408.50	168.89	408.61	174.06	5.17
	119.04	174.00	118.72	179.11	5.12
	438.29	174.00	438.44	180.04	6.05
	418.79	175.00	418.00	190.00	15.02
	361.46	176.61	362.31	219.99	43.39
	260.51	190.00	260.32	255.07	65.07
	392.74	179.96	393.41	194.12	14.17
	184.15	182.00	184.22	187.00	5.00
	73.11	184.94	73.13	201.08	16.14
	462.97	186.99	463.30	230.04	43.05
	242.71	190.01	244.01	244.98	54.98
	356.28	190.08	356.69	198.94	8.86
	250.00	196.64	250.08	201.99	5.35
	408.98	197.00	408.84	205.01	8.01
	134.88	199.06	134.62	204.11	5.06
	459.71	199.09	459.33	206.88	7.80
	73.08	201.96	73.01	218.01	16.05
	357.08	202.03	357.32	210.78	8.75
	338.97	210.00	338.60	217.91	7.93
	398.71	207.17	399.22	215.01	7.85
	271.97	208.00	271.71	216.93	8.93
	459.38	209.24	459.53	217.77	8.54
	351.64	214.86	351.79	220.93	6.07
	441.48	218.06	441.71	235.97	17.91
	72.94	219.02	72.95	234.97	15.94
	322.34	221.04	321.95	229.99	8.96
	271.75	222.07	271.95	230.00	7.93
	396.60	227.18	396.65	262.95	35.77
	339.12	233.04	338.88	245.97	12.93
	473.70	233.01	473.75	238.05	5.03
	459.54	234.93	459.49	243.98	9.06
	72.76	236.06	73.17	266.00	29.94
	422.77	238.90	423.00	247.18	8.28
	495.52	238.95	496.12	271.94	33.00
	282.57	240.05	282.45	251.02	10.97
	311.12	240.00	311.47	245.96	5.97
	221.74	271.11	222.16	243.01	28.11
	441.72	241.00	442.87	286.01	45.02
	616.83	241.02	618.36	294.99	53.99
	406.99	252.00	407.21	242.02	9.98
	612.61	241.99	613.58	295.00	53.02
	37.51	242.94	36.95	254.11	11.18
	118.26	242.99	118.11	248.02	5.03
	484.49	243.09	485.11	250.01	6.95
	233.39	245.94	234.39	270.01	24.09
	464.03	251.00	465.60	303.91	52.93
	605.46	246.95	606.51	284.04	37.10
	531.19	249.02	531.39	254.02	5.00
	560.85	250.02	561.73	262.02	12.03
	271.87	259.02	272.19	269.00	9.99
	118.25	259.99	117.87	264.99	5.02
	141.84	261.00	142.08	266.00	5.00
	338.63	263.37	339.54	276.88	13.54
	472.82	263.05	473.65	274.98	11.96
	396.68	267.05	398.03	285.00	18.00
	49.25	269.96	48.91	281.03	11.07
	316.52	270.10	316.55	280.04	9.94
	72.95	271.02	72.51	279.12	8.11
	147.70	275.00	147.29	285.00	10.01
	258.72	274.96	258.64	280.08	5.12
	216.37	279.96	216.38	314.97	35.01
	385.08	281.00	385.13	289.02	8.02
	566.04	281.96	568.01	316.00	34.10
	351.90	283.95	351.99	293.97	10.02
	48.35	285.05	47.53	315.90	30.87
	64.84	284.98	63.89	314.97	30.00
	68.23	286.02	68.31	291.18	5.16
	183.87	289.37	184.16	294.98	5.62
	421.90	290.03	422.03	297.00	6.98
	559.92	290.01	560.21	315.02	25.01
	442.99	291.00	443.95	315.98	25.00
	258.32	293.02	258.80	304.08	11.07
	460.91	297.11	460.80	305.86	8.75
	502.01	297.00	502.67	305.01	8.03
	16.86	302.01	16.59	311.14	9.14
	52.80	304.98	52.38	310.03	5.06
	117.61	305.01	117.12	312.96	7.96
128
	107.98	114.45	115.02	115.91	7.19
	108.06	125.79	88.06	120.19	20.77
	121.01	136.95	175.01	147.96	55.11
	134.99	145.18	177.06	154.52	43.09
	135.98	151.05	174.96	158.65	39.71
	136.03	155.42	140.97	156.21	5.00
	179.00	154.97	193.05	158.08	14.39
	329.03	155.33	345.02	158.86	16.38
	347.04	165.85	352.81	167.29	5.95
	284.97	163.12	322.91	171.49	38.85
	332.97	171.46	346.77	174.66	14.16
	433.99	165.87	447.97	169.08	14.35
	297.00	171.00	337.94	179.67	41.85
	153.96	172.58	162.05	174.47	8.30
	293.00	176.25	313.98	180.15	21.33
	109.87	180.30	118.01	181.08	8.18
	169.03	184.61	150.04	181.78	19.21
	185.96	180.75	191.07	181.54	5.17
	439.97	181.71	452.98	184.24	13.25
	284.01	184.46	301.04	187.43	17.29
	332.98	184.56	343.24	186.79	10.50
	265.00	194.05	270.00	194.91	5.07
	75.97	202.19	81.05	202.60	5.09
	120.00	206.97	141.01	207.87	21.03
	153.93	206.62	160.99	207.88	7.18
	163.98	208.05	168.97	208.84	5.06
	433.15	208.55	440.99	210.06	7.98
	76.00	210.21	80.98	210.70	5.01
	169.03	218.34	150.05	216.29	19.09
	120.93	215.37	127.98	215.88	7.07
	430.83	214.56	451.01	217.08	20.34
	75.98	219.57	81.02	220.07	5.06
	274.97	222.56	282.01	223.24	7.07
	120.08	222.88	142.02	224.12	21.98
	154.07	223.80	160.96	224.73	6.95
	185.99	230.17	191.03	230.67	5.06
	164.00	225.00	168.96	225.79	5.02
	409.00	226.96	420.00	228.11	11.06
	444.01	226.92	452.99	227.87	9.03
	310.00	231.06	316.05	231.42	6.06
	385.02	231.06	395.03	232.67	10.13
	76.02	236.16	81.12	236.65	5.12
	409.00	240.25	420.04	240.71	11.05
	120.05	241.00	141.00	242.01	20.97
	153.99	241.03	160.94	241.74	6.98
	426.99	241.12	439.01	243.20	12.19
	285.92	244.49	299.99	245.23	14.09
	409.00	246.57	420.00	247.03	11.01
	554.05	245.74	581.20	248.49	27.29
	356.01	249.11	361.98	249.31	5.97
	44.00	252.42	61.00	253.02	17.00
	223.96	249.59	232.00	249.95	8.05
	598.06	255.80	603.05	256.71	5.07
	120.00	259.00	141.01	259.38	21.02
	153.23	257.62	160.88	258.18	7.67
	265.03	258.20	271.00	258.18	5.97
	568.00	257.99	574.87	258.34	6.88
	3.98	258.53	22.03	259.90	18.09
	284.05	258.66	295.80	258.62	11.75
	244.00	260.98	249.03	261.52	5.06
	598.00	261.01	603.02	261.44	5.04
	251.99	267.02	258.00	267.29	6.02
	274.88	266.36	281.93	266.54	7.05
	597.99	271.95	603.97	272.14	5.99
	436.00	271.78	441.00	272.02	5.00
	204.99	273.59	236.02	274.77	31.06
	262.00	273.53	313.11	277.52	51.26
	120.97	276.31	141.00	276.98	20.04
	434.94	277.31	440.99	277.21	6.05
	544.06	277.30	552.98	277.36	8.92
	50.99	280.80	64.02	280.73	13.02
	168.01	285.43	150.01	285.38	18.00
	185.99	280.48	211.84	282.13	25.90
	219.04	279.54	246.01	280.90	27.00
	274.11	281.40	286.00	281.01	11.90
	410.01	285.22	418.97	285.30	8.96
	498.02	280.37	519.47	280.55	21.46
	259.91	281.60	271.01	281.51	11.09
	568.00	280.99	575.00	280.86	7.00
	490.99	283.83	499.90	284.41	8.93
	569.01	283.20	574.97	283.43	5.96
	109.86	284.25	116.05	284.17	6.20
	237.26	288.37	229.01	288.50	8.25
	568.99	285.91	575.00	285.94	6.01
	219.00	286.91	226.01	286.92	7.00
	539.04	288.56	559.88	288.40	20.84
	569.00	287.97	575.00	287.90	6.00
	187.01	288.87	192.07	289.20	5.07
	238.03	289.15	246.00	289.02	7.97
	258.97	289.53	264.03	289.38	5.07
	569.00	290.12	575.05	290.48	6.06
	22.87	290.74	28.00	290.97	5.14
	120.04	295.22	140.99	294.04	20.99
	157.01	293.11	162.06	293.41	5.06
	568.99	292.68	574.97	292.51	5.98
	4.02	293.66	20.99	294.65	16.99
	538.97	294.64	551.01	294.69	12.03
	596.67	296.61	605.01	295.94	8.37
	619.99	295.89	629.01	295.98	9.02
	26.14	295.35	32.02	295.38	5.87
	523.01	294.76	528.97	294.56	5.96
	531.96	294.84	537.03	294.87	5.06
	74.00	295.96	80.03	295.76	6.03
	228.06	297.21	247.00	296.67	18.95
	409.11	299.29	420.48	299.40	11.37
	431.02	299.61	442.00	300.05	10.99
	361.99	300.03	354.59	300.52	7.42
	581.76	300.71	591.90	300.71	10.14
	613.97	300.19	618.96	299.67	5.02
	487.95	301.40	500.00	301.13	12.06
	598.99	301.28	605.02	300.86	6.05
	379.99	304.06	395.99	302.96	16.04
	614.99	303.96	633.99	303.97	19.00
	186.00	305.38	191.91	305.48	5.91
	540.97	305.65	546.02	305.48	5.05
	486.93	308.26	493.00	308.01	6.07
	307.29	308.15	315.00	308.00	7.72
	580.93	308.58	586.03	308.52	5.10
	160.71	309.50	155.00	310.00	5.73
	17.97	310.13	24.00	309.89	6.04
	219.02	310.45	227.04	310.08	8.03
	379.15	311.37	390.04	310.57	10.93
	118.76	311.39	130.10	311.32	11.35
	540.99	311.98	550.99	311.13	10.04
	228.02	313.21	254.00	313.70	25.99
	72.99	313.30	80.03	313.50	7.04
	184.97	313.53	191.75	313.58	6.78
	634.57	313.25	617.94	313.84	16.64
92
	124.97	124.20	109.02	125.91	16.04
	93.07	139.27	120.02	136.83	27.06
	107.48	148.96	134.01	145.19	26.79
	110.95	152.73	134.91	151.17	24.01
	304.02	157.46	328.00	155.38	24.07
	72.37	156.36	91.00	156.06	18.64
	122.06	156.69	129.91	156.52	7.86
	133.78	162.59	121.95	163.33	11.85
	261.03	164.68	284.00	163.02	23.03
	304.95	163.77	310.98	163.37	6.04
	321.87	165.87	329.01	165.08	7.18
	410.01	167.77	432.99	165.92	23.06
	120.00	171.98	133.97	171.38	13.97
	274.02	173.08	295.99	170.91	22.08
	410.98	173.89	417.92	173.61	6.94
	393.00	176.57	407.00	175.15	14.07
	393.99	178.90	401.03	178.71	7.04
	121.99	180.96	133.96	179.93	12.01
	76.01	185.03	91.02	183.10	15.14
	402.01	183.46	394.00	184.00	8.03
	431.02	185.47	436.01	184.97	5.01
	116.69	187.45	111.05	187.77	5.65
	244.02	187.48	257.93	186.54	13.95
	265.02	188.56	270.00	188.00	5.01
	430.88	188.22	437.97	187.75	7.11
	76.02	193.35	81.02	192.68	5.05
	285.99	193.62	292.01	192.93	6.05
	258.04	195.32	251.00	195.96	7.07
	121.00	199.49	131.02	198.26	10.09
	82.95	200.66	91.04	200.18	8.10
	263.99	201.80	270.01	201.07	6.07
	384.90	204.24	397.04	202.57	12.26
	110.96	205.29	116.00	204.97	5.05
	410.98	205.78	417.80	204.80	6.88
	400.04	206.52	406.75	205.64	6.77
	385.00	210.05	397.01	209.11	12.04
	391.03	215.49	385.00	216.01	6.05
	365.02	220.10	370.96	219.62	5.96
	425.99	219.53	415.00	220.88	11.08
	265.02	222.40	270.01	222.06	5.00
	117.05	232.20	109.98	232.49	7.08
	286.01	230.17	295.97	229.27	10.01
	355.04	230.10	361.03	229.65	6.00
	472.07	231.91	477.94	231.25	5.91
	121.01	234.50	140.00	233.50	19.01
	83.01	236.08	90.99	234.96	8.06
	363.19	243.45	395.03	240.55	31.97
	222.44	242.12	236.01	240.84	13.62
	465.87	243.35	471.00	243.02	5.14
	225.00	246.11	230.09	245.59	5.12
	168.02	251.45	143.13	252.26	24.91
	244.01	246.76	249.03	246.60	5.02
	581.08	250.23	587.94	249.42	6.90
	376.98	253.89	395.03	252.50	18.11
	225.95	254.81	232.05	254.37	6.12
	364.02	255.19	371.05	254.22	7.10
	435.00	255.11	440.00	254.94	5.00
	36.94	261.89	30.05	262.65	6.93
	409.26	260.65	418.04	259.83	8.82
	431.00	261.05	439.97	260.27	9.00
	356.98	261.64	362.00	261.03	5.06
	578.00	262.91	587.97	261.61	10.06
	553.96	263.38	558.99	262.91	5.05
	395.91	264.49	386.08	264.83	9.84
	303.97	267.58	312.95	266.58	9.04
	568.12	269.69	574.96	269.38	6.85
	294.93	272.14	301.03	271.70	6.12
	115.95	274.30	109.93	275.14	6.08
	37.95	275.13	28.00	275.90	9.99
	73.97	278.41	80.91	277.65	6.98
	274.11	281.40	286.00	281.01	11.90
	128.95	285.44	123.00	285.99	5.98
	583.00	285.74	589.01	285.17	6.03
	597.98	285.82	604.04	285.29	6.07
	49.95	286.45	57.02	285.89	7.09
	258.97	289.53	264.03	289.38	5.07
	120.04	295.22	140.99	294.04	20.99
	596.67	296.61	605.01	295.94	8.37
	74.00	295.96	80.03	295.76	6.03
	3.99	298.81	18.01	297.60	14.06
	361.99	300.03	354.59	300.52	7.42
	613.97	300.19	618.96	299.67	5.02
	598.99	301.28	605.02	300.86	6.05
	379.99	304.06	395.99	302.96	16.04
	81.97	305.47	90.10	304.34	8.21
	486.93	308.26	493.00	308.01	6.07
	160.71	309.50	155.00	310.00	5.73
	17.97	310.13	24.00	309.89	6.04
	219.02	310.45	227.04	310.08	8.03
	379.15	311.37	390.04	310.57	10.93
	540.99	311.98	550.99	311.13	10.04
	449.32	315.31	455.81	314.32	6.56
