vx	vy	vz	score	numLines
0.79432466	0.60749347	-0.00015255	1259.30	28
-0.94853886	0.31665972	-0.00080660	1100.16	30
-0.97747684	0.21104224	-0.00043895	649.32	24

nLines	x1	y1	x2	y2	length
28
	48.11	3.86	53.89	8.13	7.18
	313.10	3.87	450.01	102.46	168.72
	235.01	8.42	275.00	38.00	49.74
	55.37	9.89	91.47	37.26	45.31
	4.06	45.42	36.85	71.18	41.70
	289.42	48.59	364.10	103.31	92.58
	242.76	81.34	296.76	120.10	66.46
	455.81	106.82	479.78	124.28	29.66
	372.02	109.16	457.03	171.95	105.69
	297.98	122.54	320.11	138.85	27.49
	483.19	126.71	488.05	130.36	6.08
	535.45	164.21	553.00	176.97	21.70
	328.05	144.78	332.80	148.28	5.91
	333.49	148.60	414.97	210.06	102.07
	556.00	178.00	578.80	194.14	27.93
	466.27	178.60	505.06	206.93	48.03
	579.84	196.78	601.66	213.46	27.46
	514.14	213.85	561.23	248.83	58.66
	430.19	221.75	514.95	284.53	105.49
	339.72	227.39	368.84	249.71	36.69
	378.02	256.97	383.24	260.81	6.49
	385.10	261.90	408.99	280.01	29.97
	409.67	280.95	419.08	287.30	11.35
	435.25	299.71	460.82	319.10	32.09
	389.27	344.59	414.23	363.78	31.48
	429.85	376.16	434.89	380.12	6.41
	350.92	425.11	361.16	432.83	12.82
	214.06	434.90	264.78	476.37	65.51
30
	634.30	11.38	481.03	125.04	190.82
	634.12	30.15	522.37	117.36	141.75
	239.81	72.37	252.04	67.09	13.33
	513.94	121.35	505.80	128.07	10.55
	374.04	107.04	385.96	100.69	13.51
	515.28	133.25	505.70	141.88	12.89
	485.73	158.67	498.94	146.93	17.67
	469.07	173.47	485.01	161.86	19.72
	290.14	174.15	304.01	164.66	16.80
	526.26	198.32	545.80	179.83	26.90
	447.01	194.91	422.00	215.47	32.38
	513.12	211.73	524.11	201.11	15.28
	601.68	214.65	499.93	319.40	146.03
	383.01	251.01	397.01	240.89	17.27
	397.44	237.55	415.92	220.93	24.86
	583.27	229.18	590.97	221.58	10.82
	580.12	230.03	566.56	245.47	20.55
	554.12	258.08	528.26	287.17	38.92
	421.20	299.23	396.99	322.99	33.92
	511.20	301.02	488.74	327.75	34.92
	487.96	332.97	369.94	457.94	171.90
	491.99	327.95	495.62	323.71	5.58
	393.52	326.22	387.02	333.02	9.40
	451.00	366.00	485.01	331.01	48.80
	375.31	344.00	363.90	355.89	16.48
	446.41	369.98	412.93	405.95	49.14
	408.56	410.08	350.99	470.99	83.81
	360.22	467.20	351.27	476.24	12.72
	458.03	469.00	452.18	476.04	9.15
	483.52	470.05	478.35	476.42	8.20
24
	618.98	82.94	515.00	121.00	110.72
	612.16	98.20	619.18	95.48	7.53
	591.85	105.78	601.01	102.07	9.89
	610.96	98.46	604.94	100.57	6.38
	581.11	103.25	590.15	100.36	9.49
	511.14	146.40	633.85	101.69	130.60
	612.45	113.41	634.18	106.25	22.88
	581.00	110.46	574.90	112.80	6.53
	552.61	119.44	558.05	117.17	5.89
	577.96	130.77	597.00	124.00	20.21
	581.18	125.20	603.11	117.37	23.29
	625.26	119.30	632.09	117.19	7.15
	545.66	123.67	552.07	121.58	6.74
	533.11	160.31	634.07	124.18	107.23
	535.10	127.47	541.96	124.94	7.32
	488.90	130.70	503.05	125.62	15.03
	552.18	135.15	573.02	128.21	21.97
	596.00	130.00	601.02	128.05	5.39
	575.13	137.19	590.94	131.28	16.87
	544.01	138.17	523.31	146.19	22.20
	546.19	147.24	560.99	141.94	15.72
	553.92	176.83	634.01	144.02	86.55
	521.99	154.48	545.30	147.42	24.36
	368.92	464.95	362.94	467.95	6.69
