vx	vy	vz	score	numLines
-0.99990959	-0.01344689	-0.00001543	5195.37	234
-0.33843217	0.94099016	-0.00109067	4853.35	254
-0.99827677	0.05867899	-0.00052190	517.62	109

nLines	x1	y1	x2	y2	length
234
	50.66	4.76	61.97	5.24	11.31
	270.93	4.68	281.84	4.28	10.92
	295.12	3.82	306.06	4.33	10.95
	222.43	13.51	217.12	13.39	5.31
	297.93	13.20	307.00	13.01	9.07
	341.99	19.97	348.98	19.90	6.98
	150.75	16.64	158.00	16.91	7.25
	29.95	18.54	34.98	18.64	5.03
	167.03	17.88	174.90	18.47	7.89
	220.00	20.07	228.09	20.42	8.10
	359.18	19.66	367.67	19.56	8.49
	4.00	20.97	60.02	22.77	56.05
	312.99	88.47	356.00	87.98	43.01
	113.01	23.87	163.99	24.05	50.98
	337.99	21.89	349.93	22.37	11.94
	200.99	24.08	252.92	23.43	51.93
	79.89	26.59	85.64	26.60	5.75
	323.22	27.31	372.04	26.85	48.82
	294.02	28.56	299.02	28.61	5.01
	13.99	31.93	21.00	31.81	7.01
	223.00	32.17	230.00	32.08	6.99
	118.00	33.08	126.00	33.05	8.00
	135.01	33.13	143.98	33.35	8.97
	342.12	81.85	371.03	83.14	28.94
	223.00	35.03	230.02	34.83	7.03
	240.00	35.04	247.00	35.05	7.00
	343.98	34.90	351.98	34.78	7.99
	119.01	40.61	125.03	40.27	6.03
	344.03	41.09	351.02	41.33	6.99
	223.00	41.99	229.99	42.38	7.00
	238.83	42.62	246.01	42.36	7.19
	145.97	48.27	157.04	48.83	11.08
	362.01	52.06	370.03	52.33	8.03
	69.93	53.90	84.09	53.15	14.18
	51.10	56.06	63.99	56.28	12.89
	329.00	55.28	335.99	55.07	6.99
	329.01	59.03	335.01	59.21	6.00
	28.97	73.39	42.09	72.75	13.13
	105.01	78.68	137.01	78.27	32.00
	193.91	78.63	202.00	79.15	8.11
	214.86	79.41	225.03	78.83	10.18
	323.97	80.58	338.96	80.68	14.99
	164.98	82.59	178.00	82.05	13.03
	8.99	81.98	14.10	82.25	5.12
	44.06	84.72	51.95	84.37	7.90
	4.00	85.03	32.94	86.87	29.01
	52.95	86.42	78.02	85.09	25.11
	88.95	86.13	146.89	87.61	57.96
	207.00	86.61	250.04	87.60	43.05
	153.93	98.82	162.97	99.26	9.05
	4.01	104.70	282.97	107.87	278.98
	289.02	107.36	371.98	108.44	82.97
	4.01	110.63	282.00	114.03	278.01
	289.01	113.44	373.00	114.85	84.00
	29.96	116.25	99.00	116.25	69.05
	109.02	116.39	150.03	116.93	41.02
	154.00	116.03	188.00	117.63	34.05
	190.96	117.50	276.03	117.35	85.07
	289.03	118.90	371.01	119.84	81.99
	217.03	120.43	229.00	120.99	11.98
	257.23	123.57	264.00	123.69	6.77
	106.02	128.44	114.00	128.01	7.99
	52.99	132.24	61.11	131.80	8.13
	156.99	135.16	166.31	135.41	9.32
	194.02	136.85	225.00	137.95	31.00
	259.34	136.52	266.61	136.78	7.28
	64.99	141.97	125.89	142.42	60.90
	184.00	141.27	261.99	143.71	78.03
	312.02	142.02	373.01	143.85	61.02
	32.97	144.79	38.98	144.51	6.02
	52.98	144.88	60.03	145.14	7.06
	14.94	154.16	29.03	153.56	14.10
	89.97	154.25	99.98	154.32	10.00
	227.00	154.14	241.91	154.57	14.91
	324.03	155.35	340.00	155.34	15.97
	346.12	156.14	361.01	155.88	14.90
	127.03	179.96	87.99	179.96	39.04
	352.00	165.08	358.83	165.27	6.83
	19.98	166.31	25.88	166.52	5.90
	208.03	166.39	217.99	166.47	9.97
	60.89	172.71	70.02	173.04	9.14
	180.22	170.43	189.94	171.18	9.75
	209.06	175.85	197.19	175.67	11.87
	221.01	173.91	226.03	174.06	5.02
	19.95	185.35	25.11	185.07	5.17
	84.99	179.51	68.98	180.08	16.02
	137.06	179.34	142.98	179.19	5.93
	194.03	179.43	241.03	179.34	47.00
	38.99	179.78	65.99	181.77	27.07
	317.08	180.49	371.97	182.73	54.94
	314.81	181.20	295.02	182.02	19.81
	87.00	189.97	78.23	189.36	8.78
	125.04	194.71	118.20	194.50	6.84
	354.98	193.95	360.00	194.00	5.02
	301.70	201.39	309.89	201.86	8.20
	3.99	201.63	12.33	202.25	8.36
	289.03	204.34	298.01	204.00	8.98
	302.99	205.49	312.03	205.49	9.04
	19.01	205.96	32.19	206.70	13.20
	287.98	209.72	297.00	209.44	9.03
	173.41	212.59	185.98	212.15	12.58
	257.94	212.19	267.05	212.76	9.14
	288.00	213.35	296.05	213.79	8.06
	44.00	215.66	50.08	215.32	6.09
	36.79	219.40	46.99	218.83	10.22
	80.61	219.44	88.69	219.27	8.09
	216.05	219.67	224.96	220.29	8.93
	37.00	223.64	43.48	223.55	6.48
	358.08	224.25	368.93	224.84	10.87
	18.94	231.91	8.43	231.31	10.52
	131.77	228.43	125.06	228.78	6.72
	80.85	230.58	117.05	230.69	36.20
	190.03	229.49	211.99	229.95	21.96
	137.06	230.25	148.01	230.90	10.97
	257.71	231.30	265.85	231.13	8.14
	155.99	231.82	161.95	232.18	5.97
	217.90	231.90	237.95	231.19	20.07
	354.98	231.75	370.98	232.65	16.03
	43.18	236.08	122.84	236.54	79.66
	175.01	237.16	181.98	237.61	6.98
	183.99	237.09	254.00	237.24	70.02
	315.98	237.51	371.97	238.52	56.00
	131.08	243.84	141.06	243.25	10.00
	237.93	244.69	245.03	244.70	7.10
	177.00	245.00	187.00	245.03	10.00
	142.14	249.15	161.06	248.28	18.94
	177.01	248.27	187.98	248.14	10.97
	240.10	247.73	250.69	247.69	10.59
	331.02	248.61	342.96	248.75	11.94
	159.06	253.14	168.04	253.23	8.98
	286.91	258.43	299.10	259.26	12.23
	241.96	258.55	248.03	258.67	6.07
	129.10	261.08	134.98	261.14	5.88
	24.01	264.72	33.01	264.86	9.00
	257.02	265.44	270.03	265.34	13.00
	174.99	267.11	185.00	267.01	10.01
	102.96	274.09	113.03	274.31	10.07
	236.00	273.95	247.95	274.78	11.98
	173.08	274.74	185.06	275.35	12.00
	98.98	277.92	113.03	278.35	14.06
	171.04	279.29	185.91	279.26	14.87
	177.99	285.84	183.01	286.03	5.02
	104.01	286.91	109.94	286.63	5.94
	6.12	291.74	11.15	291.90	5.04
	238.02	294.80	245.99	295.10	7.97
	294.08	294.75	300.01	294.98	5.94
	15.09	299.09	23.91	298.67	8.82
	317.04	297.10	323.01	297.04	5.97
	313.00	300.05	322.99	300.11	9.99
	331.05	301.30	344.87	300.77	13.82
	143.00	304.48	148.97	304.86	5.99
	238.05	307.68	246.01	307.51	7.96
	234.95	310.36	246.00	310.66	11.05
	29.93	311.18	41.99	311.92	12.09
	169.01	313.85	181.09	313.56	12.09
	91.01	316.34	100.99	316.66	9.99
	58.42	316.59	73.98	317.14	15.57
	77.00	317.24	89.16	316.86	12.17
	165.97	319.04	183.68	319.54	17.72
	203.03	317.62	212.65	318.07	9.64
	292.83	317.25	299.92	317.65	7.09
	347.04	319.39	336.01	319.11	11.04
	231.01	317.90	236.07	317.84	5.06
	47.94	319.75	89.85	321.14	41.94
	190.00	320.88	222.99	321.15	32.99
	243.01	319.69	249.01	319.61	6.01
	324.94	320.67	370.05	321.84	45.12
	90.65	323.08	98.03	323.14	7.39
	154.48	327.49	164.99	328.01	10.52
	348.03	326.73	371.99	328.06	24.00
	123.08	326.91	132.18	326.65	9.11
	321.98	326.97	329.01	326.83	7.03
	110.88	332.64	115.98	332.73	5.10
	100.71	330.18	29.03	331.92	71.70
	169.80	332.69	239.87	332.45	70.07
	137.09	335.04	142.70	335.43	5.62
	316.00	334.02	373.00	334.04	57.00
	372.00	354.00	192.99	354.45	179.01
	86.58	344.99	98.84	345.78	12.28
	305.04	347.85	323.01	346.97	17.99
	23.92	348.15	29.07	348.26	5.15
	3.98	351.65	190.00	354.04	186.03
	8.02	354.43	49.98	355.68	41.98
	54.00	355.54	90.00	355.50	36.00
	160.03	355.44	99.96	355.69	60.07
	160.97	356.82	183.00	357.00	22.03
	187.00	357.60	201.01	356.75	14.03
	216.02	357.26	276.04	357.38	60.02
	287.07	357.69	310.05	357.32	22.98
	344.01	357.07	354.99	357.61	10.99
	312.95	357.65	323.04	357.79	10.09
	325.53	358.44	342.06	357.84	16.54
	358.00	357.83	373.03	357.78	15.03
	3.99	360.84	277.09	363.16	273.11
	3.99	368.37	274.07	369.04	270.08
	284.02	370.86	373.00	370.87	88.97
	26.00	372.71	111.00	375.63	85.05
	121.97	373.44	253.99	375.67	132.04
	109.01	374.31	120.94	374.80	11.94
	300.84	376.61	372.02	376.54	71.17
	42.90	383.32	49.10	383.73	6.21
	52.91	383.74	77.96	385.25	25.10
	79.95	382.15	95.02	383.10	15.10
	225.98	383.89	238.01	383.21	12.05
	222.01	386.56	181.05	385.84	40.97
	336.32	385.63	364.01	386.01	27.69
	5.00	395.03	98.62	398.84	93.69
	352.97	395.44	373.04	395.18	20.07
	163.06	397.66	248.04	398.80	84.99
	329.00	398.03	340.01	397.37	11.03
	345.99	397.38	351.01	397.29	5.02
	364.02	397.48	369.95	397.28	5.93
	6.99	398.02	23.00	399.07	16.04
	157.17	400.49	173.01	401.23	15.86
	252.82	403.00	257.83	403.01	5.01
	336.00	406.00	345.02	406.11	9.02
	355.98	405.88	368.88	405.82	12.90
	82.02	407.16	92.00	406.91	9.97
	6.00	409.98	13.92	410.46	7.93
	237.08	411.30	243.32	411.41	6.25
	157.05	424.15	169.02	423.82	11.97
	3.93	425.59	14.02	426.13	10.10
	358.99	431.03	369.90	430.81	10.91
	349.01	439.80	361.04	439.36	12.04
	4.02	441.11	12.07	441.08	8.05
	157.22	445.82	167.04	446.29	9.83
	42.90	451.58	60.98	451.69	18.08
	4.00	452.57	10.05	452.92	6.06
