vx	vy	vz	score	numLines
-0.27609938	0.96112869	-0.00088339	5300.45	434
-0.99900732	0.04454636	0.00002381	2537.43	210
-0.96096041	0.27666789	-0.00315796	755.90	175

nLines	x1	y1	x2	y2	length
434
	41.69	4.09	39.84	9.91	6.10
	141.93	3.99	138.25	20.07	16.50
	286.84	4.03	286.86	10.99	6.95
	313.08	4.00	313.15	10.05	6.06
	317.22	4.01	317.25	9.02	5.01
	623.79	4.10	626.46	14.07	10.32
	260.15	5.98	260.11	12.01	6.03
	416.19	8.13	416.49	16.03	7.90
	428.04	7.99	428.86	15.00	7.06
	455.17	7.98	456.45	15.00	7.13
	547.96	8.00	549.86	15.04	7.29
	71.82	10.03	70.78	15.01	5.08
	437.59	10.37	438.49	15.46	5.17
	97.34	13.09	96.53	18.18	5.16
	114.40	12.95	112.32	22.96	10.22
	262.03	15.01	261.15	22.97	8.01
	149.74	18.05	148.52	30.06	12.07
	171.12	24.03	170.16	29.99	6.04
	481.75	24.13	483.03	37.31	13.25
	559.85	28.02	560.78	33.12	5.19
	167.65	57.94	170.23	38.32	19.79
	246.93	34.01	246.99	41.00	6.99
	314.57	37.05	314.33	44.98	7.94
	545.31	39.03	548.34	52.02	13.34
	466.30	39.06	470.18	66.98	28.19
	358.26	38.96	358.55	44.00	5.05
	612.66	40.94	615.79	53.12	12.57
	242.58	40.02	242.05	46.97	6.98
	579.10	39.92	582.69	54.14	14.66
	500.89	41.09	503.54	55.00	14.17
	533.95	41.04	536.60	55.09	14.30
	404.19	41.91	404.62	52.99	11.09
	455.30	41.61	457.13	54.95	13.46
	374.96	43.97	375.07	62.99	19.01
	491.67	44.97	492.91	51.00	6.16
	6.17	47.09	3.59	54.86	8.19
	313.35	46.96	313.63	58.83	11.87
	172.07	81.00	175.52	52.97	28.24
	296.38	49.09	295.61	61.94	12.88
	186.38	55.92	184.93	64.99	9.19
	219.25	52.12	217.61	65.93	13.91
	410.27	52.07	411.23	61.05	9.04
	548.17	53.90	550.77	66.06	12.43
	627.05	53.98	629.95	65.01	11.41
	98.67	71.00	101.13	59.04	12.21
	143.41	57.35	141.10	70.07	12.93
	16.81	60.98	15.00	68.00	7.25
	147.11	61.01	146.52	66.03	5.05
	330.70	60.93	330.15	72.00	11.09
	70.06	62.06	67.44	79.06	17.20
	107.02	63.00	105.91	68.99	6.09
	154.22	63.12	151.67	97.00	33.97
	477.42	64.03	478.90	71.83	7.94
	29.61	64.84	26.29	75.93	11.58
	40.29	64.87	36.50	78.35	14.01
	73.98	66.00	72.52	72.06	6.24
	44.35	69.07	42.91	73.94	5.07
	84.12	68.75	81.65	77.90	9.47
	571.45	69.98	574.23	81.95	12.29
	471.29	109.03	475.09	140.00	31.20
	313.76	74.02	313.71	79.12	5.11
	303.16	90.22	303.30	97.88	7.66
	445.66	79.48	446.17	85.11	5.65
	314.74	81.91	314.97	88.99	7.08
	175.20	107.05	169.13	148.02	41.41
	28.14	87.01	26.52	92.77	5.98
	556.65	122.88	551.67	93.07	30.22
	94.40	127.05	98.74	109.10	18.47
	626.28	101.08	628.92	109.03	8.38
	446.77	111.02	445.98	104.00	7.06
	463.95	102.04	465.31	109.93	8.01
	471.68	94.01	472.39	98.97	5.01
	25.21	131.08	26.93	123.97	7.32
	505.73	104.01	513.70	148.02	44.72
	479.44	98.13	480.85	106.04	8.04
	529.12	108.98	528.05	103.00	6.07
	603.69	100.31	605.89	108.03	8.02
	219.12	100.12	218.96	106.00	5.89
	405.26	99.97	407.53	132.71	32.83
	522.92	101.08	524.68	109.07	8.18
	415.48	100.86	416.73	113.01	12.22
	424.97	115.02	423.76	105.02	10.07
	609.10	101.99	610.84	108.03	6.29
	200.24	120.03	200.76	113.90	6.16
	476.21	104.08	477.50	111.04	7.07
	248.69	115.99	245.99	141.99	26.14
	298.78	108.04	299.45	138.99	30.96
	566.63	105.85	569.20	118.93	13.33
	276.73	108.94	276.77	117.01	8.07
	254.91	149.99	257.15	114.01	36.05
	399.58	112.00	401.00	134.00	22.05
	314.91	113.01	315.22	136.94	23.93
	92.12	110.02	91.09	118.04	8.09
	73.32	124.89	68.73	148.07	23.63
	494.30	109.97	496.98	129.00	19.22
	606.99	111.05	615.26	145.90	35.82
	140.72	111.04	134.35	145.99	35.53
	254.44	112.08	251.62	144.96	33.00
	411.76	112.27	413.69	129.89	17.73
	630.82	112.23	634.50	130.88	19.01
	525.72	113.00	531.58	146.01	33.53
	530.17	112.85	535.65	145.93	33.53
	550.25	113.17	555.35	146.11	33.33
	611.98	113.00	619.12	143.92	31.73
	234.14	139.99	235.64	117.04	23.00
	445.16	113.95	449.72	148.03	34.39
	502.94	113.64	503.95	120.01	6.44
	122.19	125.07	122.84	117.88	7.22
	152.40	123.96	150.43	143.94	20.07
	425.39	116.00	428.25	150.94	35.06
	563.07	116.00	566.28	131.08	15.41
	361.08	117.01	361.55	148.01	31.00
	118.04	118.00	116.90	124.93	7.02
	498.72	118.26	499.95	126.02	7.85
	340.34	119.34	340.71	147.96	28.62
	46.50	127.95	47.81	122.80	5.32
	278.48	119.97	276.11	153.02	33.14
	302.49	120.41	301.94	140.00	19.60
	382.00	119.71	385.07	151.01	31.45
	390.64	119.91	391.74	145.16	25.28
	577.10	119.99	579.30	127.97	8.28
	380.01	122.00	381.12	149.96	27.98
	176.64	129.01	171.87	160.01	31.36
	218.40	122.99	213.86	158.02	35.32
	194.32	124.47	192.28	155.10	30.70
	199.95	124.47	195.48	156.94	32.77
	227.81	124.01	226.11	140.02	16.10
	114.60	161.10	119.84	130.98	30.57
	80.80	126.09	79.71	134.99	8.96
	336.80	125.99	337.00	151.02	25.02
	98.56	133.00	93.49	162.99	30.41
	94.45	130.10	87.98	163.00	33.53
	115.81	130.10	111.07	160.04	30.32
	581.75	132.16	583.15	141.00	8.95
	22.89	135.08	17.02	167.01	32.46
	40.70	134.92	34.50	163.02	28.78
	55.47	148.96	57.96	134.92	14.26
	6.95	137.98	3.72	151.95	14.34
	549.81	138.94	550.92	146.02	7.17
	597.11	139.95	599.19	148.00	8.31
	18.76	140.89	12.97	161.01	20.93
	152.75	147.55	151.76	152.91	5.45
	578.08	152.98	579.74	161.09	8.28
	99.54	153.92	98.37	160.94	7.12
	573.57	178.99	570.64	162.96	16.29
	497.76	157.00	498.55	162.03	5.09
	524.26	179.86	522.55	169.00	10.99
	393.66	166.97	394.75	181.99	15.05
	141.33	161.02	140.54	170.57	9.59
	331.23	163.00	331.65	183.00	20.01
	307.92	161.95	307.79	176.95	15.00
	471.80	167.96	473.06	180.98	13.08
	512.39	180.08	510.20	168.99	11.30
	518.02	166.99	519.91	179.99	13.13
	559.28	168.02	561.88	180.10	12.36
	609.00	167.00	611.99	179.00	12.37
	434.32	168.95	435.22	181.94	13.02
	244.92	164.98	243.03	189.03	24.12
	430.11	168.96	430.98	181.00	12.07
	221.57	165.99	220.96	176.96	10.99
	63.17	167.11	59.88	180.96	14.24
	71.05	168.03	69.58	179.02	11.09
	581.93	172.04	583.41	178.05	6.19
	420.80	168.97	422.78	182.07	13.24
	218.96	175.02	216.98	188.98	14.11
	258.27	175.98	258.41	187.11	11.13
	531.87	169.91	533.01	174.99	5.21
	206.32	176.97	205.33	189.06	12.13
	255.68	174.95	254.91	186.98	12.06
	362.92	171.01	363.47	180.04	9.04
	170.97	178.00	169.25	190.06	12.18
	209.84	176.97	209.49	188.89	11.92
	344.33	171.88	343.99	184.00	12.13
	122.44	179.99	120.48	191.94	12.11
	292.75	173.97	292.42	186.10	12.13
	305.35	173.93	305.25	185.03	11.10
	10.17	179.91	6.58	198.06	18.51
	90.92	183.98	89.87	194.00	10.07
	43.30	183.01	40.48	195.59	12.89
	632.30	177.56	633.91	183.11	5.78
	312.21	179.01	312.29	187.03	8.02
	48.56	180.01	44.19	196.03	16.60
	224.27	180.87	223.67	188.00	7.15
	505.82	196.02	508.46	226.06	30.16
	408.67	188.07	408.98	219.00	30.93
	516.29	188.01	517.20	195.95	8.00
	576.76	188.03	584.33	217.09	30.03
	424.54	188.96	426.78	207.25	18.42
	486.26	188.79	490.86	217.03	28.62
