vx	vy	vz	score	numLines
0.91616897	0.40078932	0.00152750	1320.89	130
0.94356493	-0.33118607	-0.00100044	623.51	131
-0.69186366	-0.72202543	-0.00198772	557.98	136

nLines	x1	y1	x2	y2	length
130
	487.72	4.29	490.45	11.03	7.27
	461.07	7.99	463.40	12.65	5.21
	170.08	21.27	181.21	27.62	12.81
	86.88	23.01	92.98	25.52	6.59
	39.09	28.35	46.15	31.27	7.64
	312.00	31.89	318.21	36.81	7.92
	234.06	32.90	252.87	45.29	22.52
	517.96	33.04	520.33	41.06	8.36
	285.99	36.01	292.67	40.19	7.88
	208.04	43.89	215.29	48.57	8.63
	292.20	46.75	296.51	49.45	5.09
	314.93	51.01	320.38	54.69	6.57
	486.90	53.13	490.50	60.01	7.76
	541.24	54.98	545.00	66.00	11.64
	10.98	60.36	17.97	63.11	7.51
	197.55	66.37	203.38	68.98	6.38
	467.92	68.02	471.57	73.81	6.85
	403.93	76.87	399.51	72.90	5.94
	287.02	79.10	291.85	82.23	5.76
	97.33	82.90	107.10	85.85	10.21
	524.10	92.01	526.00	97.00	5.34
	87.74	93.47	93.01	95.10	5.52
	349.95	96.47	355.64	99.71	6.55
	134.02	96.79	143.73	100.72	10.49
	499.47	101.90	502.89	107.12	6.24
	55.01	120.71	60.00	122.00	5.16
	159.00	125.94	164.45	127.37	5.63
	268.03	133.91	277.59	137.64	10.26
	140.00	143.02	150.24	145.75	10.59
	318.13	143.91	322.97	145.82	5.21
	282.35	149.06	291.07	152.79	9.49
	245.12	151.33	253.84	154.15	9.16
	226.15	151.79	231.07	153.14	5.10
	26.74	154.18	32.89	155.11	6.23
	292.92	154.36	297.94	156.09	5.31
	144.95	156.13	149.99	157.07	5.13
	253.06	155.79	260.10	158.22	7.45
	213.89	166.14	218.97	167.63	5.30
	260.01	178.89	266.06	180.08	6.16
	140.25	185.38	130.78	183.99	9.57
	71.15	199.75	78.01	200.58	6.90
	277.93	200.24	283.01	200.98	5.13
	210.95	201.84	219.88	202.78	8.98
	148.01	214.96	155.16	216.21	7.26
	373.98	227.06	378.99	227.92	5.08
	221.95	244.48	232.09	245.60	10.20
	19.40	246.56	25.16	246.45	5.76
	317.97	251.95	327.34	252.39	9.38
	220.02	256.85	226.01	256.92	5.99
	372.44	260.28	379.22	260.65	6.79
	140.46	271.41	155.02	270.76	14.57
	184.98	270.10	192.22	270.20	7.25
	148.29	278.10	139.23	278.43	9.07
	5.91	284.53	11.92	284.54	6.01
	63.11	290.72	70.04	290.10	6.96
	380.88	297.53	388.97	295.87	8.26
	41.88	299.10	52.06	299.11	10.18
	383.78	299.47	390.09	298.83	6.34
	31.78	306.35	37.47	306.25	5.70
	339.31	311.45	333.12	312.23	6.25
	407.70	314.42	419.96	310.88	12.76
	289.05	318.30	305.90	315.47	17.08
	314.92	318.73	320.97	317.68	6.14
	380.92	319.64	393.53	316.52	12.99
	271.87	318.78	277.96	317.78	6.17
	356.11	321.53	362.99	319.96	7.05
	367.94	326.95	354.99	330.05	13.32
	412.99	324.85	417.95	322.84	5.36
	284.06	324.35	275.15	325.71	9.01
	275.92	333.68	303.78	325.61	29.00
	301.91	337.25	321.06	333.44	19.52
	223.97	333.73	233.97	332.12	10.13
	349.89	332.28	336.99	335.83	13.37
	415.04	334.28	403.93	338.83	12.00
	227.00	347.00	271.99	335.94	46.33
	151.62	338.83	144.65	339.69	7.02
	194.63	339.84	200.02	339.17	5.43
	231.93	341.31	237.00	340.09	5.21
	393.02	346.18	401.10	343.16	8.63
	134.88	352.25	142.00	351.00	7.23
	183.98	345.92	189.70	344.54	5.88
	268.11	350.88	283.03	345.89	15.73
	575.34	347.00	573.57	352.81	6.07
	483.88	347.82	459.93	365.40	29.71
	273.98	357.48	287.01	352.86	13.83
	80.02	357.25	88.00	355.99	8.08
	163.61	361.56	189.14	356.08	26.11
	133.04	367.15	162.03	360.45	29.76
	459.15	366.72	444.98	376.46	17.20
	104.99	372.84	130.95	367.83	26.44
	83.05	372.51	90.07	370.53	7.29
	83.97	375.41	78.01	376.46	6.05
	287.28	377.26	292.99	374.78	6.22
	34.99	377.92	42.04	376.59	7.18
	172.53	381.58	185.06	378.41	12.93
	423.99	392.49	444.00	377.51	24.99
	56.09	382.69	68.00	380.09	12.19
	303.89	383.88	310.02	381.59	6.55
	227.09	461.17	370.85	382.63	163.81
	305.18	387.14	311.09	384.69	6.40
	353.33	389.64	344.17	394.32	10.28
	386.03	393.01	379.95	396.75	7.14
	4.00	395.04	11.89	393.63	8.02
	314.02	471.01	423.06	393.58	133.73
	219.94	459.89	343.33	395.64	139.12
	420.97	398.96	424.89	395.81	5.03
	256.20	401.24	262.01	399.09	6.20
	268.17	404.28	263.01	406.11	5.48
	42.02	410.91	48.98	409.06	7.20
	185.24	409.21	179.32	411.46	6.33
	173.00	418.78	179.05	416.60	6.44
	3.98	432.56	17.00	429.01	13.50
	361.34	430.51	355.33	434.48	7.20
	50.00	435.05	57.00	432.98	7.29
	353.05	438.07	314.01	464.53	47.16
	155.70	441.46	162.00	439.00	6.76
	416.91	442.82	412.96	446.21	5.21
	335.26	447.40	325.20	454.29	12.19
	216.85	454.82	222.98	451.61	6.93
	517.52	451.73	515.57	457.06	5.68
	147.72	456.67	153.97	454.07	6.77
	127.98	458.70	136.97	455.36	9.60
	156.42	457.29	163.00	454.74	7.06
	323.37	455.48	316.17	460.24	8.63
	222.03	456.08	187.05	474.09	39.34
	296.10	474.15	315.41	461.51	23.08
	104.05	466.67	113.09	463.36	9.63
	17.88	469.54	26.19	466.71	8.78
	155.16	474.28	164.91	469.80	10.74
	73.46	471.36	67.17	474.36	6.96
131
	152.08	35.12	141.97	37.84	10.47
	189.99	30.68	199.01	27.99	9.42
	35.97	35.97	41.99	34.34	6.23
	282.85	40.87	287.95	39.92	5.19
	75.93	38.84	82.06	37.27	6.32
	130.20	39.31	137.06	37.46	7.11
	135.03	45.61	144.01	42.97	9.36
	530.10	47.12	536.07	46.24	6.04
	80.17	51.81	86.97	49.97	7.04
	114.94	72.13	109.99	73.49	5.14
	62.94	77.47	68.77	75.76	6.07
	176.98	75.43	181.86	74.24	5.02
	106.00	79.41	112.01	78.39	6.09
	155.00	81.00	159.89	79.92	5.00
	103.06	82.25	109.06	80.70	6.20
	49.73	97.83	58.00	95.71	8.54
	377.92	99.60	382.94	98.56	5.12
	573.39	101.93	567.34	102.67	6.09
	488.98	110.86	493.93	109.85	5.06
	504.00	112.16	510.00	111.20	6.07
	150.99	123.92	155.97	123.04	5.06
	51.98	126.79	58.97	125.19	7.17
	519.01	134.19	514.02	135.19	5.09
	369.02	135.81	376.97	135.10	7.99
	134.00	139.23	143.81	137.50	9.96
	244.93	159.73	250.02	158.73	5.19
	307.03	165.07	312.07	164.70	5.05
	416.48	181.03	409.75	182.17	6.83
	104.87	178.46	115.51	177.51	10.68
	81.95	181.60	88.13	180.90	6.22
	258.97	180.91	253.89	181.71	5.15
	114.45	192.38	104.04	193.37	10.46
	346.99	192.80	352.99	191.85	6.07
	81.52	198.48	88.99	197.71	7.51
	235.14	197.75	240.14	197.51	5.01
	171.46	211.46	164.00	211.99	7.48
	220.41	215.77	230.93	214.85	10.56
	350.01	213.99	356.90	213.58	6.90
	356.99	216.65	365.97	215.37	9.07
	99.83	217.14	106.04	216.67	6.23
	208.01	226.01	214.09	225.27	6.12
	179.83	227.09	184.94	226.82	5.11
	198.07	240.48	204.00	240.07	5.94
	413.03	245.04	419.11	244.84	6.09
	19.40	246.56	25.16	246.45	5.76
	279.02	257.04	288.92	256.24	9.93
	140.46	271.41	155.02	270.76	14.57
	184.98	270.10	192.22	270.20	7.25
	148.29	278.10	139.23	278.43	9.07
	5.91	284.53	11.92	284.54	6.01
	400.10	289.86	411.17	290.13	11.08
	63.11	290.72	70.04	290.10	6.96
	41.88	299.10	52.06	299.11	10.18
	342.99	305.02	352.96	305.33	9.98
	31.78	306.35	37.47	306.25	5.70
	405.04	314.10	389.95	313.85	15.10
	63.86	310.39	73.89	310.19	10.03
	308.10	310.81	322.92	309.76	14.85
	409.00	317.20	414.00	317.00	5.01
	231.08	320.49	241.92	319.98	10.86
	294.09	323.29	311.86	322.61	17.78
	375.98	328.04	384.07	327.58	8.10
	212.96	347.67	226.05	347.11	13.10
	63.95	338.96	68.99	338.94	5.04
	179.86	342.21	193.95	343.01	14.12
	302.00	346.98	308.81	346.60	6.83
	173.00	347.65	179.98	347.96	6.98
	559.74	348.66	566.02	348.87	6.28
	100.05	350.11	105.95	350.13	5.90
	410.96	349.82	418.01	349.97	7.05
	613.00	350.06	619.98	350.35	6.98
	621.02	349.97	633.98	350.20	12.97
	159.00	352.77	165.95	353.12	6.96
	248.92	357.01	257.89	357.72	9.00
	231.05	358.10	238.09	358.16	7.04
	265.13	357.51	270.90	357.66	5.77
	51.00	360.00	74.83	360.59	23.84
	615.63	360.27	623.01	359.94	7.39
	591.17	361.55	597.00	362.02	5.85
	409.02	367.18	414.94	367.13	5.92
	193.90	370.31	200.22	370.56	6.33
	427.89	369.66	435.03	370.28	7.17
	460.00	371.07	481.97	370.17	21.99
	608.00	371.01	613.47	371.40	5.48
	10.96	372.34	18.05	372.75	7.10
	518.65	373.69	527.00	373.99	8.36
	186.00	380.55	194.03	380.74	8.04
	444.14	382.61	463.06	383.31	18.93
	324.10	382.64	329.99	382.76	5.90
	5.83	383.26	25.21	384.39	19.42
	375.94	389.03	383.10	389.22	7.17
	278.16	392.41	284.00	393.00	5.87
	145.01	393.30	153.00	393.30	7.98
	455.93	394.01	460.97	394.02	5.04
	426.76	394.55	453.50	397.47	26.90
	361.99	401.92	350.93	401.16	11.09
	220.02	397.95	225.98	398.03	5.97
	87.98	398.43	100.00	398.86	12.03
	504.08	402.00	512.00	402.06	7.93
	513.30	403.60	518.85	403.74	5.56
	412.93	404.08	419.00	404.02	6.07
	407.02	408.91	421.08	410.40	14.13
	39.01	416.13	49.01	416.51	10.01
	319.13	419.22	326.35	419.75	7.23
	228.01	420.19	233.77	420.35	5.76
	4.04	423.32	14.00	423.99	9.98
	307.38	422.58	313.04	422.68	5.65
	327.14	422.64	353.96	424.61	26.89
	392.01	424.45	401.01	425.43	9.06
	377.04	429.05	389.86	430.40	12.90
	243.95	431.88	249.96	432.48	6.04
	201.83	439.19	211.81	439.67	9.98
	230.16	439.49	243.97	440.64	13.86
	289.05	438.51	304.00	440.06	15.03
	492.14	444.06	499.67	444.44	7.54
	450.07	450.17	456.21	450.56	6.15
	368.03	450.25	379.02	450.69	11.00
	620.10	452.76	628.99	453.08	8.89
	448.95	456.16	456.99	457.32	8.12
	457.92	459.16	463.99	459.68	6.08
	186.17	460.43	193.02	461.05	6.88
	22.07	462.38	28.00	463.01	5.96
	585.06	463.65	590.23	464.39	5.22
	238.00	464.57	251.96	466.24	14.06
	336.47	466.37	343.01	466.95	6.57
	281.00	467.97	292.92	469.85	12.06
	142.85	468.26	147.97	468.83	5.15
	348.02	469.75	356.98	470.18	8.98
	576.14	468.03	581.29	468.45	5.17
	240.00	471.38	248.86	472.57	8.94
	259.96	473.54	268.97	474.30	9.04
136
	306.36	3.94	306.69	10.98	7.05
	443.43	5.96	442.08	12.90	7.07
	331.92	8.00	332.13	13.99	6.00
	483.65	18.06	480.67	24.92	7.48
	521.22	24.97	524.04	19.05	6.56
	447.53	23.08	445.82	29.82	6.95
	363.28	27.90	363.31	33.98	6.08
	424.98	36.00	423.71	41.13	5.29
	368.57	46.26	369.69	36.76	9.58
	431.58	37.13	430.15	43.20	6.23
	57.04	38.85	61.43	43.95	6.73
	106.01	42.00	117.67	58.15	19.92
	288.30	45.90	289.43	52.53	6.72
	177.14	42.93	179.95	49.03	6.72
	149.79	48.99	152.84	53.48	5.43
	30.12	49.96	34.23	54.56	6.17
	268.99	50.65	271.28	57.62	7.34
	538.90	50.80	536.05	55.00	5.08
	371.01	52.00	370.47	57.85	5.88
	49.00	53.74	52.80	57.27	5.18
	332.95	54.01	332.94	61.03	7.02
	336.80	56.62	337.07	62.05	5.44
	397.93	65.95	396.90	75.98	10.09
	418.19	67.80	416.90	72.96	5.32
	322.07	70.04	322.69	78.01	8.00
	15.86	72.83	20.34	76.65	5.89
	299.00	74.99	300.03	80.01	5.13
	325.74	82.06	327.49	108.96	26.96
	584.00	85.00	578.46	92.10	9.00
	594.91	88.96	590.86	93.66	6.20
	343.46	95.75	343.70	106.16	10.40
	108.08	95.31	112.02	99.97	6.10
	447.71	96.03	445.68	101.96	6.27
	469.11	99.06	462.76	115.34	17.48
	509.96	99.26	507.38	103.89	5.31
	417.40	100.08	414.96	108.01	8.30
	172.77	105.14	176.02	110.14	5.97
	432.04	107.98	428.24	119.02	11.67
	446.54	110.15	442.92	117.99	8.63
	125.99	114.01	129.23	118.09	5.22
	393.45	113.69	392.12	121.09	7.52
	50.86	115.10	56.24	119.13	6.72
	122.42	121.95	125.90	125.97	5.32
	106.22	123.02	109.99	126.72	5.29
	296.36	122.99	298.58	133.00	10.26
	43.43	125.43	50.52	131.74	9.49
	6.77	132.17	10.99	134.94	5.05
	268.65	142.19	270.79	148.04	6.23
	266.21	161.30	269.03	167.71	7.01
	419.49	162.24	417.58	167.95	6.03
	73.97	171.05	82.01	175.91	9.39
	10.51	184.03	19.99	188.89	10.65
	388.76	186.73	386.82	193.70	7.23
	9.27	195.09	15.06	197.59	6.30
	414.38	197.33	412.11	203.82	6.87
	93.29	197.84	101.77	203.44	10.17
	326.10	198.99	326.90	204.30	5.37
	415.97	203.00	413.98	207.97	5.36
	228.89	206.24	233.07	211.12	6.43
	50.97	206.85	60.93	211.86	11.15
	244.67	220.94	248.94	226.35	6.89
	130.04	216.50	134.99	220.31	6.25
	103.68	222.18	110.05	225.46	7.16
	42.87	225.74	47.71	227.87	5.29
	270.98	244.11	273.87	248.40	5.18
	252.32	251.88	255.78	255.98	5.36
	368.07	254.07	366.62	260.92	7.00
	340.88	256.98	340.97	262.00	5.02
	14.02	261.95	21.31	264.61	7.76
	177.01	261.52	186.10	266.27	10.26
	171.91	267.79	180.91	273.20	10.50
	121.44	267.47	126.86	269.46	5.77
	404.82	266.93	399.99	275.00	9.41
	304.34	270.14	306.71	275.95	6.27
	361.94	270.00	360.94	274.99	5.09
	366.53	271.00	362.60	287.85	17.30
	370.30	278.98	368.14	287.85	9.13
	152.96	303.02	158.41	304.99	5.79
	192.19	330.67	197.26	331.82	5.20
	201.84	341.79	190.05	340.12	11.90
	204.87	334.10	215.93	336.72	11.37
	415.04	334.28	403.93	338.83	12.00
	398.89	339.90	384.95	346.68	15.51
	393.02	346.18	401.10	343.16	8.63
	171.15	344.40	181.91	345.68	10.83
	128.00	345.01	134.03	345.84	6.09
	462.84	347.76	468.90	347.33	6.07
	173.00	347.65	179.98	347.96	6.98
	460.07	352.72	470.99	351.97	10.95
	100.05	350.11	105.95	350.13	5.90
	621.02	349.97	633.98	350.20	12.97
	159.00	352.77	165.95	353.12	6.96
	489.15	352.26	494.97	351.63	5.85
	248.92	357.01	257.89	357.72	9.00
	396.06	358.39	404.99	357.59	8.97
	231.05	358.10	238.09	358.16	7.04
	265.13	357.51	270.90	357.66	5.77
	51.00	360.00	74.83	360.59	23.84
	615.63	360.27	623.01	359.94	7.39
	55.02	371.92	78.00	371.00	23.01
	427.89	369.66	435.03	370.28	7.17
	608.00	371.01	613.47	371.40	5.48
	518.65	373.69	527.00	373.99	8.36
	164.08	377.18	170.98	376.48	6.94
	423.99	379.05	429.02	379.82	5.09
	37.94	384.33	46.00	383.97	8.07
