vx	vy	vz	score	numLines
-0.53507652	-0.84480269	-0.00123852	3031.50	142
-0.99963880	-0.02687468	0.00015784	1786.45	149
-0.10289932	0.99468986	0.00195339	680.88	110

nLines	x1	y1	x2	y2	length
142
	56.26	4.13	67.24	23.75	22.48
	63.60	3.95	73.94	23.04	21.71
	71.08	3.96	153.02	158.99	175.35
	83.97	4.02	156.13	146.97	160.13
	103.27	3.83	107.38	11.72	8.90
	116.82	4.08	159.59	96.74	102.05
	163.72	4.10	175.90	36.04	34.18
	185.39	4.06	188.42	11.05	7.62
	200.15	14.97	202.54	20.94	6.42
	33.07	15.95	35.65	20.93	5.60
	108.11	15.95	117.37	33.10	19.49
	115.98	17.02	117.95	22.02	5.37
	133.73	17.10	150.98	56.01	42.56
	190.11	17.95	194.36	32.11	14.79
	138.10	18.95	141.30	26.08	7.81
	622.70	20.39	621.07	26.14	5.97
	194.46	21.11	199.26	34.17	13.91
	5.87	27.11	9.16	31.92	5.83
	576.64	31.48	575.04	37.09	5.83
	42.54	33.41	45.45	38.10	5.53
	82.10	46.06	87.13	53.96	9.37
	87.28	48.92	141.96	144.15	109.82
	132.06	65.97	147.13	95.88	33.49
	530.77	53.31	529.95	58.39	5.14
	612.63	56.46	611.04	61.57	5.34
	621.07	61.91	623.01	56.54	5.70
	450.10	61.37	449.95	66.37	5.00
	153.19	60.91	161.24	79.91	20.63
	538.09	69.87	539.07	64.69	5.27
	41.14	64.91	43.93	70.03	5.83
	89.48	67.64	104.65	91.41	28.20
	38.01	77.99	41.16	82.92	5.85
	6.18	83.83	14.12	94.91	13.63
	31.32	102.81	35.42	108.73	7.21
	111.94	105.74	131.59	140.92	40.30
	54.56	111.04	57.33	115.69	5.41
	13.24	112.85	17.05	117.99	6.40
	94.64	119.32	108.15	140.90	25.46
	7.65	124.09	13.46	130.90	8.94
	23.00	127.00	26.20	131.83	5.79
	70.65	127.34	73.86	132.06	5.71
	81.15	127.93	88.61	138.58	13.00
	15.23	133.80	18.86	139.06	6.39
	75.22	133.85	80.77	141.31	9.29
	5.97	140.02	19.19	157.83	22.18
	20.51	140.76	24.60	146.71	7.22
	26.27	148.71	29.45	152.68	5.09
	8.09	160.87	16.40	171.84	13.76
	133.03	261.97	63.69	164.87	119.32
	94.32	163.76	139.36	231.99	81.75
	73.86	163.04	135.25	251.84	107.96
	105.44	164.82	141.63	221.86	67.55
	3.77	174.17	18.94	192.04	23.44
	58.73	173.88	75.21	194.86	26.67
	495.73	180.27	496.64	174.60	5.74
	38.71	181.22	42.03	184.98	5.02
	43.29	186.84	127.14	293.91	136.00
	75.33	196.73	107.87	240.16	54.27
	33.03	207.97	50.18	227.83	26.24
	3.67	210.44	7.35	214.71	5.64
	29.95	221.05	63.35	260.62	51.79
	51.90	230.09	67.98	247.92	24.01
	26.46	232.79	39.09	246.46	18.61
	108.68	241.85	131.43	272.60	38.25
	22.89	246.02	36.97	260.00	19.84
	40.55	249.47	101.98	316.09	90.62
	69.14	250.91	115.33	306.10	71.97
	19.56	261.00	69.88	311.26	71.12
	65.26	262.73	120.58	325.25	83.48
	16.23	273.89	29.23	287.70	18.97
	52.79	278.24	59.14	285.31	9.50
	64.03	290.96	79.99	307.55	23.02
	37.00	295.00	51.87	310.13	21.21
	22.58	298.01	40.92	315.20	25.14
	83.02	310.98	103.10	330.85	28.25
	116.86	307.06	123.42	315.71	10.86
	70.88	313.08	114.07	357.93	62.26
	5.84	317.17	14.18	324.77	11.28
