vx	vy	vz	score	numLines
-0.15957588	0.98718560	-0.00035475	5207.33	129
0.94033962	0.34023686	0.00052144	4937.43	131
0.73939325	-0.67323096	0.00759606	133.35	30

nLines	x1	y1	x2	y2	length
129
	102.47	4.00	101.60	12.01	8.06
	108.16	4.03	106.74	15.00	11.06
	153.25	4.03	151.17	30.02	26.07
	160.73	3.97	158.11	32.01	28.16
	200.26	4.02	196.65	47.03	43.16
	205.01	4.00	200.77	49.98	46.17
	221.59	4.09	218.95	37.00	33.01
	244.20	10.03	240.38	61.00	51.11
	251.58	3.95	247.42	64.98	61.17
	258.31	3.99	252.32	94.05	90.26
	263.18	4.03	256.28	94.09	90.32
	376.27	4.01	375.49	16.05	12.06
	404.04	4.00	403.70	27.00	23.00
	412.03	4.00	412.03	29.00	25.00
	441.73	4.02	441.55	32.00	27.99
	466.19	14.03	466.04	54.00	39.98
	450.08	4.98	450.29	34.98	30.00
	471.74	8.00	474.60	56.91	48.99
	127.10	10.97	126.11	22.01	11.09
	224.60	13.96	223.59	39.00	25.06
	446.48	15.03	446.61	25.03	10.00
	300.27	16.99	300.08	29.99	13.00
	301.96	66.00	304.57	22.04	44.03
	296.54	79.99	299.54	32.09	48.00
	441.17	34.98	441.37	42.99	8.01
	315.73	35.88	313.84	70.00	34.17
	340.50	36.08	338.51	80.03	43.99
	343.91	38.00	341.90	96.00	58.03
	218.25	40.87	217.59	55.90	15.05
	336.27	41.83	333.20	95.01	53.27
	319.21	44.02	317.32	63.95	20.02
	372.07	46.01	372.10	52.01	6.00
	43.03	64.00	29.77	148.96	85.99
	223.14	50.00	222.56	56.83	6.86
	375.86	52.01	374.06	94.01	42.04
	48.08	62.03	36.38	150.98	89.72
	403.18	72.02	402.16	120.02	48.01
	385.20	64.85	385.12	97.00	32.15
	411.34	70.02	411.03	122.00	51.98
	406.57	70.87	408.65	110.00	39.18
	302.22	72.06	301.11	81.99	9.99
	371.57	73.97	371.34	82.00	8.03
	391.03	74.99	391.59	99.96	24.97
	96.23	78.04	85.42	165.09	87.71
	314.31	77.91	314.33	87.02	9.11
	469.77	89.31	470.54	114.00	24.70
	440.19	79.00	437.32	118.99	40.10
	100.38	84.04	89.93	166.99	83.60
	32.21	84.97	31.58	92.01	7.07
	7.06	97.99	3.33	127.95	30.19
	150.22	96.04	142.27	180.98	85.31
	448.68	94.05	449.19	121.00	26.95
	465.22	94.89	465.27	144.00	49.11
	473.38	95.01	473.79	145.00	49.99
	11.96	98.00	5.93	142.98	45.39
	145.58	97.99	135.41	180.98	83.61
	252.64	100.03	244.24	195.01	95.34
	374.15	100.06	373.65	109.99	9.94
	256.26	105.24	249.25	209.98	104.98
	444.69	107.98	444.70	119.04	11.05
	193.44	110.12	185.98	194.00	84.21
	386.46	109.99	386.55	114.99	5.00
	390.88	110.03	390.75	115.95	5.93
	408.62	111.98	408.60	121.01	9.03
	197.70	115.13	189.49	196.10	81.39
	439.22	123.98	439.76	134.02	10.06
	242.02	126.00	236.75	209.00	83.16
	233.29	137.98	229.21	208.01	70.15
	108.79	132.89	106.38	145.99	13.32
	295.30	140.14	290.02	221.00	81.03
	129.75	141.98	124.28	176.23	34.69
	122.69	146.04	122.47	151.16	5.13
	298.50	146.05	294.28	223.97	78.03
	134.47	147.02	134.01	158.01	10.99
	106.35	153.00	104.21	171.97	19.10
	209.20	158.97	207.02	202.00	43.09
	338.37	155.01	334.55	234.04	79.12
	330.30	174.99	327.83	232.98	58.04
	213.61	160.06	210.43	202.94	42.99
	200.01	166.00	197.84	197.84	31.92
	367.89	164.98	367.11	187.00	22.04
	204.02	168.00	201.56	199.98	32.07
	195.14	177.07	194.90	183.02	5.95
	324.07	195.01	324.32	231.97	36.95
	244.05	198.00	239.47	261.00	63.16
	242.68	260.97	245.98	216.00	45.09
	245.91	206.00	245.29	212.87	6.90
	25.78	225.95	11.03	336.01	111.04
	19.78	229.08	4.79	334.95	106.93
	247.51	234.97	238.63	375.00	140.31
	76.23	238.08	63.07	344.01	106.75
	80.32	244.04	68.24	346.05	102.71
	136.22	253.04	126.83	355.98	103.36
