vx	vy	vz	score	numLines
-0.04495504	0.99898900	-0.00012143	4004.14	99

nLines	x1	y1	x2	y2	length
99
	455.03	29.99	455.19	39.01	9.02
	413.00	31.00	413.05	42.99	11.99
	481.06	31.02	482.51	188.02	157.01
	569.00	46.62	571.81	97.00	50.46
	428.20	41.99	428.14	50.95	8.96
	360.26	50.01	360.14	61.98	11.97
	368.00	50.00	367.28	62.99	13.01
	501.12	54.00	500.95	61.01	7.01
	494.79	53.04	495.00	60.00	6.96
	515.74	56.01	515.70	63.03	7.02
	524.02	58.00	524.17	64.99	7.00
	529.79	58.05	529.66	66.07	8.02
	538.09	59.98	538.25	66.98	7.01
	544.14	61.01	544.03	67.99	6.99
	442.20	65.06	442.96	182.00	116.93
	446.68	64.99	446.85	70.98	5.99
	133.97	66.00	133.24	88.02	22.04
	432.38	82.93	432.28	180.98	98.06
	452.02	70.01	453.04	184.01	114.00
	494.92	70.01	497.62	160.07	90.10
	501.32	70.01	503.12	191.99	121.99
	509.79	72.04	512.94	172.82	100.82
	515.75	71.87	517.72	193.00	121.15
	127.65	72.94	128.25	95.02	22.09
	524.02	74.00	525.63	171.00	97.01
	530.31	74.04	532.67	151.98	77.98
	543.66	76.23	545.24	106.01	29.82
	456.65	76.99	457.44	183.01	106.02
	558.50	78.97	558.59	102.00	23.02
	138.26	78.04	137.58	96.01	17.98
	405.78	175.99	405.07	81.00	94.99
	145.64	79.07	144.50	98.01	18.98
	338.37	79.93	338.10	88.99	9.07
	446.52	80.04	447.61	181.99	101.95
	112.25	98.00	114.00	80.52	17.56
	164.88	100.01	165.08	84.00	16.01
	423.29	81.07	423.97	179.00	97.92
	467.00	81.00	467.26	111.00	30.00
	471.80	111.95	471.30	104.09	7.88
	168.56	81.97	168.62	100.91	18.94
	121.79	82.92	121.67	91.18	8.26
	414.30	84.09	414.70	177.97	93.88
	436.77	83.99	437.76	180.99	97.01
	124.56	85.08	122.47	121.05	36.03
	331.25	85.01	331.32	90.03	5.01
	116.38	85.63	116.60	101.22	15.59
	427.62	87.05	428.06	179.00	91.95
	379.88	171.98	379.84	91.00	80.97
	371.05	106.00	371.50	93.99	12.02
	418.69	91.00	418.94	176.99	85.99
	363.23	107.96	363.28	169.01	61.04
	388.17	94.05	388.08	173.00	78.95
	409.62	94.04	409.90	177.03	83.00
	355.92	100.00	355.68	167.97	67.96
	400.66	97.04	400.96	175.00	77.96
	396.69	98.01	396.83	174.99	76.98
	172.15	101.00	172.22	116.97	15.97
	270.48	173.99	271.72	117.93	56.08
	391.93	100.99	392.08	173.00	72.00
	340.49	117.28	340.82	165.99	48.71
	383.62	103.09	383.82	170.96	67.87
	335.18	106.32	333.05	164.00	57.72
	96.73	130.90	97.02	219.00	88.10
	371.73	108.00	371.52	170.98	62.97
	325.93	163.00	328.10	109.17	53.88
	367.87	109.03	367.86	115.98	6.95
	359.72	112.05	359.95	119.99	7.94
	467.22	114.07	467.86	128.96	14.91
	471.75	128.84	471.53	120.98	7.87
	311.81	165.00	314.01	114.70	50.35
	351.56	115.05	351.77	165.95	50.90
	111.57	119.01	108.51	212.01	93.05
	131.17	120.04	129.23	205.08	85.06
	297.95	168.99	300.71	119.74	49.32
	123.83	122.98	119.98	207.00	84.11
	367.81	122.87	367.68	130.95	8.08
	191.45	139.00	191.04	185.00	45.99
	278.43	128.97	276.96	174.00	45.05
	337.25	129.03	336.94	165.02	35.99
	104.74	129.88	104.44	134.89	5.02
	305.65	131.06	304.92	166.99	35.94
	467.21	131.05	467.97	186.00	54.95
	176.14	133.03	174.68	185.95	52.94
	367.75	137.90	368.38	147.05	9.17
	360.33	140.96	360.61	149.09	8.13
	367.72	149.07	367.86	169.01	19.94
	330.24	152.00	329.89	156.99	5.00
	344.10	155.01	343.47	165.00	10.00
	360.48	154.93	360.03	163.01	8.09
	107.02	155.99	106.96	162.98	6.99
	532.46	155.97	532.47	163.99	8.02
	126.51	157.02	126.40	162.96	5.94
	472.36	171.11	472.75	178.00	6.90
	530.36	174.03	530.35	181.06	7.03
	125.60	183.99	125.35	193.03	9.04
	94.69	190.01	94.44	205.03	15.02
	530.36	190.04	530.64	195.97	5.93
	125.67	198.00	125.16	204.99	7.01
	94.51	207.05	93.03	224.00	17.02
