vx	vy	vz	score	numLines
0.00268897	0.99999638	-0.00000924	3796.35	112
0.79357158	-0.60847242	-0.00233719	3492.69	225
0.24080184	0.97057396	0.00080886	105.64	25

nLines	x1	y1	x2	y2	length
112
	4.85	4.00	4.98	77.01	73.01
	14.45	4.00	14.12	70.98	66.98
	17.82	4.00	17.67	68.00	64.00
	22.26	4.00	21.58	67.07	63.07
	41.82	3.99	41.78	56.01	52.02
	53.95	4.00	53.74	51.03	47.03
	58.94	4.00	58.90	47.01	43.01
	63.86	4.00	63.76	44.98	40.98
	76.98	4.00	76.55	39.05	35.05
	82.41	4.00	80.96	37.00	33.03
	87.99	4.00	87.81	33.04	29.04
	109.76	4.00	109.26	21.95	17.96
	115.98	4.00	115.17	19.00	15.02
	132.84	4.00	133.15	12.19	8.20
	166.77	4.02	166.49	9.06	5.05
	138.78	13.99	139.14	21.00	7.02
	167.29	14.00	166.35	157.96	143.96
	120.09	24.01	120.35	30.98	6.97
	140.21	32.00	140.35	163.02	131.02
	108.35	28.98	108.17	36.99	8.01
	133.82	30.96	133.66	162.00	131.04
	103.71	46.95	103.34	171.05	124.10
	21.31	85.03	20.87	186.03	101.00
	18.43	87.97	17.58	186.00	98.03
	14.46	90.99	14.16	186.99	96.00
	4.54	93.11	4.27	167.00	73.89
	418.63	123.99	418.44	129.01	5.02
	344.44	127.98	345.23	150.94	22.97
	319.39	131.57	318.90	150.99	19.42
	307.19	138.03	307.48	153.12	15.09
	284.55	142.10	285.60	157.45	15.39
	262.69	144.08	262.68	160.01	15.94
	253.33	146.97	252.57	161.09	14.14
	174.85	174.02	174.68	163.01	11.02
	233.71	151.00	233.38	165.07	14.08
	206.84	168.99	207.09	156.00	12.99
	215.11	155.01	214.55	168.48	13.48
	190.91	157.92	190.35	171.06	13.15
	168.11	163.02	168.13	174.98	11.96
	153.07	167.00	152.96	177.00	10.00
	139.62	169.08	139.32	178.98	9.91
	132.44	170.08	133.13	179.99	9.94
	4.26	170.94	4.37	189.01	18.08
	121.06	173.00	121.00	182.00	9.00
	109.10	175.00	108.73	184.00	9.01
	109.83	190.02	110.27	317.03	127.01
	103.26	190.97	103.18	317.04	126.07
	16.60	204.91	16.23	256.00	51.08
	22.20	204.00	22.32	305.00	101.00
	14.33	204.99	14.67	304.01	99.02
	4.75	207.01	4.97	303.00	95.98
	17.57	258.00	18.26	304.00	46.00
	4.89	320.00	5.69	416.97	96.97
	103.25	321.98	103.87	331.00	9.04
	18.59	372.97	20.74	422.95	50.03
	108.87	323.97	109.20	332.01	8.04
	121.06	325.00	121.07	332.99	7.99
	133.78	327.01	133.70	336.00	8.99
	139.93	327.00	140.05	338.01	11.01
	153.55	329.02	154.03	339.99	10.98
	174.71	331.06	175.09	342.99	11.94
	168.17	332.00	168.02	342.00	10.00
	190.86	333.98	191.83	347.18	13.24
	216.09	337.00	216.08	351.00	14.00
	116.06	339.00	117.76	468.04	129.05
	233.95	340.00	234.03	356.01	16.01
	14.72	342.95	14.74	368.02	25.07
	253.50	342.81	254.27	357.00	14.21
	284.99	347.00	285.81	362.02	15.05
	308.33	349.89	309.65	368.73	18.89
	345.40	352.25	345.97	376.01	23.76
	387.86	357.13	388.81	383.98	26.86
	320.53	359.97	320.70	369.10	9.13
	15.71	421.08	14.59	371.93	49.16
	3.84	432.96	5.62	479.00	46.07
	14.37	438.02	15.51	508.00	70.00
	18.84	440.98	18.33	496.00	55.02
	22.93	442.99	22.38	515.03	72.04
	4.69	460.99	4.68	466.00	5.01
	104.07	469.01	103.87	476.01	7.00
	109.67	472.04	109.97	479.00	6.97
	121.21	477.04	121.46	485.96	8.93
	134.05	483.00	133.95	491.00	8.00
	5.32	483.97	6.01	525.00	41.04
	140.54	485.02	141.19	496.05	11.04
	115.53	488.50	117.82	613.00	124.52
	153.62	490.75	153.40	501.93	11.18
	18.29	497.99	18.47	509.00	11.01
	168.64	499.01	168.84	508.96	9.94
	191.24	509.03	190.62	519.06	10.05
	216.07	521.00	216.92	535.06	14.08
	15.61	524.99	15.72	531.99	7.00
	315.45	533.02	315.14	539.05	6.04
	254.18	539.02	253.95	550.00	10.98
	263.32	543.01	264.26	557.08	14.11
	5.76	547.99	5.50	586.01	38.03
	285.29	553.02	285.67	566.97	13.95
	14.96	554.00	16.02	634.00	80.01
	20.00	634.00	20.09	561.00	73.00
	34.18	567.88	34.73	606.99	39.12
	23.85	562.99	23.51	612.04	49.04
	308.88	565.00	309.08	579.01	14.01
	42.67	578.98	43.87	634.00	55.03
	59.03	590.88	60.87	634.00	43.16
	373.36	592.97	373.69	610.00	17.04
	77.96	605.02	78.28	634.00	28.97
	64.48	595.96	65.31	634.00	38.05
	6.36	599.01	6.74	634.01	35.00
	35.67	608.99	35.61	618.04	9.05
	23.32	613.96	23.82	634.00	20.05
	110.08	619.01	110.17	624.01	5.01
	35.54	627.01	35.13	634.00	7.00
225
	415.80	3.40	406.98	6.57	9.37
	91.95	6.37	96.81	3.68	5.56
	134.20	12.40	149.92	3.86	17.89
	93.93	46.74	181.87	3.75	97.89
	255.91	8.24	261.00	5.98	5.57
	401.02	8.10	390.95	11.81	10.74
	250.09	10.27	228.97	19.40	23.01
	131.98	12.41	119.01	19.50	14.78
	385.09	13.30	374.90	17.23	10.93
	74.15	16.39	67.96	20.43	7.39
	164.12	17.25	150.06	24.13	15.66
	335.94	29.74	368.99	18.93	34.77
	105.96	26.44	118.08	20.67	13.42
	84.98	37.46	105.03	27.61	22.34
	204.11	29.45	186.93	36.76	18.68
	130.97	166.85	95.02	174.58	36.78
	330.99	31.45	322.97	34.47	8.57
	116.13	41.99	130.07	34.13	16.01
	309.83	39.16	318.00	35.96	8.77
	3.97	79.95	83.99	38.52	90.10
	304.08	40.32	278.04	49.17	27.51
	164.06	46.21	150.95	51.86	14.27
	100.22	48.38	95.03	50.59	5.64
	266.98	52.93	273.00	51.01	6.32
	255.94	56.74	260.99	54.92	5.37
	250.14	58.39	228.95	65.81	22.46
	131.09	60.44	118.98	65.37	13.07
	417.94	64.33	408.01	67.06	10.30
	402.07	68.30	391.98	70.86	10.41
	375.92	75.16	386.05	72.17	10.56
	186.00	80.03	204.07	73.65	19.16
	336.94	84.76	370.14	76.39	34.24
	22.01	81.48	4.05	90.61	20.15
	324.00	88.01	331.02	86.10	7.27
	149.93	91.67	165.00	86.97	15.78
	318.08	89.41	310.94	91.25	7.38
	277.99	99.96	303.99	92.97	26.93
	118.98	102.93	130.08	98.88	11.82
	266.95	102.63	272.99	100.86	6.29
	255.97	105.43	261.00	104.03	5.23
	229.02	112.10	249.98	106.88	21.61
	100.05	109.22	94.97	110.86	5.34
	186.98	122.87	205.04	118.21	18.65
	359.01	125.83	370.97	123.79	12.14
	346.96	128.84	356.87	126.77	10.12
	151.00	132.02	164.99	127.89	14.59
	311.00	130.01	318.01	128.56	7.15
	283.93	139.80	305.01	136.11	21.41
	266.88	138.51	273.83	136.82	7.16
	388.90	141.36	416.00	136.93	27.46
	262.00	139.44	255.92	140.68	6.21
	375.04	143.21	384.92	141.87	9.97
