vx	vy	vz	score	numLines
-0.01821755	0.99983400	-0.00030950	3333.82	265
0.93355245	0.35843964	0.00092119	2904.38	121
0.41764534	0.90861013	0.00009302	775.31	96

nLines	x1	y1	x2	y2	length
265
	183.86	11.99	184.59	29.99	18.01
	132.85	4.01	132.86	26.00	22.00
	228.42	4.00	228.28	25.03	21.04
	232.44	3.98	233.72	29.07	25.12
	271.06	4.00	272.96	44.00	40.05
	340.05	4.00	344.06	30.93	27.24
	359.31	3.96	360.62	18.96	15.06
	369.30	3.91	375.00	47.39	43.85
	396.84	4.02	397.70	19.37	15.37
	420.72	4.03	421.23	15.98	11.96
	428.92	4.03	430.53	18.95	15.00
	498.07	3.99	500.27	15.71	11.92
	137.54	10.01	137.69	15.43	5.41
	463.08	9.99	463.89	18.01	8.06
	416.98	15.00	417.97	21.00	6.09
	341.81	33.00	346.89	78.62	45.90
	308.52	16.97	309.68	39.96	23.01
	383.62	17.89	384.57	25.05	7.23
	482.37	17.97	483.47	24.94	7.06
	422.50	18.96	424.16	32.97	14.11
	173.32	21.01	174.19	30.97	10.00
	393.57	20.98	394.27	28.93	7.99
	397.31	20.94	402.45	60.03	39.42
	464.90	25.01	467.41	43.05	18.21
	406.69	26.94	409.88	44.98	18.32
	280.89	29.94	280.98	39.99	10.05
	310.83	33.17	311.75	41.05	7.94
	373.22	47.90	374.16	67.00	19.12
	415.34	33.03	416.00	49.00	15.99
	277.00	34.00	277.01	40.01	6.01
	174.27	36.05	175.12	53.96	17.93
	423.13	35.99	428.50	74.05	38.44
	272.70	49.99	273.41	70.99	21.01
	419.18	37.13	419.73	42.18	5.08
	186.30	38.98	185.90	65.01	26.03
	386.08	40.98	387.03	47.99	7.07
	305.05	42.01	305.15	51.94	9.93
	310.20	41.99	311.63	62.00	20.06
	344.65	80.96	349.76	127.00	46.32
	428.88	43.03	430.42	56.34	13.39
	231.69	46.00	231.35	74.99	28.99
	259.35	45.95	260.04	55.99	10.06
	436.90	48.97	438.02	56.96	8.07
	442.97	51.00	443.91	57.26	6.33
	189.85	54.09	190.38	60.05	5.99
	383.79	54.98	386.25	74.90	20.07
	259.28	59.03	260.80	70.77	11.84
	251.42	61.37	251.79	67.92	6.56
	402.13	61.92	404.81	94.98	33.17
	377.96	92.02	376.17	74.99	17.13
	309.52	64.96	315.20	114.65	50.02
	376.91	65.08	377.52	70.89	5.84
	316.06	71.80	316.63	79.83	8.05
	275.12	96.99	274.55	73.98	23.02
	400.88	79.97	401.37	85.00	5.06
	617.72	82.03	622.68	109.90	28.31
	341.33	84.82	341.71	89.91	5.10
	608.99	86.00	609.63	91.34	5.37
	232.84	87.96	233.45	110.00	22.05
	68.52	96.98	69.08	135.96	38.99
	355.74	95.97	356.27	101.93	5.98
	274.71	104.99	278.29	154.07	49.21
	72.61	98.10	73.35	125.95	27.86
	591.02	99.00	592.61	106.08	7.25
	631.95	102.04	634.37	113.50	11.71
	601.59	103.90	602.23	108.97	5.10
	338.25	104.95	338.77	115.00	10.06
