vx	vy	vz	score	numLines
0.96150191	0.27479683	0.00088646	2468.20	165
-0.02281707	0.99973966	0.00002656	2260.30	177
0.98654794	-0.16347195	-0.00029449	1201.12	113

nLines	x1	y1	x2	y2	length
165
	153.25	3.47	180.96	13.08	29.33
	257.82	49.68	250.21	47.68	7.86
	213.92	9.73	242.72	19.23	30.32
	271.00	10.03	295.99	18.85	26.50
	489.99	10.03	502.98	16.02	14.31
	571.35	13.45	577.93	16.73	7.35
	546.95	12.55	557.00	18.54	11.70
	221.97	20.68	217.07	18.88	5.22
	3.91	23.24	17.86	26.39	14.31
	272.13	26.74	297.15	34.64	26.24
	407.03	27.31	415.12	30.92	8.85
	161.10	29.48	179.99	33.97	19.42
	188.95	34.22	199.97	37.88	11.62
	20.30	35.54	43.90	40.10	24.04
	565.01	36.92	573.30	41.65	9.55
	216.99	39.15	243.74	45.83	27.58
	53.02	41.68	108.99	56.05	57.78
	149.80	41.86	179.76	52.67	31.85
	207.00	41.71	211.81	43.41	5.11
	271.92	44.15	294.98	52.34	24.47
	234.70	50.44	246.06	53.45	11.74
	62.00	54.05	66.91	55.22	5.05
	270.04	61.77	295.25	70.84	26.78
	148.87	64.03	178.99	71.06	30.93
	4.02	66.37	16.96	69.42	13.29
	214.96	66.22	228.03	68.92	13.35
	540.94	76.12	565.79	87.50	27.32
	20.99	77.55	39.95	81.56	19.38
	67.04	79.14	73.97	81.16	7.22
	269.96	79.18	294.01	84.91	24.72
	539.97	80.23	557.02	86.65	18.22
	148.34	80.84	180.03	88.84	32.68
	203.00	82.01	229.96	88.11	27.64
	480.06	83.42	488.10	86.63	8.65
	4.01	87.49	16.00	89.98	12.25
	541.08	87.69	573.95	102.73	36.15
	128.95	128.36	116.04	126.40	13.05
	129.05	102.28	119.90	100.02	9.43
	55.02	91.90	73.96	95.28	19.24
	577.94	93.22	591.89	99.24	15.20
	269.00	95.93	291.78	101.53	23.46
	83.18	97.50	94.07	99.31	11.04
	145.75	99.17	177.98	107.38	33.25
	206.02	100.44	224.98	105.92	19.73
	94.82	100.60	104.88	102.52	10.24
