vx	vy	vz	score	numLines
0.53775501	0.84310094	-0.00059229	2365.96	81
-0.67085421	0.74158843	-0.00110745	1519.57	117
-0.72960164	0.68386599	0.00295880	977.72	54

nLines	x1	y1	x2	y2	length
81
	240.69	62.25	257.95	83.04	27.02
	250.28	63.83	263.14	79.93	20.61
	238.00	69.00	250.81	86.16	21.42
	258.82	86.18	269.79	101.11	18.52
	278.52	87.62	284.31	95.88	10.09
	253.49	88.88	264.05	102.96	17.60
	246.51	93.04	259.07	109.91	21.03
	238.82	96.13	251.86	114.11	22.21
	273.92	103.61	320.05	162.97	75.18
	303.37	108.65	317.77	127.82	23.97
	269.51	109.99	296.81	146.15	45.31
	267.09	133.92	254.45	117.06	21.07
	261.04	112.50	291.20	151.91	49.62
	307.11	133.90	295.93	120.05	17.80
	299.97	116.04	311.01	129.99	17.79
	327.45	128.55	338.21	141.94	17.17
	269.50	137.36	293.74	168.21	39.24
	309.99	137.00	339.25	173.75	46.98
	328.05	139.95	332.69	145.43	7.17
	262.39	143.39	364.90	280.08	170.86
	238.41	144.06	245.74	155.11	13.26
	346.36	164.02	335.71	150.25	17.41
	331.27	152.96	342.46	167.66	18.47
	255.39	150.10	262.20	159.80	11.86
	353.32	150.75	402.20	210.82	77.44
	247.44	156.07	257.14	169.91	16.90
	353.65	162.15	365.19	175.85	17.91
	321.20	164.69	388.91	253.00	111.27
	243.38	170.10	247.90	177.09	8.33
	294.88	170.09	364.89	263.10	116.42
	314.96	171.08	328.23	188.13	21.61
	376.27	171.17	388.17	184.89	18.16
	279.92	200.07	265.90	181.07	23.61
	271.90	174.20	285.61	192.91	23.21
	340.76	174.12	363.98	205.03	38.65
	310.98	177.01	324.30	193.61	21.28
	234.67	178.45	265.46	221.42	52.86
	249.12	178.95	254.57	185.96	8.88
	365.75	187.11	380.85	205.13	23.51
	256.03	187.94	273.18	211.85	29.42
	326.64	197.97	334.03	206.98	11.65
	362.69	193.94	376.26	211.18	21.94
	407.96	202.05	420.06	218.95	20.78
	245.79	216.23	237.87	205.05	13.71
	282.63	205.01	384.65	345.23	173.41
	379.12	213.98	391.46	231.57	21.50
	382.81	210.14	394.54	224.95	18.89
	403.97	214.00	415.01	227.99	17.82
	407.90	211.08	418.05	223.97	16.40
	276.06	214.96	305.05	254.96	49.40
	350.85	215.16	357.82	225.11	12.15
	376.05	221.98	389.36	237.82	20.70
	249.94	223.04	255.67	231.88	10.54
	267.60	225.25	286.04	250.98	31.66
	233.65	226.26	245.07	241.94	19.40
	247.79	245.09	288.96	305.03	72.72
	258.78	234.08	273.06	256.95	26.96
	396.04	235.00	406.98	249.02	17.78
	392.74	245.27	420.18	281.88	45.76
	363.04	246.00	369.73	254.25	10.63
	233.86	253.08	247.00	272.00	23.04
	334.92	258.07	357.24	287.79	37.17
	292.76	261.18	306.97	281.01	24.40
	386.63	263.26	392.01	269.98	8.61
	278.90	265.11	299.41	295.00	36.24
	315.55	270.17	334.66	297.27	33.16
	369.63	270.30	385.65	290.90	26.10
	409.52	278.97	419.96	293.03	17.51
	373.62	293.05	381.82	303.17	13.02
	308.90	285.04	328.75	312.21	33.65
	301.60	296.99	331.00	338.93	51.22
	402.65	299.25	406.92	305.05	7.20
	383.13	304.88	393.44	320.01	18.31
	370.78	307.14	376.84	315.09	10.00
	332.63	317.91	370.48	370.76	65.01
	394.52	321.00	414.03	346.97	32.49
	359.48	333.07	382.16	363.97	38.33
	409.93	325.07	419.86	337.84	16.19
	386.49	349.00	392.94	357.02	10.30
	384.14	365.88	391.89	377.09	13.63
	393.72	380.25	404.41	396.02	19.05
117
	197.11	105.99	203.88	93.88	13.87
	212.25	93.86	208.90	100.92	7.82
	207.52	106.01	196.49	128.09	24.69
	195.80	107.86	189.83	119.01	12.65
	229.94	108.94	222.19	123.07	16.12
	206.38	131.59	214.15	115.07	18.25
	221.76	125.67	215.57	137.05	12.95
	186.63	123.75	181.10	135.07	12.60
	166.50	124.82	159.08	139.05	16.05
	186.45	147.97	192.12	136.06	13.18
	203.02	135.01	198.62	144.08	10.08
	179.93	137.97	163.99	167.00	33.11
	166.82	140.86	159.88	155.94	16.61
	146.71	143.66	139.87	155.93	14.05
	154.62	144.75	148.89	153.94	10.83
	197.54	149.03	190.45	163.01	15.67
	141.54	171.00	148.11	159.08	13.61
	138.30	159.32	130.48	173.16	15.90
	156.59	159.08	151.55	168.04	10.29
	196.30	176.86	204.02	162.01	16.74
	218.94	161.99	212.83	174.21	13.67
	181.28	181.04	188.90	166.95	16.02
	175.48	167.95	167.98	182.15	16.05
	162.28	170.89	154.53	184.04	15.26
	210.58	181.02	202.64	197.22	18.03
	172.85	198.91	180.53	184.59	16.25
	133.12	204.14	141.97	188.97	17.56
	192.21	186.11	186.72	197.15	12.33
	146.66	202.91	152.93	188.96	15.30
	104.04	188.03	92.99	207.00	21.96
	162.97	188.98	156.94	200.96	13.41
	129.20	190.82	121.92	202.92	14.13
	94.25	219.90	109.61	194.04	30.07
	116.79	194.90	111.12	205.12	11.69
	215.63	200.73	208.76	219.11	19.62
	200.56	202.02	191.49	220.04	20.18
	184.64	203.06	177.54	216.04	14.80
	169.74	203.90	161.54	221.02	18.99
	156.50	204.99	148.70	220.98	17.79
	76.85	220.91	83.28	209.83	12.81
	130.29	207.93	123.65	221.05	14.70
	109.63	209.08	101.90	223.86	16.68
	392.03	231.97	390.57	238.76	6.95
	90.53	209.86	83.85	222.98	14.72
	395.09	225.99	393.66	232.92	7.08
	418.70	224.89	417.61	229.87	5.10
	227.97	220.14	217.87	241.90	23.99
	102.21	242.82	111.24	225.20	19.81
	208.01	222.00	198.81	241.91	21.93
	174.26	223.05	166.49	240.03	18.68
	190.88	222.87	182.27	243.03	21.92
	83.09	224.59	73.49	240.09	18.23
	133.99	224.99	125.04	242.01	19.23
	159.49	225.01	150.50	242.96	20.08
	101.17	226.09	92.40	240.00	16.45
	120.84	225.91	112.69	240.80	16.97
	84.75	237.10	91.68	226.77	12.44
	144.38	226.90	137.65	241.05	15.67
	416.29	240.02	415.44	245.16	5.21
	54.45	256.79	64.09	241.72	17.89
	80.31	244.88	71.71	258.14	15.80
	89.51	245.03	81.30	259.97	17.04
	62.92	259.76	52.39	277.01	20.21
	35.02	277.66	26.98	290.99	15.56
	99.50	244.99	91.97	258.99	15.89
	111.65	245.03	105.96	254.98	11.46
	123.05	246.02	113.63	263.10	19.51
	148.75	245.87	138.79	265.99	22.45
	180.21	246.14	169.45	268.08	24.44
	44.69	246.78	40.36	254.84	9.15
	134.58	247.04	127.08	262.04	16.77
	162.48	246.97	153.80	265.14	20.13
	215.48	248.99	205.11	270.99	24.32
	54.06	258.60	44.01	275.00	19.24
	320.04	261.02	317.14	269.11	8.59
	79.27	262.85	70.62	279.00	18.32
	68.58	264.04	60.96	276.97	15.01
	89.40	263.98	80.79	279.16	17.45
	100.52	265.98	93.92	277.94	13.66
	32.77	266.88	26.95	276.97	11.65
	102.32	284.97	112.90	266.94	20.90
	114.26	285.87	124.14	267.87	20.53
	137.04	269.02	127.75	289.00	22.03
	168.58	270.56	157.82	293.14	25.01
	199.17	286.92	204.49	274.98	13.08
	174.77	295.13	185.69	273.73	24.02
	12.97	288.00	20.77	274.81	15.32
	148.00	278.00	144.96	283.97	6.71
	405.93	278.98	403.94	286.99	8.25
	25.76	280.14	20.93	288.94	10.03
	39.72	279.74	33.35	291.92	13.75
	51.09	280.05	42.00	295.00	17.50
	58.54	282.04	51.23	295.86	15.64
	68.42	282.95	59.66	298.42	17.78
	98.21	289.16	89.34	307.34	20.23
	112.84	289.92	102.00	311.00	23.70
	125.12	293.06	115.56	314.20	23.20
	31.11	296.06	23.08	309.06	15.28
	400.31	296.05	399.12	304.12	8.16
	14.87	296.93	10.18	304.15	8.62
	40.08	298.06	30.89	313.96	18.37
	145.09	320.04	156.97	297.97	25.07
	38.39	318.97	47.29	302.27	18.92
	173.00	301.00	164.66	320.58	21.28
	19.43	303.99	16.32	309.52	6.35
	65.92	304.95	55.28	324.32	22.10
	54.38	305.94	46.72	320.13	16.13
	76.43	307.97	65.90	327.93	22.57
	78.18	332.04	87.08	314.03	20.09
	97.49	317.02	89.03	334.02	18.99
	113.39	317.92	102.20	340.09	24.84
	118.99	337.99	128.54	320.42	20.01
	144.02	325.01	132.88	349.89	27.26
	382.47	365.00	377.87	380.94	16.59
	295.89	467.05	294.03	473.99	7.19
	409.27	379.02	406.77	394.93	16.10
	252.66	397.52	249.73	407.02	9.94
54
	213.86	77.73	233.98	70.96	21.23
	218.91	87.83	225.94	85.85	7.30
