vx	vy	vz	score	numLines
-0.15562274	0.98781645	-0.00047628	2875.93	156
0.76156082	-0.64809340	0.00025514	2649.24	294
-0.99993383	-0.01150352	-0.00000677	2464.49	221

nLines	x1	y1	x2	y2	length
156
	264.73	4.06	263.01	23.00	19.02
	303.82	6.99	303.90	20.13	13.13
	233.26	12.93	233.39	19.03	6.10
	414.42	13.02	414.57	19.97	6.95
	128.92	29.02	129.11	22.06	6.96
	416.83	38.81	416.78	48.02	9.21
	166.00	40.00	163.96	56.00	16.13
	262.01	44.00	261.09	75.03	31.04
	27.07	44.97	26.34	53.96	9.02
	174.90	47.93	173.91	60.97	13.08
	482.43	56.90	483.24	64.06	7.21
	406.57	58.01	407.10	70.03	12.03
	355.97	62.00	356.14	78.90	16.90
	176.72	69.96	174.28	121.11	51.21
	237.35	72.07	236.55	79.86	7.83
	271.62	74.00	271.10	82.01	8.02
	172.96	75.01	171.62	108.03	33.05
	413.96	76.97	419.11	203.01	126.15
	418.79	79.96	425.78	186.12	106.39
	426.39	187.03	430.34	303.97	117.01
	442.29	82.04	442.88	88.05	6.04
	556.03	84.95	556.81	89.91	5.02
	200.53	87.72	199.90	93.98	6.30
	443.41	91.99	446.19	144.02	52.11
	407.59	94.94	407.95	99.96	5.03
	206.53	97.01	199.76	161.99	65.33
	199.65	163.03	195.74	249.02	86.08
	219.57	102.31	218.53	115.91	13.64
	402.35	102.31	402.37	114.04	11.74
	216.67	103.02	215.13	126.03	23.06
	163.73	106.99	162.97	115.00	8.05
	198.58	107.05	195.15	147.99	41.08
	170.49	120.02	171.58	110.06	10.02
	218.07	122.03	218.27	136.08	14.05
	458.16	121.98	459.13	133.01	11.07
	402.78	122.97	403.20	134.05	11.09
	161.83	125.96	160.74	137.11	11.21
	169.21	136.04	163.36	210.96	75.14
	170.53	142.98	169.63	206.03	63.06
	217.41	144.14	217.08	156.02	11.88
	403.50	143.89	404.49	156.02	12.18
	447.10	146.01	447.34	152.89	6.88
	194.05	163.00	186.23	281.03	118.29
	447.17	156.02	447.64	168.00	11.99
	404.22	161.12	404.88	178.04	16.94
	213.22	164.98	212.65	174.11	9.14
	461.29	165.02	462.42	179.23	14.25
	216.27	166.98	215.55	178.09	11.13
	158.48	167.86	158.23	178.01	10.15
	449.22	169.91	462.21	403.98	234.43
	454.01	180.00	455.12	204.96	24.99
	405.36	186.97	405.92	205.01	18.05
