vx	vy	vz	score	numLines
-0.26324571	0.96472882	-0.00006582	9081.57	261
-0.99988281	0.01530908	0.00003868	4712.48	207

nLines	x1	y1	x2	y2	length
261
	7.06	4.02	3.64	16.90	13.33
	48.57	4.02	43.09	24.02	20.74
	134.15	3.90	131.30	14.84	11.31
	172.57	4.01	161.17	50.11	47.48
	176.73	3.93	167.10	38.92	36.29
	214.39	3.99	203.41	47.99	45.35
	218.78	3.94	206.91	47.98	45.62
	256.40	3.97	247.37	43.16	40.22
	260.85	3.95	247.59	48.03	46.03
	298.92	3.98	289.02	48.01	45.12
	303.09	4.03	291.44	46.91	44.44
	341.10	4.02	331.64	47.05	44.06
	345.23	4.09	334.25	45.94	43.27
	427.24	4.05	418.48	46.00	42.85
	430.80	3.95	421.09	41.95	39.22
	470.12	4.02	463.97	30.99	27.66
	460.98	45.13	463.41	36.10	9.35
	473.93	3.98	465.56	34.88	32.02
	513.73	4.05	510.65	18.04	14.32
	513.38	18.87	516.66	3.92	15.31
	600.37	4.08	591.70	43.04	39.92
	595.69	40.94	603.87	3.97	37.86
	90.49	8.87	89.31	13.79	5.06
	510.50	19.00	504.54	45.88	27.53
	127.04	28.86	97.46	130.00	105.38
	552.20	28.04	548.68	45.07	17.39
	487.78	33.93	486.76	39.06	5.24
	82.82	34.95	81.71	39.93	5.10
	166.30	40.81	164.99	46.92	6.25
	79.26	42.06	55.90	130.98	91.94
	37.37	46.10	14.27	133.27	90.18
	547.63	48.98	537.72	89.83	42.03
	591.02	50.01	581.15	89.06	40.28
	503.89	50.99	494.53	90.00	40.12
	633.33	51.25	624.49	88.69	38.48
	417.02	52.01	406.87	91.94	41.21
	592.59	52.17	585.11	89.01	37.60
	331.07	53.02	320.75	93.90	42.16
	505.74	53.16	498.24	90.06	37.65
	549.32	53.01	541.88	88.96	36.71
	245.92	53.98	234.76	94.92	42.43
	290.28	56.98	281.56	92.98	37.04
	460.11	54.06	420.77	217.07	167.68
	462.82	54.00	454.94	89.98	36.84
	375.71	55.02	368.10	92.03	37.79
	332.63	55.98	324.32	91.91	36.88
	428.92	64.95	430.95	57.56	7.67
	202.50	57.26	197.63	77.18	20.51
	247.69	57.01	238.36	94.05	38.20
	287.27	57.09	278.02	94.01	38.06
	120.67	58.22	112.23	95.07	37.81
	162.89	58.01	154.06	95.01	38.04
	204.84	57.98	194.97	95.00	38.31
	372.64	58.15	369.44	72.09	14.30
	346.04	59.68	344.51	67.35	7.82
	510.25	59.95	508.37	66.35	6.67
	634.63	60.11	628.74	87.92	28.43
	302.85	67.96	305.02	60.66	7.61
