vx	vy	vz	score	numLines
-0.99882705	0.04841144	0.00092367	2079.60	325
0.98474022	0.17403021	0.00042930	1405.42	291

nLines	x1	y1	x2	y2	length
325
	307.01	7.03	318.91	7.23	11.90
	191.99	10.48	186.96	10.64	5.04
	378.98	14.83	385.00	14.76	6.02
	14.36	16.42	20.04	15.95	5.69
	129.89	16.25	138.59	15.83	8.71
	381.07	22.72	388.05	22.45	6.98
	428.88	22.43	434.05	22.31	5.17
	588.00	24.98	593.99	25.17	6.00
	173.99	27.05	194.01	26.32	20.03
	188.65	29.27	195.96	28.71	7.33
	101.98	30.52	108.03	30.51	6.06
	236.91	32.11	245.78	32.58	8.88
	216.07	34.26	228.16	33.75	12.10
	310.93	33.89	321.99	34.01	11.07
	359.99	34.97	376.98	34.57	17.00
	405.11	37.75	416.34	37.56	11.23
	248.91	42.71	263.04	42.44	14.13
	300.96	42.91	320.01	43.22	19.05
	348.12	44.28	361.05	44.92	12.95
	597.00	45.63	605.80	45.81	8.80
	281.00	51.88	295.00	52.05	14.00
	385.09	51.74	393.01	51.59	7.92
	244.09	51.57	251.93	52.07	7.86
	34.08	58.61	26.06	58.96	8.03
	355.73	58.27	373.99	58.67	18.26
	279.00	59.54	289.93	60.11	10.95
	41.04	59.90	46.99	60.08	5.95
	3.92	61.29	9.90	61.21	5.98
	563.88	63.08	575.02	62.90	11.14
	77.00	64.01	88.18	64.74	11.20
	317.00	62.99	336.00	63.79	19.02
	429.00	64.63	439.93	64.60	10.94
	201.02	67.06	218.98	66.87	17.96
	376.06	70.67	363.99	70.14	12.07
	362.17	66.48	374.89	65.86	12.74
	516.96	65.88	527.00	66.37	10.05
	459.16	66.72	466.79	66.62	7.63
	554.07	66.71	565.90	67.52	11.86
	432.09	67.55	438.96	67.71	6.87
	626.98	70.06	633.88	69.80	6.90
	421.05	70.66	436.11	71.69	15.09
	213.04	73.44	218.16	73.28	5.12
	456.07	74.11	461.98	73.88	5.92
	298.96	75.81	307.00	76.42	8.06
	141.95	78.37	147.07	78.59	5.12
	424.78	77.90	433.01	77.97	8.22
	406.12	79.66	417.04	80.62	10.96
	511.09	85.19	518.00	85.26	6.91
	556.99	82.09	575.12	81.75	18.13
	154.65	82.39	141.95	82.87	12.71
	213.17	90.86	240.05	91.80	26.89
	449.00	83.03	459.00	83.87	10.04
	230.99	86.48	248.99	88.12	18.08
	405.98	85.77	413.03	85.91	7.05
	182.97	85.59	194.02	86.35	11.08
	322.97	85.89	332.03	85.77	9.06
	560.01	88.02	568.02	87.95	8.02
	351.01	91.70	340.01	91.89	11.00
	543.99	88.27	552.02	88.41	8.03
	125.93	89.39	136.09	90.32	10.21
	224.00	88.01	230.09	88.27	6.10
	601.03	88.73	610.01	89.50	9.01
	159.13	89.81	169.01	90.32	9.90
	410.02	94.91	419.00	94.99	8.99
	516.98	98.18	506.98	98.27	10.01
	598.44	93.50	610.89	93.40	12.44
	613.01	94.03	623.24	94.54	10.24
	263.62	96.39	282.99	97.53	19.41
	555.99	95.65	563.04	95.58	7.05
	432.37	95.58	449.04	96.06	16.67
	403.13	97.50	396.98	97.52	6.16
	114.92	98.40	120.01	98.49	5.10
	492.88	98.94	503.15	99.28	10.28
	321.95	99.39	327.99	99.26	6.04
	276.00	100.12	290.01	100.97	14.04
	302.91	100.07	313.05	100.46	10.15
	515.94	100.36	523.08	100.34	7.14
