vx	vy	vz	score	numLines
-0.62055762	-0.78416067	-0.00053001	3660.77	178
-0.47162859	0.88179707	0.00063240	3004.75	163
0.02740626	0.99962437	0.00012082	1227.34	86

nLines	x1	y1	x2	y2	length
178
	8.96	4.03	31.09	31.95	35.62
	15.19	3.84	36.26	29.80	33.43
	20.51	3.99	29.53	16.34	15.29
	24.80	4.17	30.64	11.41	9.31
	28.57	3.95	36.94	15.05	13.90
	76.47	4.40	96.06	30.96	33.00
	82.99	4.00	102.01	30.00	32.20
	106.92	36.01	134.54	73.65	46.68
	142.95	4.04	162.15	31.92	33.85
	149.55	3.96	168.49	31.47	33.39
	157.39	3.71	167.46	17.71	17.25
	209.88	4.08	227.50	31.01	32.18
	216.13	3.92	234.14	31.90	33.28
	223.87	4.09	232.97	18.02	16.64
	276.97	4.02	293.11	30.97	31.41
	282.93	4.04	300.33	32.81	33.62
	289.06	3.97	298.66	19.65	18.39
	343.59	3.95	359.04	31.98	32.01
	349.62	3.93	366.35	33.88	34.30
	354.71	3.89	363.09	19.96	18.12
	31.58	19.30	36.71	25.18	7.81
	47.75	28.20	75.74	65.31	46.47
	112.97	30.02	129.52	53.49	28.71
	177.31	32.24	185.48	43.02	13.53
	42.44	38.07	72.41	76.05	48.38
	45.65	36.27	66.55	63.33	34.19
	372.61	39.93	389.68	66.71	31.76
	369.78	41.12	392.22	80.92	45.69
	77.50	82.07	107.99	120.03	48.69
	103.67	42.20	130.03	76.98	43.64
	39.89	43.09	66.91	77.06	43.41
	366.82	47.11	384.39	78.25	35.75
	58.65	48.29	71.21	64.13	20.21
	4.01	53.99	12.03	63.94	12.78
	68.60	66.27	73.46	72.33	7.77
	3.90	70.09	9.01	75.99	7.81
	20.80	74.15	48.02	107.97	43.41
	83.70	75.22	109.23	108.75	42.14
	17.80	80.18	45.85	116.07	45.55
	84.88	82.10	90.83	89.14	9.22
	14.71	83.24	45.21	119.83	47.64
	82.64	84.28	94.57	99.32	19.20
	74.45	87.49	106.62	127.14	51.06
	12.46	88.43	39.72	120.83	42.34
