vx	vy	vz	score	numLines
-0.98186545	-0.18957887	0.00028667	3411.32	183
-0.99477843	0.10204541	-0.00161416	1712.87	179
0.99734011	0.07288687	0.00046053	1074.05	117

nLines	x1	y1	x2	y2	length
183
	176.11	3.40	194.98	5.64	19.00
	388.01	4.09	393.00	4.98	5.07
	412.04	4.09	426.00	6.04	14.10
	311.95	6.37	317.99	7.46	6.14
	581.47	7.09	587.90	8.03	6.50
	588.94	6.42	597.98	8.03	9.18
	126.04	6.75	133.90	8.70	8.10
	170.07	7.62	189.98	12.07	20.40
	555.08	8.04	573.96	9.96	18.98
	581.00	9.02	596.04	10.72	15.13
	147.00	9.68	162.98	12.65	16.25
	469.01	12.04	478.96	13.56	10.07
	522.33	12.89	540.32	16.11	18.28
	578.87	11.80	591.96	14.30	13.33
	605.01	12.09	619.86	14.35	15.02
	127.00	13.03	146.00	17.09	19.43
	282.00	13.00	292.93	14.39	11.02
	223.00	14.01	237.93	17.75	15.39
	519.51	16.24	538.00	19.47	18.77
	628.99	15.33	634.00	15.97	5.06
	308.08	16.49	323.99	19.42	16.17
	495.00	15.98	499.97	16.64	5.01
	550.02	15.88	566.99	18.07	17.11
	603.32	15.74	621.09	18.36	17.95
	627.78	18.94	634.04	19.73	6.31
	269.06	16.70	280.98	18.10	11.99
	340.99	17.09	356.86	19.54	16.07
	163.03	19.21	176.00	21.99	13.26
	544.23	20.12	563.99	22.61	19.91
	575.98	19.75	583.92	20.54	7.97
	256.95	20.49	267.88	22.36	11.09
	297.03	19.97	312.01	22.43	15.18
	8.07	27.33	23.02	31.32	15.47
	545.04	23.41	562.91	27.26	18.28
	29.99	24.37	36.92	25.39	7.01
	194.14	23.64	201.94	25.51	8.02
	285.03	24.82	299.01	26.98	14.14
	360.03	25.34	381.02	29.44	21.38
	419.00	27.04	425.07	28.29	6.20
	574.99	27.89	589.07	29.40	14.16
	270.95	29.14	284.99	31.05	14.17
	349.01	29.17	367.99	32.07	19.20
	541.93	30.87	555.02	32.43	13.18
	297.08	32.41	319.00	36.00	22.22
	572.98	31.93	591.01	35.97	18.47
	538.99	34.98	552.00	37.03	13.16
	572.00	35.07	581.02	36.56	9.14
	608.95	35.61	615.01	36.33	6.11
	330.99	36.94	352.00	41.55	21.51
	378.96	38.52	396.97	41.09	18.19
	569.99	39.95	575.02	40.48	5.05
	458.02	43.42	464.93	44.55	7.00
	322.03	43.75	341.00	47.03	19.25
	357.85	44.55	376.02	47.89	18.47
	368.99	44.08	388.96	47.56	20.28
	505.95	58.93	496.93	57.71	9.10
	562.99	46.05	587.00	49.00	24.20
	298.00	50.24	319.00	53.56	21.25
