vx	vy	vz	score	numLines
0.99997918	0.00645264	0.00000712	4048.23	251
-0.01493288	0.99988850	-0.00001325	585.34	75
0.82687962	0.56237895	-0.00001782	431.26	73

nLines	x1	y1	x2	y2	length
251
	317.00	3.93	340.02	4.74	23.03
	14.00	8.83	21.99	8.74	8.00
	471.98	5.16	493.99	4.93	22.01
	490.02	10.50	478.00	10.72	12.02
	374.00	10.51	384.00	10.54	10.00
	520.10	4.77	546.01	5.11	25.92
	576.99	5.37	597.01	5.28	20.01
	9.99	12.46	21.00	12.41	11.01
	167.00	12.87	178.00	13.11	11.00
	321.04	14.22	331.99	13.86	10.96
	374.00	14.44	385.00	14.40	11.00
	600.99	21.04	577.00	21.68	23.99
	579.94	15.69	591.99	15.43	12.05
	8.00	19.08	28.01	18.60	20.02
	105.13	19.38	135.01	18.97	29.88
	417.04	20.09	445.85	20.37	28.81
	472.00	20.89	496.94	20.50	24.95
	520.94	20.69	549.94	21.27	29.00
	32.89	22.40	38.94	22.85	6.06
	219.94	23.38	230.20	23.43	10.26
	270.03	23.47	265.01	23.60	5.02
	96.98	23.76	109.99	23.71	13.01
	156.03	23.82	182.00	23.63	25.97
	336.07	24.46	346.97	24.41	10.90
	424.27	24.37	439.86	25.50	15.63
	447.06	24.33	453.04	24.72	5.98
	495.98	25.29	504.98	25.19	9.00
	579.01	25.31	592.97	25.27	13.96
	603.86	25.45	633.99	25.83	30.14
	109.00	28.89	135.06	29.19	26.07
	313.00	29.99	343.05	30.16	30.04
	468.98	31.04	498.11	31.38	29.13
	524.98	31.16	545.00	30.31	20.04
	572.28	30.40	602.12	31.50	29.86
	219.00	39.40	229.00	39.47	10.00
	376.00	40.04	385.01	40.15	9.01
	426.00	40.65	437.00	40.64	11.01
	529.00	41.28	540.99	40.95	12.00
	579.99	41.49	593.00	41.26	13.02
	149.95	49.73	159.96	49.64	10.01
	3.99	44.88	26.99	45.26	23.00
	53.04	45.12	82.98	45.05	29.95
	260.95	45.89	291.02	45.94	30.07
	524.00	46.90	550.06	46.69	26.06
	572.95	46.78	601.96	47.11	29.00
	120.02	49.32	129.98	49.92	9.98
	137.97	49.84	144.01	49.90	6.04
	223.03	49.29	213.98	49.63	9.06
	188.97	49.80	194.00	50.05	5.03
	226.00	50.49	232.85	50.14	6.86
	77.99	54.43	57.00	54.10	21.00
	9.99	60.60	20.01	60.76	10.02
	317.00	56.07	342.09	56.46	25.10
	370.01	55.47	391.04	56.33	21.05
	521.04	56.90	550.05	57.19	29.01
	576.98	57.33	598.01	57.42	21.03
	324.00	62.18	334.01	62.15	10.01
	583.00	63.43	593.00	63.39	10.00
	320.96	66.37	333.00	65.99	12.04
	484.00	66.41	490.03	66.68	6.04
	4.01	70.14	30.09	70.65	26.08
	313.02	72.05	338.99	72.28	25.97
	355.94	76.14	369.03	76.33	13.10
	364.98	71.94	393.98	72.05	29.00
	443.01	72.50	421.03	72.62	21.98
	31.04	75.33	39.04	75.42	8.00
	67.01	75.37	141.00	75.98	73.99
	148.00	76.07	156.99	75.65	8.99
	188.01	75.84	195.00	75.87	6.99
	253.93	75.79	262.90	76.40	8.98
	270.03	76.43	279.96	76.39	9.93
	283.16	76.32	294.02	76.58	10.86
	325.01	76.36	330.89	76.48	5.88
	336.07	76.48	342.01	76.70	5.94
	370.97	76.56	386.01	76.60	15.05
	422.01	76.49	408.02	76.82	13.99
	394.02	76.65	403.00	77.04	8.98
	512.00	76.99	519.09	77.34	7.10
	333.99	87.86	322.01	87.81	11.98
	576.95	83.41	598.01	83.18	21.06
	385.01	88.31	373.98	88.17	11.03
	60.03	91.18	72.00	91.10	11.97
	372.96	92.28	385.00	92.36	12.04
	429.00	92.44	438.00	92.63	9.00
	582.00	93.55	593.00	93.54	11.00
	155.96	97.85	186.06	97.76	30.10
	207.95	97.78	238.05	97.79	30.10
	573.06	99.15	602.76	99.49	29.71
	625.05	99.11	634.00	99.69	8.97
	30.08	101.42	38.06	101.68	7.99
	107.01	101.27	113.99	101.28	6.98
	136.00	101.76	143.05	101.61	7.05
	293.00	102.00	298.04	102.16	5.05
	302.96	102.12	318.93	102.38	15.97
	342.05	102.70	352.06	102.59	10.01
	449.97	102.79	454.99	102.92	5.02
	4.02	106.48	29.89	106.72	25.87
	51.94	107.22	82.04	107.13	30.10
	327.00	114.49	334.05	114.25	7.05
	364.93	108.27	391.00	108.29	26.07
	421.00	108.73	441.00	108.35	20.00
	438.01	114.67	425.99	114.54	12.02
	576.96	109.31	602.86	108.68	25.91
	625.07	108.85	634.00	108.73	8.94
	327.00	118.33	334.01	118.46	7.02
	160.00	124.02	182.00	124.16	22.00
	207.93	123.76	238.00	124.00	30.07
	260.22	124.44	286.00	124.65	25.79
	339.02	124.26	317.00	124.86	22.03
	22.03	127.51	37.01	127.76	14.98
	83.00	127.73	89.01	128.09	6.01
	134.00	127.72	141.00	128.11	7.01
	149.02	127.81	155.00	127.94	5.98
	199.02	128.11	205.99	127.79	6.98
	241.03	128.41	264.01	128.40	22.98
	300.28	128.48	311.01	128.71	10.73
	292.99	128.84	298.00	128.98	5.00
	356.08	128.66	361.99	128.75	5.91
	4.00	132.71	29.16	133.67	25.18
	55.03	133.36	77.03	133.31	22.00
	315.08	134.44	342.04	134.12	26.96
	263.99	134.24	285.00	133.91	21.01
	320.99	140.08	334.07	140.51	13.09
	216.99	144.38	228.99	144.68	12.00
	50.91	149.66	81.07	149.73	30.16
	212.00	150.94	234.00	150.89	22.00
	82.96	153.36	89.05	153.63	6.10
	153.91	153.29	146.18	153.68	7.74
	44.00	154.18	49.00	153.97	5.00
	198.14	156.13	213.05	155.30	14.94
	235.09	154.77	245.94	155.22	10.86
	303.01	154.56	312.02	154.66	9.01
	397.00	154.84	402.00	154.94	5.00
	449.98	154.53	456.02	154.70	6.05
	541.00	155.80	558.99	155.79	17.99
	449.98	157.89	454.99	157.72	5.02
	51.00	160.01	77.97	159.42	26.98
	228.00	166.51	217.00	166.54	11.01
	259.92	160.29	287.00	160.19	27.08
	583.99	167.62	594.01	167.60	10.02
