vx	vy	vz	score	numLines
0.99926503	0.03833254	0.00013969	6115.50	434
0.02810182	0.99960506	-0.00004964	5352.53	474
-0.98986055	0.14203471	0.00149336	879.50	234

nLines	x1	y1	x2	y2	length
434
	140.92	4.90	146.83	5.27	5.92
	346.92	6.82	355.02	6.86	8.09
	60.99	8.28	66.97	8.64	5.99
	281.94	8.10	287.96	8.65	6.04
	80.97	9.37	112.94	12.58	32.13
	4.01	9.63	33.04	11.93	29.12
	46.99	20.02	128.00	24.96	81.16
	49.88	11.48	63.96	12.63	14.13
	618.04	13.29	626.01	13.25	7.97
	249.00	14.00	255.91	13.79	6.91
	65.98	14.56	125.92	16.44	59.97
	584.03	15.54	589.05	15.66	5.03
	4.00	16.11	10.99	16.02	7.00
	316.99	15.51	324.14	15.72	7.16
	364.01	19.39	334.99	18.02	29.05
	140.01	18.22	226.96	21.72	87.02
	485.09	16.66	494.04	16.69	8.95
	601.00	20.47	571.03	19.70	29.98
	50.00	25.75	127.98	31.09	78.15
	129.23	18.56	137.99	18.33	8.77
	268.91	18.70	276.00	19.34	7.12
	386.17	19.69	433.02	20.50	46.86
	461.14	19.63	488.00	19.15	26.87
	273.03	23.59	387.02	26.58	114.03
	404.00	24.05	442.98	25.36	39.00
	521.01	23.66	514.97	23.63	6.03
	259.97	24.52	245.99	24.06	13.98
	52.99	31.80	129.09	36.40	76.24
	227.00	23.51	244.00	24.02	17.01
	131.00	24.00	252.99	31.43	122.21
	253.98	31.48	335.99	31.89	82.02
	431.55	32.55	442.93	32.32	11.38
	467.93	25.80	495.00	25.01	27.08
	13.93	26.69	29.00	27.97	15.13
	130.96	30.71	148.01	30.47	17.05
	369.07	31.81	386.00	33.35	17.00
	149.06	31.74	158.98	31.58	9.92
	339.00	30.98	367.10	31.36	28.11
	162.99	32.07	241.99	36.21	79.11
	243.92	32.41	255.04	32.46	11.12
	528.07	33.47	534.87	33.32	6.81
	344.93	33.59	361.05	33.70	16.12
	6.95	35.11	17.99	35.04	11.04
	420.05	35.49	396.78	35.75	23.28
	257.98	37.12	336.03	37.89	78.06
	478.97	37.31	510.96	40.11	32.11
	136.00	38.00	141.93	37.84	5.93
	162.96	38.15	243.98	41.83	81.10
	369.00	37.97	437.98	37.67	68.99
	612.98	38.46	624.00	38.89	11.03
	150.04	38.86	157.02	38.92	6.97
	254.96	42.38	336.99	42.98	82.04
	354.98	43.39	364.26	44.34	9.33
	369.05	43.67	439.96	42.84	70.91
	237.97	44.08	255.01	43.65	17.05
	451.55	52.30	456.90	52.52	5.36
	26.99	45.24	32.04	45.49	5.06
	347.98	46.27	353.98	46.87	6.03
	4.06	48.28	9.97	48.45	5.90
	489.99	48.10	496.05	48.44	6.07
	136.13	48.75	157.01	50.12	20.93
	242.03	49.74	261.00	51.31	19.04
	397.55	49.18	405.09	49.72	7.56
	496.72	49.55	505.01	49.97	8.30
	602.99	49.36	618.02	49.62	15.03
	140.07	54.91	152.13	55.56	12.07
	4.01	51.77	10.00	51.79	5.99
	241.99	53.79	259.03	54.50	17.06
	577.90	53.73	583.04	53.92	5.14
	344.03	54.92	363.96	55.15	19.93
	419.00	58.68	431.96	59.58	12.99
	136.99	59.26	156.99	60.08	20.02
	473.82	61.58	486.17	62.18	12.36
	86.96	64.32	112.01	64.91	25.06
	555.00	64.00	560.92	63.83	5.93
	344.00	65.00	364.82	65.44	20.83
	94.13	92.17	129.91	95.13	35.90
	243.00	66.30	256.95	66.92	13.96
	607.90	65.71	616.16	65.55	8.26
	139.01	66.82	154.88	67.32	15.88
	204.99	68.63	225.91	69.70	20.95
	363.79	71.69	346.03	72.09	17.77
	196.80	70.26	202.94	70.73	6.16
	263.83	70.41	288.86	71.52	25.06
	303.05	71.12	313.99	71.64	10.95
	423.83	70.70	433.04	70.89	9.22
	315.89	71.25	325.95	71.80	10.07
	198.01	96.95	239.85	99.27	41.90
	373.00	77.50	399.94	78.75	26.98
	4.00	77.79	26.00	79.06	22.04
	99.71	77.63	106.00	78.13	6.31
	610.00	77.99	615.97	77.88	5.97
	566.07	78.89	578.53	78.51	12.46
	167.05	80.79	177.44	81.32	10.40
	607.00	84.00	616.10	84.50	9.11
	205.99	81.97	229.00	83.48	23.06
	524.01	82.08	536.07	81.64	12.07
	267.00	83.91	290.04	84.89	23.06
	306.00	85.00	329.07	85.24	23.07
	373.09	85.21	398.98	84.56	25.90
	3.97	85.85	27.83	86.73	23.87
	248.09	87.42	255.02	87.43	6.94
	607.00	88.01	618.98	87.62	11.98
	98.94	88.54	109.87	89.34	10.96
	295.96	99.41	338.06	100.46	42.12
	486.02	89.08	500.92	89.16	14.90
	53.00	89.97	93.10	92.56	40.18
	139.99	90.91	155.03	91.70	15.06
	419.01	94.67	434.99	94.18	15.99
	529.08	92.56	537.01	92.59	7.93
	521.97	96.52	600.96	94.26	79.02
	165.02	95.27	196.04	96.61	31.05
	54.87	153.06	86.06	154.51	31.23
	54.97	96.16	68.01	96.52	13.04
	348.01	96.14	361.94	96.38	13.94
	472.06	98.10	507.02	98.88	34.97
	265.99	97.79	294.97	99.53	29.03
	373.01	99.11	445.00	99.00	71.99
	165.80	101.41	196.89	102.33	31.11
	523.00	102.04	555.01	101.18	32.03
	608.04	102.37	620.01	102.20	11.97
	207.01	102.53	235.94	103.24	28.95
	246.09	103.72	256.97	104.26	10.90
	266.01	103.94	295.99	104.21	29.98
	305.02	104.36	335.00	105.01	29.99
	371.81	104.15	403.98	104.32	32.17
	413.04	104.43	443.00	103.84	29.96
	565.91	104.58	578.07	104.32	12.16
	580.96	104.49	586.09	104.43	5.14
	207.00	107.32	230.01	107.97	23.01
	247.04	107.72	258.02	107.75	10.98
	266.99	108.34	290.00	108.67	23.01
	413.95	108.50	440.55	108.51	26.60
	306.01	108.81	331.51	110.16	25.54
	330.08	160.24	317.86	159.54	12.24
	111.00	110.17	120.01	110.33	9.01
	484.06	110.15	489.96	110.27	5.91
	493.02	110.30	500.98	110.42	7.97
	573.95	114.70	594.14	114.23	20.20
	166.10	114.87	184.99	115.71	18.91
	247.07	115.96	255.09	116.36	8.03
