vx	vy	vz	score	numLines
0.03201131	0.99948751	0.00003119	5495.64	488
0.98108951	0.19355274	0.00084074	3418.86	208
-0.43885434	0.89855683	-0.00157762	441.06	168

nLines	x1	y1	x2	y2	length
488
	324.37	11.53	324.04	20.46	8.93
	140.26	3.93	140.26	9.08	5.15
	448.33	3.95	447.92	12.01	8.07
	486.66	3.96	486.80	9.99	6.03
	516.32	4.00	516.08	18.99	14.99
	519.63	4.00	519.85	9.00	5.01
	524.06	4.00	524.26	9.99	5.99
	527.83	4.00	527.97	12.00	8.00
	541.68	3.99	541.86	23.00	19.01
	566.07	4.00	565.95	33.07	29.07
	571.41	4.00	571.99	27.00	23.01
	575.96	4.00	576.40	28.95	24.95
	587.80	4.00	588.03	35.00	31.01
	614.93	4.00	615.52	49.98	45.98
	619.46	4.10	617.84	46.03	41.96
	623.60	3.99	623.90	44.98	40.99
	306.03	9.02	306.42	15.97	6.96
	246.96	14.02	247.83	31.87	17.88
	164.58	18.22	164.68	32.97	14.75
	266.52	17.96	265.99	31.00	13.05
	488.98	18.00	488.82	24.99	7.00
	93.05	23.94	93.96	46.98	23.06
	226.19	19.10	225.92	26.00	6.91
	344.32	19.95	344.44	32.00	12.05
	385.78	43.21	386.07	28.06	15.15
	524.43	27.96	524.57	34.99	7.04
	89.87	33.10	90.20	39.83	6.74
	236.62	35.97	236.42	41.11	5.15
	402.31	36.00	402.50	45.05	9.05
	145.91	37.00	146.55	53.05	16.06
	99.48	37.54	99.59	58.03	20.49
	155.57	39.01	155.66	44.01	5.00
	418.70	39.16	418.75	51.25	12.09
	115.96	41.00	116.26	60.00	19.00
	353.40	40.99	353.84	51.02	10.04
	125.34	42.00	125.53	62.94	20.93
	221.63	46.56	221.55	66.08	19.52
	453.02	45.02	452.77	57.03	12.01
	391.30	46.88	391.65	62.03	15.15
	397.12	50.01	397.71	61.99	11.99
	466.35	51.83	466.97	61.00	9.19
	407.68	53.03	408.01	59.14	6.12
	261.76	58.96	261.50	72.90	13.94
	267.55	61.23	268.02	67.00	5.79
	407.19	60.95	407.61	66.99	6.05
	95.15	61.99	94.90	70.96	8.97
	100.41	61.92	100.36	83.96	22.03
	510.32	61.76	510.81	70.97	9.23
	42.74	62.92	42.96	70.97	8.05
	107.45	63.09	107.30	85.03	21.93
	237.13	64.01	238.74	124.98	60.99
	401.69	63.92	401.13	75.96	12.05
	116.58	65.00	117.73	87.01	22.04
	245.91	64.96	249.74	194.95	130.05
	221.91	70.02	222.12	85.99	15.97
	125.96	67.00	125.50	87.95	20.96
	471.62	67.06	471.36	75.78	8.72
	241.28	71.09	243.69	103.17	32.18
	446.19	70.96	450.97	256.00	185.10
	545.97	72.01	546.03	79.01	7.00
	433.78	76.03	433.67	87.16	11.13
	441.54	73.96	440.30	130.99	57.05
	443.99	140.00	443.78	116.01	23.99
	350.61	77.03	351.00	88.00	10.97
	531.58	81.07	531.16	95.99	14.93
	147.20	81.97	146.62	96.12	14.16
	275.89	81.99	276.11	90.02	8.04
	327.55	82.07	328.35	96.12	14.07
	333.50	82.02	333.58	96.93	14.90
	345.92	81.97	346.04	87.83	5.86
	582.91	81.99	583.15	87.99	6.00
	156.34	84.13	156.10	94.03	9.90
	223.51	85.38	225.23	103.97	18.66
	337.96	86.01	338.79	108.85	22.86
	221.41	89.03	222.38	108.11	19.11
	95.95	88.01	95.94	93.03	5.01
	100.79	87.96	101.07	109.00	21.04
	566.00	88.00	565.49	98.96	10.97
	107.48	89.03	108.48	110.71	21.70
	568.76	89.02	569.62	100.91	11.92
	614.31	89.03	614.74	95.97	6.95
	117.21	90.03	118.58	112.02	22.03
	261.96	89.99	262.03	94.99	5.00
	424.09	89.95	424.52	110.01	20.07
	126.33	90.89	127.37	112.89	22.03
	511.28	91.07	510.90	101.03	9.96
	579.62	91.11	579.35	98.03	6.92
	429.26	91.99	429.20	103.12	11.14
	622.47	91.98	622.50	97.00	5.02
	350.71	92.91	350.59	107.32	14.41
	588.58	94.02	588.33	103.03	9.01
	404.20	94.99	404.76	106.99	12.02
	212.54	96.01	212.41	104.85	8.84
	462.95	97.00	464.44	116.97	20.03
	322.20	98.05	322.04	114.99	16.94
	346.01	98.00	345.94	104.00	6.00
	202.02	99.00	201.73	105.93	6.94
	327.69	99.01	328.34	116.07	17.08
	333.64	100.00	333.85	116.00	16.00
	484.94	102.02	484.84	111.99	9.97
	562.25	101.87	561.78	112.03	10.17
	433.78	107.19	434.29	118.03	10.85
	133.60	104.94	133.58	113.02	8.08
	592.58	108.97	592.68	117.02	8.05
	3.58	106.11	4.20	120.95	14.85
	519.73	105.87	520.20	125.99	20.12
	73.11	106.96	73.51	116.57	9.62
	225.30	106.92	225.70	125.97	19.05
	466.37	107.15	466.30	114.07	6.92
	164.10	107.96	164.88	116.28	8.35
	340.57	111.41	339.91	156.99	45.59
	527.86	118.03	528.17	148.98	30.95
	539.06	110.98	538.97	120.00	9.02
	351.15	111.94	351.90	123.98	12.07
	101.43	112.93	101.57	135.07	22.14
	96.39	114.05	97.69	133.97	19.97
	108.26	114.04	109.03	135.99	21.96
	117.97	115.00	118.17	134.99	20.00
	398.82	114.99	399.18	131.88	16.90
	614.75	115.01	614.62	123.74	8.73
	127.55	115.96	127.73	137.01	21.05
	321.64	117.05	322.81	135.04	18.03
	485.07	116.99	485.29	127.04	10.05
	412.35	117.99	413.31	146.99	29.02
	569.27	117.98	570.02	136.00	18.03
	276.61	118.95	276.58	134.96	16.00
	328.00	119.00	328.48	134.00	15.00
	511.59	118.73	511.23	130.88	12.16
	333.99	120.00	334.27	136.00	16.01
	266.19	121.08	265.70	132.07	11.00
	466.71	120.94	467.32	134.97	14.04
	470.19	122.01	471.30	151.99	30.00
	586.48	121.99	586.49	129.99	8.01
	91.73	126.11	92.03	136.98	10.87
	539.03	126.01	538.98	135.00	9.00
	4.76	126.95	5.36	142.92	15.98
	225.14	128.02	226.29	147.96	19.98
	238.54	127.97	239.80	168.97	41.02
	620.90	128.03	620.60	137.81	9.79
	133.45	128.85	134.82	170.01	41.19
	520.15	130.00	520.56	140.97	10.97
	523.37	130.01	523.74	141.98	11.97
	223.33	131.88	223.46	137.10	5.22
	404.64	135.09	405.00	149.00	13.91
	586.60	133.95	586.69	143.01	9.06
	19.14	135.01	19.32	141.00	5.99
	399.07	135.00	399.83	146.98	12.00
	593.29	134.98	593.47	142.99	8.02
	515.37	136.03	515.06	146.95	10.92
	322.56	137.11	323.26	154.96	17.86
	263.23	137.84	264.14	151.97	14.16
	571.45	138.00	572.27	148.99	11.02
	101.95	138.99	102.31	159.97	20.98
	109.07	139.02	109.38	161.07	22.06
	328.56	139.02	329.78	155.96	16.98
	334.34	139.05	335.27	157.01	17.98
	425.36	138.98	425.94	152.02	13.05
	13.80	139.93	14.16	144.98	5.06
	118.56	140.00	119.77	161.96	22.00
	127.92	141.00	128.30	161.97	20.98
	279.03	141.01	279.35	146.94	5.94
	615.22	140.99	615.42	147.91	6.91
	268.80	141.99	269.37	152.86	10.88
	441.32	141.98	440.23	211.00	69.03
	19.29	143.04	20.13	153.24	10.24
	634.45	143.00	634.64	150.92	7.93
	454.30	144.03	455.23	154.95	10.96
	523.62	145.11	524.11	157.00	11.90
	566.59	144.89	566.62	154.06	9.17
	275.35	145.97	275.41	152.93	6.96
	415.77	186.94	415.94	146.95	39.99
	486.10	146.99	486.17	157.03	10.05
	351.96	148.02	352.03	162.94	14.92
	358.05	163.51	357.65	148.92	14.59
	442.62	147.94	445.17	240.99	93.08
	520.86	147.99	520.49	155.99	8.01
	65.21	149.01	66.24	163.92	14.94
	398.99	149.00	398.98	165.00	16.00
	589.71	149.04	589.59	156.06	7.02
	5.15	149.95	5.95	190.98	41.03
	10.57	189.81	9.63	178.93	10.92
	149.57	150.24	149.78	168.00	17.76
	225.96	151.01	226.98	169.00	18.02
	572.34	150.98	572.36	162.83	11.85
	405.07	151.99	405.99	166.00	14.03
	528.58	151.83	528.30	198.08	46.25
	619.39	152.91	619.30	160.97	8.07
	223.99	175.00	224.32	189.05	14.05
	471.39	154.13	471.92	168.99	14.86
	539.22	153.95	539.27	163.97	10.03
	425.50	155.03	426.07	167.98	12.96
	223.64	156.00	223.93	171.97	15.97
	367.44	156.94	367.51	161.96	5.01
	430.64	156.81	430.78	166.02	9.21
	323.24	158.05	323.80	175.03	16.99
	562.89	158.00	562.75	166.00	8.00
	264.36	158.96	264.29	165.11	6.15
	334.78	159.00	335.09	175.95	16.96
	593.60	160.38	593.72	169.04	8.65
	459.75	161.00	459.31	170.07	9.08
	520.70	160.96	520.98	172.00	11.05
	524.24	161.02	524.16	172.91	11.89
	586.75	162.02	587.06	169.00	6.99
	622.10	162.04	622.91	206.00	43.97
	313.07	163.04	313.36	170.79	7.76
	467.59	163.00	467.88	168.01	5.02
	486.18	162.92	486.64	173.95	11.04
	102.51	163.92	102.81	185.00	21.09
	109.31	164.07	109.72	185.00	20.93
	490.25	163.98	490.81	173.03	9.07
	573.89	164.03	573.51	189.98	25.95
	119.39	164.96	119.68	187.03	22.07
	615.94	164.96	615.64	173.00	8.04
	96.92	169.05	98.30	184.97	15.97
	128.65	166.03	128.44	187.04	21.01
	352.26	165.94	352.16	177.01	11.07
	364.86	166.01	364.95	179.00	13.00
	399.93	169.07	400.38	183.19	14.13
	434.86	167.05	435.99	184.00	16.99
	539.50	167.08	539.55	178.02	10.94
	263.95	167.98	264.28	173.97	6.00
	405.34	168.02	406.01	182.00	14.00
	377.87	170.95	377.56	178.03	7.09
	471.74	171.03	473.03	186.00	15.03
