vx	vy	vz	score	numLines
0.99999991	-0.00042182	-0.00000814	9538.21	358
0.02322827	0.99973019	0.00006412	2010.86	232
0.88798955	-0.45986363	-0.00002445	680.23	57

nLines	x1	y1	x2	y2	length
358
	85.01	11.21	111.94	9.62	26.98
	138.90	9.38	158.04	9.48	19.14
	416.01	9.24	434.04	9.87	18.04
	438.00	8.99	446.97	9.08	8.97
	318.87	11.56	342.97	12.25	24.11
	581.98	11.47	589.01	11.37	7.03
	592.01	11.31	604.03	11.40	12.01
	145.95	12.57	155.00	12.92	9.05
	416.06	12.40	428.00	13.19	11.97
	226.93	13.22	238.94	13.65	12.02
	268.01	13.08	315.99	13.11	47.98
	271.03	15.50	280.00	15.67	8.98
	285.02	15.80	295.01	15.63	9.99
	299.06	15.77	309.01	15.85	9.95
	459.96	17.33	484.94	15.87	25.03
	140.03	18.69	156.95	18.83	16.92
	97.25	24.20	111.80	24.17	14.55
	370.14	24.42	388.03	25.42	17.92
	539.01	44.47	436.00	45.19	103.02
	608.00	24.02	618.00	23.98	10.00
	269.98	25.06	277.00	25.04	7.02
	336.00	24.96	343.93	24.69	7.93
	367.06	26.80	388.55	27.57	21.51
	414.21	26.59	431.99	27.64	17.81
	302.00	29.25	333.04	28.57	31.05
	438.07	30.78	445.97	30.23	7.91
	544.12	33.59	634.00	33.30	89.89
	183.93	38.10	194.00	38.05	10.08
	577.00	38.30	587.00	38.04	10.00
	84.99	38.88	165.98	39.07	80.99
	357.93	40.28	537.96	39.27	180.04
	358.00	45.00	427.99	45.13	69.99
	338.27	54.65	347.00	55.24	8.75
	436.79	55.28	460.02	55.48	23.23
	318.94	56.72	337.03	55.94	18.11
	464.99	58.66	476.03	58.46	11.04
	508.23	56.31	524.99	55.69	16.76
	149.00	57.01	157.00	56.87	8.00
	426.99	57.03	432.96	57.18	5.97
	177.06	59.38	169.12	59.63	7.95
	341.00	61.70	327.94	62.28	13.07
	328.98	59.44	340.99	59.19	12.02
	212.00	60.03	255.97	60.39	43.97
	266.93	60.41	316.07	60.31	49.14
	561.99	60.67	572.01	60.54	10.01
	180.01	62.15	207.01	62.47	27.00
	273.90	62.34	279.03	62.45	5.12
	300.03	62.79	309.00	62.84	8.97
	265.87	74.66	297.00	75.11	31.13
	214.20	63.26	222.00	62.75	7.81
	285.05	62.59	294.98	62.81	9.93
	552.03	68.62	558.00	68.50	5.97
	566.11	68.42	572.97	68.25	6.86
	91.98	71.04	111.91	71.70	19.94
	228.97	71.17	236.00	71.02	7.03
	241.96	70.88	251.99	71.12	10.03
	272.04	71.30	280.01	71.27	7.97
	593.02	70.90	602.00	71.01	8.98
	608.03	70.91	616.94	70.86	8.91
	139.00	71.96	158.69	71.58	19.70
	320.03	72.11	340.02	72.25	19.99
	343.03	76.33	310.03	76.83	33.01
	309.03	72.56	315.03	72.73	6.00
	366.96	73.27	388.00	74.01	21.05
	412.99	73.59	431.99	73.75	19.00
	170.84	73.76	262.00	74.73	91.16
	545.02	74.55	634.05	74.25	89.03
	91.20	74.55	101.13	75.14	9.94
	449.20	76.80	465.87	75.69	16.70
	298.99	76.11	306.02	76.11	7.03
	436.99	77.02	445.96	76.78	8.97
	167.05	80.66	354.95	81.19	187.90
	544.01	80.96	634.00	80.75	89.99
	85.03	84.53	166.65	84.55	81.62
	357.87	86.46	536.94	85.27	179.07
	186.92	86.80	196.99	87.10	10.08
	222.98	86.93	228.00	86.89	5.02
	229.99	87.26	237.88	87.30	7.90
	240.99	87.07	249.99	87.03	9.00
	85.02	89.82	166.00	90.53	80.99
	177.00	90.35	181.99	90.04	5.00
	187.83	90.50	195.94	90.67	8.11
	231.90	90.78	238.18	90.67	6.28
	358.00	91.09	428.98	90.84	70.99
	176.99	92.83	201.00	93.99	24.04
	221.94	93.71	246.83	94.19	24.89
	232.83	98.49	241.00	98.09	8.18
	139.28	100.37	156.99	99.18	17.75
	185.77	101.27	197.09	101.33	11.33
	436.99	101.09	446.93	101.17	9.94
	448.36	101.26	461.98	102.02	13.64
	489.00	101.58	499.00	101.29	10.01
	104.02	101.65	110.10	101.74	6.08
	150.06	101.70	155.99	102.10	5.95
	318.34	102.32	330.00	102.03	11.66
	509.02	102.07	526.05	101.74	17.03
	551.00	101.96	578.01	101.87	27.02
	85.01	103.31	91.10	103.28	6.10
	447.67	122.02	459.95	121.65	12.28
	380.05	104.14	385.99	103.83	5.95
	580.97	105.83	588.00	105.96	7.03
	172.02	107.25	206.01	108.21	34.01
	214.00	107.31	251.00	107.80	37.00
	278.96	107.34	316.00	107.01	37.04
	219.09	109.29	213.10	109.60	6.00
	289.21	112.19	301.76	112.29	12.55
	289.99	114.12	300.96	114.74	10.98
	175.01	116.12	207.87	117.53	32.89
	218.97	116.30	253.12	117.65	34.18
	367.01	119.16	381.01	119.30	14.01
	271.01	118.05	279.99	117.98	8.98
	266.00	121.19	294.00	121.62	28.00
	319.93	118.45	328.97	118.72	9.04
	413.14	118.59	432.94	117.55	19.83
	471.90	118.66	481.03	118.28	9.13
	508.89	117.62	527.94	118.38	19.07
	170.91	120.18	223.99	120.39	53.08
	230.00	122.41	220.02	122.29	9.98
	305.00	120.01	317.00	120.06	11.99
	168.00	127.32	354.00	128.02	186.00
	357.34	136.50	430.21	136.37	72.87
	169.89	122.28	175.00	122.52	5.12
	186.89	122.44	203.97	122.26	17.08
	298.01	122.78	316.99	122.82	18.98
	537.01	136.31	433.99	136.50	103.03
	85.01	130.22	164.00	130.35	79.00
	358.01	131.56	537.96	130.82	179.96
	85.00	135.05	172.00	135.66	87.00
	288.04	139.15	345.00	139.11	56.96
	289.20	142.23	337.00	141.97	47.80
	92.84	146.31	112.02	146.52	19.18
	140.07	146.28	157.98	146.60	17.91
	368.99	146.88	388.00	146.05	19.02
	185.99	147.73	208.78	147.52	22.79
	318.92	147.75	335.00	147.19	16.10
	435.84	147.30	460.98	147.18	25.14
	551.06	147.18	570.42	147.65	19.36
	330.01	150.64	340.99	150.49	10.99
	572.00	150.00	577.94	149.70	5.95
	110.02	151.41	94.98	152.31	15.06
	197.05	167.85	261.99	168.15	64.95
	168.04	153.31	177.00	153.24	8.95
	211.97	153.58	251.94	154.69	39.99
	289.78	153.46	315.00	153.33	25.23
	267.96	153.78	284.98	154.06	17.03
	96.03	156.61	106.00	156.97	9.98
	172.00	156.15	177.05	156.17	5.05
	298.99	156.65	307.06	156.76	8.07
	275.96	169.60	290.99	168.86	15.05
	315.89	156.77	344.97	157.73	29.09
	93.10	162.28	111.71	162.37	18.61
	268.97	163.15	279.00	163.01	10.03
	425.94	163.10	433.92	162.58	7.99
	462.99	163.04	480.00	163.01	17.02
	319.98	164.20	331.00	164.27	11.02
	336.01	164.22	346.88	163.71	10.88
	198.98	164.88	206.01	164.91	7.02
	227.02	165.14	237.06	164.73	10.05
	242.00	165.02	253.13	165.22	11.13
	367.07	164.57	388.93	165.43	21.88
	167.01	174.46	354.93	175.12	187.92
	416.99	165.62	424.00	165.63	7.01
	302.03	166.62	315.02	166.85	12.99
	325.01	168.44	346.96	168.76	21.96
	293.01	169.61	318.00	169.78	24.99
	85.00	175.92	163.99	176.14	78.99
	358.01	182.17	429.00	182.02	70.99
	473.00	191.01	481.98	191.08	8.98
	158.76	208.73	139.10	208.53	19.65
	369.08	192.54	388.75	192.36	19.67
	435.23	193.09	469.99	192.10	34.78
	93.98	192.89	109.99	193.07	16.01
	141.12	193.27	147.03	193.07	5.92
	148.55	193.39	157.00	193.01	8.46
	197.16	193.58	206.99	193.28	9.83
	318.00	193.57	334.99	193.09	17.00
	418.01	192.83	423.99	192.86	5.98
	509.94	209.66	525.99	209.79	16.05
	85.00	194.32	91.02	194.17	6.03
	550.16	194.49	577.96	194.70	27.80
	370.02	195.48	380.96	196.23	10.96
	305.97	216.85	291.02	216.33	14.95
	327.04	197.10	340.92	197.12	13.88
	464.00	196.02	469.01	196.13	5.02
	480.03	209.73	453.05	209.24	26.99
	267.00	200.82	312.96	200.32	45.96
	325.98	201.78	339.99	202.35	14.02
	606.00	201.72	618.01	201.51	12.01
	510.02	203.27	526.99	203.07	16.97
	548.84	204.06	557.12	203.65	8.29
	211.99	204.13	223.15	204.65	11.17
	299.03	203.78	304.97	203.79	5.93
	317.10	214.05	299.00	213.61	18.10
	320.99	206.37	337.96	206.43	16.98
	367.02	209.95	387.96	210.84	20.96
	412.99	210.30	420.99	210.77	8.01
	243.01	212.14	252.19	212.28	9.19
	270.00	211.97	278.14	212.32	8.15
	171.31	214.32	262.00	214.99	90.69
	325.99	213.88	351.98	215.57	26.04
	266.00	215.08	290.04	215.20	24.04
	307.68	216.60	322.00	216.02	14.33
	166.99	221.08	354.01	221.86	187.02
	85.02	221.55	163.00	222.04	77.98
	537.87	222.39	357.95	223.19	179.92
	535.01	228.13	435.00	228.04	100.01
	85.02	226.66	165.02	226.80	80.00
	357.99	227.89	429.18	228.66	71.19
	320.02	238.27	336.01	238.04	15.99
	92.49	238.67	112.95	238.06	20.47
	139.11	238.12	158.75	238.36	19.64
	428.00	237.04	446.85	238.31	18.90
	180.08	238.40	208.94	238.27	28.86
	371.00	238.94	377.01	238.78	6.02
	508.99	239.50	525.00	239.00	16.02
	550.05	239.23	576.98	239.29	26.93
	85.00	240.23	90.00	239.98	5.01
	448.54	260.32	458.00	260.99	9.48
	170.00	247.03	177.03	246.73	7.04
	337.00	247.10	343.00	247.16	6.00
	209.22	248.42	182.01	248.94	27.21
	322.00	247.66	329.00	247.76	7.00
	380.98	248.43	386.15	248.68	5.18
	426.95	247.85	431.96	247.84	5.01
	463.05	254.81	480.10	254.61	17.06
	581.00	248.71	587.01	248.74	6.01
	591.02	248.87	602.99	248.68	11.98
	212.98	250.23	222.99	250.62	10.01
	140.00	254.02	158.01	254.09	18.01
	216.99	258.05	222.00	257.98	5.00
	469.06	259.76	488.00	260.97	18.98
	172.01	261.37	279.01	260.45	107.00
	437.00	261.01	445.97	260.84	8.97
	305.96	263.33	316.98	263.25	11.03
	543.96	262.89	634.00	262.99	90.04
	358.03	268.43	536.00	268.48	177.97
	85.00	266.99	162.99	267.31	77.99
	167.03	267.66	353.97	268.37	186.94
	357.23	273.53	429.01	273.12	71.78
	536.98	273.80	434.99	273.43	101.98
	426.88	283.17	445.96	284.09	19.11
	85.00	272.03	172.00	272.44	87.00
	93.98	281.29	101.83	281.36	7.86
	319.01	283.31	331.00	283.20	11.99
	179.14	284.41	198.03	283.70	18.90
	319.63	285.47	330.00	285.91	10.38
	117.16	286.84	122.92	286.77	5.75
	525.17	288.41	509.97	288.86	15.20
	268.99	308.85	284.00	308.82	15.01
	182.00	293.02	192.00	292.97	9.99
	170.95	293.82	178.00	293.83	7.05
	209.93	294.19	220.00	294.02	10.07
	278.02	295.66	307.05	293.75	29.09
	315.99	296.02	331.73	295.43	15.74
	333.99	295.08	341.03	295.28	7.04
	181.99	296.14	197.99	296.53	16.01
	227.96	296.67	233.11	296.35	5.16
	581.11	295.86	588.00	295.95	6.89
	284.99	296.95	303.03	296.83	18.04
	204.00	300.75	220.99	301.09	17.00
	413.09	301.63	435.00	300.83	21.93
	509.12	301.16	526.01	301.78	16.90
	598.01	300.97	603.01	301.09	5.01
	436.95	306.59	458.98	306.55	22.03
	212.01	304.77	222.01	304.53	10.00
	241.99	305.05	251.07	304.75	9.08
	171.99	308.32	200.04	309.60	28.07
	202.02	308.25	265.07	308.61	63.05
	308.01	309.94	354.07	308.12	46.09
	357.96	314.25	535.98	314.29	178.02
	544.02	309.60	634.02	310.55	90.01
	85.00	313.06	163.00	313.01	78.00
	166.19	314.33	354.00	315.29	187.81
	283.02	316.28	301.99	316.31	18.97
	313.00	316.33	319.00	316.37	6.00
	357.99	318.92	429.00	319.07	71.01
	338.99	327.98	318.08	329.25	20.95
	139.12	328.18	157.99	328.01	18.88
	94.04	328.19	99.97	328.55	5.95
	179.87	328.54	208.97	328.29	29.10
	371.04	329.38	377.98	329.23	6.94
	380.02	329.14	387.01	329.15	6.99
	435.92	329.51	474.02	331.49	38.15
	283.04	355.32	265.99	355.55	17.05
	487.32	330.92	494.04	330.50	6.73
	510.03	330.66	525.97	330.58	15.95
	181.95	332.25	193.94	332.24	11.99
	196.01	332.20	207.96	332.26	11.95
	510.00	336.97	526.02	337.15	16.02
	268.01	340.24	296.99	339.31	28.99
	462.94	346.16	481.04	347.28	18.13
	169.02	340.39	176.00	340.40	6.98
	200.95	340.10	205.98	340.43	5.03
	297.94	340.68	304.96	341.10	7.03
	370.98	341.33	377.83	341.54	6.86
	380.04	341.66	386.07	341.34	6.04
	581.98	343.70	593.03	344.36	11.07
	271.01	343.84	277.97	343.91	6.96
	245.09	344.53	252.03	344.58	6.94
	179.98	345.95	207.99	346.13	28.02
	319.96	346.49	345.99	346.53	26.02
	370.05	347.41	378.01	347.44	7.97
	509.10	346.71	526.81	347.34	17.73
	595.04	352.08	601.97	351.62	6.95
	269.95	351.77	280.01	351.91	10.06
	294.00	353.72	316.02	353.90	22.02
	349.97	354.21	356.89	353.88	6.93
	171.99	355.10	261.97	355.31	89.98
	285.01	356.84	345.99	355.83	60.99
	356.90	360.30	428.99	360.11	72.10
	85.03	358.55	163.01	358.75	77.97
	432.99	359.89	479.01	359.88	46.02
	168.99	361.40	353.99	362.26	185.00
	85.00	363.82	165.98	363.80	80.98
	357.98	364.80	428.98	364.69	71.00
	432.97	364.93	479.00	364.94	46.03
	264.07	400.98	292.01	402.53	27.99
	181.00	374.03	192.98	374.53	11.98
	94.05	375.66	110.07	375.76	16.02
	140.96	375.44	156.95	375.82	15.99
	197.97	375.86	208.02	375.33	10.07
	319.02	376.80	347.12	375.28	28.14
	416.97	376.13	433.00	376.55	16.03
	437.01	375.60	446.81	376.18	9.82
	450.02	375.66	461.56	376.32	11.56
	117.89	377.30	122.96	377.22	5.06
	182.01	377.02	193.00	377.00	10.99
	156.82	390.55	149.16	390.61	7.66
	102.98	388.80	110.02	388.52	7.04
	213.00	387.62	223.00	387.99	10.00
	267.99	387.74	303.00	388.00	35.02
	319.01	388.33	326.00	388.32	6.99
	331.97	388.24	340.99	388.43	9.02
	140.06	390.71	146.89	390.65	6.83
	317.79	390.66	326.00	391.06	8.22
	367.06	392.83	388.10	391.76	21.07
	413.97	393.08	434.03	391.94	20.08
	328.14	393.52	343.99	393.12	15.85
	318.04	395.35	326.92	395.85	8.89
	211.97	399.17	220.10	399.46	8.13
	436.95	399.18	448.00	399.00	11.05
	252.00	402.41	178.98	402.42	73.02
	164.00	409.73	102.92	411.43	61.10
	96.97	401.97	102.04	401.92	5.07
	309.00	402.87	358.05	403.45	49.05
