vx	vy	vz	score	numLines
0.97295713	-0.23098504	-0.00058499	6008.64	339
-0.13029749	0.99147487	-0.00038511	3724.57	215
-0.59682878	0.80236354	0.00285738	445.29	147

nLines	x1	y1	x2	y2	length
339
	322.44	8.39	340.12	3.72	18.29
	369.29	56.12	374.90	55.22	5.69
	432.07	52.23	437.21	51.56	5.18
	380.56	54.73	387.91	53.25	7.50
	417.13	54.76	425.18	53.67	8.13
	421.86	55.55	430.90	54.55	9.10
	332.11	60.25	346.82	57.37	14.99
	409.01	58.10	415.94	57.03	7.01
	385.02	59.36	374.00	61.00	11.14
	408.97	65.84	452.73	59.40	44.23
	385.02	64.96	412.99	62.17	28.11
	371.07	64.21	379.00	62.69	8.07
	507.03	70.17	535.85	65.29	29.23
	357.88	69.19	376.82	65.65	19.27
	359.04	73.46	407.20	66.66	48.63
	314.52	68.98	319.96	68.08	5.51
	319.88	75.34	350.97	68.13	31.92
	535.07	69.49	475.95	77.36	59.65
	330.96	71.96	340.99	70.08	10.20
	320.94	72.87	327.99	71.93	7.12
	344.94	75.09	349.97	74.40	5.07
	314.08	76.06	288.99	80.97	25.56
	242.99	91.98	334.91	76.21	93.26
	494.08	80.35	529.98	75.87	36.18
	297.99	86.88	357.94	76.64	60.82
	396.08	80.37	419.03	77.17	23.18
	273.90	80.74	279.00	80.05	5.15
	540.00	80.94	555.00	79.79	15.04
	419.90	80.88	396.00	84.65	24.20
	508.99	84.98	524.03	83.48	15.11
	191.91	87.95	213.02	85.75	21.22
	495.01	86.34	507.07	84.77	12.17
	529.06	88.70	561.02	84.57	32.23
	213.05	88.96	221.23	87.43	8.31
	348.95	90.76	372.82	87.74	24.06
	277.03	90.10	286.10	88.52	9.21
	498.97	95.90	561.05	88.28	62.55
	396.50	92.67	418.06	88.83	21.90
	261.00	92.99	273.99	90.66	13.20
	199.91	96.33	227.18	92.20	27.58
	232.91	93.51	241.95	92.20	9.14
	339.07	92.38	317.02	95.57	22.28
	349.00	95.00	370.98	91.79	22.21
	236.96	96.86	259.00	93.06	22.36
	337.95	96.71	317.01	99.73	21.15
	397.74	96.00	416.96	92.81	19.49
	388.04	95.07	395.00	94.01	7.04
	578.97	94.87	588.00	93.87	9.08
	481.97	97.73	496.99	96.09	15.11
	185.83	98.80	194.97	97.15	9.30
	286.99	100.27	308.17	97.72	21.33
	306.99	101.48	286.96	104.62	20.27
	153.97	100.07	159.00	98.99	5.15
	348.07	102.09	368.98	98.90	21.16
	375.07	104.07	381.06	103.61	6.01
	165.94	102.29	181.03	99.80	15.30
	184.06	103.16	200.07	100.38	16.24
	619.94	105.08	609.15	106.69	10.90
	247.95	101.97	255.01	100.82	7.15
	257.02	105.09	277.96	101.50	21.25
	277.04	106.17	256.99	109.50	20.33
	369.00	102.45	351.68	105.72	17.62
	388.94	102.32	393.99	101.84	5.07
	153.97	105.28	165.00	102.89	11.28
	213.69	104.81	220.11	103.84	6.49
	458.91	104.37	465.06	103.27	6.26
	156.08	108.47	182.02	103.57	26.39
	319.09	106.44	338.14	103.78	19.24
	341.06	105.09	347.00	103.95	6.05
	523.94	104.29	500.00	106.96	24.09
	591.03	105.71	598.09	104.47	7.16
	247.94	106.40	226.97	109.91	21.26
	595.10	108.47	608.03	106.15	13.14
	248.05	110.71	226.95	113.79	21.33
	485.02	108.60	498.08	107.21	13.13
	285.44	111.48	307.00	109.00	21.70
	309.89	109.59	315.00	108.94	5.15
	482.97	114.44	522.01	110.10	39.29
	185.96	113.75	203.00	111.03	17.26
	203.04	115.24	185.05	118.29	18.25
	289.17	115.15	305.02	112.05	16.14
	255.13	116.20	276.32	113.66	21.35
	273.99	116.43	264.02	118.15	10.11
	521.94	120.38	530.99	119.86	9.07
	229.10	120.17	244.99	117.53	16.11
	558.02	120.30	571.91	117.65	14.14
	598.97	127.56	625.00	122.99	26.43
	399.01	127.04	420.01	124.12	21.20
	521.00	125.05	528.98	124.04	8.05
	519.95	127.83	540.98	123.90	21.40
	499.14	128.64	519.00	126.09	20.02
	614.85	126.27	609.00	127.08	5.90
	616.93	126.40	623.99	125.88	7.08
	469.02	128.62	473.96	127.79	5.01
	397.33	137.09	373.81	140.73	23.80
	458.05	147.88	633.98	128.85	176.96
	349.67	135.46	372.93	132.80	23.41
	430.97	134.56	447.20	133.54	16.25
	476.99	133.97	482.02	133.19	5.09
	628.09	133.67	634.08	133.36	6.00
	633.99	136.84	615.98	138.30	18.07
	601.09	136.63	608.08	136.19	7.00
	318.09	140.22	338.99	136.85	21.17
	353.01	139.97	371.74	137.61	18.88
	481.93	138.88	492.01	138.28	10.09
	613.94	138.43	459.98	154.05	154.75
	394.21	143.49	420.07	139.28	26.20
	497.90	139.40	483.00	141.40	15.03
	565.06	140.68	575.06	139.48	10.07
	479.89	141.41	459.07	143.58	20.93
	287.23	144.33	307.00	141.14	20.03
	339.62	140.64	321.01	143.92	18.89
	292.04	167.24	431.98	140.87	142.40
	542.06	142.72	556.00	141.05	14.04
	530.95	144.40	536.12	143.46	5.25
	457.93	162.36	634.00	143.99	177.03
	319.09	151.23	305.33	153.61	13.96
	439.97	146.68	451.31	145.51	11.40
	494.97	147.63	524.14	144.53	29.34
	258.05	148.32	275.97	145.82	18.09
	437.94	147.37	418.00	149.67	20.07
	458.38	150.60	492.06	148.39	33.75
	304.94	167.71	406.88	149.36	103.57
	260.00	152.10	275.00	150.02	15.15
	458.98	167.82	634.03	150.24	175.93
	274.14	157.20	286.02	155.45	12.01
	372.15	160.54	447.01	153.93	75.16
	607.05	160.22	628.00	156.66	21.26
	253.96	163.32	287.98	157.65	34.49
	374.05	167.39	446.99	159.54	73.36
	561.07	164.69	544.86	167.04	16.38
	579.61	162.58	595.01	161.11	15.47
	254.05	167.23	285.00	162.62	31.29
	371.97	170.49	305.01	178.09	67.39
	299.75	174.30	373.01	165.05	73.85
	388.98	172.89	438.01	166.91	49.39
	520.89	168.70	535.08	167.42	14.25
	286.93	170.44	294.00	169.98	7.09
	265.03	172.18	274.09	171.58	9.08
	64.01	180.94	123.99	171.94	60.65
	279.97	174.78	260.89	176.36	19.15
	462.69	174.69	477.04	172.75	14.48
	388.06	179.13	431.01	175.29	43.12
	318.42	184.59	367.00	177.85	49.04
	283.79	180.40	252.98	183.97	31.01
	514.98	179.98	509.29	180.72	5.74
	398.01	183.12	422.02	181.37	24.07
	336.02	185.13	365.81	183.89	29.81
	69.97	184.35	3.96	194.71	66.82
	7.92	199.59	122.99	184.88	116.01
	289.02	186.60	295.11	185.63	6.17
	621.24	187.00	628.96	185.75	7.82
	4.00	204.01	113.01	189.69	109.95
	122.99	190.92	78.97	196.88	44.42
	253.99	190.28	272.00	189.00	18.06
	429.44	238.91	424.01	239.17	5.44
	594.07	191.79	612.99	190.05	19.00
	403.01	195.28	421.08	193.39	18.16
	27.12	208.14	124.07	194.13	97.95
	533.98	197.49	552.02	195.34	18.17
	477.02	201.45	494.05	200.49	17.06
	3.98	219.31	124.03	205.53	120.84
	3.95	210.46	25.98	209.13	22.07
	98.02	214.02	109.04	213.25	11.05
	81.03	216.35	90.11	214.81	9.21
	536.97	217.11	551.96	215.86	15.04
	61.92	217.90	73.06	217.33	11.15
	32.01	221.62	39.02	221.13	7.03
	15.05	223.26	20.12	222.67	5.11
	591.01	231.52	626.01	228.77	35.11
	564.01	233.29	528.97	235.93	35.13
	618.09	236.13	624.64	235.41	6.58
	605.21	237.26	612.23	236.66	7.04
	403.96	237.43	422.98	236.82	19.03
	70.98	238.72	82.01	238.28	11.03
	471.05	240.14	502.99	238.13	32.01
	542.85	241.63	550.04	240.95	7.22
	14.98	243.78	6.12	245.15	8.97
	483.99	245.99	490.15	245.21	6.21
	552.00	248.51	598.02	244.64	46.18
	600.99	244.82	608.11	244.51	7.13
	553.96	252.52	601.98	249.75	48.11
	544.99	248.92	539.99	249.23	5.01
	414.04	251.42	450.93	247.30	37.12
	618.96	248.55	633.99	247.34	15.08
	490.99	251.88	537.00	248.58	46.14
	375.72	253.78	410.99	253.60	35.27
	445.94	254.31	456.01	253.78	10.09
	485.00	252.39	478.97	252.80	6.05
	419.00	256.08	441.96	254.38	23.03
	517.04	253.57	542.98	253.06	25.94
	493.99	256.28	520.00	255.56	26.02
	587.06	256.70	594.04	256.70	6.99
	384.96	258.53	408.94	256.67	24.06
	473.02	258.07	482.95	257.16	9.97
	583.99	259.84	633.97	256.78	50.07
	557.05	258.64	564.04	258.62	6.99
	525.04	260.65	534.04	260.72	8.99
	523.99	263.70	577.98	260.89	54.06
	367.98	261.33	355.97	262.41	12.07
	454.00	262.00	442.99	263.33	11.09
	583.93	264.68	633.99	262.78	50.09
	357.02	270.47	440.01	264.94	83.17
	460.14	266.49	514.97	264.43	54.87
	577.00	265.49	521.01	269.85	56.16
	99.23	267.60	119.85	265.51	20.72
	624.10	266.41	619.02	266.64	5.08
	64.04	269.35	82.00	268.48	17.98
	389.01	272.84	436.00	269.11	47.14
	626.98	269.45	633.00	268.89	6.04
	459.94	272.86	515.01	270.10	55.15
	30.00	271.90	46.98	270.82	17.01
	357.02	276.31	383.97	272.84	27.17
	537.85	274.48	530.05	275.12	7.82
	500.00	277.19	507.00	276.96	7.01
	85.00	277.00	91.02	276.88	6.02
	577.03	279.46	587.00	278.99	9.98
	73.99	282.65	104.91	282.73	30.92
	28.96	285.38	5.00	286.97	24.01
	358.00	281.85	373.98	280.88	16.01
	444.99	282.49	436.00	283.05	9.00
	514.05	283.38	523.98	282.67	9.96
	577.02	283.79	587.85	282.69	10.88
	515.00	287.10	523.95	286.69	8.96
	381.43	286.11	391.98	285.33	10.58
	284.02	287.59	293.03	286.62	9.06
	296.20	286.55	308.96	285.73	12.79
	392.02	289.10	383.00	289.74	9.04
	68.03	288.04	76.07	287.58	8.06
	48.98	288.69	56.04	288.57	7.07
	88.00	289.29	123.12	288.52	35.13
	415.09	288.69	400.99	289.97	14.16
	33.10	290.11	40.02	289.62	6.94
	11.98	290.63	20.04	290.47	8.06
	53.00	291.22	82.97	289.81	30.00
	302.01	290.39	311.02	289.68	9.04
	19.00	292.97	49.18	292.52	30.19
	85.57	292.06	121.85	291.77	36.27
	4.00	293.87	12.97	293.53	8.98
	82.97	293.23	51.15	294.10	31.84
	367.99	294.31	358.00	294.95	10.02
	606.08	295.24	623.00	294.02	16.96
	48.52	295.04	16.60	295.87	31.94
	311.37	298.29	284.00	299.98	27.43
	4.01	298.05	12.97	296.92	9.04
	265.69	297.00	271.02	297.01	5.32
	544.02	298.35	559.02	297.82	15.02
	358.05	303.14	374.19	302.64	16.15
	586.98	302.85	594.00	302.10	7.06
	612.00	302.06	617.00	302.08	5.01
	254.01	304.48	276.95	303.21	22.97
	522.06	305.39	530.98	305.56	8.92
	389.01	308.95	398.04	308.51	9.04
	253.01	316.40	339.99	312.37	87.08
	103.10	316.79	112.00	315.99	8.93
	376.97	317.55	397.99	316.91	21.03
	359.99	319.06	373.98	318.86	13.99
	311.02	325.68	343.01	324.04	32.03
	252.98	327.13	268.13	326.55	15.16
	274.02	327.07	304.97	325.57	30.98
	313.97	329.35	348.33	327.58	34.40
	589.97	329.23	596.05	328.73	6.10
	276.98	330.29	307.98	328.86	31.03
	9.00	330.10	19.00	329.62	10.01
	255.01	331.45	271.20	331.76	16.20
	602.06	334.25	634.00	333.01	31.96
	376.88	334.45	384.03	334.32	7.15
	9.00	336.07	17.98	335.87	8.99
	569.99	335.47	537.98	336.90	32.04
	477.03	339.25	506.99	338.10	29.98
	628.09	338.35	634.00	338.09	5.91
	404.07	339.32	428.05	338.50	24.00
	602.96	339.34	608.99	339.09	6.04
	611.12	338.62	625.03	338.75	13.92
	609.87	345.81	603.97	346.15	5.91
	538.99	341.92	559.00	341.01	20.04
	563.99	340.94	570.05	340.87	6.06
	477.21	344.55	498.03	343.83	20.83
	422.32	345.33	430.01	345.05	7.69
	360.14	345.66	369.68	345.49	9.55
	624.98	345.48	613.02	345.90	11.96
	24.00	347.09	30.99	346.65	7.01
	549.01	347.91	560.00	347.10	11.01
	564.05	346.88	570.00	347.01	5.95
	540.00	348.06	545.01	348.17	5.01
	625.99	348.51	634.01	348.13	8.03
	423.89	348.87	430.01	348.80	6.11
	23.96	350.72	29.97	350.29	6.03
	91.03	362.17	116.38	361.59	25.36
	359.04	353.24	400.98	351.47	41.98
	404.95	351.24	410.01	351.05	5.06
	91.04	352.29	98.99	352.36	7.94
	103.11	355.37	123.01	356.16	19.92
	91.99	357.11	99.30	357.29	7.31
	358.00	360.48	398.98	361.58	40.99
	4.00	362.02	21.01	362.19	17.01
	81.95	365.28	75.99	365.61	5.97
	420.21	366.30	427.91	365.84	7.71
	375.06	366.59	386.99	366.15	11.94
	91.12	368.33	96.97	368.29	5.85
	355.96	369.21	388.94	368.86	32.99
	6.08	371.24	30.99	371.56	24.91
	90.05	372.70	96.97	372.55	6.93
	77.95	372.83	82.99	372.85	5.04
	100.00	373.18	105.01	373.11	5.01
	19.00	382.43	6.99	381.86	12.02
	7.97	376.50	16.97	376.53	9.01
	85.00	376.42	76.02	376.60	8.98
	91.00	376.09	96.01	376.12	5.01
	21.93	378.31	29.09	377.91	7.17
	18.00	386.34	25.98	386.63	7.98
	4.00	388.89	30.98	389.20	26.98
	253.98	391.68	268.00	391.66	14.02
	282.99	392.12	293.99	392.37	11.00
	89.01	393.79	97.00	393.98	7.99
	254.01	395.40	282.03	396.47	28.04
	254.03	398.70	276.00	398.91	21.97
	279.01	398.16	294.01	399.14	15.04
	268.01	406.57	273.97	406.31	5.97
	253.01	408.10	295.00	408.95	42.00
	81.02	410.08	105.98	409.43	24.97
	91.00	410.29	103.05	410.27	12.05
	253.03	414.56	294.97	412.80	41.97
	253.00	417.07	295.01	416.60	42.01
	54.08	425.86	64.00	425.96	9.93
	72.91	428.26	78.92	428.25	6.01
	44.93	429.41	54.98	429.72	10.05
	307.89	429.33	316.14	429.09	8.25
	59.02	430.84	75.99	432.15	17.02
	49.95	433.80	58.00	433.90	8.06
	64.94	434.65	72.01	435.05	7.08
	277.06	450.73	287.68	450.60	10.62
	316.00	452.02	322.14	452.34	6.14
	96.93	453.93	103.90	454.50	6.99
	3.98	459.49	19.00	461.06	15.10
	72.11	461.51	81.96	461.83	9.85
