vx	vy	vz	score	numLines
-0.13231321	0.99120788	-0.00039519	2650.64	118
0.96462646	-0.26361957	-0.00072374	1741.66	92
0.94268987	0.33365569	0.00311312	266.32	39

nLines	x1	y1	x2	y2	length
118
	51.91	3.99	37.98	109.01	105.94
	60.95	3.98	60.19	11.04	7.10
	64.30	4.05	62.68	16.05	12.11
	94.23	4.03	83.06	99.00	95.63
	196.40	3.99	191.52	76.92	73.09
	200.23	3.98	195.39	74.01	70.20
	208.87	24.00	209.64	8.02	16.00
	252.60	4.00	251.75	25.75	21.77
	389.24	3.99	391.54	40.58	36.66
	460.76	4.02	461.57	28.90	24.89
	397.90	5.02	398.74	20.08	15.08
	204.93	6.02	202.49	37.74	31.81
	222.31	7.89	221.95	20.01	12.13
	55.42	13.13	53.98	24.18	11.14
	14.32	13.83	12.86	24.01	10.29
	208.32	27.22	207.84	36.00	8.80
	62.48	17.98	60.21	35.06	17.22
	449.54	21.77	449.98	28.00	6.25
	249.28	18.79	249.09	65.02	46.23
	67.50	20.00	65.25	33.95	14.14
	437.46	21.95	437.31	27.05	5.10
	400.08	23.00	400.48	35.97	12.97
	44.35	25.14	43.64	30.19	5.10
	415.42	24.81	415.90	33.09	8.29
	467.68	30.27	467.82	35.71	5.44
	60.74	58.99	63.17	42.14	17.03
	331.62	35.24	331.77	40.90	5.66
	324.87	44.19	324.98	39.03	5.16
	316.67	41.91	317.09	48.77	6.87
	226.43	43.40	226.47	48.97	5.57
	188.48	45.01	188.55	51.77	6.77
	202.39	48.07	200.92	72.99	24.97
	60.68	62.08	59.41	70.05	8.07
	379.99	63.01	380.07	71.06	8.05
	48.24	70.01	47.58	84.84	14.84
	46.05	84.12	42.53	106.00	22.16
	177.12	93.56	177.78	87.80	5.79
	243.71	99.03	243.36	104.11	5.09
	89.82	112.07	88.09	122.91	10.97
	376.51	113.07	376.43	118.78	5.71
	469.20	126.01	473.34	203.98	78.07
	203.89	130.69	203.99	136.00	5.30
	443.76	139.99	444.21	149.04	9.06
	463.78	142.08	464.72	168.02	25.96
	25.03	143.00	24.69	149.88	6.89
	423.39	144.01	423.68	156.22	12.22
	404.11	146.02	404.20	173.98	27.96
	108.94	146.99	108.42	153.08	6.12
	244.37	154.98	237.80	325.82	170.97
	175.89	327.05	184.48	163.04	164.24
	73.17	179.05	59.65	328.02	149.58
	11.78	329.05	27.79	185.07	144.87
	506.21	158.11	506.83	163.08	5.01
	465.34	171.22	467.35	200.03	28.88
	187.55	172.18	179.50	325.02	153.06
	194.68	172.07	192.33	197.03	25.07
	424.38	176.04	425.64	205.03	29.02
	444.75	176.06	445.80	202.95	26.90
	226.54	177.45	225.05	192.98	15.60
	209.68	178.08	209.02	187.00	8.94
	404.02	177.99	404.75	206.98	28.99
	39.37	192.08	38.21	207.97	15.94
	30.28	194.96	25.73	248.03	53.26
	209.96	199.03	208.98	224.01	25.00
	224.36	201.90	223.94	221.01	19.12
	60.32	203.05	59.66	211.32	8.29
	177.69	203.27	177.75	211.24	7.97
	191.20	208.99	191.28	226.93	17.93
	166.90	211.06	166.60	217.90	6.85
	403.24	211.93	404.39	253.95	42.03
	398.43	214.10	398.65	220.01	5.91
	58.81	217.95	56.74	236.99	19.15
	46.09	218.00	43.63	238.02	20.17
	177.46	219.08	177.27	231.84	12.76
	34.24	221.04	31.85	239.97	19.08
	315.48	225.25	315.29	233.04	7.79
	398.61	225.97	399.00	231.00	5.05
	224.77	228.90	224.82	234.03	5.13
	407.29	229.95	407.62	237.95	8.01
	189.24	230.96	185.46	322.00	91.12
	193.77	230.83	192.89	258.02	27.20
	209.67	234.85	208.29	256.20	21.39
	224.86	236.99	224.46	254.19	17.20
	399.65	243.01	399.48	260.95	17.94
	57.96	243.99	55.31	266.07	22.23
	308.09	244.03	308.25	252.86	8.83
	29.95	246.01	22.19	324.96	79.33
	44.74	247.98	43.26	265.07	17.16
	191.92	277.02	192.81	261.09	15.95
	24.56	257.01	16.20	327.04	70.53
	224.01	260.00	222.82	286.03	26.06
	207.95	261.02	205.94	287.96	27.02
