vx	vy	vz	score	numLines
0.64960110	0.76027517	-0.00026836	11707.08	559
0.96113676	0.27607261	0.00018435	3572.09	286
-0.09633262	0.99534845	0.00122165	3334.01	211

nLines	x1	y1	x2	y2	length
559
	3.83	4.14	49.86	60.12	72.47
	9.96	4.03	16.15	10.80	9.17
	48.51	9.97	55.09	17.89	10.29
	54.68	8.86	69.79	27.14	23.71
	69.34	34.01	65.96	30.05	5.21
	64.80	4.24	83.41	26.10	28.70
	86.41	45.98	74.02	32.50	18.30
	89.65	4.90	128.92	50.06	59.85
	128.54	58.25	145.01	79.00	26.48
	145.33	88.03	153.98	98.01	13.21
	96.01	3.98	118.93	29.71	34.46
	105.91	4.04	112.01	11.44	9.59
	114.40	4.05	154.52	49.98	60.98
	123.11	3.91	138.78	21.16	23.30
	132.46	4.03	146.38	20.06	21.24
	146.17	28.92	141.89	24.10	6.44
	142.20	3.83	169.43	34.07	40.69
	151.38	3.71	192.42	49.07	61.17
	162.75	4.24	200.37	47.08	57.01
	172.24	3.77	184.49	17.03	18.05
	182.85	4.20	192.92	15.05	14.80
	205.13	3.88	245.08	45.93	58.00
	216.35	3.70	224.70	12.93	12.44
	229.13	3.88	250.61	27.29	31.77
	241.68	3.86	298.01	62.99	81.66
	254.29	3.64	306.04	57.95	75.02
	283.04	3.95	317.04	38.96	48.80
	451.73	32.10	461.11	40.80	12.80
	80.35	4.71	92.23	18.79	18.43
	300.00	6.00	367.55	76.99	97.99
	273.03	6.97	295.09	31.37	32.89
	314.00	6.58	346.46	40.21	46.74
	33.74	9.35	40.39	17.06	10.18
	40.26	25.10	100.24	96.78	93.46
	39.90	9.08	50.23	20.78	15.61
	198.97	9.02	232.06	44.94	48.84
	379.89	11.12	387.70	18.64	10.84
	112.90	12.66	121.23	22.13	12.62
	120.67	30.87	137.72	50.89	26.30
	81.64	14.28	90.28	25.10	13.85
	91.19	34.86	105.17	50.93	21.31
	108.25	72.09	93.02	53.97	23.67
	90.20	58.92	106.35	80.14	26.67
	94.35	20.05	99.11	25.95	7.58
	395.30	13.76	401.61	20.90	9.52
	5.95	15.04	21.60	32.94	23.78
	20.59	38.93	37.14	58.84	25.89
	19.59	14.93	27.09	24.92	12.50
	226.81	14.79	253.71	43.21	39.14
	446.04	15.94	454.12	23.87	11.32
	433.04	16.92	437.97	22.01	7.09
	55.67	35.15	76.39	60.04	32.39
	195.00	18.33	205.96	30.03	16.03
	42.97	19.03	53.11	30.93	15.64
	55.87	20.13	62.47	27.01	9.54
	63.66	35.87	77.40	53.08	22.02
	31.04	20.97	39.93	32.06	14.22
	128.56	29.95	144.98	49.02	25.16
	144.79	58.12	161.53	77.95	25.94
	149.97	23.55	165.16	40.78	22.98
	612.39	23.61	622.69	33.93	14.59
	192.08	25.94	210.53	45.96	27.23
	208.20	55.14	201.54	48.01	9.75
	105.70	32.87	121.84	52.09	25.10
	252.86	29.15	267.22	46.22	22.31
	146.99	30.00	211.67	104.76	98.85
	38.11	37.95	44.75	45.83	10.31
	40.90	33.65	59.36	56.10	29.07
	98.95	34.03	125.42	65.04	40.77
	123.32	72.70	107.78	53.27	24.87
	209.90	34.10	221.37	46.09	16.60
	166.56	41.95	216.06	97.95	74.74
	170.90	35.12	223.08	93.64	78.41
	404.14	35.24	408.18	39.94	6.20
	417.06	34.55	425.28	43.89	12.44
	469.54	35.45	479.22	43.98	12.90
	13.90	38.14	50.05	81.95	56.80
	24.63	38.28	38.09	52.92	19.88
	382.82	38.10	387.01	42.00	5.71
	549.80	40.31	560.43	50.83	14.96
	347.65	40.92	365.14	60.68	26.38
	76.03	42.95	87.06	55.43	16.65
	53.38	64.08	91.24	109.84	59.38
	3.52	47.36	11.68	57.16	12.76
	15.77	47.18	25.01	57.99	14.22
	87.05	46.97	90.95	52.03	6.39
	223.74	47.25	250.35	78.08	40.72
	257.95	47.59	282.35	72.78	35.07
	212.97	48.53	233.00	71.00	30.10
	235.32	48.57	247.26	61.79	17.81
	194.10	50.33	211.42	71.06	27.02
	139.69	52.26	144.14	57.87	7.16
	157.54	52.43	172.93	69.07	22.66
	17.68	64.18	23.74	71.28	9.34
	422.01	54.42	429.53	61.95	10.64
	439.05	53.79	447.41	61.65	11.48
	85.50	62.02	98.00	77.00	19.51
	97.36	85.00	101.94	91.03	7.57
	108.46	123.64	96.73	108.26	19.35
	474.28	55.35	483.47	63.62	12.37
	496.08	54.96	505.00	63.04	12.03
	60.75	56.22	78.36	79.08	28.86
	54.00	57.00	66.45	73.50	20.67
	137.62	59.90	142.40	65.08	7.05
	43.85	61.12	78.06	101.95	53.27
	80.31	112.11	93.46	128.01	20.63
	77.52	60.98	96.08	83.95	29.53
	366.17	60.76	382.41	76.63	22.70
	283.90	61.66	289.15	67.86	8.13
	554.80	62.28	564.19	71.98	13.50
	216.85	64.13	225.79	74.84	13.95
	261.29	64.65	272.93	77.05	17.01
	573.86	66.31	583.99	76.00	14.02
	143.53	65.99	154.94	80.06	18.11
	251.25	65.78	261.78	77.19	15.53
	111.62	67.32	133.47	93.39	34.02
	127.94	67.07	143.44	86.67	24.99
	160.97	67.04	164.93	72.09	6.42
	34.67	70.25	63.06	105.27	45.08
	13.10	70.90	22.45	81.52	14.14
	186.00	71.37	195.96	81.61	14.29
	212.63	71.90	218.74	78.86	9.27
	8.02	72.98	12.53	78.38	7.03
	23.57	72.52	29.98	80.01	9.86
	108.96	73.03	112.72	77.91	6.17
	233.84	73.30	267.43	108.66	48.77
	274.95	72.62	278.86	77.18	6.01
	444.05	72.73	451.80	80.07	10.67
	124.94	74.05	150.25	104.07	39.27
	462.32	74.74	470.21	82.91	11.35
	179.75	76.11	186.13	82.95	9.35
	114.71	79.30	130.24	97.79	24.14
	264.54	79.46	283.98	100.01	28.29
	369.85	78.75	392.76	103.43	33.68
	517.05	79.85	522.96	85.04	7.86
	422.70	80.21	426.38	84.11	5.36
	252.91	80.65	265.37	93.69	18.04
	40.13	85.21	54.46	103.02	22.86
	3.97	86.03	17.36	104.09	22.48
	112.50	85.96	117.71	92.17	8.11
	19.84	87.09	35.52	104.63	23.52
	53.90	87.07	66.59	102.96	20.34
	66.10	108.97	70.54	114.96	7.46
	75.53	134.96	91.22	153.73	24.47
	79.01	87.00	92.57	103.94	21.70
	93.28	112.09	106.03	127.98	20.37
	107.98	138.02	122.78	156.18	23.44
	152.68	87.85	156.24	92.09	5.54
	238.73	89.33	270.17	123.19	46.21
	414.96	89.22	421.98	96.01	9.77
	601.60	89.33	611.16	98.82	13.47
	36.81	108.11	49.92	124.05	20.65
	91.52	94.35	103.00	107.49	17.45
	135.55	106.19	146.65	117.91	16.14
	134.82	94.19	143.59	104.96	13.89
	467.15	94.32	475.10	101.93	11.01
	487.87	114.27	498.22	123.80	14.06
	193.10	94.90	205.90	109.09	19.11
	267.86	95.15	278.77	108.13	16.96
	235.32	96.59	246.36	109.09	16.68
	124.55	99.98	129.45	106.15	7.87
	523.97	99.84	533.68	108.94	13.31
	540.98	105.03	550.30	114.97	13.63
	68.99	105.01	101.15	145.84	51.98
	457.60	105.57	464.46	112.58	9.80
	32.48	107.14	47.12	126.88	24.57
	108.87	107.23	123.28	124.68	22.63
	26.47	108.19	37.15	121.89	17.37
	120.17	111.90	125.00	118.00	7.79
	127.50	137.88	132.16	143.94	7.65
	130.96	150.02	134.05	153.99	5.03
	437.08	108.44	444.53	115.88	10.53
	60.53	109.96	68.29	119.50	12.30
	248.97	111.03	260.33	125.10	18.09
	127.97	112.02	140.38	128.07	20.29
	228.77	112.30	246.07	131.89	26.14
	135.09	112.94	139.76	119.14	7.76
	49.74	116.22	57.81	127.16	13.59
	508.01	118.26	517.32	127.96	13.44
	62.16	118.86	72.29	132.72	17.17
	103.34	147.02	127.18	176.84	38.18
	113.02	119.97	120.05	128.96	11.41
	12.02	137.99	16.51	143.58	7.17
	129.22	123.21	136.12	131.98	11.16
	221.73	126.22	238.20	146.81	26.37
	540.18	152.97	531.00	142.94	13.60
	231.83	126.69	242.52	139.37	16.58
	566.90	128.13	575.88	138.04	13.38
	458.85	129.19	466.46	138.02	11.66
	87.20	134.84	100.26	152.13	21.68
	100.53	158.94	109.03	169.98	13.93
	44.72	130.85	55.58	145.33	18.10
	16.58	132.35	21.88	139.09	8.57
	65.86	132.16	77.84	147.09	19.14
	108.97	131.54	117.49	142.34	13.76
	474.89	132.62	484.22	140.94	12.51
	80.53	134.98	87.90	145.08	12.51
	117.46	134.67	128.30	146.74	16.22
	55.78	137.82	61.45	144.60	8.84
	67.51	139.38	75.15	148.90	12.20
	89.57	145.94	99.48	158.57	16.06
	245.22	140.75	254.41	152.00	14.52
	119.66	144.27	128.88	156.04	14.96
	128.27	162.07	123.98	157.51	6.26
	46.43	147.05	57.09	159.92	16.71
	63.80	174.05	72.42	184.62	13.63
	64.10	153.97	69.52	161.50	9.27
	571.31	149.67	580.96	159.03	13.45
	137.71	153.12	143.24	158.82	7.94
	159.24	152.68	163.02	156.82	5.61
	458.53	152.83	478.27	175.05	29.72
	444.59	154.98	480.50	191.99	51.57
	590.73	155.29	600.31	166.17	14.50
	84.79	156.17	96.40	168.67	17.06
	116.28	193.80	109.48	186.47	10.00
	496.94	157.08	505.13	164.89	11.31
	77.60	159.37	81.88	165.13	7.17
	92.87	189.01	81.52	176.98	16.54
	77.48	163.57	81.34	168.76	6.47
	55.81	165.13	60.15	169.92	6.47
	555.76	166.20	563.97	175.04	12.06
	501.56	176.44	509.09	184.96	11.37
	480.97	178.04	499.01	194.99	24.76
	598.67	177.92	606.32	184.63	10.18
	103.69	178.61	107.60	183.28	6.09
	94.85	180.09	102.13	189.87	12.19
	72.57	181.36	81.68	192.18	14.15
	79.66	182.96	85.66	190.31	9.49
	106.42	189.45	114.40	198.22	11.86
	120.94	190.05	126.07	196.97	8.62
	576.32	191.37	587.09	200.96	14.41
	88.46	198.97	84.72	194.23	6.04
	482.71	192.86	523.92	236.06	59.70
	68.55	194.54	73.72	200.28	7.73
	62.10	196.93	71.80	210.08	16.34
	500.00	196.51	520.09	217.32	28.92
	524.97	198.05	533.52	206.56	12.06
	107.62	203.13	112.06	207.96	6.56
	73.66	205.89	77.74	211.11	6.62
	22.71	204.87	26.91	209.84	6.51
	112.35	214.85	117.67	222.21	9.09
	557.96	211.28	566.83	220.03	12.46
	485.91	213.64	521.49	251.00	51.60
	531.98	214.05	565.43	248.04	47.69
	520.92	218.60	541.04	237.96	27.91
