vx	vy	vz	score	numLines
0.00068585	0.99999976	-0.00000795	6445.17	288
0.99997047	-0.00768298	0.00019574	6105.89	310

nLines	x1	y1	x2	y2	length
288
	17.22	3.91	14.21	49.03	45.22
	22.68	4.04	21.78	39.02	34.99
	98.86	3.98	99.90	47.00	43.04
	109.24	4.01	111.35	59.98	56.01
	184.49	4.02	185.91	46.00	42.00
	347.18	4.03	348.81	44.05	40.06
	80.40	5.49	80.89	42.96	37.47
	198.46	4.80	198.54	9.97	5.17
	327.55	4.93	327.55	39.81	34.88
	343.89	4.92	344.34	15.01	10.10
	403.89	5.03	404.53	43.00	37.97
	165.97	6.01	166.11	41.83	35.81
	248.60	5.99	248.69	40.89	34.91
	200.68	8.07	202.46	38.00	29.98
	276.39	7.77	275.51	24.02	16.28
	399.47	8.48	399.77	37.99	29.51
	12.55	9.15	11.19	75.04	65.90
	301.99	9.00	302.02	38.00	29.00
	378.99	9.00	379.95	38.00	29.02
	46.10	10.01	46.07	43.03	33.02
	212.95	9.99	213.11	45.02	35.03
	243.73	10.00	243.90	40.00	30.00
	323.16	10.01	323.02	38.00	27.99
	374.28	10.11	374.94	39.03	28.93
	28.40	11.13	29.81	43.01	31.91
	40.87	10.98	40.97	43.01	32.03
	61.81	10.99	61.96	43.01	32.03
	67.44	10.95	67.64	41.99	31.04
	76.09	11.01	76.38	42.88	31.87
	118.95	11.01	118.56	41.03	30.02
	133.91	10.98	134.25	41.80	30.82
	139.13	10.98	139.25	40.98	30.00
	161.65	10.95	161.49	40.98	30.02
	297.01	11.00	296.92	40.02	29.01
	367.00	11.00	368.05	36.99	26.01
	107.50	11.88	107.36	29.96	18.08
	157.24	11.96	157.49	32.97	21.02
	194.98	11.98	193.27	39.97	28.05
	227.19	11.95	225.69	36.00	24.10
	236.22	11.90	236.80	39.04	27.14
	290.71	12.12	291.61	39.09	26.99
	311.75	20.07	311.87	29.03	8.96
	394.25	11.94	393.79	38.04	26.10
	57.46	13.05	57.31	42.01	28.97
	121.40	13.06	122.78	40.99	27.96
	129.01	13.00	128.28	39.97	26.98
	233.18	12.92	233.04	38.99	26.08
	238.82	13.10	238.98	40.00	26.90
	314.81	13.07	316.22	37.97	24.94
	279.71	14.92	279.38	46.14	31.22
	181.04	16.02	181.09	23.01	6.99
	284.97	16.98	284.34	39.03	22.06
	229.45	19.06	230.24	36.02	16.97
	23.63	21.01	25.98	63.02	42.07
	195.53	20.83	196.48	49.02	28.20
	71.59	22.02	71.58	34.91	12.89
	147.56	21.94	147.16	31.97	10.03
	307.89	22.02	307.57	28.20	6.19
	371.01	23.00	371.36	36.93	13.93
	150.64	22.94	151.47	40.10	17.18
	53.66	26.02	53.78	32.03	6.01
	145.71	27.06	145.20	41.05	14.00
	289.58	28.95	289.23	37.98	9.03
	355.02	28.96	355.23	43.00	14.04
	311.57	31.92	311.87	38.02	6.11
	54.43	36.98	54.25	42.00	5.02
	190.96	38.00	190.83	43.03	5.03
	14.14	52.98	14.25	61.00	8.02
	268.57	59.98	267.91	71.12	11.16
	359.66	59.87	359.52	65.02	5.15
	185.63	61.05	185.12	72.66	11.61
	279.09	61.02	279.38	68.99	7.97
	99.73	61.98	100.31	73.03	11.06
	107.23	65.03	106.95	73.00	7.97
	115.59	66.98	115.23	73.02	6.05
	347.33	74.67	348.31	118.02	43.37
	267.10	76.41	268.37	120.00	43.61
	184.95	78.04	185.43	124.02	45.97
	273.89	77.99	274.59	119.04	41.05
	279.38	77.93	279.42	125.02	47.08
	404.43	78.01	404.59	112.87	34.86
	98.92	80.05	99.22	127.01	46.95
	327.89	79.03	327.69	114.86	35.84
	196.55	80.03	196.82	148.00	67.98
	108.80	80.95	109.04	88.00	7.05
	111.71	80.89	111.15	128.04	47.15
	248.50	81.00	247.48	117.56	36.57
	10.86	82.00	10.96	152.02	70.02
	165.96	82.01	166.15	119.02	37.01
	191.00	82.00	191.16	87.04	5.04
	380.87	82.03	380.64	112.05	30.02
	390.32	89.04	391.73	111.04	22.04
	399.92	81.98	400.12	112.03	30.05
	24.89	82.99	25.54	121.97	38.99
	261.30	83.28	261.51	88.31	5.03
	366.66	82.95	366.81	113.06	30.11
	375.14	83.04	375.32	112.04	29.00
	14.02	84.00	13.76	102.04	18.03
	80.92	84.02	80.75	121.96	37.94
	284.25	84.08	284.62	114.98	30.91
	302.82	84.00	303.65	114.94	30.95
	323.34	83.99	323.23	114.05	30.06
	297.06	85.02	297.59	114.80	29.79
	202.34	86.04	201.80	118.02	31.98
	222.83	86.03	222.60	117.06	31.04
	243.92	85.99	243.50	115.99	30.00
	311.78	85.98	311.55	113.82	27.84
	317.30	85.93	318.86	111.97	26.09
	20.46	87.14	20.36	102.00	14.86
	119.38	87.07	117.65	120.02	32.99
	139.13	87.00	139.40	118.87	31.87
	161.36	87.03	161.07	118.01	30.98
	181.44	87.14	182.21	107.99	20.86
	195.67	87.07	195.45	96.00	8.94
	216.96	86.99	216.88	116.98	29.99
	133.55	87.89	133.01	119.00	31.11
	206.32	87.92	206.28	116.96	29.04
	210.16	88.01	209.56	116.98	28.98
	213.45	87.87	212.96	117.01	29.14
	231.11	87.99	231.19	115.03	27.04
	355.30	88.03	355.41	99.98	11.94
	67.13	88.99	67.41	120.97	31.98
	75.72	88.96	75.92	120.98	32.02
	127.98	89.00	127.92	118.00	29.00
	146.70	89.03	145.51	118.06	29.05
	41.08	90.01	40.92	121.98	31.97
	45.86	90.01	46.05	122.00	31.98
	61.28	89.99	60.94	121.98	31.99
	153.72	89.97	154.50	109.07	19.12
	264.28	99.02	263.83	114.96	15.94
	28.08	90.99	27.58	114.97	23.99
	50.35	90.71	51.07	120.99	30.29
	36.36	91.95	36.39	121.14	29.18
	55.47	92.02	55.43	120.98	28.96
	121.50	92.02	122.07	119.00	26.98
	96.37	94.07	94.76	118.93	24.92
	342.03	96.00	341.70	103.98	7.99
	361.54	98.97	361.70	108.03	9.06
	108.72	100.02	107.09	125.99	26.02
	190.47	100.00	190.62	121.08	21.08
	225.55	100.98	226.31	116.04	15.08
	32.35	102.03	32.47	115.03	13.00
	13.79	103.93	14.34	112.77	8.85
	6.79	115.00	7.33	123.99	9.01
	19.15	118.00	19.20	131.99	13.99
	13.84	120.98	13.39	130.02	9.05
	189.30	125.07	189.15	135.77	10.71
	278.49	127.85	279.09	145.00	17.16
	348.52	133.05	348.79	144.69	11.65
	274.63	136.02	274.72	144.96	8.93
	268.34	137.03	268.29	146.12	9.09
	185.39	139.02	185.25	149.00	9.99
	117.30	146.92	117.45	141.15	5.77
	111.31	141.98	110.90	148.99	7.02
	348.48	151.00	348.69	192.00	41.00
	357.04	151.01	356.68	180.94	29.93
	268.69	160.01	268.41	198.02	38.01
	404.51	151.01	404.47	186.84	35.83
	273.62	152.86	275.45	179.99	27.19
	328.32	152.88	328.35	194.00	41.12
	278.54	154.02	280.66	195.07	41.10
	185.11	155.97	185.73	201.04	45.07
	380.13	155.02	380.56	184.98	29.96
	400.43	155.03	400.30	184.00	28.97
	248.52	156.20	248.86	193.97	37.77
	363.70	155.94	363.83	184.99	29.05
	374.71	155.93	374.94	185.98	30.05
	191.05	157.00	190.32	191.07	34.08
	196.70	156.97	195.98	207.00	50.04
	284.39	189.83	284.14	159.01	30.81
	392.91	156.99	393.65	168.93	11.96
	302.49	158.02	302.98	190.06	32.04
	323.95	188.93	323.92	157.99	30.94
	99.07	159.98	99.07	207.00	47.02
	165.78	159.04	166.18	197.00	37.97
	297.71	158.94	297.58	189.01	30.07
	111.03	160.01	111.34	202.96	42.95
	222.45	161.07	222.95	194.15	33.08
	244.09	193.17	244.24	161.03	32.13
	264.51	161.18	264.26	170.03	8.86
	10.27	162.72	10.20	213.01	50.30
	25.85	162.02	25.39	169.96	7.95
	104.82	162.01	104.44	174.93	12.93
	202.48	162.01	202.27	195.03	33.02
	216.51	161.89	217.03	193.00	31.12
	360.63	162.00	359.14	194.05	32.08
	80.48	163.02	80.24	201.91	38.90
	138.52	164.10	139.53	196.53	32.45
	161.28	164.04	161.34	194.98	30.94
	118.16	165.01	117.36	199.07	34.07
	108.44	165.96	109.96	213.00	47.07
	133.06	166.01	132.80	196.91	30.90
	60.77	167.14	61.00	200.00	32.86
	67.35	167.10	67.06	199.99	32.89
	75.55	167.05	75.62	198.99	31.93
	28.32	168.30	28.70	190.96	22.66
	45.61	167.98	45.91	201.02	33.04
	40.72	168.95	40.47	201.01	32.06
	262.69	171.89	262.02	187.99	16.12
	13.58	172.95	13.88	183.98	11.04
	25.70	173.99	25.09	185.00	11.02
	104.34	178.06	104.35	204.13	26.07
	237.28	179.08	237.08	186.00	6.93
