vx	vy	vz	score	numLines
-0.99439616	0.10570934	-0.00134513	7548.06	225
-0.67523313	-0.73760432	-0.00028241	3349.91	122

nLines	x1	y1	x2	y2	length
225
	241.24	102.78	301.01	82.65	63.07
	242.01	6.07	260.91	3.54	19.07
	466.03	7.14	477.83	3.53	12.34
	577.96	6.54	583.79	3.61	6.52
	438.90	10.75	459.97	4.83	21.88
	573.04	5.07	566.06	8.69	7.86
	560.97	7.35	552.05	11.24	9.73
	365.00	11.00	380.00	8.07	15.28
	410.95	7.90	406.02	8.87	5.02
	406.96	14.88	433.02	7.78	27.01
	546.95	9.38	537.09	13.65	10.75
	611.10	10.13	606.98	12.97	5.01
	367.44	22.01	399.94	11.70	34.09
	520.96	16.92	532.02	12.05	12.09
	601.89	12.31	597.14	15.28	5.60
	3.99	23.39	53.97	15.06	50.68
	500.97	20.55	515.04	15.14	15.07
	322.00	25.33	361.02	16.06	40.11
	575.01	21.01	581.85	17.47	7.71
	477.99	24.29	495.07	18.13	18.16
	563.86	23.27	569.78	19.71	6.91
	472.49	21.45	452.00	29.12	21.88
	264.98	32.89	315.05	21.63	51.32
	546.98	27.96	556.85	23.30	10.91
	445.97	26.36	421.95	34.83	25.47
	531.01	32.02	541.78	26.50	12.10
	331.97	31.51	345.96	27.88	14.45
	191.99	42.28	257.09	28.53	66.53
	589.00	29.50	584.00	33.01	6.11
	627.04	29.04	623.48	32.78	5.16
	274.14	38.16	302.98	31.15	29.67
	525.07	30.11	512.51	36.64	14.16
	385.90	41.79	416.02	31.79	31.73
	570.99	36.97	579.04	32.06	9.43
	100.96	34.26	111.01	33.04	10.12
	490.95	41.91	507.00	34.93	17.50
	566.01	36.02	557.47	41.58	10.19
	342.05	49.70	378.99	38.21	38.69
	465.95	47.89	484.85	39.57	20.65
	598.41	40.50	593.77	44.85	6.36
	286.10	46.25	301.93	40.72	16.77
	623.94	45.95	627.68	41.54	5.78
	437.02	55.04	460.15	45.48	25.03
	523.02	52.13	536.08	45.14	14.81
	207.02	55.03	245.87	45.63	39.98
	287.00	59.50	333.99	45.96	48.89
	71.04	49.77	80.09	47.98	9.22
	567.93	54.93	576.09	48.08	10.65
	609.03	50.03	603.10	55.21	7.88
	503.08	58.66	517.87	50.69	16.80
	402.08	63.34	429.95	51.90	30.13
	3.96	67.82	69.91	52.61	67.69
	561.25	54.33	552.10	60.32	10.94
	218.01	72.37	278.97	55.81	63.17
	598.15	55.15	592.03	61.03	8.49
	628.35	55.27	624.10	60.11	6.44
	479.00	66.01	496.85	56.73	20.12
	547.06	59.07	534.99	66.98	14.43
	184.56	157.47	260.01	127.94	81.02
	360.03	73.38	394.96	59.92	37.44
	586.53	60.45	579.06	67.07	9.98
	618.99	59.99	614.02	66.02	7.81
	176.98	64.42	123.35	78.57	55.46
	450.97	74.85	472.93	63.84	24.56
	602.76	72.91	608.78	65.58	9.48
	515.80	75.90	528.13	66.69	15.39
	572.25	67.29	564.00	74.00	10.63
	125.56	88.45	209.01	68.15	85.89
	629.66	69.46	624.93	75.95	8.03
	307.97	86.22	353.00	69.99	47.86
	418.03	85.11	445.03	72.07	29.99
	597.12	72.11	590.13	79.15	9.93
	508.87	73.32	492.96	83.94	19.13
	558.13	73.13	547.94	81.94	13.46
	614.04	83.04	619.85	75.83	9.25
	528.07	90.32	541.62	80.59	16.68
	113.10	82.35	3.89	111.19	112.96
	409.89	82.26	378.00	97.17	35.20
	484.97	82.45	466.34	94.35	22.11
	602.08	91.06	608.95	82.94	10.63
	570.39	86.30	560.25	96.34	14.27
	522.11	89.13	504.98	102.02	21.43
	596.48	90.42	588.12	99.23	12.15
	457.86	92.29	434.07	106.21	27.57
	330.29	114.26	371.92	94.57	46.05
	554.63	94.46	541.98	105.97	17.11
	619.09	95.06	614.34	102.26	8.62
	164.74	123.31	234.99	98.20	74.60
	499.57	99.43	480.98	112.97	22.99
	573.05	109.07	582.95	98.95	14.16
	608.25	101.10	601.08	111.10	12.30
	535.99	103.99	521.08	117.11	19.86
	567.40	108.34	556.09	120.10	16.32
	268.00	132.24	322.03	109.11	58.78
	65.03	112.66	74.88	109.69	10.29
	474.55	110.47	450.93	126.89	28.76
	587.06	122.05	595.93	110.93	14.22
	448.24	120.53	459.13	112.75	13.38
	620.37	113.92	614.36	122.44	10.43
	496.06	130.48	514.83	115.77	23.85
	42.00	151.24	130.09	121.75	92.90
	139.05	118.60	134.14	120.40	5.23
	536.04	133.04	549.99	118.99	19.80
	580.94	120.96	570.08	134.14	17.07
	608.89	121.95	601.33	134.83	14.94
	131.81	123.49	93.84	136.53	40.15
	634.08	123.05	628.09	133.08	11.68
	444.06	124.08	412.97	145.03	37.48
	468.34	146.62	490.97	128.78	28.82
	513.03	148.03	529.63	131.55	23.39
	564.11	133.08	551.67	148.93	20.15
	595.00	134.00	585.10	147.11	16.43
	291.04	161.89	343.06	135.68	58.25
	85.84	139.55	91.82	137.50	6.32
	369.95	163.75	408.03	141.10	44.30
	3.98	150.95	24.94	143.80	22.14
	433.05	165.12	461.00	144.00	35.04
	609.38	145.03	600.98	159.99	17.16
	506.04	146.04	485.07	165.13	28.36
	3.95	154.86	30.00	146.59	27.34
	544.99	146.99	529.05	164.09	23.37
	578.96	146.97	567.32	162.39	19.32
	634.40	148.21	630.79	156.91	9.42
	397.92	155.32	377.04	168.06	24.46
	4.02	159.07	12.98	155.96	9.49
	77.97	190.50	157.75	160.43	85.26
	218.54	190.58	282.97	157.46	72.45
	624.15	157.08	616.11	172.11	17.05
	148.11	162.26	158.15	158.36	10.78
	593.96	158.99	583.13	176.24	20.37
	402.80	160.88	383.95	175.93	24.12
	560.78	160.90	546.27	180.53	24.42
	522.17	162.07	503.10	183.17	28.44
	478.11	163.11	451.97	185.88	34.67
	82.16	193.36	145.85	165.67	69.45
	610.22	172.12	600.20	189.21	19.82
	576.49	176.99	564.18	195.17	21.95
	539.23	178.07	522.29	202.01	29.33
	87.00	183.01	98.06	179.13	11.72
	495.34	182.32	472.08	206.11	33.27
	564.88	181.91	560.56	188.52	7.91
	62.88	182.63	4.01	207.03	63.72
	444.19	184.20	412.60	211.77	41.93
	95.08	192.17	113.28	185.48	19.39
	305.88	184.89	255.96	217.43	59.59
	4.03	211.57	66.05	186.16	67.02
	171.01	201.52	206.94	186.18	39.07
	363.85	191.78	347.14	204.15	20.79
	340.37	219.19	381.97	185.97	53.24
	593.95	188.97	582.65	209.82	23.72
	557.14	194.09	541.25	217.43	28.23
	112.97	229.09	159.67	209.34	50.70
