vx	vy	vz	score	numLines
0.98168739	-0.19049742	-0.00076914	12715.54	414
-0.00768070	0.99997050	-0.00001697	5643.43	368
-0.98960935	-0.14378028	-0.00074953	761.36	172

nLines	x1	y1	x2	y2	length
414
	85.97	5.83	100.94	3.35	15.17
	200.90	3.35	140.04	13.21	61.65
	557.87	3.38	494.02	11.33	64.35
	51.99	20.41	23.00	24.98	29.35
	84.95	14.22	103.77	11.37	19.03
	131.02	14.83	65.02	25.41	66.85
	205.94	96.16	141.94	103.28	64.40
	319.00	24.28	365.02	18.10	46.43
	415.96	11.69	469.70	3.66	54.33
	488.99	11.94	389.06	24.73	100.75
	273.98	30.90	234.00	36.45	40.37
	231.09	12.12	270.00	5.55	39.47
	318.03	9.42	367.08	4.71	49.27
	31.97	7.24	38.99	5.97	7.13
	215.81	9.86	229.14	8.37	13.41
	552.01	10.84	556.98	10.01	5.04
	106.00	11.97	110.99	10.95	5.09
	534.68	15.12	545.87	13.31	11.33
	570.99	17.39	585.95	15.62	15.07
	190.95	42.70	156.99	46.91	34.22
	154.90	23.33	189.01	17.54	34.60
	571.98	40.67	584.01	39.10	12.14
	579.01	47.07	528.98	52.70	50.35
	521.89	23.38	569.03	17.74	47.48
	144.98	21.47	152.06	20.38	7.16
	467.03	22.55	458.92	23.55	8.17
	384.00	25.29	295.01	37.08	89.77
	523.10	25.83	534.13	24.61	11.09
	4.01	35.12	62.11	25.76	58.85
	385.06	77.56	295.02	86.18	90.46
	118.92	51.78	82.99	55.01	36.07
	84.28	34.42	113.01	29.54	29.13
	186.06	30.36	192.99	29.42	6.99
	470.84	57.81	416.00	63.88	55.17
	413.91	36.42	471.13	31.21	57.46
	379.04	36.45	367.99	37.38	11.09
	397.96	34.18	411.01	33.03	13.10
	474.96	33.43	480.02	33.07	5.08
	562.11	35.15	572.76	33.29	10.82
	106.99	35.37	113.08	34.04	6.23
	423.94	37.38	415.95	38.81	8.12
	210.01	48.14	290.03	37.51	80.72
	51.00	61.45	24.01	65.08	27.23
	21.03	44.04	46.02	39.61	25.37
	84.97	45.21	118.99	41.60	34.21
	319.98	47.37	366.00	41.41	46.41
	365.01	69.07	336.03	72.19	29.15
