vx	vy	vz	score	numLines
0.54936157	0.83558385	0.00122078	9762.18	310
-0.99968199	0.02521719	0.00008334	6964.97	779
-0.97871426	0.20522284	0.00140838	909.16	568

nLines	x1	y1	x2	y2	length
310
	398.90	3.98	400.04	33.99	30.03
	423.16	4.04	424.61	33.90	29.89
	491.85	3.96	490.03	37.00	33.09
	495.41	4.02	488.91	105.02	101.21
	516.91	3.98	515.74	14.07	10.16
	634.51	4.11	631.39	16.11	12.40
	447.04	6.01	445.84	37.98	31.99
	610.28	6.96	606.40	23.46	16.96
	44.48	10.55	49.25	18.11	8.95
	470.70	13.01	469.03	37.00	24.05
	634.02	14.00	630.43	28.88	15.30
	630.71	18.15	629.41	23.12	5.14
	34.16	29.85	38.62	37.91	9.21
	531.46	73.02	536.40	42.00	31.41
	625.40	47.85	627.76	39.93	8.27
	447.21	73.02	445.06	40.95	32.14
	510.79	73.03	514.53	42.01	31.25
	468.41	73.03	469.64	41.05	32.00
	489.77	41.02	488.08	74.03	33.06
	401.35	41.90	404.85	73.01	31.31
	424.41	41.98	425.87	67.01	25.07
	558.27	41.98	553.55	72.00	30.39
	42.71	43.37	58.29	66.08	27.55
	581.30	44.89	574.48	72.02	27.97
	622.66	57.91	608.07	105.04	49.33
	26.64	51.93	30.49	58.00	7.19
	598.66	61.56	596.10	71.01	9.79
	34.50	64.00	41.18	75.14	12.99
	574.56	75.99	567.64	104.86	29.69
	528.38	104.04	531.26	77.99	26.20
	519.72	159.13	527.02	110.01	49.66
	548.46	102.99	552.90	76.99	26.38
	448.32	76.45	446.70	103.99	27.59
	488.04	75.99	485.49	104.92	29.04
	507.54	105.01	510.59	75.91	29.27
	426.30	103.99	425.89	76.94	27.06
	466.69	103.99	467.98	76.94	27.09
	383.51	77.97	385.98	105.00	27.14
	403.98	77.89	406.17	104.99	27.20
	594.52	78.50	589.21	99.07	21.25
	19.69	103.91	23.41	109.05	6.35
	507.40	108.99	499.39	183.03	74.47
	580.42	133.30	587.75	108.03	26.31
	543.54	135.97	547.41	111.11	25.16
	609.52	105.77	592.57	159.07	55.93
	527.48	303.02	568.54	106.51	200.76
	628.35	107.05	619.59	132.06	26.50
	489.44	107.89	487.10	133.97	26.19
	485.72	108.97	483.45	132.92	24.05
	44.94	112.09	49.34	118.06	7.42
	7.60	114.94	13.29	123.13	9.98
	34.73	123.90	40.11	132.18	9.87
	41.53	133.00	44.37	137.25	5.11
	484.44	139.00	481.52	183.01	44.11
	481.14	184.02	480.69	230.02	46.00
	480.68	231.01	469.17	393.02	162.42
	580.96	135.99	559.44	224.04	90.64
	619.10	136.01	612.30	156.94	22.01
	542.31	136.98	537.21	159.25	22.85
	25.84	137.78	31.49	146.00	9.97
	428.03	138.00	429.81	160.15	22.22
	447.01	138.00	447.28	160.11	22.11
	465.92	138.00	464.21	184.11	46.14
	389.70	138.98	392.04	160.00	21.15
	408.83	139.01	410.09	160.00	21.03
	7.97	140.06	19.33	154.10	18.06
	47.66	141.92	58.41	155.03	16.95
	35.62	150.92	108.47	245.03	119.01
	20.57	154.96	26.32	162.10	9.16
	3.84	157.19	7.88	162.09	6.35
	529.41	204.61	539.35	161.24	44.49
	593.78	160.92	580.63	203.02	44.11
	579.95	203.99	530.84	392.93	195.22
	520.44	161.93	513.39	205.02	43.67
	610.88	161.98	604.64	181.04	20.06
	628.74	161.95	621.50	181.02	20.40
	447.46	162.96	447.54	183.89	20.93
	392.13	163.96	394.55	184.02	20.21
	410.78	163.96	411.96	184.01	20.08
	428.90	164.00	428.83	183.96	19.96
	11.52	167.30	29.67	187.37	27.06
	29.35	166.67	45.50	185.97	25.16
	357.03	170.99	373.48	262.40	92.89
	248.97	172.02	254.89	184.91	14.18
	285.65	171.95	290.18	184.87	13.68
	308.11	188.97	333.35	278.07	92.60
	303.00	172.00	307.44	185.38	14.10
	320.92	172.02	325.01	185.00	13.61
	338.96	172.01	346.35	206.16	34.94
	375.41	171.99	383.50	226.02	54.63
	3.70	178.30	12.47	187.44	12.67
	430.03	205.00	429.64	186.93	18.07
	604.02	185.01	597.21	202.96	19.20
	621.31	184.85	613.74	202.87	19.55
	150.50	187.51	163.17	206.93	23.19
	271.37	227.66	255.76	188.92	41.77
	448.14	186.18	446.93	205.01	18.86
	499.27	186.01	495.69	223.01	37.17
	46.77	187.27	63.46	207.04	25.87
	394.44	186.96	398.97	225.00	38.31
	411.62	186.89	413.37	205.01	18.21
	29.40	207.06	13.48	190.40	23.04
	187.29	189.86	255.31	319.74	146.62
	324.84	188.03	329.76	206.00	18.63
	347.05	209.99	367.77	304.98	97.22
	238.55	188.97	246.21	206.15	18.81
	290.60	188.97	296.33	205.92	17.89
	30.73	190.20	63.96	228.03	50.36
	82.53	189.93	96.64	206.96	22.11
	99.45	189.59	113.56	207.41	22.73
	130.93	209.11	155.20	246.71	44.75
	117.36	190.04	130.13	206.93	21.18
	203.51	189.95	268.00	320.00	145.16
	221.56	189.98	229.25	206.08	17.84
	634.44	194.17	623.99	222.00	29.73
	3.43	197.43	14.08	208.90	15.65
	589.58	275.42	613.15	207.03	72.34
	527.71	226.11	529.34	212.96	13.25
	489.88	392.96	513.30	209.96	184.49
	329.76	208.20	339.73	244.99	38.12
	596.36	206.68	541.06	391.01	192.45
	229.82	208.21	247.35	245.15	40.89
	146.98	208.52	170.76	246.21	44.57
	163.79	209.22	229.45	319.67	128.49
	414.11	208.99	415.01	225.00	16.03
	430.38	208.95	431.64	225.10	16.21
	447.07	209.00	446.90	224.99	15.99
	463.63	208.97	463.10	224.00	15.04
	247.06	209.98	288.55	308.45	106.86
	296.82	209.86	319.44	279.42	73.15
	65.51	211.50	79.62	228.03	21.73
	98.01	210.99	111.38	227.13	20.95
	114.38	210.64	127.47	227.46	21.31
	16.46	211.99	48.66	247.33	47.80
	33.29	212.09	63.58	245.98	45.45
	3.65	215.21	16.54	228.52	18.52
	284.70	218.87	319.50	319.02	106.03
	490.00	276.00	495.05	229.00	47.27
	540.39	304.02	559.57	226.18	80.17
	527.40	226.89	510.51	328.03	102.54
	622.72	227.05	616.47	241.02	15.30
	382.09	227.97	394.39	306.04	79.03
	386.12	228.99	387.95	238.03	9.23
	404.97	229.00	406.00	242.00	13.04
	422.50	228.97	422.72	236.01	7.04
	271.53	229.95	278.11	244.95	16.38
	3.58	231.26	89.59	321.50	124.66
	128.43	230.58	140.01	245.99	19.27
	18.36	232.06	33.50	246.53	20.95
	65.22	231.81	79.08	247.36	20.83
	81.49	231.99	94.15	245.90	18.81
	114.55	232.96	124.49	245.02	15.63
	634.25	236.11	631.89	240.96	5.40
	339.47	246.53	354.72	306.05	61.44
	615.65	244.90	604.42	276.38	33.43
	631.24	244.81	618.30	273.97	31.90
	109.55	245.98	195.34	359.10	141.97
	248.06	246.93	280.47	319.06	79.08
	278.25	246.73	282.30	258.87	12.80
	401.56	246.94	408.17	305.10	58.53
	432.22	246.98	432.72	260.01	13.04
	447.37	246.93	446.79	276.90	29.97
	462.70	246.98	461.53	276.06	29.11
	4.17	250.80	37.19	282.20	45.57
	416.89	248.01	422.28	305.86	58.10
	156.42	248.61	203.67	320.33	85.88
	171.91	249.05	216.24	319.82	83.51
	80.85	250.11	93.03	262.98	17.72
	96.41	249.69	107.78	264.28	18.49
	142.45	249.76	191.34	319.70	85.33
	36.47	251.42	63.81	280.23	39.71
	65.90	251.09	92.15	280.77	39.62
	127.50	251.00	148.63	279.38	35.38
	3.88	263.13	21.22	279.75	24.01
	373.49	263.83	378.75	292.02	28.68
	432.98	264.00	433.10	277.01	13.01
	285.51	264.73	290.76	277.95	14.23
	109.14	266.86	120.16	278.88	16.31
	65.86	268.12	90.78	293.28	35.41
	96.69	268.87	106.06	278.94	13.76
	618.69	276.54	607.09	304.12	29.91
	589.90	276.94	551.00	392.00	121.46
	479.68	392.87	490.58	277.52	115.86
	632.36	277.87	619.96	302.96	27.98
	461.68	278.92	460.96	305.00	26.09
	333.52	280.21	341.46	306.05	27.03
	381.42	307.55	383.27	317.99	10.60
	433.33	279.96	434.33	291.88	11.97
	319.58	280.81	329.35	307.79	28.69
	291.26	282.04	306.60	319.96	40.90
	65.89	283.13	77.99	296.02	17.68
	93.73	283.28	104.71	294.41	15.64
	150.34	283.04	180.48	323.99	50.84
	9.97	284.05	23.20	295.22	17.31
	23.90	284.12	51.02	308.45	36.43
	38.04	283.96	62.92	307.07	33.96
	122.12	283.90	193.49	371.01	112.62
	3.75	290.28	9.67	295.45	7.86
	378.67	294.19	381.48	306.07	12.20
	433.87	294.02	434.28	303.99	9.99
	447.74	293.89	447.54	305.03	11.15
	23.97	296.55	37.82	308.25	18.14
	79.44	298.50	103.03	322.46	33.62
	93.11	298.89	115.00	321.48	31.46
	108.64	299.89	147.17	342.84	57.70
	634.61	301.29	590.54	394.02	102.67
	540.61	306.20	531.87	338.95	33.91
	593.44	305.90	561.12	392.05	92.01
	606.51	305.93	601.38	316.39	11.65
	128.55	306.98	166.45	352.04	58.88
	393.75	308.08	411.39	420.00	113.31
	427.27	307.93	427.47	318.04	10.11
	441.50	308.03	441.66	317.04	9.01
	456.53	307.90	456.19	317.03	9.13
	471.15	308.00	470.16	317.05	9.11
	526.90	307.99	521.92	327.98	20.60
	328.91	310.03	332.39	318.85	9.48
	368.43	309.98	370.93	319.05	9.41
	34.34	311.65	38.07	315.40	5.29
	62.48	312.51	67.81	318.25	7.84
	4.07	315.92	130.72	420.32	164.13
	435.01	318.87	436.45	361.04	42.20
	384.15	322.98	401.82	420.06	98.68
	422.38	321.99	425.05	360.00	38.10
	447.67	361.05	447.78	320.90	40.15
	460.65	320.96	459.47	361.03	40.09
	75.97	323.22	109.46	353.45	45.12
	90.47	323.48	130.40	363.09	56.24
	103.86	323.71	123.23	342.75	27.16
	116.71	324.35	195.42	408.67	115.35
	181.54	324.97	195.82	342.77	22.82
	3.49	325.53	28.02	344.45	30.98
	28.07	325.92	71.58	361.48	56.19
	40.98	326.02	62.99	343.01	27.80
	53.44	325.51	88.80	356.87	47.26
	66.22	325.78	87.46	343.49	27.65
	634.36	326.22	604.29	387.25	68.04
	500.21	393.09	508.77	333.98	59.73
	608.74	330.05	581.63	392.09	67.70
	595.91	330.97	571.37	391.97	65.75
	410.32	332.14	412.82	351.03	19.06
	3.97	335.09	16.03	344.43	15.25
	511.75	387.05	519.68	342.99	44.77
	63.95	344.56	74.63	353.44	13.89
	87.96	344.54	99.01	355.49	15.56
	123.95	344.58	142.24	363.15	26.07
	147.96	344.55	174.07	374.41	39.66
	7.20	347.67	29.99	364.48	28.33
	19.01	347.51	63.99	382.50	56.98
	31.49	348.50	121.02	419.96	114.56
	634.40	350.43	618.86	379.89	33.30
	4.00	353.00	18.04	363.43	17.49
	167.55	352.99	196.38	386.03	43.85
	197.12	409.90	205.70	420.40	13.56
	412.60	353.42	413.79	360.02	6.71
	430.04	364.00	430.51	370.03	6.05
	142.87	364.74	159.04	380.96	22.90
	417.53	364.97	417.89	370.00	5.04
	132.49	366.51	186.63	420.41	76.39
	21.94	367.62	30.99	373.50	10.79
	32.92	367.64	84.08	405.35	63.56
	4.01	370.48	23.01	384.48	23.60
	634.52	370.47	625.76	387.36	19.03
	439.44	404.14	437.06	374.00	30.23
	447.81	393.05	447.98	375.00	18.05
	459.06	393.01	458.86	375.00	18.02
	415.06	373.99	419.04	402.00	28.28
	426.04	374.00	429.65	404.10	30.32
	101.87	378.14	134.20	405.87	42.59
	108.00	375.00	117.05	382.40	11.69
	123.03	377.97	146.91	401.11	33.25
	132.78	377.19	164.01	404.99	41.81
	20.97	374.55	32.07	382.37	13.57
	31.95	374.58	43.96	384.06	15.30
	174.92	376.07	195.51	397.46	29.69
	522.76	381.00	520.20	392.05	11.34
	159.98	382.52	196.01	419.99	51.98
	64.98	383.54	104.12	414.31	49.79
	96.97	383.55	118.55	402.44	28.68
	117.98	383.55	136.84	401.18	25.82
	52.20	389.82	85.10	414.33	41.02
	602.67	390.31	590.85	414.93	27.31
	375.46	390.51	383.55	418.03	28.69
	598.26	419.89	611.81	396.21	27.28
	51.92	397.08	74.00	412.49	26.92
	619.45	397.88	607.42	419.96	25.14
	630.31	398.20	616.59	420.05	25.80
	51.83	404.20	64.01	412.48	14.73
	433.51	405.96	433.59	410.99	5.03
	634.56	406.30	625.76	420.15	16.41
	207.01	410.99	214.81	420.16	12.04
	216.70	411.26	223.67	420.29	11.40
	226.56	410.97	233.58	420.49	11.83
	246.23	411.19	252.17	419.83	10.49
	255.68	410.87	261.72	420.30	11.20
