vx	vy	vz	score	numLines
0.94795411	0.31839343	0.00293649	17353.75	167
-0.88064424	-0.47377297	-0.00221265	283.58	52
0.81387587	0.58103195	0.00281783	188.27	66

nLines	x1	y1	x2	y2	length
167
	70.89	488.93	250.54	218.02	325.06
	396.94	216.05	412.69	238.90	27.75
	350.90	215.00	423.95	489.01	283.59
	379.53	215.05	463.35	370.81	176.87
	291.47	215.77	212.63	490.03	285.37
	301.47	215.82	248.16	491.05	280.34
	311.11	215.90	283.28	491.03	276.53
	321.00	216.00	318.71	490.98	274.99
	331.00	216.00	353.93	490.00	274.96
	341.05	216.01	389.18	490.96	279.13
	360.56	215.99	460.01	490.99	292.43
	370.57	216.04	470.43	439.80	245.03
	270.80	216.74	141.65	490.07	302.30
	280.92	216.91	177.14	490.06	292.20
	289.09	217.33	198.22	491.09	288.44
	299.06	217.23	233.82	490.96	281.40
	309.03	217.12	269.26	490.03	275.80
	319.03	217.14	304.40	490.98	274.23
	329.02	217.06	339.80	491.01	274.16
	241.07	251.71	259.75	217.68	38.81
	338.34	218.95	374.92	491.02	274.52
	348.44	219.05	410.29	491.01	278.90
	358.67	218.98	445.31	491.25	285.73
	368.84	219.10	480.60	489.94	293.00
	379.01	219.00	515.63	489.91	303.41
	389.07	218.95	550.74	490.18	315.76
	398.64	229.26	444.60	302.61	86.56
	270.19	237.12	237.61	316.64	85.93
	3.87	326.83	137.00	238.14	159.96
	497.01	240.36	634.11	347.85	174.21
	513.00	239.53	634.10	319.30	145.01
	463.83	240.60	634.07	404.93	236.61
	542.90	267.64	633.97	333.05	112.12
	226.80	240.68	46.28	491.27	308.84
	458.33	248.70	634.50	431.56	253.91
	4.00	355.00	149.96	241.50	184.90
	487.40	242.45	634.07	363.92	190.44
	229.87	242.86	60.50	490.38	299.93
	419.13	242.87	594.58	490.32	303.33
	430.21	242.72	626.22	489.81	315.39
	441.30	242.71	634.06	461.95	291.93
	475.30	242.52	634.14	382.83	211.93
	3.89	339.85	135.39	243.94	162.76
	3.89	371.87	157.29	244.22	199.56
	168.35	244.28	3.54	391.49	220.98
	3.88	413.88	178.75	244.77	243.26
	3.92	439.92	191.07	245.03	270.20
	458.67	245.34	634.19	419.80	247.47
	470.62	245.41	634.19	395.77	222.19
	481.67	245.39	634.16	374.83	200.02
	494.67	246.40	634.03	356.96	177.89
	240.28	247.19	93.48	491.02	284.60
	437.51	247.41	634.53	482.61	306.83
	217.02	248.02	212.62	254.07	7.48
	451.53	250.42	634.34	448.70	269.70
	240.45	253.67	228.61	274.77	24.19
	193.42	254.95	186.85	263.27	10.59
	211.48	254.98	205.60	261.70	8.93
	249.38	255.39	243.60	267.40	13.32
	431.58	255.31	608.45	490.04	293.91
	530.69	255.46	534.69	258.46	5.00
	522.67	258.48	634.13	341.33	138.88
	203.34	259.29	18.02	491.02	296.72
	535.63	259.55	634.09	327.37	119.56
	185.40	263.94	3.56	471.62	276.04
	202.75	265.78	188.88	283.91	22.83
	386.87	275.06	389.12	282.01	7.31
	226.53	276.55	106.23	490.13	245.13
	235.09	281.04	127.97	490.98	235.69
	359.98	286.00	360.80	291.05	5.12
	180.36	292.60	152.48	330.49	47.03
	161.82	295.87	156.75	301.73	7.75
	446.96	304.02	565.58	489.98	220.57
	153.86	305.87	147.46	312.52	9.23
	448.56	309.66	464.33	334.79	29.66
	145.49	314.58	4.00	480.00	217.67
	230.64	330.06	232.97	323.99	6.50
	477.44	318.67	603.92	491.06	213.81
	522.92	321.15	526.69	325.22	5.54
	510.06	325.93	517.00	334.01	10.64
	29.41	331.53	34.41	327.55	6.39
	53.45	326.56	47.37	331.45	7.80
	150.47	330.37	147.46	334.50	5.11
	476.05	329.95	486.36	345.71	18.83
	230.15	331.07	162.95	490.97	173.45
	27.23	332.30	4.27	350.35	29.21
	147.39	336.34	108.55	386.02	63.06
	465.55	335.65	561.63	490.93	182.60
	38.38	338.47	4.08	367.09	44.68
	540.69	340.11	545.99	345.04	7.23
	393.91	341.01	395.20	345.95	5.11
	330.51	341.96	330.48	348.92	6.96
	513.52	343.40	519.47	350.43	9.21
	525.44	344.47	528.93	349.00	5.73
	184.32	344.98	178.97	353.96	10.45
	205.03	345.22	201.02	354.03	9.67
	226.44	345.95	222.96	353.96	8.74
	250.02	346.00	247.91	353.94	8.21
	488.52	348.98	507.46	375.26	32.39
	346.27	349.77	347.26	355.92	6.24
	534.92	355.66	539.82	361.20	7.40
	199.80	356.90	191.90	372.93	17.87
	35.40	358.46	30.36	363.42	7.07
	526.63	359.31	634.06	489.96	169.14
	219.71	362.97	214.95	372.94	11.05
	244.83	363.01	241.94	373.96	11.33
	78.97	367.98	62.80	383.79	22.62
	463.95	368.03	530.84	491.15	140.12
	20.45	372.56	24.49	368.54	5.70
	18.32	373.34	4.06	386.07	19.12
	190.93	374.96	179.92	394.54	22.46
	35.48	378.45	3.93	407.92	43.17
	164.20	380.11	154.93	394.92	17.47
	199.41	381.92	196.94	387.90	6.47
	211.49	382.94	208.16	392.06	9.71
	263.02	383.00	261.64	387.94	5.12
	441.14	382.89	445.28	393.93	11.79
	237.83	383.96	234.72	393.89	10.40
	61.24	386.21	3.91	446.92	83.51
	571.61	386.34	577.45	393.49	9.23
	107.44	386.96	28.36	490.29	130.12
	562.74	387.39	566.62	391.54	5.68
	35.65	387.65	16.63	405.51	26.10
	578.56	394.40	634.22	455.79	82.87
	521.74	396.15	534.60	416.01	23.67
	571.24	395.91	574.81	400.36	5.70
	40.35	397.35	3.99	433.99	51.62
	180.01	397.00	162.73	432.77	39.72
	597.85	399.10	602.93	405.26	7.98
	152.01	401.01	138.68	421.38	24.34
	203.01	405.01	200.14	412.05	7.61
	230.68	406.97	228.60	413.87	7.21
	14.77	407.79	3.85	418.89	15.57
	451.73	407.88	456.95	421.02	14.14
	629.90	407.64	634.30	411.87	6.10
	425.91	410.03	429.08	419.99	10.45
	51.48	412.43	39.54	426.47	18.42
	559.06	411.92	564.23	417.97	7.97
	198.25	416.10	195.32	422.72	7.25
	138.97	422.98	134.04	432.02	10.30
	540.51	423.99	544.80	431.06	8.27
	59.44	434.37	55.57	439.44	6.38
	30.39	435.33	3.98	464.98	39.70
	161.67	435.02	145.52	467.43	36.21
	435.01	436.00	439.68	449.97	14.73
	463.22	435.84	469.37	450.84	16.21
	297.01	441.00	296.96	446.97	5.97
	51.31	444.27	15.10	489.08	57.61
	218.60	443.88	216.57	450.86	7.27
	10.06	448.06	3.84	455.58	9.77
	557.79	448.22	561.65	453.46	6.51
	184.25	450.10	181.86	455.93	6.30
