vx	vy	vz	score	numLines
-0.17508477	0.98455312	0.00068945	8477.98	340
-0.95986906	0.28032292	-0.00839394	4644.20	253
0.93756778	0.34777756	0.00417457	503.05	124

nLines	x1	y1	x2	y2	length
340
	212.20	18.08	208.23	31.06	13.57
	210.59	27.88	188.81	92.93	68.60
	202.21	47.10	198.19	60.02	13.54
	197.47	63.20	191.34	79.11	17.05
	205.89	67.05	199.02	85.25	19.46
	210.96	68.99	203.57	94.18	26.24
	215.69	72.14	205.61	99.93	29.56
	220.17	76.05	208.87	102.69	28.94
	224.96	77.99	214.07	112.02	35.74
	231.30	85.13	219.00	115.00	32.30
	237.63	90.09	224.59	127.03	39.17
	250.22	99.93	237.12	134.01	36.51
	244.30	97.14	231.88	129.97	35.10
	381.04	98.02	347.10	170.02	79.60
	386.46	101.95	352.79	170.89	76.72
	198.08	104.04	191.30	124.95	21.99
	268.03	117.01	251.90	156.95	43.08
	392.99	103.99	358.55	174.74	78.69
	210.39	117.00	199.94	150.98	35.55
	253.91	104.98	237.94	144.97	43.06
	192.15	105.92	186.37	122.95	17.99
	404.35	108.27	385.77	145.90	41.97
	386.65	151.06	373.85	178.89	30.64
	202.35	110.14	193.09	135.03	26.56
	260.81	112.13	246.29	150.05	40.61
	178.61	115.23	176.29	123.06	8.17
	206.11	115.05	197.05	138.06	24.72
	415.52	115.30	377.51	189.61	83.46
	274.47	123.17	255.07	169.04	49.80
	290.74	137.90	271.72	182.74	48.70
	215.14	128.07	205.12	153.90	27.70
	276.66	127.92	273.73	135.89	8.49
	258.82	128.95	250.17	148.88	21.73
	281.18	130.04	264.05	173.02	46.27
	388.07	131.08	382.56	144.23	14.26
	183.54	132.21	179.15	143.15	11.79
	220.63	132.83	208.25	170.07	39.24
	285.12	134.03	280.17	148.18	14.99
	246.42	135.76	243.56	142.69	7.50
	231.11	148.99	218.86	180.92	34.20
	392.72	139.09	387.73	148.85	10.96
	379.79	141.65	376.39	149.01	8.11
	226.08	144.03	216.05	171.02	28.79
	269.52	144.87	267.48	149.85	5.38
	188.73	147.09	180.77	168.92	23.24
	302.12	148.04	279.81	197.92	54.64
	310.65	155.10	289.07	204.03	53.48
	384.08	149.04	369.46	179.98	34.22
	393.10	149.88	389.88	157.36	8.14
	192.17	152.07	185.43	171.99	21.03
	305.06	153.02	283.00	202.00	53.72
	219.12	194.01	232.95	157.98	38.60
	246.06	171.00	231.96	203.98	35.87
	205.28	179.07	193.03	211.01	34.21
	195.77	161.10	185.95	188.99	29.57
	318.72	161.90	312.21	176.83	16.28
	369.60	161.80	363.78	172.88	12.51
	239.26	164.09	227.37	199.09	36.97
	172.43	165.12	166.93	178.94	14.87
	323.02	166.01	298.81	218.84	58.11
	415.53	166.29	396.27	203.88	42.24
	199.56	169.18	191.40	190.96	23.25
	391.10	172.08	383.21	188.06	17.82
	336.31	174.96	308.31	233.13	64.56
	309.10	177.12	301.45	193.24	17.84
	234.16	219.07	250.98	181.00	41.63
	310.76	179.92	298.30	210.87	33.37
	213.31	194.96	202.75	222.84	29.82
	176.48	182.19	169.06	201.02	20.24
	360.34	199.71	331.10	257.05	64.36
	340.24	184.10	310.54	247.00	69.56
	252.89	185.96	237.76	222.82	39.85
	154.44	187.17	141.05	227.02	42.05
	179.04	189.02	173.32	204.89	16.88
	345.08	189.05	320.67	238.10	54.79
	208.81	190.11	198.83	213.81	25.72
	256.61	191.04	242.22	227.07	38.80
	415.34	191.18	405.73	208.87	20.13
	183.10	193.00	169.14	232.07	41.50
	350.58	193.04	322.11	252.04	65.51
	300.91	195.02	294.32	208.88	15.35
	160.05	197.99	154.88	213.94	16.77
	264.99	199.00	248.16	239.16	43.54
	216.28	203.03	201.95	237.98	37.78
	225.31	221.98	213.04	252.05	32.48
	270.96	205.99	254.43	250.26	47.25
	184.94	207.97	177.66	226.53	19.93
	349.32	207.92	346.00	214.40	7.29
	369.36	209.19	337.51	270.91	69.46
	415.32	210.17	409.69	221.09	12.29
	273.94	213.00	251.85	262.94	54.62
	256.32	214.14	254.23	219.09	5.38
	210.28	242.97	219.40	215.14	29.28
	286.93	232.01	271.35	270.83	41.83
	164.35	216.13	158.33	231.94	16.92
	150.02	219.01	115.45	321.06	107.75
	274.74	218.92	256.30	262.86	47.66
	248.32	221.12	246.15	227.05	6.31
	196.62	239.03	187.52	264.86	27.38
	280.12	224.03	262.55	264.03	43.69
	351.24	224.18	336.01	255.01	34.39
	385.55	224.29	352.33	288.91	72.66
	357.52	299.96	353.77	306.74	7.75
	150.24	227.08	143.25	250.99	24.91
	172.82	229.05	159.26	260.96	34.68
	192.47	231.16	184.96	252.98	23.08
	283.36	232.18	280.80	238.86	7.15
	366.26	247.93	373.62	233.81	15.93
	140.10	234.04	134.68	249.07	15.98
	228.81	235.13	213.03	273.01	41.04
	181.08	278.98	172.99	302.00	24.39
	392.04	236.02	372.02	273.01	42.06
	290.18	238.07	269.88	282.87	49.18
	400.10	239.06	358.83	315.91	87.23
	266.95	268.99	280.19	241.78	30.26
	405.49	244.47	382.57	287.02	48.33
	171.22	245.08	166.32	259.94	15.65
	233.67	245.29	222.11	274.05	30.99
	206.31	270.00	196.31	292.92	25.00
	153.33	248.13	147.76	261.92	14.87
	412.10	249.03	374.05	319.03	79.67
	133.39	250.20	131.01	259.15	9.25
	197.23	250.10	185.30	281.04	33.16
	297.41	254.25	278.38	295.94	45.83
	140.27	256.09	133.95	279.00	23.77
	240.73	256.12	227.22	286.87	33.60
	154.10	258.03	152.05	265.03	7.29
	173.82	259.92	164.45	285.86	27.58
	340.16	312.98	312.64	365.06	58.90
	316.04	376.99	311.18	386.20	10.42
	200.96	260.98	193.55	281.03	21.38
	236.42	261.10	232.18	271.08	10.84
	304.26	261.11	277.08	318.02	63.07
	128.03	263.01	121.34	286.98	24.88
	244.08	278.82	227.81	317.92	42.35
	307.39	268.93	282.75	318.14	55.03
	156.28	270.11	147.70	293.02	24.47
	150.85	321.00	148.23	328.10	7.57
	227.98	270.99	224.67	279.76	9.37
	401.08	281.08	406.94	270.87	11.77
	176.96	271.98	169.87	288.47	17.95
	311.91	272.96	289.86	318.93	50.98
	258.06	297.01	246.13	325.03	30.46
	142.29	279.10	137.74	289.90	11.72
	314.13	279.06	303.43	300.95	24.36
	368.92	278.95	359.96	295.98	19.24
	158.39	280.18	154.97	290.98	11.33
	415.31	281.18	385.63	333.03	59.75
	248.38	282.10	237.43	310.73	30.65
	131.58	283.15	125.00	304.00	21.86
	318.46	283.99	296.81	327.14	48.27
	207.84	285.93	194.11	319.04	35.84
	252.08	287.03	237.74	320.12	36.06
	162.45	295.07	152.28	318.91	25.92
	381.44	287.98	367.15	313.09	28.90
	120.53	289.17	117.77	298.96	10.17
	182.42	288.98	172.34	312.93	25.98
	415.05	290.02	387.88	335.50	52.98
	188.28	315.05	179.87	334.87	21.52
	234.27	295.11	232.32	300.14	5.39
	325.98	294.99	302.52	338.81	49.70
	166.58	315.97	159.63	337.90	23.01
	212.07	297.03	202.04	322.03	26.93
	253.32	301.40	241.66	326.06	27.27
	260.45	302.88	243.77	340.72	41.35
	214.18	304.26	208.89	314.97	11.94
	131.30	308.09	128.50	316.82	9.17
	217.84	308.12	206.17	338.23	32.29
	122.66	310.11	118.25	321.06	11.80
	162.48	310.19	158.48	323.42	13.81
	234.84	310.89	231.92	318.93	8.55
	415.43	321.25	397.34	354.30	37.67
	265.91	322.23	245.73	371.75	53.48
	151.73	324.02	149.85	329.99	6.25
	153.06	350.99	146.87	367.87	17.98
	344.05	326.03	329.34	352.91	30.64
	167.54	328.13	155.76	356.95	31.13
	220.87	329.94	205.52	369.00	41.97
	299.04	391.01	276.88	431.94	46.55
	278.93	446.97	274.41	454.95	9.17
	247.09	381.98	269.93	332.97	54.08
	277.96	341.02	259.17	382.09	45.17
	360.16	342.94	341.00	378.00	39.95
