vx	vy	vz	score	numLines
0.99999992	0.00039699	0.00000472	5125.57	421
-0.27316471	0.96196686	-0.00089652	4031.10	357
0.94915980	0.31479412	0.00057474	670.88	150

nLines	x1	y1	x2	y2	length
421
	9.08	9.12	629.94	9.07	620.85
	509.16	12.16	516.24	12.25	7.09
	291.02	44.10	302.02	43.38	11.03
	321.71	42.48	312.00	43.03	9.73
	169.06	42.75	177.70	42.60	8.65
	283.00	45.86	289.03	45.91	6.03
	389.99	50.04	398.79	50.36	8.80
	581.13	52.44	588.01	52.14	6.89
	599.85	56.47	592.95	56.72	6.90
	62.18	68.35	53.99	68.08	8.20
	349.93	79.13	356.47	79.45	6.55
	472.01	110.99	479.11	111.20	7.11
	151.98	85.26	156.99	85.55	5.01
	449.45	86.46	455.04	86.48	5.59
	590.88	87.15	596.91	86.75	6.04
	184.99	94.27	203.02	93.07	18.06
	196.99	90.32	204.04	90.59	7.06
	431.01	90.27	437.02	90.35	6.00
	60.01	93.02	67.03	92.59	7.03
	430.99	93.18	453.98	93.49	23.00
	479.67	98.71	473.97	99.04	5.71
	572.00	96.01	581.99	95.96	9.99
	590.97	97.08	607.93	96.89	16.96
	507.99	107.39	498.36	107.61	9.63
	597.09	100.21	586.15	100.56	10.95
	470.01	131.03	447.02	130.83	22.99
	617.98	107.96	628.00	107.99	10.02
	100.83	108.36	107.66	108.34	6.83
	600.13	132.75	612.94	132.38	12.82
	105.02	115.05	118.96	114.12	13.97
	125.93	115.79	132.14	115.67	6.21
	272.27	119.56	295.01	118.62	22.76
	301.15	118.39	330.98	118.27	29.83
	324.92	121.36	313.01	121.89	11.92
	81.08	122.83	91.97	122.87	10.89
	298.69	122.71	310.98	122.10	12.30
	99.00	122.98	124.00	123.04	25.00
	629.99	149.99	597.01	148.97	32.99
	163.00	130.00	176.02	129.29	13.04
	50.99	130.86	57.90	130.70	6.90
	317.96	130.92	333.91	130.71	15.96
	460.14	134.46	468.02	134.78	7.89
	50.03	134.55	56.01	134.90	5.99
	487.08	140.72	502.13	141.68	15.08
	63.17	145.07	55.04	145.60	8.15
	376.01	138.94	420.92	139.29	44.91
	573.98	136.96	590.00	136.76	16.02
	597.89	141.80	583.08	141.62	14.81
	214.17	140.38	277.02	137.77	62.90
	341.92	138.70	349.02	138.42	7.10
	211.26	144.19	203.04	144.46	8.22
	360.00	140.21	372.00	139.99	12.00
	444.87	139.26	437.12	139.79	7.76
	170.10	142.11	182.77	141.37	12.69
	421.96	144.97	431.96	145.43	10.01
	448.99	141.98	460.16	141.80	11.17
	109.27	142.50	115.17	142.65	5.90
	548.99	142.04	559.00	141.95	10.01
	164.03	145.22	195.02	145.18	30.99
	551.84	144.57	559.03	144.59	7.19
	447.04	146.43	476.00	147.01	28.97
	19.06	146.44	48.01	147.01	28.96
	107.06	146.73	113.99	146.70	6.93
	409.01	147.95	418.02	147.86	9.01
	234.03	151.34	240.98	151.20	6.95
	522.13	151.58	531.00	151.96	8.88
	273.01	151.65	279.98	151.77	6.98
	312.99	152.17	320.00	152.01	7.02
	353.99	152.18	360.00	152.07	6.02
	393.98	152.28	400.00	152.28	6.02
	234.04	157.59	241.04	157.68	7.00
	281.11	157.26	274.01	157.68	7.11
	313.02	157.80	321.05	157.54	8.04
	353.99	158.16	361.00	158.14	7.00
	394.01	158.06	401.05	158.39	7.05
	523.99	159.92	532.00	159.97	8.01
	213.93	161.12	224.97	161.70	11.06
	607.01	160.66	613.05	160.62	6.03
	314.01	163.50	320.90	163.67	6.89
	369.00	165.61	375.46	165.51	6.46
	22.01	165.08	38.99	166.04	17.00
	133.98	173.66	71.00	173.69	62.98
	87.00	167.00	113.98	167.61	26.99
	214.00	166.82	138.00	168.83	76.02
	215.98	167.51	226.00	167.72	10.02
	601.16	168.79	628.00	169.44	26.84
	73.96	168.18	80.98	168.08	7.02
	245.00	167.90	255.99	168.12	10.99
	271.00	168.01	281.00	167.98	10.00
	285.00	168.07	297.95	168.10	12.94
	362.02	168.50	351.98	168.51	10.03
	366.00	168.20	379.98	168.55	13.98
	10.00	169.83	58.01	168.96	48.01
	335.03	173.71	302.04	173.32	32.99
