vx	vy	vz	score	numLines
0.00323909	0.99999475	0.00000376	9869.03	270
-0.97467015	0.22364652	0.00058527	4283.59	159
-0.61173659	-0.79106043	-0.00131956	500.46	58

nLines	x1	y1	x2	y2	length
270
	254.01	86.00	253.10	126.99	41.00
	222.83	3.97	223.35	140.88	136.91
	315.72	4.01	316.24	52.99	48.99
	321.68	4.00	322.13	53.97	49.97
	325.84	4.00	326.37	54.04	50.04
	393.66	79.99	393.71	110.97	30.97
	408.95	4.01	409.46	99.02	95.01
	232.63	6.45	232.35	17.98	11.53
	346.03	9.39	344.20	59.93	50.57
	47.75	13.97	46.64	120.99	107.03
	349.59	11.21	350.05	42.00	30.79
	338.42	12.02	338.97	55.99	43.97
	101.48	144.96	102.95	101.99	42.99
	163.72	78.05	163.11	16.00	62.05
	219.05	94.00	219.55	130.74	36.75
	414.81	13.95	414.90	33.99	20.04
	160.24	16.01	159.92	77.03	61.01
	237.53	15.98	237.31	22.05	6.08
	357.26	16.12	357.43	24.10	7.99
	154.10	17.00	154.20	77.00	60.00
	79.79	19.77	79.57	25.01	5.25
	232.18	19.96	232.13	31.96	12.00
	259.22	77.04	256.99	125.00	48.01
	58.91	22.10	58.54	27.99	5.90
	363.72	23.94	364.22	62.96	39.01
	74.82	24.92	75.04	31.00	6.08
	54.20	25.96	54.07	33.02	7.06
	177.21	27.00	176.79	34.98	7.99
	358.20	29.09	358.26	39.84	10.76
	75.32	33.88	74.59	145.95	112.08
	419.37	32.98	419.24	38.91	5.93
	378.92	33.99	378.33	53.18	19.20
	232.76	35.08	233.38	58.07	23.00
	307.10	37.04	306.96	43.00	5.96
	415.15	37.03	414.60	45.98	8.97
	262.10	104.01	261.42	124.01	20.01
	237.40	40.62	237.18	50.96	10.35
	42.81	111.03	44.49	150.99	40.00
	271.08	45.01	270.05	63.99	19.01
	301.92	44.98	301.74	59.09	14.11
	79.01	46.00	78.88	147.03	101.04
	65.49	51.02	64.02	75.00	24.02
	414.58	51.03	415.03	59.00	7.98
	83.21	52.95	82.94	68.01	15.07
	406.42	54.04	406.60	61.99	7.95
	347.75	94.00	347.64	115.99	21.99
	231.49	60.00	232.56	130.16	70.17
	17.48	60.99	17.60	67.98	6.98
	419.89	60.91	421.26	84.01	23.14
	338.94	79.02	341.48	115.99	37.06
	50.09	64.00	51.00	149.00	85.01
	120.44	67.83	120.96	74.98	7.17
	26.53	69.01	26.62	90.02	21.01
	84.04	70.01	83.19	146.00	76.00
	174.15	69.99	173.97	78.02	8.02
	196.23	69.71	195.97	76.02	6.32
	126.97	73.99	125.93	90.00	16.04
	236.38	73.98	236.48	86.02	12.04
	131.36	82.97	131.02	90.00	7.04
	91.22	76.00	90.91	98.02	22.02
	275.44	93.96	275.88	78.94	15.03
	33.00	84.90	34.18	106.97	22.11
	66.54	79.02	66.35	130.66	51.64
	54.21	81.03	53.51	94.04	13.03
	58.32	82.00	59.71	139.02	57.04
	324.82	93.10	325.07	104.02	10.92
	68.96	86.00	69.84	105.03	19.04
	173.60	101.97	175.21	135.91	33.98
	25.01	92.00	25.15	98.00	6.01
	123.37	90.03	123.68	103.01	12.98
	250.73	95.02	250.32	126.99	31.97
	107.12	97.15	104.97	142.01	44.91
	407.33	100.04	406.99	107.00	6.97
	410.77	99.99	410.53	109.05	9.06
	413.72	103.01	413.93	109.95	6.95
	209.41	105.04	208.73	121.97	16.95
	111.42	106.07	111.94	135.00	28.93
	108.19	140.97	107.32	128.01	12.99
	53.37	112.01	53.44	122.94	10.93
	122.10	113.00	122.91	132.00	19.01
	421.42	114.90	421.71	122.08	7.19
	139.59	118.03	138.39	140.00	22.00
	7.88	138.00	7.79	154.01	16.01
	352.15	240.99	351.84	127.97	113.03
	393.43	122.26	394.01	239.00	116.74
	341.48	129.02	341.64	241.85	112.83
	12.07	129.99	12.43	134.98	5.01
	347.77	130.00	348.14	241.00	111.00
	302.22	132.12	302.26	243.98	111.86
	421.71	132.05	421.74	142.93	10.88
	291.61	134.17	292.26	243.00	108.84
	253.74	245.99	253.21	140.01	105.98
	310.06	154.99	310.41	215.73	60.74
	319.28	140.99	318.95	204.00	63.01
	91.04	139.00	90.64	145.13	6.15
	386.63	138.74	386.24	146.09	7.36
	261.17	141.01	259.43	180.92	39.94
	309.47	141.19	309.80	149.01	7.83
	218.78	142.21	220.53	247.97	105.77
	298.69	141.99	297.89	244.00	102.01
	282.75	158.01	283.40	209.99	51.99
	275.57	145.03	275.67	236.94	91.91
	143.13	252.00	142.99	150.99	101.01
	175.72	148.04	176.42	248.99	100.95
	255.55	147.46	256.70	243.90	96.45
	250.62	148.99	250.71	235.00	86.01
	79.21	151.00	80.35	413.04	262.03
	197.90	150.98	197.01	229.00	78.03
	133.43	153.03	133.77	252.92	99.89
	47.24	154.01	47.01	161.00	7.00
	165.37	155.15	167.09	239.04	83.90
	109.25	157.01	108.84	252.06	95.05
	155.63	159.97	155.54	203.00	43.02
	280.71	161.04	280.56	168.01	6.97
	367.81	161.04	367.80	176.01	14.97
	421.68	161.04	421.38	166.06	5.03
	272.64	161.99	272.68	168.96	6.97
	44.34	163.04	44.51	258.67	95.63
	139.74	163.00	139.74	215.00	52.01
	104.30	164.08	105.58	244.06	79.98
	125.37	166.05	127.44	249.55	83.53
	7.55	167.04	8.63	259.96	92.93
	37.74	167.82	35.89	216.97	49.18
	210.39	172.92	209.99	220.00	47.08
	23.20	174.07	20.78	213.99	40.00
	365.75	176.98	367.44	211.91	34.97
	375.36	179.03	375.79	192.10	13.07
	216.66	180.07	216.36	186.88	6.82
	272.40	183.98	272.66	190.00	6.02
	116.38	189.93	116.96	200.00	10.08
	21.36	193.99	21.48	199.99	6.00
	13.75	195.99	13.68	218.01	22.02
	272.71	198.07	272.55	217.00	18.94
	259.56	200.13	259.81	208.91	8.79
	421.44	203.08	420.93	223.99	20.92
	155.46	205.99	155.74	216.03	10.04
	182.75	210.00	182.01	250.00	40.00
	31.39	212.99	30.92	235.01	22.02
	23.64	219.03	23.49	229.95	10.92
	13.71	219.98	13.72	256.01	36.03
	285.25	221.09	284.87	232.02	10.93
	310.07	220.99	309.98	231.02	10.03
	367.30	221.01	367.65	226.95	5.95
	158.59	229.02	157.97	239.01	10.01
	20.65	226.00	20.26	231.99	6.01
	421.67	229.03	421.71	237.86	8.83
	33.57	233.05	32.67	249.07	16.04
	99.72	232.99	98.95	255.01	22.03
	196.73	232.96	197.06	239.99	7.03
	19.25	243.99	19.80	256.07	12.09
	352.33	366.01	352.13	254.01	112.00
	393.78	250.11	393.90	366.99	116.87
	244.43	251.19	245.26	277.93	26.75
	341.88	253.06	342.28	365.01	111.95
	291.97	256.02	292.43	366.00	109.99
	186.02	364.00	185.49	262.00	102.00
	218.94	258.28	221.13	364.00	105.74
	420.99	258.00	421.12	269.02	11.02
	254.07	259.01	255.94	366.08	107.09
	175.80	261.17	176.96	365.00	103.83
	260.72	261.02	260.25	273.99	12.97
	298.75	261.00	298.39	367.00	106.00
	143.54	263.26	143.51	365.03	101.77
	182.38	262.98	181.84	365.00	102.01
	256.30	263.04	257.38	360.95	97.92
	133.82	263.79	134.70	364.92	101.14
	102.24	266.02	102.36	363.99	97.97
	348.73	278.00	348.64	265.99	12.02
	108.12	267.99	108.91	290.00	22.02
	105.82	295.01	105.92	308.00	12.99
	105.91	309.00	109.13	361.99	53.09
	251.73	267.99	251.03	366.00	98.01
	45.50	269.11	45.46	365.83	96.73
	99.64	269.02	99.65	364.84	95.82
	17.21	270.13	17.50	365.01	94.88
	8.69	271.05	8.47	365.64	94.59
	106.08	277.99	105.75	294.01	16.02
	244.71	280.02	244.24	290.98	10.96
	140.64	282.00	140.70	310.01	28.01
	349.36	292.00	349.72	312.01	20.01
	244.70	293.03	245.56	305.02	12.02
	260.57	295.08	260.50	300.91	5.83
	93.66	298.06	93.65	321.03	22.97
	107.62	298.00	107.80	316.01	18.01
	14.74	304.00	14.19	365.91	61.91
	42.26	304.02	41.77	314.06	10.06
	244.04	310.01	243.88	318.00	8.00
	272.46	360.73	272.00	313.00	47.74
	318.15	311.11	318.13	356.01	44.90
	198.67	349.97	198.09	314.00	35.98
	128.02	315.00	128.41	357.09	42.09
	140.72	312.98	139.79	365.00	52.02
	169.59	313.96	169.64	357.02	43.05
	276.26	313.91	275.81	329.01	15.11
	349.71	314.99	349.75	321.00	6.01
	287.03	355.99	288.87	315.63	40.40
	375.39	316.94	374.87	325.02	8.10
	147.63	320.02	147.79	332.86	12.84
	244.03	323.00	243.95	332.00	9.00
	93.67	324.03	93.77	334.00	9.96
	210.78	324.01	210.50	337.12	13.11
	349.71	325.00	348.76	366.01	41.03
	367.31	327.00	367.69	354.02	27.02
	106.47	328.02	105.65	358.94	30.93
	374.71	333.00	375.09	343.98	10.99
	25.26	332.99	25.13	338.09	5.10
	275.59	334.01	275.86	339.98	5.98
	244.74	335.93	245.09	345.99	10.07
	41.93	337.81	41.75	344.48	6.67
	93.89	338.01	94.03	347.00	8.99
	260.76	345.05	261.03	363.00	17.96
	4.83	347.00	4.98	356.00	9.00
	94.22	350.02	93.98	360.00	9.99
	93.96	365.00	94.44	373.98	8.99
	46.05	375.99	45.97	472.99	97.00
	8.77	375.11	9.67	469.92	94.81
	103.02	475.00	102.66	376.98	98.01
	133.00	375.16	134.59	477.95	102.81
	143.97	477.00	143.66	378.00	99.01
	221.09	376.99	221.58	482.97	105.99
	176.68	375.85	177.19	480.02	104.18
	186.25	376.07	186.49	480.03	103.95
	302.49	385.99	302.51	378.00	7.99
	292.42	377.23	292.76	385.99	8.76
	14.54	378.01	16.07	471.75	93.75
	108.93	378.00	109.15	472.00	94.00
	140.48	378.01	140.06	476.99	98.98
	245.21	378.03	245.67	391.00	12.97
	21.09	378.95	21.25	390.93	11.98
	99.71	378.99	99.54	475.02	96.03
	156.53	380.02	155.95	456.98	76.96
	163.70	379.99	164.64	435.98	55.99
	171.23	379.93	169.95	434.00	54.08
	257.86	379.97	258.02	481.99	102.02
	183.68	382.98	183.68	395.01	12.03
	251.44	383.00	250.91	485.00	102.00
	41.57	384.65	41.60	390.81	6.17
	105.34	385.16	106.59	466.18	81.03
	94.02	390.00	94.25	398.95	8.96
	197.33	393.59	198.02	407.99	14.42
	183.68	397.00	183.71	404.00	7.01
	94.83	400.99	94.65	411.88	10.89
	22.30	403.00	23.35	423.00	20.03
	127.85	403.02	128.25	444.01	40.99
	34.00	404.00	34.10	409.03	5.03
	149.41	407.01	148.76	422.91	15.91
	209.15	407.03	208.26	422.04	15.04
	214.38	413.02	214.29	446.03	33.01
	198.38	417.98	198.67	444.00	26.02
	183.71	419.00	182.22	462.99	44.02
	208.03	424.01	208.70	435.86	11.87
	122.91	441.03	122.82	457.96	16.92
	164.06	443.00	164.17	463.94	20.94
	209.73	444.10	209.94	451.06	6.97
	170.69	449.96	170.07	464.00	14.05
	80.22	453.01	80.57	463.94	10.94
	214.07	453.01	214.15	458.98	5.97
	72.16	466.10	72.15	474.97	8.87
	91.65	519.20	91.74	524.21	5.01
	156.70	521.93	156.58	533.91	11.98
	72.41	525.95	72.76	531.93	5.99
	102.11	526.14	103.30	561.88	35.77
	128.78	542.03	128.76	530.64	11.38
	211.39	532.32	210.83	541.99	9.69
	155.34	540.97	154.23	558.02	17.08
	96.32	551.16	96.70	558.85	7.70
	244.29	552.06	244.00	562.01	9.95
	198.34	558.03	197.90	567.00	8.99
	150.28	561.93	150.17	577.99	16.06
	51.08	588.02	51.30	593.52	5.50
159
	12.34	7.56	25.00	4.10	13.12
	291.85	122.00	255.00	127.98	37.33
	3.96	8.49	10.01	7.04	6.22
	53.15	7.36	46.52	8.53	6.73
	12.97	15.60	33.89	9.77	21.71
	286.13	17.52	298.03	14.61	12.25
	299.89	17.27	281.91	21.02	18.37
	311.98	20.89	277.00	28.01	35.69
	311.98	26.81	304.06	28.43	8.09
	286.11	31.46	301.04	29.72	15.04
	273.97	37.81	313.08	30.83	39.73
	168.01	41.58	190.00	37.65	22.34
	135.91	52.39	123.98	54.49	12.12
	168.03	56.11	204.47	50.45	36.88
	15.08	54.26	7.85	55.37	7.31
	121.91	62.69	126.97	61.86	5.13
	341.47	116.99	303.04	122.64	38.85
	418.89	110.78	411.98	111.48	6.95
	305.99	116.90	317.10	114.62	11.34
	352.10	127.05	392.01	121.28	40.32
	355.98	127.81	391.04	125.26	35.14
	319.10	129.68	335.02	127.75	16.04
	187.03	135.15	219.05	131.19	32.26
	265.06	135.70	290.73	133.59	25.75
	292.19	244.03	255.00	247.44	37.34
	303.98	133.82	316.02	132.60	12.10
	253.51	138.97	289.02	135.59	35.67
	144.01	140.31	174.01	136.60	30.22
	316.99	217.27	310.97	217.47	6.02
	102.96	144.84	132.97	140.97	30.26
	145.01	146.19	156.02	145.32	11.04
	77.01	149.21	92.01	147.33	15.12
	109.01	150.19	133.99	147.01	25.18
	176.41	249.98	140.04	253.59	36.55
	18.03	155.20	43.93	151.91	26.11
	43.98	157.42	18.03	161.31	26.24
	368.03	213.28	385.98	211.23	18.07
	209.53	224.59	217.99	223.89	8.49
	153.99	239.98	147.01	240.39	6.99
	310.98	239.91	322.05	239.80	11.07
	348.15	242.32	392.98	239.89	44.90
	340.99	242.37	298.99	245.51	42.11
	202.90	245.61	212.06	244.67	9.20
	348.92	245.28	329.96	246.60	19.01
	326.96	247.27	311.98	247.87	14.99
	182.99	251.34	219.00	248.94	36.09
	276.99	249.94	287.00	249.27	10.03
	295.26	249.46	307.99	248.52	12.77
	111.00	251.13	120.07	250.70	9.08
	273.97	250.31	260.01	250.86	13.97
	132.97	253.33	104.03	255.47	29.03
	342.20	366.04	299.01	367.92	43.23
	254.97	257.94	290.92	255.29	36.05
	125.97	257.77	156.03	257.52	30.06
