vx	vy	vz	score	numLines
-0.99789271	-0.06488549	-0.00009669	11493.17	219
0.01437719	0.99989664	-0.00005331	4640.34	350
0.99997202	0.00745340	0.00063834	266.90	54

nLines	x1	y1	x2	y2	length
219
	324.04	3.39	341.91	4.33	17.89
	396.03	3.31	634.00	16.55	238.34
	251.02	4.11	262.99	4.67	11.99
	3.99	4.65	70.84	10.83	67.14
	356.99	5.72	464.05	11.47	107.22
	143.00	7.01	171.03	9.27	28.12
	132.01	8.68	141.01	9.35	9.02
	352.01	9.97	364.61	11.63	12.71
	3.99	10.71	23.01	12.65	19.12
	367.98	11.24	399.00	13.93	31.14
	36.06	12.46	60.98	14.09	24.97
	272.97	12.40	282.83	12.71	9.87
	478.89	13.44	578.00	17.99	99.21
	117.04	13.75	196.93	20.14	80.15
	34.00	16.50	58.03	18.45	24.11
	264.01	15.62	290.98	17.55	27.04
	251.98	17.58	262.00	18.01	10.03
	4.01	17.89	20.99	19.06	17.02
	484.09	18.26	529.06	20.64	45.03
	118.04	19.05	150.01	20.96	32.02
	385.99	19.18	393.94	19.62	7.96
	4.02	20.82	21.97	22.56	18.03
	532.00	21.03	543.88	21.86	11.91
	549.04	21.65	557.99	22.14	8.96
	123.97	23.48	145.99	25.08	22.08
	158.03	22.85	187.98	25.08	30.03
	243.03	22.82	315.84	28.23	73.01
	373.02	24.89	411.01	25.03	37.98
	588.21	23.84	634.00	25.04	45.80
	34.09	23.60	56.97	25.15	22.94
	323.08	24.43	329.03	24.92	5.97
	504.96	26.48	514.98	26.54	10.02
	124.01	28.96	140.94	30.66	17.02
	169.00	29.63	174.96	29.69	5.96
	242.04	28.59	270.98	30.59	29.01
	276.97	29.98	306.03	31.78	29.11
	365.01	30.44	434.79	35.40	69.96
	500.00	30.07	525.98	31.51	26.02
	3.98	31.27	89.00	37.97	85.28
	115.03	38.80	507.03	65.30	392.89
	158.00	31.08	187.01	32.90	29.07
	282.05	34.69	303.97	36.19	21.96
	364.96	35.36	392.32	37.87	27.47
	617.99	35.64	634.00	36.51	16.03
	602.04	67.08	570.01	66.86	32.03
	243.00	37.05	270.00	38.77	27.06
	484.98	37.23	548.98	41.16	64.12
	398.04	38.36	425.96	40.20	27.99
	283.00	39.77	303.02	40.88	20.05
	366.01	39.66	386.99	41.03	21.03
