vx	vy	vz	score	numLines
-0.99992514	0.01223518	0.00007339	3281.97	107
-0.02564471	0.99967112	-0.00006628	748.16	35
-0.96964869	0.24436099	-0.00831426	305.63	36

nLines	x1	y1	x2	y2	length
107
	486.00	7.98	574.05	7.28	88.05
	628.09	5.34	591.00	7.14	37.13
	46.06	6.93	54.06	6.45	8.02
	184.98	12.69	235.99	10.49	51.06
	312.02	9.32	461.99	8.50	149.96
	30.00	9.01	42.92	8.65	12.93
	125.00	12.92	148.02	13.57	23.03
	254.86	9.47	310.52	11.51	55.69
	54.04	12.38	104.01	11.85	49.98
	4.00	13.95	49.04	13.94	45.04
	381.14	13.60	389.04	13.58	7.89
	155.96	15.69	161.40	15.45	5.45
	323.12	26.72	330.50	27.04	7.38
	390.01	28.63	397.29	28.75	7.27
	580.98	53.85	565.03	53.59	15.96
	163.97	49.94	169.16	49.64	5.20
	160.25	59.66	170.98	60.04	10.74
	393.02	71.73	408.79	70.72	15.80
	571.85	66.68	579.04	66.84	7.19
	343.03	78.43	634.00	76.26	290.98
	243.99	79.08	341.06	78.88	97.07
	4.00	80.98	217.99	78.64	214.00
	259.08	83.81	272.99	84.40	13.92
	570.02	88.23	581.00	88.91	11.00
	564.84	132.15	573.03	132.47	8.20
	513.97	136.07	521.00	135.99	7.03
	443.98	141.04	449.05	141.33	5.08
	465.99	147.47	610.36	145.13	144.39
	598.70	142.43	606.20	142.52	7.50
	484.47	143.74	495.98	144.05	11.51
	272.00	147.70	464.97	147.67	192.97
	612.95	146.17	633.99	146.80	21.05
	59.00	148.00	115.00	149.98	56.03
	116.13	151.85	129.21	151.29	13.09
	425.58	154.49	435.97	154.32	10.39
	352.65	195.72	344.97	195.23	7.69
	59.02	217.65	92.01	215.55	33.06
	34.06	214.34	55.52	214.49	21.46
	555.09	214.14	561.05	214.44	5.96
	520.03	217.75	606.99	216.87	86.96
	3.98	216.85	10.99	216.88	7.01
	272.02	217.46	499.01	217.54	226.99
	456.10	286.62	354.98	286.13	101.12
	61.96	248.82	67.32	248.68	5.37
	25.00	255.99	30.94	256.06	5.94
	282.08	259.14	291.09	258.89	9.02
	111.09	260.83	124.74	261.69	13.68
	317.98	263.12	330.05	263.06	12.07
	279.03	282.34	296.00	282.98	16.98
	105.98	282.52	111.62	282.57	5.65
	468.01	284.03	474.91	284.10	6.90
	3.97	284.18	102.14	285.13	98.17
	297.95	286.42	354.02	287.54	56.08
	467.99	288.06	560.02	288.14	92.03
	577.00	287.29	612.98	289.08	36.02
	561.98	289.37	572.01	289.02	10.04
	383.03	289.29	391.21	289.38	8.18
	282.94	289.64	291.99	290.05	9.06
	455.02	289.93	460.97	289.92	5.95
	117.96	337.29	129.98	338.09	12.05
	93.00	339.32	114.02	339.28	21.02
	3.98	340.27	10.00	339.98	6.03
	330.00	340.83	351.88	341.39	21.88
	452.04	341.41	474.89	342.32	22.87
	356.02	341.94	363.01	342.04	7.00
	478.00	342.02	485.83	342.41	7.84
	576.01	342.33	597.96	342.46	21.95
	603.01	342.41	610.98	342.45	7.97
	459.94	347.20	468.99	347.39	9.05
	4.01	352.66	175.96	356.79	172.01
	388.95	353.22	393.99	353.11	5.04
	423.02	353.05	438.98	352.81	15.96
	179.01	357.20	210.02	357.82	31.02
	222.99	357.80	232.00	358.00	9.01
	253.99	358.35	281.06	358.87	27.07
	11.00	359.49	18.96	359.69	7.96
	21.01	359.60	27.99	359.49	6.98
	283.00	358.99	290.95	359.21	7.96
	304.02	359.09	325.00	359.92	21.00
	375.00	360.68	423.13	362.62	48.17
	47.00	359.94	52.00	360.02	5.00
	66.99	360.67	82.97	361.20	15.98
	327.09	360.30	344.96	360.09	17.87
	355.02	359.57	364.00	359.99	8.99
