vx	vy	vz	score	numLines
-0.99552551	-0.09449188	-0.00050182	8304.50	369
0.57407865	0.81878971	0.00413639	1768.27	104

nLines	x1	y1	x2	y2	length
369
	337.09	29.44	359.99	31.64	23.00
	17.98	34.90	45.96	38.27	28.19
	4.03	39.38	47.99	41.46	44.02
	55.03	40.85	66.02	42.17	11.07
	62.02	49.93	69.83	50.78	7.86
	350.00	51.95	378.00	53.94	28.08
	77.04	54.84	103.00	56.02	25.98
	344.99	63.03	358.06	64.76	13.18
	387.02	63.11	393.99	64.09	7.03
	255.91	66.35	242.01	65.84	13.91
	4.00	65.94	63.97	72.41	60.32
	379.99	66.06	392.77	67.91	12.92
	393.93	65.65	405.87	66.54	11.97
	392.02	69.72	416.86	72.48	24.99
	4.02	71.63	15.95	72.40	11.96
	543.99	72.08	602.98	73.89	59.02
	73.00	72.19	80.02	72.50	7.02
	82.98	72.11	134.03	75.84	51.18
	161.05	73.11	184.97	75.52	24.05
	240.00	74.63	256.87	75.56	16.90
	4.08	74.82	23.00	76.07	18.96
	533.05	74.70	543.06	75.90	10.08
	137.02	76.17	145.99	76.30	8.97
	303.97	76.14	313.92	76.47	9.95
	312.05	77.68	341.99	79.62	30.01
	519.12	78.27	552.00	80.99	32.99
	202.98	79.33	226.96	79.14	23.98
	277.08	79.60	292.88	80.51	15.82
	508.00	79.63	518.97	80.81	11.03
	357.96	81.50	386.00	82.30	28.06
	396.95	82.38	415.01	83.81	18.11
	613.09	81.37	619.04	81.82	5.96
	223.97	82.67	248.03	83.73	24.08
	293.02	85.93	302.06	86.45	9.06
	428.00	85.92	439.00	86.05	10.99
	346.04	90.23	400.10	90.38	54.06
	301.99	89.09	330.02	88.88	28.03
	513.02	90.06	556.03	91.55	43.04
	306.06	92.34	326.00	92.91	19.95
	400.09	96.33	415.00	97.18	14.93
	503.01	92.10	511.00	92.98	8.04
	364.13	93.53	384.97	95.72	20.96
	465.98	95.43	477.97	96.37	12.03
	455.04	99.72	481.02	99.93	25.98
	4.02	99.88	26.00	99.96	21.98
	433.05	106.32	466.05	106.54	33.00
	64.05	107.78	84.99	108.08	20.94
	516.02	102.85	528.00	103.03	11.98
	24.96	104.14	58.00	104.98	33.05
	343.00	104.75	356.01	105.50	13.03
	463.90	104.58	488.00	104.88	24.10
	569.11	107.26	579.97	108.35	10.92
	512.02	108.82	533.00	109.83	21.00
	396.01	110.81	426.01	111.49	30.01
	553.93	109.80	582.98	111.77	29.12
	109.02	113.38	152.01	115.94	43.06
	510.00	118.49	541.96	118.31	31.96
	424.02	114.53	429.05	114.73	5.03
	550.00	116.07	562.01	116.21	12.02
	129.07	121.74	180.00	123.61	50.96
	431.00	121.96	439.03	122.79	8.07
	549.04	126.73	556.98	127.16	7.96
	525.02	127.77	531.00	128.14	6.00
	114.94	129.30	172.02	130.18	57.10
	3.99	131.53	103.01	138.90	99.29
	165.01	134.66	181.00	135.10	16.00
	572.01	135.40	580.98	136.24	9.01
	199.98	153.74	235.03	155.22	35.08
	168.96	138.32	182.98	138.66	14.02
	168.88	140.68	181.00	140.93	12.12
	408.87	142.44	449.00	141.09	40.15
	241.00	141.98	254.03	142.26	13.03
	33.98	149.04	59.00	148.04	25.03
	78.00	147.57	112.00	146.94	34.01
	259.99	146.82	291.86	149.56	31.99
	34.03	150.41	4.00	150.95	30.04
	272.00	156.87	337.99	157.08	65.99
	291.98	153.17	302.02	153.13	10.04
	4.02	153.72	77.00	156.59	73.04
	80.99	159.18	141.99	163.04	61.12
	80.99	155.37	147.97	156.47	66.99
	251.98	158.30	243.04	158.61	8.94
	38.05	158.61	80.00	159.81	41.97
	156.07	162.13	308.00	165.96	151.98
	74.03	163.79	102.98	162.75	28.96
	120.02	163.85	154.02	166.62	34.11
	161.99	166.56	167.07	166.38	5.08
	112.00	166.94	126.96	167.37	14.97
	505.27	188.64	522.97	188.84	17.70
	105.05	168.50	89.00	168.99	16.06
	138.02	169.39	179.01	170.10	41.00
	580.98	172.43	604.05	172.63	23.07
	80.98	174.20	118.00	175.07	37.02
	534.04	177.20	561.97	176.54	27.93
	577.00	178.08	607.99	177.17	31.01
	565.01	178.74	549.98	179.62	15.06
	623.99	179.10	634.01	179.14	10.02
	545.05	180.28	536.03	180.72	9.03
	106.99	181.26	190.00	181.89	83.01
	487.11	186.32	501.99	186.64	14.89
	509.00	185.93	524.02	186.26	15.02
	126.02	188.35	134.99	188.23	8.98
	558.98	192.82	583.00	193.02	24.02
	515.00	194.85	521.00	194.60	6.01
	581.20	194.99	615.05	196.87	33.91
	621.99	196.80	633.99	196.77	12.00
	559.00	197.90	572.99	198.06	13.99
	487.96	197.69	516.99	198.58	29.04
	537.00	198.64	553.99	197.83	17.01
	166.00	199.12	239.00	198.95	73.00
	4.01	200.68	163.85	201.48	159.84
	500.00	206.07	513.01	205.43	13.03
	165.97	201.93	178.00	201.89	12.02
	394.00	202.99	406.01	202.50	12.02
	521.98	205.40	634.02	204.17	112.05
	63.00	207.00	71.00	207.12	8.01
	514.00	206.76	520.99	206.85	6.99
	483.92	207.06	501.01	207.35	17.09
	564.00	207.49	634.00	207.41	69.99
	73.02	209.94	79.03	210.10	6.01
	234.92	210.45	240.96	210.75	6.05
	145.86	216.51	224.91	211.28	79.22
	581.98	212.38	591.01	212.60	9.03
	99.95	216.28	108.96	216.42	9.01
	93.96	217.31	85.94	217.72	8.03
	552.68	218.83	558.24	218.72	5.56
	67.97	218.38	75.97	218.37	8.00
	60.95	219.39	3.99	222.93	57.07
	449.01	232.08	459.96	231.17	10.98
	423.98	232.55	434.99	231.53	11.06
	464.19	234.64	477.02	235.08	12.84
	452.20	238.41	471.08	237.48	18.89
	201.00	241.01	229.00	238.61	28.10
	402.06	240.24	411.11	240.49	9.06
	423.89	238.67	439.02	239.11	15.14
	477.89	245.39	466.57	246.18	11.36
	128.77	246.12	139.05	246.30	10.28
	195.01	248.58	229.01	248.26	33.99
	150.05	253.44	193.02	249.41	43.16
	229.28	250.51	246.13	250.28	16.85
	142.94	250.78	147.98	250.67	5.04
	605.75	251.35	592.01	252.23	13.77
	170.25	255.46	205.02	252.63	34.88
	581.94	252.51	586.99	252.03	5.07
	613.98	253.20	620.98	253.31	7.00
	555.08	254.36	570.08	254.51	15.00
	578.00	255.99	584.89	255.22	6.93
	129.04	256.41	145.02	256.44	15.99
	399.01	264.79	412.02	263.69	13.05
	626.04	256.17	634.00	256.26	7.96
	149.11	258.15	170.00	257.13	20.92
	498.99	257.31	509.00	256.99	10.02
	550.99	257.13	565.04	257.20	14.04
	107.99	258.97	127.12	258.81	19.13
	171.78	258.68	192.02	258.27	20.24
	532.99	258.71	543.97	257.67	11.04
	586.02	258.59	604.02	258.63	18.00
	126.93	262.08	149.96	260.97	23.06
	511.98	259.65	524.02	259.59	12.05
	609.94	259.61	620.97	259.27	11.03
	490.98	260.54	501.99	259.88	11.03
	549.99	261.07	560.00	259.97	10.07
	152.08	261.48	172.00	261.10	19.93
	178.99	262.73	197.02	262.53	18.04
	469.02	261.49	480.00	261.16	10.98
	583.98	262.39	599.00	260.61	15.13
	504.98	263.51	518.00	262.26	13.08
	103.01	264.25	125.01	262.87	22.05
	481.05	262.60	494.99	262.61	13.94
	540.00	264.05	556.01	262.54	16.08
	128.00	264.95	149.98	264.18	21.99
	450.03	264.34	436.01	265.65	14.09
	457.98	265.34	473.95	264.53	16.00
	99.94	265.50	74.95	267.92	25.10
	154.00	265.99	159.00	265.75	5.00
	190.01	267.52	182.98	267.53	7.03
	386.99	265.60	392.02	265.61	5.02
	556.11	266.41	573.01	265.34	16.94
	385.01	268.84	402.04	267.36	17.09
	495.99	267.38	502.00	267.08	6.02
	528.11	267.32	517.99	268.42	10.18
	533.17	268.57	552.93	266.60	19.86
	606.99	267.23	618.00	266.91	11.02
	151.83	268.17	125.95	270.32	25.96
	455.02	271.78	449.00	271.90	6.02
	584.97	268.46	593.04	267.94	8.08
	599.19	268.37	610.02	268.35	10.84
	47.01	271.44	71.01	269.25	24.10
	561.01	270.28	569.99	269.62	9.01
	91.02	270.40	96.94	270.55	5.92
	509.02	269.89	519.00	269.63	9.98
	535.99	271.36	547.00	270.88	11.02
	70.98	273.92	89.01	272.22	18.11
	215.94	275.25	245.04	272.64	29.21
	511.98	272.28	521.01	271.83	9.04
	341.09	275.71	364.97	274.40	23.92
	407.00	274.96	419.99	273.64	13.06
	475.03	275.73	511.01	273.81	36.03
	131.00	275.35	153.10	275.28	22.10
	236.98	275.60	243.04	274.89	6.10
	366.00	276.99	350.10	278.50	15.98
	420.02	278.93	469.99	275.04	50.13
	89.98	279.33	84.99	279.87	5.02
	86.01	277.58	94.13	277.71	8.12
	189.95	279.34	219.03	277.89	29.11
	464.01	281.04	513.97	277.43	50.09
	181.98	278.37	164.95	280.34	17.15
	334.00	279.31	346.02	277.89	12.10
	577.97	279.48	588.96	278.56	11.03
	93.73	281.78	122.96	278.67	29.40
	158.93	289.09	191.98	286.26	33.18
	217.11	279.54	196.05	281.77	21.18
	218.83	281.57	246.09	280.34	27.29
	361.19	282.45	380.99	280.10	19.94
	405.10	284.52	459.02	280.89	54.05
	510.01	283.82	562.00	280.03	52.12
	95.97	283.61	122.95	282.43	27.01
	127.04	282.80	154.98	281.08	27.99
	615.99	282.94	633.98	280.64	18.14
	31.06	283.22	58.98	282.65	27.93
