vx	vy	vz	score	numLines
-0.99788780	-0.06495860	-0.00055934	4448.17	282
0.01955447	0.99980879	0.00008882	1940.32	111
0.92949195	-0.36883820	-0.00176015	1366.79	187

nLines	x1	y1	x2	y2	length
282
	358.38	5.47	364.00	5.80	5.63
	318.12	13.81	325.07	14.59	7.00
	62.02	45.38	84.96	47.45	23.04
	382.08	35.75	395.02	36.34	12.94
	4.00	47.96	24.08	48.63	20.10
	236.26	49.60	251.87	51.29	15.71
	88.70	55.07	95.02	55.25	6.32
	389.36	53.45	401.97	53.18	12.61
	4.00	55.07	59.98	59.35	56.14
	274.99	56.41	280.32	56.47	5.33
	136.02	61.34	125.07	60.25	11.00
	3.98	61.13	41.98	64.18	38.13
	70.00	61.19	78.10	61.36	8.11
	72.12	67.13	78.80	67.49	6.69
	234.20	66.38	250.01	67.61	15.86
	382.00	66.98	409.17	68.65	27.22
	97.94	68.56	103.96	68.82	6.03
	344.04	67.73	350.04	67.84	6.00
	4.01	68.79	61.04	71.71	57.10
	123.15	71.25	136.99	71.11	13.84
	247.10	74.61	235.04	73.65	12.10
	3.97	74.28	24.00	75.01	20.04
	342.00	74.23	354.99	73.78	13.00
	37.92	76.32	61.97	77.21	24.07
	107.72	77.40	162.03	79.43	54.35
	34.06	79.57	41.01	79.33	6.96
	102.14	80.50	111.50	80.51	9.36
	141.81	83.55	163.03	84.12	21.22
	345.82	88.66	353.09	89.10	7.28
	37.98	90.22	44.98	90.22	7.00
	70.00	91.07	76.03	91.54	6.05
	237.91	93.83	245.89	94.20	7.99
	392.87	96.42	403.00	96.56	10.12
	403.03	103.37	392.00	103.94	11.04
	336.99	109.03	358.07	108.21	21.09
	321.01	118.24	333.92	117.77	12.92
	293.00	121.47	303.00	121.02	10.01
	320.01	122.11	327.09	121.79	7.09
	410.00	124.10	423.03	123.19	13.07
	292.96	129.82	303.08	130.41	10.14
	306.88	132.40	422.99	130.35	116.13
	261.13	134.62	280.84	134.63	19.71
	36.21	136.66	49.97	136.81	13.76
	3.90	138.25	14.83	137.44	10.96
	366.11	487.69	411.92	472.79	48.17
	326.19	142.19	334.02	141.70	7.85
	380.00	144.41	397.01	144.90	17.01
	4.00	145.01	15.03	145.52	11.04
	306.99	144.83	319.01	144.80	12.02
	332.13	153.46	347.04	153.64	14.92
