vx	vy	vz	score	numLines
0.98557289	0.16925102	0.00042217	7753.79	174
-0.99632819	-0.08554433	-0.00350824	3498.48	185
-0.99049428	0.13752960	0.00258720	657.71	86

nLines	x1	y1	x2	y2	length
174
	5.92	63.33	58.86	70.30	53.40
	4.01	70.46	12.09	71.55	8.16
	13.86	70.79	37.00	75.48	23.61
	260.97	93.23	229.78	89.37	31.42
	337.03	100.97	342.98	102.19	6.07
	274.01	94.88	283.95	96.44	10.06
	218.04	98.76	283.99	106.63	66.42
	347.00	104.99	382.93	108.64	36.11
	212.00	109.97	282.03	117.90	70.48
	348.10	115.68	402.01	122.45	54.33
	299.02	119.44	309.01	120.13	10.02
	247.25	124.37	282.03	130.43	35.30
	383.99	129.14	412.03	134.79	28.60
	210.17	129.46	221.00	130.79	10.91
	369.87	132.67	393.90	135.74	24.22
	191.16	132.55	239.96	138.20	49.13
	397.94	136.43	415.96	138.21	18.11
	188.03	137.43	197.96	138.32	9.97
	308.03	136.89	314.02	137.38	6.01
	366.00	140.01	426.02	146.42	60.37
	185.98	139.47	193.28	140.34	7.35
	400.97	139.40	421.00	141.99	20.20
	206.99	140.14	226.02	141.50	19.07
	244.00	145.61	281.99	148.84	38.13
	393.99	145.79	432.01	150.94	38.36
	348.98	147.15	368.14	149.76	19.33
	222.09	147.74	258.02	153.24	36.36
	374.47	148.58	437.00	156.02	62.97
	4.03	148.65	36.96	152.24	33.12
	174.01	150.92	233.98	156.21	60.21
	351.92	152.30	371.69	155.51	20.03
	3.95	153.39	12.02	153.83	8.08
	376.92	154.20	408.99	157.32	32.22
	170.03	156.35	222.00	161.98	52.27
	411.02	156.93	443.99	161.25	33.25
	248.02	158.47	264.96	160.25	17.03
	392.54	161.43	452.07	167.39	59.83
	149.97	163.22	314.01	176.89	164.61
	315.01	176.93	398.01	187.63	83.69
	244.97	166.45	318.92	174.74	74.41
	398.48	167.55	408.01	168.64	9.59
	410.90	169.44	459.02	173.83	48.32
	140.03	172.89	354.01	192.86	214.91
	355.01	192.89	577.08	224.60	224.33
	395.02	173.37	406.18	174.68	11.24
	419.90	174.59	467.03	180.29	47.48
	241.99	178.53	320.97	185.89	79.33
	3.98	180.92	15.90	181.51	11.94
	129.98	183.12	386.96	205.33	257.94
	388.01	205.37	516.88	224.71	130.31
	322.78	185.66	352.93	189.32	30.38
	418.97	187.36	463.00	191.48	44.22
	502.98	199.13	634.01	211.89	131.65
	356.07	189.74	402.81	195.79	47.13
	488.97	189.54	494.00	190.10	5.06
	497.61	193.99	504.97	195.10	7.44
	118.08	194.48	237.02	203.87	119.31
	237.15	193.93	415.98	213.23	179.86
	417.02	213.32	634.04	246.30	219.51
	405.06	196.33	431.76	199.88	26.93
	118.96	197.74	153.01	199.79	34.12
	531.64	197.95	537.85	198.27	6.22
	435.04	200.49	474.81	207.43	40.37
	192.06	203.37	201.02	203.69	8.96
	478.01	207.08	500.89	210.78	23.18
	104.97	208.22	234.00	217.00	129.33
	237.02	212.48	302.01	215.90	65.08
	303.01	215.94	447.95	231.20	145.75
	448.91	231.28	633.99	257.05	186.87
	504.99	211.20	536.95	216.28	32.36
	125.07	212.51	146.02	213.69	20.99
	148.07	214.37	212.04	218.28	64.09
	544.98	217.83	560.97	220.58	16.22
	601.93	217.74	634.01	219.84	32.15
	238.40	228.74	250.97	230.60	12.70
	98.99	220.88	228.93	231.62	130.38
	569.91	221.55	574.95	222.35	5.10
	83.99	224.75	227.97	234.26	144.29
	434.93	226.31	446.93	228.14	12.14
	596.99	228.55	623.84	230.36	26.91
	619.11	232.36	633.98	233.62	14.92
	276.96	232.63	284.99	233.05	8.04
	85.99	241.11	223.00	248.94	137.23
	253.98	233.68	437.99	248.12	184.57
	438.98	248.15	633.95	272.27	196.46
	494.00	235.04	505.92	236.20	11.98
	580.92	235.59	603.87	238.71	23.16
	74.08	243.78	220.97	252.73	147.16
	447.64	244.95	460.08	246.51	12.54
	233.24	253.36	244.93	253.37	11.69
	261.99	253.96	296.03	256.09	34.11
	523.97	255.10	548.97	258.61	25.25
	317.00	255.99	322.01	256.19	5.01
	225.00	257.00	361.91	264.30	137.10
	332.00	257.09	336.99	257.43	5.01
	420.01	263.00	426.01	263.82	6.05
	557.00	259.00	562.92	259.21	5.93
	391.12	260.96	403.01	261.92	11.93
	75.90	264.67	183.00	269.78	107.22
	363.96	264.20	634.01	290.42	271.32
	55.97	264.77	215.04	275.39	159.42
	618.06	267.60	625.87	268.44	7.85
	190.94	269.81	215.98	271.26	25.08
	530.97	276.58	555.92	278.75	25.04
	606.04	283.89	612.00	284.01	5.96
	317.01	278.66	330.94	279.49	13.95
	334.03	279.60	347.98	280.08	13.96
	350.97	280.15	365.14	280.56	14.18
	575.88	280.47	585.90	281.65	10.09
	369.00	280.99	381.06	280.90	12.06
	385.96	282.19	395.00	282.18	9.03
	588.02	281.83	601.06	282.82	13.08
	423.02	283.68	428.04	283.74	5.02
	615.95	284.55	634.03	286.83	18.22
	311.96	287.45	368.02	289.80	56.11
	201.00	331.00	30.00	327.02	171.05
	378.11	290.28	399.00	291.92	20.96
	50.97	292.38	199.00	297.91	148.14
	352.00	294.06	440.99	298.28	89.09
	441.98	298.09	634.01	313.86	192.67
	54.01	295.92	208.00	301.93	154.12
	24.22	294.59	34.01	294.94	9.79
	462.00	296.04	483.03	297.64	21.09
	202.02	298.12	208.99	298.12	6.97
	401.01	328.21	384.89	328.32	16.11
	544.93	302.68	554.97	303.20	10.06
	6.54	304.43	12.99	304.61	6.45
	320.01	304.90	335.02	305.27	15.01
	358.08	306.51	372.01	306.69	13.93
	598.94	307.35	604.99	307.61	6.05
	528.99	333.49	544.03	334.39	15.06
	382.94	333.88	633.99	345.11	251.30
	206.00	323.98	221.02	324.11	15.02
	311.86	326.72	330.98	326.68	19.13
	332.99	327.64	380.00	327.92	47.01
	203.99	329.02	221.99	329.66	18.01
	460.00	329.05	465.99	329.10	5.99
	496.93	334.09	511.01	334.94	14.10
	18.21	330.48	200.02	335.86	181.89
	312.00	331.42	360.97	331.50	48.97
	426.99	330.48	454.99	330.52	27.99
	363.04	333.11	382.02	333.59	18.99
	463.00	332.89	475.99	333.18	12.99
	478.92	333.07	493.07	333.71	14.17
	312.99	337.14	319.99	337.09	7.00
	323.20	336.57	341.02	337.82	17.87
	346.00	337.93	362.21	337.50	16.21
	583.02	379.94	634.00	381.02	50.99
	443.03	361.50	452.01	361.31	8.99
	351.05	364.38	364.00	364.00	12.96
	106.00	367.02	126.92	367.56	20.93
	29.00	372.22	190.01	373.87	161.02
	4.00	370.94	21.02	370.83	17.01
	219.09	379.10	191.99	379.95	27.12
	352.94	373.65	371.00	374.00	18.07
	4.00	376.93	187.95	379.27	183.96
	312.02	377.80	324.92	377.24	12.91
	329.00	376.91	348.01	377.15	19.01
	359.04	377.29	367.10	377.48	8.06
	377.97	378.27	396.02	377.90	18.06
	423.92	379.39	440.03	378.68	16.12
	470.00	377.77	481.01	378.11	11.02
	508.03	378.21	581.00	380.98	73.03
	329.01	380.07	341.00	379.98	11.99
	188.90	386.26	222.03	385.33	33.14
	312.01	385.76	634.00	386.31	322.00
	357.00	400.23	403.02	400.08	46.02
	408.00	400.02	449.93	399.66	41.93
	478.00	399.65	634.00	398.44	156.00
	452.96	399.53	472.98	399.84	20.01
	312.02	400.69	355.09	400.72	43.07
	185.07	401.72	214.42	401.31	29.36
	216.00	402.04	222.00	402.21	5.99
	3.99	429.18	175.95	428.75	171.95
185
	26.96	29.30	43.01	29.44	16.05
	38.83	42.38	59.95	39.83	21.27
	28.88	42.32	36.96	41.85	8.09
	28.02	49.23	63.90	44.57	36.18
	303.31	82.05	334.35	174.05	97.09
	284.35	84.06	284.87	94.00	9.95
	315.57	86.60	361.74	177.88	102.29
	229.06	89.99	224.14	96.35	8.04
	331.71	93.86	336.02	99.98	7.49
	284.47	96.95	284.36	103.00	6.05
	216.78	100.05	162.06	159.04	80.46
	308.48	105.86	327.39	167.87	64.83
	284.34	109.92	284.12	168.02	58.09
	351.59	121.98	356.66	130.13	9.60
	403.36	122.97	486.82	192.13	108.38
	366.90	145.12	382.15	165.93	25.79
	582.39	201.03	588.92	204.45	7.36
	611.69	204.04	617.86	207.71	7.18
	293.93	206.00	294.27	212.96	6.97
	306.19	208.00	306.96	214.00	6.05
	319.00	209.00	320.32	215.10	6.24
	343.42	211.02	345.77	217.03	6.45
	263.56	219.01	262.82	227.02	8.04
	308.00	220.00	309.22	233.08	13.14
	231.99	221.00	229.88	228.94	8.22
	321.34	222.04	324.42	234.07	12.42
	335.00	223.00	337.33	232.90	10.17
	290.36	225.06	290.39	231.00	5.94
	81.52	233.50	33.19	283.21	69.33
	363.98	231.01	367.68	238.99	8.80
	403.77	234.16	407.44	241.05	7.81
	439.85	235.14	446.45	244.03	11.07
	452.34	235.73	462.96	247.65	15.97
	477.76	241.19	486.89	250.12	12.77
	486.21	240.80	494.96	250.04	12.72
	239.85	241.98	238.50	248.00	6.17
	354.81	243.04	360.25	260.86	18.62
	225.34	246.08	214.26	286.23	41.65
	235.48	246.18	234.55	251.96	5.86
	523.42	245.61	533.07	253.92	12.73
	71.86	252.87	63.36	262.45	12.81
	383.85	246.86	387.46	255.03	8.93
	370.77	248.05	375.66	260.90	13.76
	611.14	247.79	615.84	251.50	5.99
	91.80	259.79	99.95	248.93	13.57
	118.13	250.15	110.88	260.87	12.95
	426.19	251.19	436.86	266.16	18.38
	556.91	251.08	564.03	256.96	9.24
	563.18	250.75	573.66	258.40	12.98
	440.47	253.01	451.82	268.18	18.94
	453.70	254.25	464.50	268.04	17.52
	468.46	256.02	481.94	271.06	20.20
	597.12	255.80	604.97	262.03	10.03
	235.97	259.99	233.51	272.90	13.14
	483.19	259.85	494.99	272.03	16.96
	504.16	259.86	517.46	272.49	18.34
	224.39	261.03	221.13	273.07	12.48
	289.32	263.01	289.66	270.96	7.96
	519.76	263.19	530.89	274.09	15.58
	527.95	263.04	540.89	274.12	17.03
	542.11	264.92	556.97	277.03	19.16
	552.28	264.73	568.92	278.08	21.33
	231.54	267.73	229.95	274.99	7.43
	566.97	268.04	580.82	279.20	17.79
	50.62	275.66	37.74	290.15	19.39
	393.42	270.25	404.14	291.88	24.14
	409.26	270.86	420.10	291.91	23.68
	589.90	271.11	594.88	275.17	6.42
	598.37	271.50	606.73	277.31	10.18
	380.59	273.24	386.92	288.04	16.10
	425.58	272.96	436.83	293.13	23.09
	440.75	273.84	446.43	283.97	11.61
	621.12	274.85	633.83	284.18	15.77
	456.11	275.92	469.12	293.87	22.17
	471.49	277.33	485.66	296.32	23.69
	597.05	276.94	605.04	283.39	10.27
