vx	vy	vz	score	numLines
0.90014624	-0.43558757	0.00047131	4036.87	244
-0.71852330	-0.69550265	-0.00057499	3150.03	163
0.80113504	-0.59848332	-0.00059993	553.71	91

nLines	x1	y1	x2	y2	length
244
	130.81	3.46	121.01	9.01	11.26
	75.44	4.41	45.92	21.30	34.01
	200.97	23.98	170.93	42.83	35.47
	224.97	12.87	242.98	3.97	20.09
	238.91	24.28	274.92	3.86	41.40
	525.00	35.99	550.00	21.00	29.15
	241.86	11.87	253.05	5.72	12.78
	465.24	26.06	493.05	7.57	33.39
	90.97	10.46	96.08	8.24	5.57
	232.01	15.90	240.08	11.11	9.38
	244.03	14.20	249.87	10.70	6.81
	65.08	19.65	50.22	27.46	16.79
	346.87	23.63	363.64	13.63	19.53
	339.15	39.17	374.01	18.06	40.75
	78.17	25.33	90.33	18.56	13.91
	96.93	18.53	86.74	24.40	11.75
	544.90	29.77	552.96	23.94	9.94
	560.00	23.54	541.83	34.72	21.33
	581.00	53.00	563.29	65.31	21.57
	493.01	63.31	515.31	46.41	27.98
	65.15	33.25	76.37	26.64	13.03
	278.04	58.10	310.10	39.03	37.30
	214.68	28.35	206.07	33.29	9.92
	181.96	54.44	225.98	32.69	49.09
	433.96	45.94	454.03	34.07	23.32
	428.24	40.35	434.16	36.77	6.92
	290.32	68.36	322.00	49.00	37.13
	610.08	46.61	602.41	51.97	9.36
	68.12	103.17	38.03	119.51	34.25
	145.02	57.00	136.89	61.85	9.46
	227.09	88.67	258.48	70.00	36.52
	403.81	67.62	412.92	61.37	11.05
	568.75	65.65	577.71	59.75	10.73
	398.68	61.46	379.75	74.79	23.15
	474.93	61.36	447.60	80.89	33.60
	130.18	63.40	107.20	74.71	25.61
	632.96	64.00	616.94	77.92	21.23
	140.84	68.27	147.90	64.86	7.84
	135.95	81.42	161.08	67.67	28.65
	402.46	67.39	386.35	76.49	18.49
	394.80	74.59	400.79	70.64	7.18
	634.21	71.15	624.00	79.99	13.51
	474.44	83.48	486.88	74.83	15.15
	592.10	104.73	600.19	99.18	9.80
	236.83	102.93	276.05	77.65	46.66
	520.53	88.06	534.84	76.87	18.17
	551.62	76.90	528.95	95.42	29.27
	559.03	84.42	553.64	88.55	6.79
	371.71	81.56	334.98	104.94	43.54
	337.72	110.70	374.01	88.26	42.66
	408.02	107.50	440.06	87.74	37.65
	605.32	87.93	591.23	100.38	18.81
	606.04	101.04	619.04	91.88	15.90
	447.65	97.59	452.76	93.57	6.50
	446.27	96.27	437.71	101.54	10.05
	510.02	96.44	486.95	112.86	28.32
	454.19	99.23	450.07	102.12	5.04
	33.23	113.67	60.33	100.60	30.08
	511.13	109.67	498.03	119.04	16.11
	77.20	113.27	98.04	102.67	23.38
	202.92	101.97	174.83	120.69	33.75
	183.84	126.27	204.08	113.11	24.15
	578.42	112.74	563.29	125.18	19.58
	427.26	119.45	443.70	107.51	20.32
	249.87	151.84	225.08	166.15	28.63
	179.98	134.96	218.57	112.48	44.67
	309.92	111.03	281.06	131.11	35.15
	611.31	125.00	627.01	110.98	21.05
	317.92	115.36	322.70	112.61	5.51
	552.81	120.03	557.86	115.75	6.62
	317.06	117.06	304.97	124.73	14.32
	304.33	132.56	325.04	118.70	24.92
	396.20	119.12	388.20	125.21	10.06
	573.54	128.49	585.30	119.35	14.90
	479.13	121.57	450.02	141.84	35.48
	182.49	125.44	172.11	131.24	11.90
