vx	vy	vz	score	numLines
-0.23548521	0.97187793	-0.00006400	9346.38	455
0.93665991	-0.35023961	-0.00066010	2552.99	196
0.13287794	0.99113240	-0.00010457	1688.16	55

nLines	x1	y1	x2	y2	length
455
	342.00	88.00	276.64	394.03	312.93
	389.40	66.01	358.85	207.97	145.20
	436.54	45.01	364.92	384.99	347.44
	159.14	147.03	102.54	394.03	253.39
	177.82	28.95	177.02	34.00	5.11
	252.04	121.01	231.74	214.93	96.09
	297.59	105.00	234.88	393.98	295.70
	348.02	35.03	349.07	30.07	5.07
	444.32	43.92	441.23	59.05	15.45
	451.58	28.98	449.45	37.89	9.16
	480.94	28.98	408.99	374.00	352.44
	506.04	72.07	515.30	37.97	35.34
	487.43	47.98	489.58	37.04	11.14
	521.91	28.97	453.03	362.00	340.08
	563.31	28.98	496.11	350.01	327.99
	566.99	65.00	570.77	48.15	17.26
	25.93	173.01	20.96	193.99	21.56
	578.11	30.06	574.95	41.99	12.34
	603.38	37.98	541.28	338.06	306.43
	605.18	30.05	603.76	36.95	7.05
	426.42	30.99	425.04	39.00	8.13
	69.88	164.99	40.91	279.99	118.59
	417.47	64.54	416.08	70.02	5.65
	474.49	35.87	472.83	44.96	9.23
	135.28	38.04	133.38	48.05	10.20
	569.42	39.09	568.15	45.02	6.06
	343.92	48.97	341.98	59.99	11.19
	303.76	45.95	300.42	65.14	19.48
	414.54	49.41	412.05	60.63	11.49
	442.27	66.19	439.96	76.99	11.05
	521.18	81.11	519.04	96.03	15.07
	447.62	51.91	446.21	56.97	5.25
	483.39	52.01	481.62	61.94	10.09
	595.39	52.03	589.04	83.01	31.62
	590.76	56.95	585.46	85.13	28.68
	231.56	74.03	235.08	62.22	12.32
	427.70	61.93	425.66	73.01	11.27
	552.64	62.91	551.04	74.01	11.21
	299.69	67.63	297.61	80.63	13.17
	528.55	64.06	525.59	75.03	11.37
	632.91	63.98	629.53	79.01	15.40
	601.91	100.95	598.76	119.82	19.13
	468.66	66.04	463.18	90.05	24.63
	578.79	65.91	572.34	94.06	28.88
	66.61	78.03	69.76	67.76	10.74
	395.58	70.02	393.65	83.03	13.15
	519.77	69.97	518.30	78.07	8.23
	562.04	71.01	560.89	75.99	5.10
	568.90	70.96	562.75	99.94	29.63
	462.38	72.10	457.92	92.99	21.37
	395.19	89.16	392.99	99.00	10.08
	186.29	78.04	184.38	86.98	9.14
	506.65	78.91	503.65	90.13	11.62
	474.48	107.98	472.65	120.22	12.38
	435.40	80.13	426.78	124.93	45.62
	609.82	79.90	606.78	93.98	14.40
	634.65	80.17	584.85	326.98	251.78
	449.10	81.03	444.52	101.12	20.61
	440.95	81.96	434.47	112.19	30.91
	546.55	82.89	539.38	117.98	35.81
	380.46	83.87	379.08	92.02	8.27
	343.15	108.15	340.91	121.02	13.06
	345.86	102.96	347.76	91.96	11.16
	422.26	89.95	416.74	113.94	24.61
	481.26	91.20	478.83	101.97	11.04
	212.64	151.66	211.09	160.03	8.51
	417.45	93.11	411.35	117.12	24.77
	473.20	97.03	472.20	104.06	7.10
	186.43	97.97	185.09	104.01	6.18
	501.08	99.01	499.82	104.94	6.06
	585.00	99.00	582.06	112.02	13.35
	165.53	101.98	164.25	109.07	7.20
	402.69	101.84	398.22	123.01	21.63
	334.23	104.05	331.79	112.69	8.98
	460.28	104.04	457.37	117.01	13.29
	428.11	132.06	425.94	142.97	11.12
	623.24	104.21	614.44	149.99	46.62
	395.25	106.06	391.19	125.04	19.41
	388.32	107.04	387.20	112.03	5.11
	117.80	119.95	119.42	110.99	9.11
	449.44	108.83	447.44	118.01	9.40
	301.79	109.93	299.69	122.05	12.31
	308.95	110.77	306.31	119.98	9.58
	375.03	111.01	369.83	134.96	24.51
	499.30	110.97	492.20	144.06	33.84
	434.09	113.98	432.26	125.07	11.24
	556.56	114.99	554.65	125.03	10.22
	552.30	134.88	550.05	147.01	12.35
	576.16	140.03	568.24	177.05	37.86
	330.90	116.98	329.41	124.00	7.17
	385.19	118.04	384.32	124.06	6.07
	335.29	147.05	339.85	124.95	22.57
	468.01	124.00	465.37	137.07	13.33
	257.37	139.33	255.83	148.91	9.70
	176.46	127.03	172.98	144.00	17.32
	328.68	128.92	321.09	155.80	27.93
	383.52	129.18	379.65	146.03	17.29
	536.99	129.00	534.48	141.01	12.27
	403.73	129.99	401.12	140.09	10.42
	285.98	133.00	284.66	139.79	6.92
	206.71	134.04	148.03	395.02	267.49
	387.00	137.00	385.53	144.02	7.17
	127.96	138.01	123.48	153.97	16.58
	535.68	143.93	531.26	161.04	17.67
	632.74	144.07	628.42	162.12	18.56
	367.69	144.93	364.96	154.95	10.38
	334.68	166.77	333.00	176.00	9.38
	506.05	145.00	504.23	154.08	9.26
	510.23	144.92	508.97	151.00	6.20
	422.12	146.08	412.14	194.04	48.99
	435.59	145.81	430.26	171.27	26.01
	442.75	165.19	447.40	146.08	19.66
	75.75	165.00	72.35	178.09	13.53
	240.81	146.96	239.48	153.01	6.20
	276.56	147.07	272.71	167.21	20.50
	283.30	147.09	279.51	165.01	18.31
	378.29	147.99	375.01	163.00	15.36
	428.64	148.90	423.54	171.03	22.71
	251.37	177.15	258.04	154.03	24.06
	424.93	149.94	419.11	173.03	23.81
	546.42	151.05	532.02	214.00	64.58
	489.84	152.94	487.55	165.04	12.31
	459.37	179.27	456.84	191.96	12.94
	206.08	154.01	204.82	162.06	8.15
	249.84	154.01	243.29	190.10	36.68
	263.00	155.00	259.19	171.01	16.46
	340.79	154.96	339.10	161.03	6.30
	408.32	154.98	402.79	179.94	25.56
	30.20	176.08	27.37	186.12	10.43
	101.72	178.11	105.87	161.96	16.67
	111.92	157.00	95.94	225.99	70.82
	165.30	171.09	167.08	165.08	6.28
	238.79	157.95	233.70	180.16	22.78
	364.28	158.96	362.75	166.96	8.14
	462.01	160.02	457.78	174.95	15.52
	478.81	165.97	480.23	160.16	5.98
	611.94	160.98	608.25	177.90	17.32
	581.62	195.03	578.95	211.98	17.16
	603.48	202.50	594.16	249.03	47.45
	322.37	161.96	320.56	170.04	8.28
	382.21	165.37	377.47	189.15	24.24
	626.17	185.04	629.38	167.98	17.36
	66.50	164.07	65.08	169.03	5.16
	159.86	163.97	157.38	175.03	11.34
	529.63	163.91	522.02	200.00	36.88
	290.00	166.00	288.19	177.05	11.20
	376.50	166.22	372.71	191.23	25.29
	607.20	166.03	606.02	172.00	6.10
	123.02	180.01	124.61	174.04	6.18
	328.26	179.96	331.96	166.91	13.57
	389.53	166.99	384.73	186.15	19.75
	193.35	168.84	188.56	191.10	22.78
	296.02	169.01	294.09	177.02	8.23
	489.00	169.00	485.86	182.98	14.33
	291.15	180.22	288.68	191.01	11.07
	361.72	171.94	355.97	198.99	27.66
	590.04	173.03	586.63	188.04	15.39
	58.60	173.93	56.45	182.03	8.38
	318.19	175.04	316.82	182.91	7.99
	277.31	175.95	275.85	184.97	9.13
	246.13	195.14	244.10	202.03	7.18
	583.79	175.98	580.30	189.96	14.41
	435.21	178.05	432.21	189.19	11.53
	146.81	179.96	141.94	200.97	21.57
	609.90	180.98	605.98	200.00	19.42
	251.31	181.98	249.96	188.98	7.13
	326.50	181.99	322.28	208.04	26.39
	419.94	182.98	417.97	191.99	9.23
	109.52	185.17	106.77	195.95	11.12
	483.11	186.03	476.12	220.03	34.71
	232.56	187.04	230.57	195.07	8.28
	201.18	204.09	199.82	212.89	8.91
	438.21	203.22	432.32	234.96	32.28
	566.10	187.03	563.09	202.03	15.30
	534.10	218.04	531.92	233.97	16.08
	557.54	228.02	549.67	268.04	40.79
	200.26	189.41	196.90	200.97	12.03
	98.73	189.92	95.14	206.04	16.51
	309.94	189.97	305.03	211.00	21.60
	315.54	189.90	311.62	210.04	20.52
	623.28	189.96	621.79	195.99	6.20
	91.59	191.81	87.85	207.01	15.66
	79.59	193.95	75.11	211.01	17.63
	240.32	194.06	238.81	203.98	10.03
	67.12	195.01	60.05	226.02	31.81
	559.45	194.92	558.11	201.04	6.27
	52.61	195.96	44.85	228.95	33.89
	283.35	196.04	275.15	235.04	39.86
	452.84	196.01	449.44	212.99	17.32
	290.75	196.84	287.13	217.06	20.53
	187.28	198.08	185.01	206.02	8.26
	155.95	212.94	153.76	221.89	9.22
	296.46	197.98	292.10	215.01	17.58
	541.61	197.83	538.12	212.03	14.62
	363.96	215.01	356.73	260.59	46.15
	229.14	200.03	227.97	205.99	6.08
	35.51	201.98	32.55	214.91	13.26
	23.00	204.00	15.04	233.01	30.09
	393.76	220.94	387.79	249.96	29.62
	195.67	206.06	194.57	212.93	6.96
	564.20	206.05	562.01	218.00	12.15
	271.05	207.00	266.43	223.98	17.60
	104.10	219.03	106.11	211.03	8.25
	140.44	207.99	138.99	214.00	6.18
	354.16	208.04	351.67	217.12	9.42
	322.13	227.14	320.29	238.08	11.09
	183.93	209.99	182.93	215.98	6.08
	187.38	210.13	184.86	218.98	9.21
	519.54	209.89	516.91	223.98	14.33
	488.44	237.96	485.78	251.94	14.23
	210.71	220.98	208.23	235.15	14.39
	221.78	232.79	226.44	212.82	20.50
	322.57	211.04	320.37	222.97	12.13
	407.50	211.04	404.61	224.98	14.24
	118.36	211.94	117.03	217.00	5.23
	328.18	214.12	326.02	223.00	9.14
	113.00	222.00	111.23	229.07	7.28
	229.97	221.99	194.47	378.99	160.96
	511.08	216.03	509.73	221.07	5.22
	192.97	218.00	185.35	254.09	36.88
	448.60	217.94	446.10	230.03	12.34
	137.82	218.96	136.31	224.95	6.18
	309.24	220.08	307.39	228.98	9.09
	182.18	221.04	177.20	243.06	22.57
	234.20	223.07	230.58	245.82	23.03
	489.16	224.03	486.71	234.01	10.28
	493.35	223.97	491.40	231.92	8.18
	355.84	224.96	319.93	393.99	172.80
	403.83	227.95	400.74	245.09	17.41
	474.00	230.00	472.03	240.01	10.20
	444.12	253.11	441.42	267.09	14.23
	517.95	227.99	513.68	244.00	16.58
	135.26	230.07	130.77	249.95	20.38
	264.90	232.99	262.76	240.88	8.18
	446.36	233.39	442.06	250.02	17.17
	276.33	249.11	277.66	242.03	7.20
	97.64	235.20	92.94	251.98	17.43
	308.20	236.06	307.13	242.03	6.06
	87.58	237.15	78.55	272.38	36.37
	305.07	237.02	304.08	242.02	5.11
	528.30	237.01	519.62	278.70	42.58
	273.61	240.10	268.95	256.97	17.50
	220.28	241.12	218.36	252.06	11.10
	54.94	242.13	51.61	262.04	20.19
	79.39	241.64	76.39	256.10	14.76
	314.97	242.00	309.25	269.03	27.63
	40.66	242.92	32.20	277.06	35.17
	46.00	244.00	42.76	256.90	13.30
	67.87	243.95	63.46	259.04	15.73
	207.71	243.96	205.70	252.16	8.44
	430.28	243.79	427.66	257.09	13.55
	399.00	267.00	397.00	279.00	12.16
	261.68	246.04	259.98	253.00	7.16
	473.06	246.01	472.09	252.01	6.08
	512.28	245.94	504.42	284.99	39.83
	194.66	247.03	193.46	253.02	6.11
	303.41	247.01	298.01	272.00	25.57
	612.35	247.00	607.35	266.96	20.57
	35.70	247.76	30.75	263.93	16.92
	400.95	247.96	397.74	263.06	15.43
	617.70	247.86	613.83	264.97	17.54
	141.22	251.09	139.03	263.01	12.13
	10.34	250.00	3.37	276.80	27.69
	175.62	249.92	174.00	258.00	8.24
	608.98	270.98	604.69	295.06	24.45
	22.41	251.01	18.90	263.95	13.40
	228.58	251.00	226.10	260.00	9.34
	405.39	252.00	403.13	263.03	11.25
	92.24	254.05	88.67	271.15	17.46
	148.51	255.00	147.05	261.01	6.19
	481.49	257.03	479.20	266.06	9.32
	92.49	268.99	94.08	260.02	9.11
	217.42	302.98	227.14	263.23	40.93
	385.75	257.92	383.44	270.00	12.30
	42.01	259.00	38.28	274.03	15.49
	183.33	259.06	181.55	268.00	9.12
	277.86	259.05	274.57	276.09	17.35
	251.94	259.97	247.53	281.13	21.62
	592.02	260.00	588.38	277.98	18.34
	563.11	290.05	560.13	310.05	20.22
	466.97	264.99	460.14	298.03	33.73
	633.66	261.92	629.71	286.94	25.33
	50.44	262.95	47.66	275.02	12.39
	172.57	263.04	171.22	269.04	6.14
	134.09	277.02	136.52	266.99	10.32
	175.61	265.02	173.65	272.01	7.25
	233.70	265.04	229.41	284.00	19.43
	238.95	265.98	235.15	283.02	17.46
	359.76	265.96	357.91	273.98	8.23
	208.21	268.15	203.99	289.00	21.27
	214.38	268.09	210.20	288.06	20.40
	570.95	268.99	567.94	283.99	15.29
	126.53	270.01	124.43	278.96	9.20
	437.67	269.98	430.93	305.97	36.62
	564.20	270.05	561.61	286.02	16.18
	181.43	271.13	173.17	311.12	40.84
	194.55	274.03	190.81	291.06	17.44
	341.35	271.09	338.41	281.61	10.92
	309.26	289.34	307.13	301.04	11.89
	83.47	271.84	63.71	351.42	81.99
	582.62	272.13	581.35	279.04	7.03
	78.84	273.90	70.27	307.09	34.28
	170.37	274.00	164.71	297.83	24.50
	190.81	273.93	186.99	291.00	17.49
	384.98	274.00	382.81	285.97	12.17
	315.02	277.00	313.08	286.02	9.23
	634.49	277.10	627.87	314.98	38.46
	43.68	288.09	45.91	277.57	10.75
	547.58	277.89	544.37	294.98	17.39
	517.13	305.20	514.04	324.02	19.07
	350.84	279.92	333.72	362.05	83.89
	422.75	279.93	417.16	307.04	27.68
	295.89	280.97	292.96	291.94	11.36
	265.14	298.22	263.25	309.06	11.01
	402.38	310.04	406.50	284.73	25.64
	265.23	282.19	262.51	296.20	14.27
	518.03	282.00	516.43	293.09	11.20
	541.65	282.01	539.22	294.04	12.27
	303.87	282.99	303.12	287.99	5.06
	122.68	283.90	118.84	300.96	17.49
	284.73	284.06	282.52	293.23	9.43
	340.65	283.90	337.99	297.00	13.37
	393.09	284.05	382.97	334.99	51.93
	401.00	284.54	395.64	311.03	27.03
	589.20	285.05	585.38	302.95	18.31
	86.89	285.98	79.35	320.96	35.79
	113.96	285.99	110.08	302.02	16.49
	337.75	285.95	335.78	294.97	9.23
	100.02	287.01	95.14	306.09	19.69
	270.95	286.99	269.10	294.03	7.28
	395.41	286.90	390.48	313.02	26.58
	523.46	286.98	520.54	301.02	14.34
	307.16	289.30	295.50	333.76	45.96
	379.66	288.95	373.42	318.98	30.67
	504.80	288.95	499.40	308.98	20.75
	471.99	319.00	469.10	335.03	16.29
	38.18	290.05	27.96	327.99	39.29
	92.51	290.01	88.32	305.03	15.59
	252.15	290.05	249.87	301.99	12.16
	68.35	290.89	66.01	300.11	9.51
	42.66	292.07	34.41	326.17	35.08
	626.76	292.00	622.42	315.98	24.36
	27.60	292.86	22.60	314.03	21.76
	55.36	292.96	51.01	308.00	15.66
	104.98	294.00	102.23	303.07	9.48
	227.48	293.97	225.31	301.96	8.28
	292.50	296.01	290.29	304.78	9.04
	207.92	296.97	205.27	307.40	10.76
	515.14	297.01	514.08	302.01	5.11
	546.05	298.01	541.91	316.99	19.43
	195.77	299.03	193.63	307.04	8.29
	335.41	298.95	328.64	329.14	30.94
	601.41	299.03	596.79	322.96	24.37
	259.87	299.96	255.22	318.07	18.70
	615.51	300.21	612.21	320.10	20.17
	182.94	301.98	181.22	309.06	7.29
	163.60	304.27	161.41	312.99	8.99
	211.16	325.05	216.11	307.03	18.69
	474.01	304.00	472.80	308.94	5.09
	30.08	305.06	28.80	309.97	5.07
	583.13	305.04	579.66	328.17	23.39
	219.37	316.10	220.74	309.94	6.31
	457.85	306.95	454.97	321.98	15.31
	428.16	330.13	425.27	346.05	16.18
	128.77	307.91	127.34	315.09	7.33
	431.21	308.18	427.17	326.04	18.31
	71.71	308.92	70.56	313.92	5.13
	136.47	308.98	135.00	315.00	6.19
	289.92	308.98	283.50	337.07	28.81
	172.30	312.23	168.85	323.98	12.25
	78.48	313.21	66.64	374.04	61.97
	101.96	312.99	100.20	319.04	6.30
	435.05	314.01	432.29	326.07	12.37
	439.14	314.07	437.28	322.87	9.00
	123.48	315.83	120.19	334.07	18.53
	246.41	316.08	240.34	342.97	27.56
	415.09	318.02	412.44	330.99	13.23
	129.17	328.05	130.54	322.00	6.21
	539.41	320.00	536.05	339.01	19.30
	406.22	321.06	403.43	333.03	12.29
	162.15	322.03	160.41	327.88	6.10
	202.22	323.07	194.65	368.99	46.55
	390.99	324.00	388.52	335.01	11.29
	371.28	328.11	369.05	340.01	12.11
	32.38	329.40	30.81	338.09	8.82
	157.59	328.94	152.42	351.98	23.62
	62.89	335.99	55.90	364.97	29.82
	20.31	331.93	17.71	340.96	9.40
	452.68	331.91	451.08	339.03	7.30
	26.85	332.93	12.27	386.06	55.10
	327.75	335.98	325.19	347.04	11.36
	381.89	355.00	384.32	341.88	13.34
