vx	vy	vz	score	numLines
0.99999942	0.00107810	0.00000073	5327.57	189
-0.24417474	0.96973097	-0.00074212	4005.37	204
-0.51198303	0.85898740	0.00374387	877.67	83

nLines	x1	y1	x2	y2	length
189
	312.06	63.55	331.00	63.80	18.93
	311.02	72.44	331.93	72.72	20.91
	242.01	83.15	248.99	82.86	6.99
	334.79	95.42	293.00	96.05	41.80
	336.00	96.89	350.00	95.95	14.03
	357.97	95.85	364.00	96.17	6.03
	423.03	95.84	431.00	95.96	7.97
	182.98	106.61	481.07	106.53	298.09
	150.02	111.43	492.94	112.47	342.93
	157.99	117.26	480.55	117.46	322.56
	480.37	120.40	158.92	120.43	321.46
	166.01	128.37	483.98	129.41	317.98
	171.04	145.08	159.95	145.11	11.09
	491.01	156.40	526.98	155.78	35.98
	284.02	144.46	296.04	144.59	12.02
	406.13	139.12	417.98	139.56	11.86
	224.06	138.61	235.97	138.05	11.92
	356.01	139.43	350.00	139.79	6.01
	142.05	154.87	151.74	154.53	9.70
	134.00	154.89	141.01	154.89	7.01
	262.90	156.34	274.99	155.84	12.10
	187.01	166.11	180.00	166.03	7.02
	43.00	161.02	92.98	158.85	50.03
	202.94	160.03	212.02	160.05	9.08
	97.00	160.98	148.01	160.80	51.01
	241.98	166.06	250.99	165.87	9.01
	584.00	161.28	595.01	161.27	11.02
	401.03	166.12	391.92	165.54	9.13
	493.07	163.76	525.00	163.07	31.93
	541.93	163.25	552.00	162.77	10.09
	51.02	164.98	69.91	164.90	18.89
	134.97	165.14	141.99	165.21	7.02
	48.01	169.42	66.93	168.66	18.94
	70.01	169.06	75.96	168.77	5.96
	78.15	168.55	86.87	168.60	8.72
	225.01	169.97	230.01	169.63	5.01
	172.98	171.73	189.02	171.58	16.04
	235.97	171.53	262.00	172.83	26.06
	191.81	172.45	198.98	172.69	7.18
	201.03	171.75	216.00	171.75	14.97
	391.01	171.71	408.00	172.16	16.99
	427.01	171.96	448.02	172.64	21.02
	451.92	172.59	470.01	172.19	18.09
	63.00	178.09	85.84	177.43	22.85
	530.00	174.66	552.00	174.84	22.00
	560.00	178.05	593.01	176.97	33.02
	87.97	178.66	146.00	179.01	58.03
	177.09	179.17	216.00	179.99	38.92
	241.05	179.18	266.00	179.23	24.95
	391.02	179.39	408.93	180.40	17.94
	426.93	180.38	470.98	180.24	44.06
	488.80	179.52	526.01	178.83	37.21
	84.99	185.55	93.01	185.39	8.02
	177.86	186.77	207.96	186.32	30.11
	241.96	186.83	266.95	186.56	25.00
	435.03	186.66	464.01	186.85	28.98
	533.00	185.86	547.00	186.04	14.00
	390.03	186.65	400.98	187.12	10.96
	563.97	187.86	601.95	187.63	37.98
	51.10	188.16	62.01	188.06	10.91
	74.99	188.93	91.07	188.09	16.10
	497.02	188.14	511.83	188.65	14.82
	113.00	188.79	130.99	189.04	17.99
	515.01	188.83	526.01	188.94	11.00
	534.00	191.03	553.00	190.99	19.00
	538.04	196.48	558.99	197.08	20.96
	544.03	206.39	554.95	206.42	10.92
	537.03	208.56	552.99	209.26	15.97
	80.18	209.32	112.87	209.79	32.70
	119.97	209.22	128.02	209.57	8.05
	110.03	216.71	82.19	217.38	27.85
	524.95	223.88	514.92	224.23	10.03
	177.13	214.47	189.92	214.44	12.80
	194.00	214.93	205.92	215.72	11.94
	242.00	214.75	254.00	215.32	12.01
