vx	vy	vz	score	numLines
0.87672744	-0.48095563	0.00553902	1652.78	70
0.96872216	0.24814761	0.00038080	857.61	86
-0.02452996	0.99969866	0.00093421	376.84	27

nLines	x1	y1	x2	y2	length
70
	17.64	222.02	102.50	34.99	205.38
	126.87	38.20	124.46	45.56	7.74
	117.09	36.99	115.04	42.02	5.43
	120.91	38.97	118.08	48.06	9.53
	140.99	42.01	139.95	58.00	16.02
	134.88	41.96	133.56	49.96	8.11
	144.95	44.99	144.77	50.01	5.02
	154.29	46.99	154.01	57.00	10.01
	160.78	48.07	160.98	55.00	6.94
	189.95	53.03	197.94	84.01	32.00
	183.69	56.08	185.37	63.00	7.12
	211.30	138.05	215.89	157.02	19.52
	60.08	170.03	56.78	177.91	8.55
	401.87	171.08	414.76	185.22	19.13
	48.44	201.32	46.43	206.17	5.25
	414.46	201.50	421.35	209.66	10.68
	385.13	201.87	400.49	221.57	24.98
	226.89	203.03	230.02	215.99	13.34
	43.01	207.26	40.56	213.01	6.25
	403.00	219.00	411.47	229.63	13.60
	414.51	231.03	421.46	240.62	11.85
	6.94	223.98	3.66	230.83	7.60
	409.98	234.02	421.07	247.95	17.81
	402.78	246.15	414.30	260.09	18.08
	28.40	252.15	26.31	258.15	6.36
	20.50	273.16	18.21	280.10	7.31
	165.58	273.94	165.80	281.01	7.07
	186.42	277.97	186.80	282.99	5.03
	393.52	278.24	400.19	287.92	11.76
	201.47	279.02	202.10	283.98	5.00
	212.37	281.94	213.45	287.03	5.21
	226.85	283.02	227.79	288.05	5.12
	385.79	294.28	392.22	304.21	11.82
	404.82	296.11	419.79	318.13	26.63
	11.36	296.97	8.49	304.98	8.51
	402.00	299.00	410.33	311.77	15.24
	383.76	304.14	388.13	311.92	8.93
	7.19	313.06	9.11	308.13	5.29
	25.40	311.01	23.96	315.93	5.14
	380.90	311.05	401.60	347.69	42.08
	389.72	312.96	405.13	341.90	32.79
	408.26	316.85	412.12	322.94	7.21
	234.64	326.11	236.15	332.97	7.03
	417.30	331.27	421.33	338.79	8.53
	412.66	343.01	421.61	357.67	17.18
	403.60	349.91	421.44	383.74	38.24
	408.98	351.02	416.10	364.87	15.57
	379.48	356.21	387.31	372.00	17.63
	62.88	394.98	56.14	430.04	35.70
	391.01	449.00	381.90	431.05	20.13
	381.38	414.05	383.92	420.05	6.51
	375.95	417.02	380.29	426.80	10.70
	112.87	418.98	111.96	434.00	15.05
	371.58	418.97	388.26	453.93	38.73
	393.19	419.93	399.58	433.70	15.19
	388.08	426.98	394.92	440.81	15.43
	336.81	431.06	349.94	469.02	40.16
	55.56	431.92	25.66	580.67	151.73
	111.25	437.07	92.75	633.99	197.79
	369.84	437.06	380.53	462.98	28.04
	184.41	444.01	193.30	593.99	150.24
	176.88	470.01	181.76	620.02	150.09
	399.73	481.91	407.12	498.96	18.58
	409.11	503.89	413.07	511.96	8.99
	161.60	512.02	161.38	551.97	39.95
	416.98	522.01	419.97	528.02	6.71
	152.22	534.09	152.46	576.00	41.91
	377.47	547.20	383.48	564.99	18.78
	25.04	585.01	22.87	595.96	11.16
	21.87	599.96	15.55	630.86	31.54
86
	128.38	37.24	135.01	38.99	6.86
	161.03	45.56	167.94	47.06	7.07
	89.04	71.78	94.06	72.80	5.13
	96.90	75.23	102.98	76.57	6.23
	110.04	77.89	117.09	79.63	7.26
	141.99	78.84	148.84	80.33	7.02
	96.09	79.79	102.00	81.00	6.03
	141.95	85.39	148.01	86.90	6.24
	142.94	89.66	147.98	91.10	5.24
	79.98	91.08	87.04	92.77	7.27
	106.07	92.74	113.02	93.88	7.05
	88.93	100.27	94.94	101.61	6.16
	104.02	103.66	111.05	104.78	7.12
	85.97	106.40	93.93	108.14	8.14
	71.95	109.24	77.00	110.07	5.12
	84.04	112.81	88.99	114.07	5.11
	69.05	132.14	62.04	130.58	7.18
	388.02	144.90	392.98	146.04	5.10
	49.08	159.47	61.03	161.59	12.14
	194.00	158.98	202.98	161.07	9.21
	49.02	163.85	58.99	166.26	10.25
	38.99	189.81	43.92	190.72	5.02
	33.99	193.90	45.01	195.22	11.10
	31.04	220.57	21.98	219.58	9.12
	181.93	217.37	192.88	219.70	11.20
	183.13	223.59	192.93	225.34	9.95
	20.05	224.66	34.10	226.52	14.18
	151.06	225.90	163.95	228.27	13.11
	184.03	231.88	195.00	233.99	11.18
	170.11	228.32	180.02	229.91	10.03
	152.99	231.11	161.95	232.31	9.04
	152.02	233.39	164.00	235.90	12.24
	168.00	232.72	179.26	234.99	11.49
	4.03	236.89	9.01	237.77	5.06
	187.97	237.18	193.92	238.57	6.11
	35.01	241.59	40.03	242.46	5.09
	151.06	242.61	163.92	244.23	12.96
	32.97	247.51	40.00	248.14	7.06
	151.95	246.66	162.98	249.15	11.31
	167.96	248.26	179.01	249.97	11.18
	31.27	250.60	41.03	252.64	9.98
	152.04	250.88	163.96	252.69	12.06
	185.98	252.50	196.00	254.56	10.23
	186.04	256.42	198.03	258.13	12.12
	210.00	260.00	221.87	261.56	11.97
	27.99	260.84	41.73	263.34	13.97
	168.03	260.83	178.98	262.87	11.13
	4.06	262.33	9.99	262.89	5.95
	39.01	268.75	26.99	267.04	12.13
	186.01	265.38	196.98	267.10	11.10
	6.05	269.24	10.99	270.05	5.01
	211.02	269.48	221.02	270.90	10.10
	100.05	269.75	105.96	270.63	5.97
	186.98	270.41	199.06	272.45	12.25
	23.96	272.24	36.97	274.25	13.17
	96.03	273.33	109.96	274.89	14.02
	228.17	273.12	234.97	274.11	6.87
	168.99	275.63	178.00	276.54	9.06
	94.79	278.31	108.01	280.88	13.46
	212.95	279.23	223.99	280.88	11.17
	95.02	282.44	107.99	283.78	13.03
	18.94	282.86	34.02	284.96	15.22
	188.01	285.07	199.06	286.73	11.17
	31.01	290.90	17.03	289.21	14.08
	171.00	286.37	185.00	288.90	14.23
	188.94	290.56	200.01	292.91	11.32
	214.01	289.03	225.03	290.35	11.11
	29.99	297.86	15.07	295.74	15.07
	189.98	296.65	201.00	298.05	11.10
	215.05	294.14	226.07	295.72	11.14
	10.01	307.57	25.96	310.08	16.15
	23.01	316.85	7.20	314.57	15.97
	20.99	323.88	5.07	321.75	16.06
	298.96	329.22	304.98	330.50	6.16
	8.18	344.60	22.96	346.64	14.92
	4.04	370.72	17.00	371.94	13.01
	22.06	372.82	33.97	374.19	11.99
	4.00	426.48	54.01	431.18	50.23
	111.96	436.47	184.06	443.38	72.42
	25.95	503.73	38.00	504.83	12.10
	109.00	506.00	163.97	508.92	55.05
	106.01	530.93	150.99	533.54	45.05
	102.00	563.02	143.02	563.92	41.03
	13.02	576.70	22.03	576.68	9.01
	8.96	581.69	25.01	581.94	16.05
	3.98	597.43	21.98	596.92	18.01
27
	134.88	41.96	133.56	49.96	8.11
	394.14	107.00	391.10	115.08	8.64
	420.20	110.08	413.40	127.03	18.26
	396.44	113.52	393.96	118.94	5.96
	418.38	124.48	408.34	148.80	26.31
	400.99	155.00	412.10	131.25	26.23
	421.16	132.04	415.87	142.99	12.16
	404.47	155.15	388.03	188.02	36.76
	392.81	158.97	377.60	194.80	38.92
	421.39	173.13	417.33	182.04	9.79
	417.49	190.42	408.30	207.90	19.75
	406.84	209.92	403.10	218.04	8.95
	387.08	211.02	383.21	219.07	8.94
	421.55	216.28	414.79	229.91	15.21
	414.95	261.00	401.74	284.87	27.28
	398.00	255.00	391.03	269.02	15.66
	337.87	298.95	352.52	270.05	32.40
	398.39	299.46	391.82	312.25	14.37
	330.39	316.10	325.51	326.00	11.04
	420.17	321.10	403.37	349.37	32.89
	415.57	335.05	406.66	349.52	17.00
	382.77	337.96	377.02	349.01	12.46
	399.96	353.98	395.04	362.02	9.42
	62.88	394.98	56.14	430.04	35.70
	381.61	429.96	394.26	412.08	21.91
	421.58	485.47	408.56	502.77	21.65
	119.86	564.99	118.59	570.03	5.19
