vx	vy	vz	score	numLines
0.99999228	-0.00392961	0.00000709	6180.47	303
0.51008075	-0.86012467	0.00178127	2917.05	273
-0.03746238	0.99929804	0.00002949	322.27	77

nLines	x1	y1	x2	y2	length
303
	5.05	3.68	30.97	5.34	25.98
	499.94	7.62	526.01	6.91	26.08
	607.99	4.93	634.00	3.78	26.03
	41.12	5.16	68.00	5.94	26.89
	572.01	5.77	597.98	5.15	25.98
	78.26	6.36	104.99	7.07	26.74
	536.06	6.60	560.99	6.21	24.93
	24.17	21.80	4.04	21.16	20.14
	62.02	23.19	41.01	22.60	21.02
	116.00	6.93	140.99	7.80	25.01
	151.15	7.50	176.89	8.30	25.76
	464.08	8.22	490.00	7.49	25.93
	100.12	23.64	78.03	23.47	22.08
	186.14	8.19	212.04	8.76	25.90
	245.95	25.71	223.02	25.90	22.93
	221.05	9.03	247.03	8.83	25.98
	395.99	8.92	419.99	8.25	24.01
	430.10	8.31	455.00	8.03	24.90
	578.02	17.35	603.98	16.69	25.98
	615.00	16.46	634.00	15.78	19.02
	258.99	8.69	281.00	8.75	22.01
	291.16	9.20	315.00	8.79	23.85
	326.15	9.21	351.01	8.85	24.87
	388.95	25.67	365.00	25.96	23.95
	360.39	9.32	386.04	8.82	25.66
	542.00	18.19	566.99	17.66	24.99
	209.95	25.76	186.25	24.44	23.74
	398.92	25.56	424.96	25.33	26.04
	505.01	18.92	536.99	19.18	31.98
	542.06	10.86	551.22	10.37	9.17
	66.94	33.92	95.98	35.15	29.06
	105.11	35.11	133.95	36.14	28.86
	142.61	36.00	171.02	36.38	28.41
	469.01	19.46	495.01	19.08	26.01
	180.23	36.18	209.04	36.85	28.82
	27.96	32.93	56.97	34.48	29.05
	115.05	24.64	132.00	24.67	16.95
	152.00	24.82	174.37	25.33	22.37
	256.99	25.05	280.99	25.84	24.01
	327.98	25.08	353.99	25.83	26.02
	390.99	26.26	396.00	25.90	5.02
	292.02	25.55	317.95	25.80	25.93
	291.26	37.37	323.99	37.16	32.72
	587.18	34.38	613.01	33.33	25.85
	626.01	33.30	634.00	32.96	8.00
	549.06	35.43	575.01	34.32	25.97
	510.92	35.73	538.00	35.06	27.09
	437.22	37.22	464.00	36.23	26.79
	473.40	36.54	499.99	35.62	26.61
	219.00	36.72	245.01	36.82	26.01
	253.99	36.99	282.66	37.53	28.67
	329.00	36.96	354.00	36.95	25.00
	365.01	36.73	391.01	36.93	26.00
	401.12	37.27	426.99	36.70	25.88
	593.99	47.14	622.99	45.96	29.02
	131.03	48.49	124.00	48.99	7.05
	293.99	50.31	318.00	50.28	24.01
	367.00	50.08	393.94	49.81	26.95
	404.02	49.90	430.97	49.65	26.95
	30.66	39.26	40.01	39.71	9.35
	207.11	49.66	181.06	49.57	26.05
	158.99	40.86	165.61	40.66	6.62
