vx	vy	vz	score	numLines
-0.54630709	0.83758494	0.00017035	3226.81	304
-0.08343603	0.99651190	-0.00156879	1602.76	192
-0.85890722	-0.51213115	-0.00025034	1407.69	88

nLines	x1	y1	x2	y2	length
304
	181.38	192.93	293.89	34.90	193.99
	300.10	53.07	293.46	62.56	11.59
	302.74	60.16	296.64	68.10	10.02
	289.13	69.09	283.67	75.78	8.64
	292.54	74.05	285.89	82.92	11.09
	284.51	94.02	277.65	102.77	11.12
	301.68	88.34	310.23	75.28	15.61
	313.51	85.03	305.88	94.92	12.49
	279.36	82.28	274.61	89.72	8.83
	297.09	84.09	290.35	92.90	11.09
	304.34	95.69	295.89	108.94	15.72
	315.10	91.08	309.01	99.01	10.00
	318.13	95.16	310.58	105.05	12.44
	269.56	96.38	264.52	103.67	8.86
	286.22	99.19	280.01	107.00	9.99
	288.03	105.02	281.99	112.99	10.00
	304.35	105.28	299.24	113.17	9.41
	320.93	107.95	315.89	114.93	8.61
	260.19	109.13	254.67	116.77	9.43
	317.09	121.06	325.07	111.10	12.76
	309.49	113.79	301.15	125.99	14.77
	278.00	119.00	271.94	126.96	10.00
	293.82	121.23	287.90	128.92	9.70
	244.66	132.84	250.51	123.53	11.00
	296.16	125.14	289.45	133.96	11.08
	313.02	127.01	306.08	136.05	11.39
	334.94	134.98	326.29	145.87	13.91
	323.45	138.97	331.99	127.99	13.91
	240.20	136.12	234.76	143.84	9.44
	282.34	135.90	277.97	141.98	7.48
	318.39	138.41	311.03	149.02	12.92
	285.11	140.09	278.49	148.99	11.10
	329.19	149.78	336.01	141.01	11.11
	255.14	142.10	249.85	149.85	9.38
	302.04	142.03	295.09	151.05	11.39
	242.38	144.01	236.97	150.98	8.82
	234.67	163.12	227.82	171.90	11.14
	319.96	143.97	312.99	153.00	11.40
	330.56	157.01	338.91	145.93	13.88
	342.37	153.00	333.83	163.91	13.85
	230.33	150.24	225.84	156.90	8.04
	272.11	150.10	267.00	157.00	8.59
	288.96	150.97	282.72	159.81	10.82
	306.99	152.99	299.73	163.77	12.99
	275.13	154.12	268.32	162.88	11.09
	324.19	156.18	317.58	165.68	11.57
	233.05	157.03	226.68	165.11	10.29
