vx	vy	vz	score	numLines
0.99877549	0.04947177	0.00024250	5448.89	263
-0.02551037	0.99967451	-0.00029316	2894.46	206
0.95271837	-0.30383288	-0.00364384	288.53	130

nLines	x1	y1	x2	y2	length
263
	597.99	4.94	634.00	5.74	36.02
	325.04	11.16	336.25	11.04	11.21
	313.00	10.40	318.90	10.66	5.91
	78.94	13.39	224.99	21.29	146.26
	226.02	21.30	301.01	29.72	75.47
	302.02	29.80	432.99	34.96	131.07
	69.99	20.63	5.00	14.67	65.26
	268.05	14.36	274.12	14.59	6.07
	586.02	35.68	362.01	27.90	224.14
	276.09	18.27	288.11	19.34	12.06
	106.07	21.15	118.01	20.92	11.95
	15.00	21.00	27.03	21.45	12.04
	142.69	22.51	172.01	23.38	29.33
	77.00	23.22	125.99	25.70	49.05
	202.02	23.30	235.09	25.40	33.13
	282.08	24.28	301.01	25.02	18.95
	318.99	25.74	341.69	26.35	22.71
	115.19	27.33	138.03	28.63	22.87
	253.01	27.41	267.05	28.44	14.08
	344.11	26.76	360.01	28.13	15.95
	8.89	30.76	139.00	39.21	130.39
	145.08	31.37	179.66	33.61	34.66
	183.02	33.18	449.99	45.08	267.24
	441.05	35.50	450.08	36.34	9.08
	595.01	43.51	621.07	44.47	26.09
	451.99	36.62	544.04	40.86	92.14
	147.00	39.03	154.00	39.05	7.00
	22.04	40.30	33.95	41.18	11.94
	170.95	40.29	179.00	40.86	8.07
	467.85	45.19	480.99	45.61	13.15
	35.95	41.29	45.99	41.91	10.06
	183.05	40.73	215.06	42.67	32.06
	547.23	41.37	584.99	43.01	37.80
	49.99	42.06	104.05	45.46	54.17
	219.00	42.73	227.11	43.30	8.13
	228.94	43.13	249.00	44.06	20.08
	264.97	44.03	285.01	45.49	20.10
	64.14	65.72	90.95	67.24	26.86
	421.31	70.06	438.91	71.76	17.68
	489.03	45.40	511.00	47.09	22.03
	107.92	45.53	117.13	46.34	9.24
	118.93	46.15	140.05	47.50	21.17
	289.01	45.83	317.99	47.76	29.05
	546.91	46.59	633.99	49.12	87.12
	332.33	47.50	343.92	48.33	11.62
	431.99	52.13	448.00	51.93	16.01
	152.85	48.80	160.02	48.74	7.17
	345.92	47.88	351.05	48.25	5.15
	377.92	49.57	384.99	49.89	7.08
	388.89	50.38	417.06	51.53	28.19
	428.03	51.50	421.99	51.63	6.04
	243.02	52.90	249.00	53.03	5.98
	260.00	54.07	269.00	53.98	9.00
	475.99	54.14	481.01	54.21	5.02
	486.01	54.35	493.97	54.33	7.96
	506.00	74.02	532.98	74.90	27.00
	525.80	55.51	533.87	55.66	8.07
	555.02	56.67	587.47	58.65	32.51
	345.01	56.97	351.99	57.48	7.00
	591.67	57.64	634.00	57.98	42.33
	151.97	57.88	161.02	58.21	9.05
	243.12	58.22	251.06	58.30	7.95
	360.97	58.14	368.99	58.63	8.04
	261.07	59.14	267.00	58.97	5.93
	171.98	61.12	179.99	61.63	8.03
	154.01	62.01	161.01	62.45	7.02
	184.03	61.79	192.00	62.02	7.98
	194.00	62.97	215.92	62.67	21.92
	243.07	62.28	251.97	62.58	8.91
	289.19	66.46	338.98	68.48	49.83
	11.00	62.98	46.00	64.99	35.06
	219.03	63.29	239.02	64.16	20.01
	561.14	64.47	567.01	64.52	5.87
	49.89	65.23	61.91	65.84	12.04
	177.96	66.16	188.95	67.31	11.04
	274.02	65.88	286.00	66.19	11.98
	345.89	66.29	353.02	66.47	7.13
	92.78	67.25	104.00	68.12	11.26
	207.00	68.13	212.98	68.31	5.98
	361.99	66.72	370.00	66.99	8.02
	10.05	68.25	46.00	69.07	35.96
	108.99	68.38	118.09	69.31	9.15
	582.86	85.24	587.99	85.23	5.12
	50.00	69.02	104.94	71.71	55.01
	375.18	69.35	387.99	69.97	12.83
	389.97	70.12	419.00	71.24	29.05
	444.93	69.56	451.80	69.54	6.86
	294.00	71.05	307.03	71.22	13.03
	345.66	71.05	353.00	71.03	7.33
	363.19	71.23	369.98	71.11	6.78
	16.99	72.15	49.00	73.20	32.03
	108.11	71.71	134.83	72.47	26.73
	309.07	72.53	324.99	72.14	15.92
	327.02	73.33	337.98	73.12	10.97
	485.13	73.35	504.95	74.28	19.84
	6.95	74.79	12.01	74.79	5.06
	78.88	75.43	111.00	77.36	32.18
