vx	vy	vz	score	numLines
0.97437727	0.22491940	0.00043705	4917.99	255
-0.12292521	0.99241574	-0.00062478	4525.77	246
-0.98740678	-0.15818802	-0.00209618	351.36	74

nLines	x1	y1	x2	y2	length
255
	523.18	3.34	633.99	37.51	115.97
	558.08	3.39	633.99	27.54	79.66
	599.23	3.46	633.95	15.14	36.64
	620.30	3.37	634.06	7.81	14.46
	469.16	22.50	479.06	25.78	10.43
	526.01	10.94	633.98	42.04	112.36
	583.21	3.54	634.00	20.00	53.39
	5.80	5.27	14.06	6.68	8.37
	417.06	7.73	431.02	11.80	14.54
	416.03	12.84	427.99	16.04	12.38
	517.87	31.79	510.33	29.72	7.81
	17.17	16.80	34.02	20.84	17.33
	547.03	23.07	552.15	24.86	5.42
	467.04	26.35	477.93	30.15	11.54
	15.11	27.39	32.82	30.34	17.95
	11.99	50.50	27.95	53.76	16.29
	361.03	30.88	395.03	39.06	34.97
	428.08	43.83	436.99	46.04	9.18
	521.95	33.10	527.95	34.60	6.19
	341.06	46.72	443.92	69.33	105.31
	444.99	69.54	520.97	90.55	78.83
	339.08	35.49	397.99	50.05	60.68
	397.03	40.57	416.14	45.59	19.76
	517.04	40.82	525.11	43.32	8.44
	38.00	44.01	44.98	45.58	7.16
	565.99	45.06	575.31	48.12	9.81
	423.95	46.42	451.01	52.68	27.78
	472.17	47.60	485.95	50.57	14.09
	535.02	63.96	521.90	61.28	13.39
	361.81	49.72	366.81	50.66	5.09
	401.97	51.19	423.15	55.30	21.58
	565.82	51.39	570.84	52.46	5.14
	27.02	71.87	11.00	68.45	16.38
	353.05	53.41	359.05	54.89	6.18
	559.89	54.41	577.09	58.89	17.78
	424.03	56.89	432.83	59.37	9.15
	364.01	57.97	380.99	62.32	17.53
	340.02	58.91	347.00	60.50	7.15
	609.01	58.51	617.20	60.84	8.52
	434.99	60.04	488.99	73.20	55.58
	628.02	61.16	633.98	62.60	6.13
	493.95	64.28	524.38	72.71	31.57
	604.91	66.15	610.05	67.84	5.42
	372.76	69.34	380.33	70.87	7.73
	421.99	71.01	449.06	78.13	27.99
	525.87	72.22	566.99	85.10	43.08
	12.02	72.87	45.91	79.29	34.49
	32.09	72.82	47.04	75.70	15.23
	491.14	73.61	506.22	76.42	15.34
	412.06	75.24	418.51	77.04	6.70
	8.99	78.08	30.23	81.38	21.49
	340.96	77.83	349.99	79.57	9.20
	418.92	77.83	427.95	79.72	9.23
	507.02	77.96	557.04	91.42	51.80
	588.05	89.71	597.05	91.62	9.20
	381.01	94.97	392.05	96.85	11.20
	3.95	83.25	47.00	90.98	43.74
	477.94	84.69	522.97	95.39	46.29
	611.95	86.16	622.99	89.41	11.50
	4.01	89.94	47.27	97.51	43.92
	522.64	91.17	634.02	118.92	114.78
	561.08	92.29	583.16	97.50	22.69
	4.06	93.78	47.04	100.85	43.56
	27.98	114.36	4.00	108.52	24.69
	602.01	94.93	613.02	97.95	11.41
	500.02	95.88	513.98	100.08	14.58
	3.99	97.09	46.02	104.35	42.66
	368.02	97.74	378.16	100.03	10.39
	370.00	122.02	377.96	124.20	8.26
	382.92	140.00	397.22	143.38	14.70
	529.02	97.93	575.07	107.71	47.07
	434.09	106.63	428.13	104.89	6.21
	586.05	98.79	591.02	99.90	5.09
	382.00	100.01	392.93	102.16	11.14
	4.03	102.88	47.01	109.89	43.55
	491.25	119.71	502.10	121.81	11.05
	576.04	111.31	613.01	118.04	37.58
	428.01	111.87	434.00	113.01	6.10
	439.99	115.02	449.03	116.89	9.23
	461.31	156.22	474.00	158.00	12.81
	540.39	131.06	551.17	133.46	11.04
	492.99	125.05	503.08	127.48	10.38
