vx	vy	vz	score	numLines
0.99802745	0.06277889	0.00013275	2835.66	303
-0.09441317	0.99553303	-0.00038251	1903.60	137

nLines	x1	y1	x2	y2	length
303
	239.16	32.57	252.04	33.95	12.96
	234.96	37.93	242.00	38.38	7.05
	382.06	64.63	389.02	65.26	6.99
	455.10	74.39	464.98	74.93	9.90
	452.09	83.50	457.73	83.97	5.66
	386.04	147.23	408.96	147.66	22.92
	408.02	164.44	423.97	166.07	16.04
	407.99	179.16	424.99	180.04	17.02
	223.90	181.36	236.12	182.56	12.28
	237.24	184.56	246.01	185.11	8.78
	254.99	189.55	262.00	190.04	7.03
	407.92	186.38	423.36	187.69	15.49
	193.00	186.92	204.01	187.73	11.04
	226.00	189.81	234.00	189.97	8.01
	264.07	191.86	276.32	192.30	12.27
	408.97	193.25	424.04	194.89	15.16
	408.93	200.45	430.01	201.02	21.08
	410.00	208.01	431.01	208.02	21.01
	154.00	217.97	161.03	218.57	7.06
	410.02	221.94	430.00	224.03	20.09
	174.01	233.69	180.95	234.29	6.97
	191.10	234.34	201.00	235.09	9.93
	394.22	240.39	409.91	239.92	15.70
	206.97	239.95	213.01	240.13	6.05
	220.97	253.17	210.01	252.30	10.99
	189.01	257.38	200.99	258.15	12.00
	395.03	262.12	407.01	262.01	11.97
	188.98	262.50	196.93	262.57	7.96
	187.99	265.93	201.00	266.98	13.05
	394.73	269.65	411.80	270.29	17.08
	448.00	269.08	506.01	269.87	58.02
	188.00	271.31	201.02	271.52	13.03
	112.01	273.08	143.19	272.31	31.19
	207.00	271.88	215.97	271.86	8.97
	228.99	271.92	233.99	272.03	5.00
	239.98	272.85	288.96	274.68	49.01
	93.98	290.09	123.89	291.46	29.95
	412.97	275.23	443.00	278.01	30.16
	395.91	277.25	411.96	277.14	16.05
	70.01	277.47	78.00	278.04	8.00
	188.00	279.96	200.95	280.80	12.98
	281.99	280.29	241.04	281.57	40.97
	412.80	282.31	442.98	284.10	30.23
	322.14	284.33	329.23	284.36	7.09
	315.39	286.31	323.11	286.23	7.73
