vx	vy	vz	score	numLines
-0.03457016	0.99940227	-0.00011807	6557.53	129
-0.74555096	0.66644721	0.00137048	1238.86	62
-0.31936776	0.94763078	0.00037792	956.88	84

nLines	x1	y1	x2	y2	length
129
	334.82	4.07	334.57	14.99	10.92
	382.17	4.00	382.65	87.98	83.99
	407.66	4.00	407.73	75.02	71.02
	436.00	4.00	436.45	67.98	63.98
	464.97	4.00	465.32	54.97	50.98
	496.74	4.02	497.18	35.99	31.97
	529.88	4.00	531.42	26.94	22.99
	298.77	7.06	298.92	16.02	8.96
	357.32	13.99	356.38	69.01	55.03
	263.88	19.98	264.18	52.99	33.01
	334.04	26.00	334.17	105.99	79.99
	266.69	30.99	266.62	43.11	12.11
	386.25	33.97	386.99	51.00	17.04
	311.06	36.99	309.64	116.98	80.00
	461.51	38.41	461.27	44.95	6.55
	271.76	41.64	271.77	50.29	8.65
	290.62	47.98	289.10	120.04	72.07
	502.92	83.00	504.28	181.05	98.06
	269.96	59.00	268.55	135.90	76.92
	535.27	70.96	538.29	171.97	101.06
	266.08	67.02	266.17	72.04	5.02
	250.56	69.97	248.09	117.01	47.10
	246.19	74.04	246.05	82.01	7.97
	571.15	78.00	574.62	162.98	85.05
	230.77	81.01	231.73	149.94	68.94
	214.28	87.99	212.82	159.01	71.03
	443.63	198.00	442.90	108.00	90.00
	471.68	95.03	473.82	190.00	94.99
	197.95	97.00	196.19	166.00	69.02
	180.63	107.99	179.66	169.19	61.21
	217.62	110.98	217.33	116.00	5.03
	166.06	113.99	164.19	179.00	65.04
	416.36	116.96	415.89	205.00	88.04
	276.10	118.95	276.25	124.02	5.07
	248.39	122.02	247.41	140.02	18.02
	150.29	122.94	148.96	185.00	62.07
	389.09	127.99	390.27	212.99	85.00
	609.03	130.00	610.64	154.03	24.09
	135.10	130.98	136.19	153.00	22.05
	122.35	137.05	120.20	197.07	60.06
	158.74	136.95	158.01	147.00	10.08
	364.00	138.00	365.22	216.99	79.00
	193.36	138.99	193.16	145.02	6.04
	340.27	146.96	341.35	224.01	77.06
	193.55	149.04	193.66	159.92	10.88
	95.88	151.98	94.83	207.98	56.02
	135.52	156.01	135.99	166.00	10.01
	319.95	156.03	319.71	161.06	5.04
	317.62	156.96	317.99	233.00	76.04
	84.42	158.92	82.41	212.99	54.11
	73.66	162.96	71.25	218.02	55.12
	297.05	164.00	297.24	236.01	72.01
	92.65	164.94	92.66	170.73	5.78
	108.13	165.05	107.36	202.07	37.02
	61.75	170.00	59.24	223.02	53.08
	132.34	169.92	131.11	189.02	19.14
	276.02	171.99	275.97	245.00	73.01
	52.10	174.01	49.32	226.03	52.09
	592.51	177.22	592.95	184.94	7.73
	256.46	179.95	256.62	250.00	70.05
	39.82	181.01	38.61	231.93	50.94
	134.96	180.98	134.35	191.01	10.05
	54.26	182.08	54.13	188.00	5.93
	69.04	183.02	67.51	217.02	34.03
	30.41	185.00	27.41	237.02	52.11
	237.91	187.02	238.50	255.03	68.01
	614.82	192.95	616.00	213.00	20.08
	20.58	190.98	18.21	240.00	49.08
	222.77	193.25	220.12	259.00	65.80
	10.42	206.01	9.54	243.02	37.02
	64.08	196.97	64.19	209.88	12.91
	576.77	200.12	577.97	219.00	18.92
	188.07	214.00	187.32	267.99	54.00
	204.35	209.03	203.43	263.97	54.95
	170.88	212.06	171.18	273.00	60.94
	145.82	220.85	145.91	231.10	10.24
	158.97	218.02	158.68	225.13	7.12
	509.06	218.97	512.58	321.95	103.03
	155.85	220.05	156.09	277.00	56.95
	141.62	225.21	142.13	280.01	54.80
	272.10	225.03	271.92	240.00	14.98
	479.08	232.00	480.85	335.02	103.04
	129.05	237.00	127.47	286.00	49.02
	115.44	235.91	114.50	290.02	54.12
	449.50	236.99	451.82	345.97	109.01
	544.39	237.98	547.71	333.00	95.07
	422.15	249.00	423.51	353.98	104.99
	89.62	245.03	88.74	297.00	51.97
	104.53	245.10	101.03	293.00	48.03
	106.88	249.96	106.62	254.97	5.01
	79.50	255.99	78.06	298.00	42.04
	395.10	250.99	396.91	358.00	107.02
	370.21	256.98	371.92	357.00	100.04
	55.81	259.04	54.25	307.00	47.98
	66.52	262.89	65.35	304.06	41.18
	44.90	264.00	44.24	310.02	46.02
	346.12	264.00	347.79	356.99	93.01
	34.47	270.05	34.57	313.07	43.02
	324.09	269.98	324.92	380.00	110.02
	24.55	272.97	23.90	316.01	43.05
	62.69	274.00	62.76	279.06	5.06
	303.00	274.00	303.62	296.97	22.98
	15.98	285.00	15.17	317.03	32.04
	7.46	293.95	4.59	322.01	28.21
	262.03	285.99	262.24	420.01	134.01
	243.72	290.12	243.50	420.00	129.88
	246.94	290.02	246.69	295.15	5.14
	226.18	294.80	225.50	420.01	125.21
	209.10	299.00	208.32	420.00	121.01
	193.13	302.95	191.91	420.00	117.05
	177.02	307.99	175.98	420.00	112.01
	162.45	311.02	160.72	419.98	108.98
	134.03	318.99	132.84	419.99	101.01
	147.42	320.83	148.28	337.02	16.22
	108.47	325.00	109.06	341.01	16.02
	95.38	330.05	95.53	383.03	52.98
	122.08	330.01	121.81	339.98	9.98
	84.93	331.00	81.93	419.99	89.05
	61.55	337.09	61.01	412.00	74.92
	72.48	336.97	70.78	414.04	77.09
	149.91	337.97	146.77	420.00	82.10
	51.06	340.98	49.31	420.00	79.04
	41.09	342.99	39.22	420.01	77.04
	582.01	344.00	581.97	354.01	10.01
	30.98	345.72	28.89	420.02	74.33
	12.67	350.05	10.27	420.01	70.00
	20.53	350.03	19.09	420.00	69.99
	4.22	351.01	3.42	363.98	12.99
	95.75	389.01	93.92	420.00	31.04
62
	368.65	3.34	3.91	196.31	412.65
	569.75	19.82	563.91	22.38	6.37
	528.99	37.62	533.65	35.60	5.08
	608.11	42.09	634.00	31.00	28.17
	626.93	54.96	620.03	57.63	7.40
	538.97	67.90	543.91	65.77	5.38
	533.10	70.36	506.99	79.87	27.79
	518.81	95.61	514.00	97.30	5.10
	519.17	80.24	511.72	82.85	7.90
	500.92	82.41	475.98	91.88	26.69
	443.00	107.00	470.01	94.96	29.57
	457.75	117.18	452.02	119.25	6.09
	200.58	104.68	207.99	100.52	8.50
	417.87	114.52	441.00	106.01	24.65
	508.07	123.09	532.09	114.60	25.48
	366.99	134.86	415.95	115.94	52.49
	138.64	136.76	146.90	131.89	9.59
	534.87	134.45	516.00	141.00	19.97
	300.88	160.74	364.81	135.74	68.65
	305.87	154.81	311.00	153.00	5.44
	279.98	168.93	288.98	164.96	9.85
	259.82	176.39	275.02	170.60	16.27
	218.96	192.92	207.93	196.86	11.71
	241.81	183.60	254.93	178.52	14.07
