vx	vy	vz	score	numLines
-0.30135980	0.95351021	0.00073920	7844.55	193
0.85888191	-0.51216936	-0.00210184	3416.92	221
-1.00000000	0.00002600	-0.00000988	2185.99	175

nLines	x1	y1	x2	y2	length
193
	167.28	26.05	123.25	124.09	107.47
	260.09	26.03	238.81	65.91	45.20
	305.51	25.93	291.20	51.11	28.96
	350.08	26.04	344.94	33.97	9.44
	393.39	26.16	316.90	146.98	142.99
	436.55	26.17	313.92	208.95	220.11
	478.51	25.67	414.23	117.17	111.82
	520.51	25.95	461.83	104.88	98.36
	507.85	94.90	561.69	25.67	87.70
	602.02	26.01	596.03	34.02	10.00
	18.31	26.95	3.33	69.78	45.38
	70.33	26.93	17.85	163.95	146.72
	119.34	26.91	46.44	199.96	187.78
	214.05	27.02	185.82	83.93	63.53
	246.10	200.06	327.89	62.98	159.63
	328.36	61.95	342.66	38.74	27.26
	11.90	27.97	3.37	53.79	27.19
	63.79	28.10	3.57	188.83	171.64
	112.54	28.02	25.99	236.99	226.19
	160.93	27.97	56.20	260.12	254.68
	186.91	27.96	178.04	48.02	21.93
	207.96	27.98	94.21	261.13	259.42
	253.47	27.99	155.01	217.01	213.13
	298.75	28.13	194.16	217.09	215.98
	343.44	27.96	218.43	239.26	245.51
	386.67	28.11	254.92	237.92	247.75
	429.98	27.99	289.61	240.40	254.61
	471.65	28.10	360.51	189.35	195.84
	485.00	28.00	462.89	56.35	35.95
	513.64	28.09	413.53	166.39	170.73
	524.94	27.96	511.52	44.49	21.30
	465.53	145.41	554.75	27.81	147.61
	595.13	28.10	507.51	138.44	140.90
	634.21	30.19	557.44	122.36	119.96
	634.49	36.43	602.37	73.91	49.37
	591.09	40.09	553.28	86.23	59.66
	87.21	41.93	84.71	47.84	6.42
	134.70	43.88	121.29	72.24	31.37
	392.83	44.91	381.42	63.95	22.20
	288.12	57.08	212.93	190.96	153.55
	83.13	52.14	79.64	60.10	8.69
	346.21	53.84	335.12	74.09	23.09
	582.66	55.74	564.63	77.41	28.19
	80.59	62.86	69.97	90.99	30.06
	455.89	62.75	452.79	66.77	5.08
	538.49	62.60	517.61	88.49	33.26
	298.54	64.74	279.51	97.49	37.88
	183.38	89.93	120.70	217.07	141.75
	237.68	70.10	162.49	212.02	160.60
	112.87	70.98	110.08	79.00	8.50
	494.42	70.57	481.14	90.12	23.64
	118.38	75.29	114.11	84.08	9.77
	250.74	74.75	237.49	101.53	29.88
	634.42	75.37	604.56	111.50	46.87
	486.87	210.87	600.85	77.81	175.20
	449.72	79.80	438.46	97.59	21.05
	634.34	81.30	582.90	139.92	77.99
	26.70	83.91	17.81	109.88	27.45
	549.12	91.10	454.25	209.09	151.40
	200.60	92.73	189.18	115.17	25.18
	553.14	92.73	538.49	113.59	25.49
	502.34	101.91	474.55	138.05	45.59
	55.31	96.18	53.23	102.07	6.24
	457.27	111.20	394.45	196.98	106.32
	150.85	108.94	141.11	129.08	22.38
	313.62	110.78	304.05	127.56	19.32
	603.28	111.25	594.54	121.48	13.46
	272.04	112.59	268.44	118.55	6.96
	606.55	117.61	593.78	132.52	19.63
	268.61	120.77	261.04	136.03	17.03
	421.47	122.58	411.99	136.99	17.25
	634.19	123.17	626.45	130.99	11.00
	556.45	124.39	550.51	131.46	9.22
	101.90	124.97	92.87	143.89	20.97
	124.99	125.00	82.85	211.94	96.62
	565.42	124.55	549.79	142.18	23.56
	13.16	177.08	9.71	186.06	9.63
	408.10	126.09	367.65	183.10	69.91
	627.47	126.46	620.50	133.47	9.89
	586.36	131.32	576.49	142.42	14.86
	425.31	201.86	471.90	141.90	75.93
	523.87	131.88	514.12	145.11	16.43
	376.90	132.94	368.88	145.90	15.24
	221.46	133.70	212.18	151.20	19.81
	313.29	152.86	277.44	208.96	66.57
	545.46	137.39	535.39	148.32	14.86
	8.89	138.94	3.45	151.65	13.82
	580.10	143.11	560.42	164.98	29.42
	481.84	139.88	472.15	153.13	16.42
	333.50	141.71	320.88	160.82	22.90
	621.46	141.53	612.79	151.66	13.34
	51.06	143.01	44.14	159.10	17.52
	464.50	145.38	458.53	154.39	10.81
	568.85	161.09	583.79	145.82	21.37
	174.81	147.91	168.20	161.24	14.88
	145.65	208.98	142.41	215.96	7.70
	440.22	147.80	432.07	160.06	14.71
	498.33	149.27	487.50	162.39	17.01
	290.40	151.95	282.92	164.92	14.97
	543.81	151.81	534.08	164.07	15.66
	457.34	155.27	441.59	175.46	25.61
	599.35	161.35	541.01	225.01	86.35
	493.79	171.74	503.61	158.69	16.33
	634.31	161.28	623.89	171.92	14.89
	127.50	161.73	122.15	174.18	13.55
	246.63	161.79	240.49	174.00	13.67
	518.79	214.93	539.55	188.50	33.61
	540.69	186.79	557.77	168.76	24.84
	356.37	164.91	349.91	175.94	12.78
	72.72	195.96	66.58	210.40	15.69
	412.30	167.23	401.59	182.41	18.58
	555.80	179.71	564.56	168.63	14.13
	620.17	176.17	594.47	206.04	39.40
	201.48	173.70	190.52	196.00	24.84
	313.74	174.83	297.73	200.73	30.44
	421.47	174.99	402.98	201.98	32.72
	502.88	203.88	525.53	174.62	37.00
	80.55	175.79	74.58	191.82	17.10
	36.36	182.25	29.78	198.92	17.92
	381.57	181.64	365.81	205.93	28.95
	485.87	181.90	473.35	198.87	21.09
	586.70	182.74	556.96	217.97	46.10
	271.95	183.97	267.62	191.83	8.98
	540.49	184.40	537.42	188.35	5.01
	366.23	186.19	329.95	236.97	62.41
	155.88	186.94	147.71	203.98	18.90
	188.08	199.98	182.84	209.94	11.26
	359.47	189.32	343.48	212.35	28.03
	612.48	188.63	596.99	207.01	24.03
	430.38	190.28	425.54	197.43	8.63
	25.80	211.07	15.69	238.01	28.77
	230.41	193.07	226.23	199.33	7.54
	392.36	194.26	386.46	202.35	10.00
	112.17	196.31	105.78	211.83	16.78
	135.99	196.00	132.01	203.02	8.07
	634.30	196.34	607.94	221.93	36.74
	440.84	196.95	436.95	201.94	6.33
	424.38	198.30	418.25	207.20	10.81
	342.51	267.00	387.38	205.91	75.80
	454.50	204.39	448.23	212.19	10.01
	331.14	205.09	326.53	212.74	8.93
	384.40	205.32	375.58	217.43	14.99
	204.44	206.26	195.76	219.89	16.16
	590.71	207.50	550.44	250.27	58.75
	553.46	208.41	549.49	212.44	5.66
	630.48	207.62	626.67	211.79	5.65
	531.79	208.86	528.28	213.22	5.59
	40.42	209.67	30.81	235.92	27.96
	363.25	209.86	355.77	220.76	13.23
	418.98	209.99	387.51	250.99	51.69
	483.23	211.19	473.50	223.42	15.63
	65.21	211.95	50.87	249.92	40.59
	516.27	212.24	503.39	227.34	19.85
	493.55	215.60	486.64	223.54	10.52
	272.55	216.02	259.29	237.27	25.04
	14.24	243.87	12.43	248.98	5.42
	523.11	219.13	518.78	224.73	7.07
	516.04	228.02	507.81	238.85	13.60
	439.13	223.10	435.44	228.36	6.42
	475.59	223.51	455.82	248.90	32.17
	595.76	235.71	608.03	223.55	17.27
	551.08	225.08	547.71	228.80	5.02
	93.27	237.96	88.47	249.38	12.39
	451.96	226.97	449.01	231.01	5.00
	503.87	228.88	499.93	232.95	5.67
	579.16	229.13	572.67	236.74	10.00
	634.30	229.30	627.63	235.65	9.21
	226.87	231.91	206.07	266.05	39.97
	423.34	243.27	432.06	232.05	14.21
	498.49	232.60	494.34	237.31	6.28
	607.08	233.09	603.01	237.00	5.65
	243.50	234.07	240.53	239.07	5.82
	72.41	235.18	69.39	240.97	6.53
	502.31	277.35	522.43	253.96	30.85
	522.32	239.30	494.78	269.51	40.87
	250.29	241.18	233.45	267.33	31.10
	288.37	241.26	280.85	251.84	12.98
	494.28	241.17	485.65	250.63	12.81
	374.67	241.75	370.99	246.28	5.83
	106.07	246.03	98.13	261.03	16.97
	424.94	245.95	420.70	251.08	6.65
	213.49	247.31	206.40	259.24	13.88
	385.50	249.38	378.51	258.37	11.39
	59.81	260.90	63.49	252.02	9.61
	6.06	259.01	8.19	253.26	6.13
	441.46	261.37	446.17	256.14	7.04
	545.02	256.02	540.21	261.19	7.06
	250.51	258.23	244.55	267.03	10.63
	395.73	262.96	398.71	258.72	5.18
	381.09	260.13	375.23	268.21	9.98
	611.00	280.00	622.79	267.80	16.96
	362.28	300.20	366.83	294.73	7.12
	379.45	338.94	383.07	334.65	5.62
221
	175.02	28.02	168.03	30.85	7.54
	314.05	37.22	309.04	38.59	5.20
	261.05	55.14	252.98	56.90	8.26
	245.38	72.33	239.00	73.94	6.58
	173.02	133.89	180.24	132.27	7.41
	41.85	139.79	28.91	142.82	13.29
	128.98	146.56	135.08	145.13	6.27
	156.91	147.91	166.60	145.78	9.92
	36.21	146.25	26.97	148.29	9.46
	122.01	152.47	129.44	150.86	7.61
	122.15	157.32	116.01	158.03	6.19
	77.97	162.77	86.20	161.21	8.38
	108.06	163.63	115.07	162.47	7.11
	57.96	186.15	65.11	185.27	7.20
	60.16	194.70	65.94	194.11	5.81
	7.00	203.97	14.94	202.91	8.01
	129.94	206.22	141.99	204.97	12.11
	247.02	227.08	236.01	227.77	11.03
	10.05	207.67	16.95	207.30	6.91
	355.00	208.05	362.00	207.67	7.01
	48.99	215.06	62.99	214.16	14.03
	79.08	226.37	86.03	226.15	6.95
	87.95	250.19	82.00	250.30	5.95
	196.81	228.46	202.99	227.92	6.20
	299.03	231.02	307.99	230.48	8.97
	64.35	250.91	78.97	251.61	14.64
	419.05	269.61	411.00	269.85	8.06
	492.03	269.85	472.90	268.50	19.18
	30.00	250.56	42.97	251.29	12.99
	358.03	251.70	366.94	251.26	8.92
	30.00	257.19	41.00	256.98	11.00
	288.98	254.12	296.01	254.41	7.04
	294.07	272.36	319.99	273.86	25.96
	457.87	265.09	444.96	264.43	12.93
	309.98	258.26	317.99	258.11	8.01
	450.92	257.55	456.06	257.67	5.14
	65.98	260.25	82.03	261.26	16.08
	375.03	269.04	396.64	270.98	21.70
	212.00	261.00	228.00	261.97	16.03
	352.00	262.02	360.98	261.81	8.98
	34.80	263.46	49.98	263.72	15.19
	418.29	262.82	424.88	263.14	6.60
	543.05	266.37	548.09	266.60	5.04
	70.86	271.27	57.45	270.04	13.47
	58.12	265.09	69.08	265.43	10.97
	112.97	265.35	133.02	264.80	20.05
	41.84	271.61	47.89	272.30	6.09
	208.03	268.68	281.99	271.91	74.04
	629.00	269.01	634.00	269.35	5.01
	94.99	270.00	111.94	271.71	17.03
	535.98	271.10	543.01	270.98	7.03
	568.95	270.80	576.10	270.64	7.16
	29.97	276.59	52.98	278.18	23.07
	228.00	275.98	196.98	274.65	31.05
	325.94	274.50	593.01	284.73	267.27
	99.98	275.55	115.00	277.05	15.09
	117.00	276.01	133.00	277.88	16.11
	232.00	276.67	249.99	277.13	17.99
	3.89	279.28	18.03	280.81	14.22
	103.00	281.91	132.99	284.11	30.07
	269.11	285.86	289.98	287.83	20.97
	304.88	280.24	325.21	282.50	20.45
	29.08	280.77	41.74	281.55	12.68
	197.11	280.78	252.95	285.28	56.02
	335.92	282.18	377.00	284.07	41.12
	5.99	284.86	13.03	285.19	7.04
	45.53	282.44	57.00	284.15	11.60
	413.96	282.71	427.95	282.73	13.99
	87.02	286.79	120.16	289.60	33.26
	381.03	284.09	433.99	285.97	52.99
	202.00	288.83	224.04	291.38	22.19
	594.97	285.82	634.01	286.88	39.05
	346.01	290.89	362.96	292.26	17.01
	435.97	287.75	539.01	292.90	103.17
	550.00	292.43	571.01	293.28	21.03
