vx	vy	vz	score	numLines
-0.03068530	0.99952909	-0.00009783	7344.52	330
0.98551384	-0.16959487	-0.00024555	3648.78	364

nLines	x1	y1	x2	y2	length
330
	9.27	60.88	10.04	12.00	48.88
	79.41	10.05	77.10	184.00	173.97
	100.31	10.04	98.02	113.00	102.99
	120.54	9.96	118.99	96.00	86.05
	141.54	10.10	140.55	46.04	35.95
	143.02	51.00	139.68	95.06	44.18
	139.18	122.99	138.51	153.06	30.08
	140.79	160.98	136.43	266.97	106.08
	138.78	284.02	135.05	328.00	44.14
	162.18	10.04	160.74	40.87	30.86
	225.79	10.02	225.87	91.00	80.98
	291.41	10.08	290.74	71.00	60.92
	313.84	10.01	313.04	69.00	59.00
	336.51	10.03	337.27	464.96	454.93
	39.63	11.00	26.30	433.00	422.21
	26.39	433.99	24.64	460.99	27.06
	183.21	11.00	182.58	41.07	30.08
	204.31	11.00	203.12	85.00	74.02
	247.37	10.99	247.58	95.01	84.02
	269.34	10.98	269.34	157.91	146.93
	16.49	11.97	16.48	21.08	9.12
	305.87	12.00	305.69	32.80	20.80
	301.45	12.95	301.45	19.15	6.20
	28.00	17.00	27.40	34.05	17.06
	380.66	16.96	380.09	31.98	15.03
	360.71	22.96	361.36	34.04	11.10
	405.59	22.98	405.35	38.96	15.97
	288.30	24.09	288.27	30.91	6.82
	21.11	28.00	21.49	42.07	14.08
	16.83	32.01	15.34	49.03	17.09
	33.55	40.03	33.45	48.00	7.97
	162.75	41.99	159.25	104.01	62.11
	158.66	105.00	158.91	207.00	101.99
	347.87	43.96	348.58	57.89	13.95
	183.93	42.99	176.69	464.98	422.05
	26.89	46.99	27.21	61.01	14.03
	370.75	48.01	371.22	62.88	14.87
	393.23	48.98	393.48	66.02	17.05
	361.03	50.00	361.04	56.00	6.00
	403.15	51.97	402.68	59.96	8.01
	20.66	53.97	21.14	68.01	14.04
	16.40	60.02	16.02	72.00	11.98
	256.54	65.00	256.54	59.53	5.47
	32.67	65.95	32.58	70.97	5.02
	314.40	70.99	313.45	203.00	132.02
	26.60	75.02	26.16	89.00	13.99
	348.27	74.98	348.07	88.00	13.02
	298.52	77.01	298.14	85.14	8.14
