vx	vy	vz	score	numLines
0.90866228	0.41752684	0.00205145	8654.64	262
0.00912510	0.99995837	0.00000599	2289.27	127
0.99999860	-0.00167430	-0.00007756	480.36	62

nLines	x1	y1	x2	y2	length
262
	15.88	92.65	28.78	95.74	13.26
	3.95	97.61	56.09	110.44	53.69
	3.99	105.03	42.99	113.83	39.98
	46.06	114.30	58.02	117.37	12.34
	58.95	117.72	139.20	132.87	81.67
	58.11	108.85	285.86	166.67	234.97
	139.97	134.53	300.98	171.58	165.22
	318.06	176.18	381.98	191.05	65.62
	134.08	136.73	145.01	138.95	11.15
	159.02	142.92	164.98	144.08	6.07
	179.13	147.56	186.00	148.95	7.01
	469.06	148.02	464.94	157.78	10.59
	30.98	157.32	70.97	162.10	40.27
	90.92	165.35	120.20	168.26	29.42
	121.06	195.00	133.65	195.50	12.61
	135.93	170.23	157.94	171.37	22.04
	73.96	174.18	87.95	176.12	14.12
	210.97	173.71	219.97	175.28	9.13
	339.00	175.07	358.86	179.59	20.37
	198.99	177.07	211.82	178.44	12.90
	110.09	177.56	117.99	178.28	7.94
	123.98	178.11	132.95	179.12	9.02
	221.98	179.64	231.80	181.23	9.94
	361.00	180.00	369.95	183.06	9.46
	149.11	180.81	155.99	181.59	6.92
	241.06	182.75	248.86	183.38	7.82
	256.00	183.92	261.93	184.31	5.94
	7.99	192.30	16.01	192.83	8.03
	18.00	193.04	28.04	192.64	10.05
	74.01	194.56	87.99	195.40	14.01
	368.00	195.99	380.99	197.04	13.03
	160.01	197.33	168.00	197.73	8.00
	212.74	233.97	201.10	235.59	11.75
	370.28	203.55	382.04	203.13	11.77
	596.00	208.67	610.95	208.70	14.95
	485.89	206.59	491.99	207.14	6.13
	499.00	206.90	515.01	207.56	16.02
	558.98	208.13	580.00	208.80	21.03
	619.97	208.83	625.95	208.81	5.97
	628.06	208.79	633.99	209.10	5.94
	500.96	218.86	506.93	220.14	6.11
	275.24	229.18	264.04	231.30	11.39
	294.97	257.89	381.02	228.53	90.93
	247.00	234.18	260.17	232.48	13.28
	499.08	233.24	504.05	235.85	5.62
	504.96	236.08	586.95	279.08	92.58
	214.28	237.41	194.96	240.59	19.58
	372.93	236.97	353.14	245.24	21.45
	512.11	242.93	531.30	253.65	21.98
	362.68	246.06	351.49	252.55	12.94
	78.97	247.82	85.01	247.09	6.09
	324.98	251.96	334.93	247.84	10.77
	375.06	248.65	360.03	258.55	18.00
	476.38	248.71	481.46	255.01	8.09
	348.99	252.29	339.91	257.30	10.37
	510.05	252.95	518.96	260.08	11.41
	331.06	256.63	336.09	254.21	5.58
	298.07	264.21	309.10	258.76	12.31
	380.92	257.85	370.07	268.22	15.01
	598.99	258.07	607.06	261.40	8.73
	531.93	258.64	538.03	261.91	6.92
	282.97	267.20	302.98	259.81	21.33
	479.49	260.50	580.39	421.08	189.65
	274.75	261.12	268.99	263.08	6.08
	281.83	263.73	289.93	260.61	8.68
	493.66	260.95	513.38	284.42	30.65
	500.37	262.63	506.81	270.26	9.97
	316.10	264.98	294.18	276.23	24.64
	539.10	265.32	545.13	268.94	7.04
	378.06	266.60	374.44	270.33	5.19
	512.25	268.65	525.81	279.78	17.54
	494.67	270.21	503.30	281.77	14.42
	526.27	270.17	544.84	283.25	22.71
	557.06	269.94	574.27	278.35	19.16
	59.92	272.30	66.73	271.50	6.86
	346.98	277.97	352.84	272.85	7.78
	270.95	276.61	278.99	272.98	8.82
	313.03	273.12	285.57	287.39	30.94
	319.96	274.92	309.03	282.08	13.07
	491.87	273.07	499.22	283.81	13.01
	510.55	273.38	634.50	397.50	175.41
	326.01	275.02	316.90	280.82	10.81
	478.01	275.00	549.08	420.95	162.34
	508.55	275.42	515.24	282.84	9.98
	482.73	276.09	564.35	421.12	166.41
	364.12	277.08	357.97	283.41	8.83
	475.14	276.95	533.89	421.05	155.62
	554.24	277.42	564.05	283.45	11.51
	373.81	277.88	367.96	283.40	8.05
	267.93	285.34	282.11	278.52	15.73
	348.32	280.02	341.97	285.44	8.35
	530.09	279.91	536.90	286.27	9.32
	575.10	279.81	581.02	282.98	6.71
	341.21	281.23	336.92	284.37	5.31
	264.22	284.30	269.00	281.98	5.31
	227.01	295.54	252.92	283.57	28.54
	282.49	284.43	260.04	294.07	24.43
	284.53	295.52	305.80	283.72	24.32
	326.03	287.12	317.94	292.93	9.96
	596.74	284.47	624.05	297.28	30.16
	353.69	293.05	362.82	284.87	12.26
	508.00	288.00	528.59	312.97	32.36
	529.38	313.73	593.41	398.05	105.88
	518.09	284.92	531.03	299.43	19.44
	575.00	285.01	580.64	288.44	6.61
	320.48	286.99	313.85	291.30	7.91
	336.90	289.61	341.05	286.53	5.17
	378.06	287.07	270.24	421.24	172.13
	502.49	286.72	525.44	320.03	40.44
	354.01	287.54	330.80	308.19	31.06
	537.42	288.46	547.02	296.43	12.47
	549.91	287.65	564.37	297.53	17.51
	564.15	287.95	574.28	294.67	12.15
	380.90	288.91	284.70	421.14	163.52
	318.01	337.01	363.17	289.81	65.33
	516.66	289.97	535.48	312.00	28.98
	228.12	291.46	220.12	295.22	8.84
	323.00	296.48	329.71	290.77	8.81
	259.19	292.36	239.86	303.39	22.25
	334.58	292.49	313.86	309.50	26.80
	343.27	292.05	338.16	296.10	6.52
	578.77	291.84	592.11	299.68	15.48
	186.78	321.63	249.79	292.52	69.41
	281.78	292.57	276.65	295.65	5.99
	179.96	293.53	168.07	297.55	12.55
	310.38	294.44	301.19	301.18	11.39
	365.42	293.66	307.97	356.45	85.11
	539.40	294.56	554.08	308.30	20.10
	590.07	294.79	597.98	300.02	9.48
	200.21	304.24	218.12	296.72	19.43
	225.88	297.73	214.40	303.31	12.76
	308.32	299.29	296.81	306.83	13.76
	267.05	311.15	283.92	299.89	20.28
	290.89	299.80	275.88	308.78	17.49
	301.94	314.93	321.24	300.21	24.26
	531.84	300.76	634.47	412.55	151.76
	574.87	302.34	601.84	322.15	33.47
	603.80	301.81	613.04	307.92	11.07
	211.96	302.89	199.10	308.24	13.92
	243.20	310.36	259.02	302.59	17.63
	343.88	302.85	335.79	311.21	11.63
	231.79	304.64	221.03	310.05	12.05
	228.88	309.80	239.00	304.99	11.20
	298.14	310.14	305.04	305.07	8.56
	560.38	305.22	631.20	369.22	95.45
	565.01	304.98	572.83	312.25	10.68
	589.23	305.61	633.10	337.32	54.13
	374.20	309.19	300.98	420.98	133.64
	250.96	330.89	284.25	310.58	38.99
	290.31	310.32	284.15	314.57	7.49
	278.09	338.12	312.83	310.84	44.17
	555.01	310.53	559.54	314.49	6.01
	190.07	312.16	179.20	317.70	12.20
	334.28	311.90	317.57	329.04	23.94
	561.30	345.13	628.04	420.97	101.03
	381.11	313.09	315.88	420.94	126.04
	615.05	313.83	634.38	325.53	22.59
	561.70	315.47	634.29	384.71	100.32
	585.87	316.26	616.04	339.45	38.05
	613.73	316.60	622.27	322.61	10.44
	223.99	317.93	216.20	321.38	8.51
	279.83	318.19	273.59	322.48	7.57
	139.15	334.40	175.11	319.22	39.04
	287.07	319.16	280.29	324.38	8.55
	320.01	319.01	305.60	331.04	18.77
	475.07	319.10	502.13	420.97	105.40
	126.98	322.43	134.01	320.06	7.43
	4.03	384.05	156.03	319.70	165.06
	186.17	320.38	179.18	323.45	7.64
	203.01	320.49	189.02	328.46	16.10
	585.48	320.45	634.14	362.84	64.53
	603.62	320.39	610.93	325.05	8.67
	188.20	345.23	233.97	320.92	51.82
	526.51	321.02	595.98	421.01	121.76
	85.26	421.34	214.75	340.55	152.62
	215.77	339.63	249.01	322.04	37.61
	625.34	324.50	634.27	331.06	11.08
	231.88	325.83	69.37	421.55	188.61
	234.01	336.02	249.81	325.82	18.81
	258.90	338.37	271.98	328.96	16.11
