vx	vy	vz	score	numLines
0.91041947	-0.41368621	-0.00033815	2841.31	98
0.02096484	0.99978021	0.00009955	2690.52	98
0.89292982	-0.45019576	0.00033892	386.78	61

nLines	x1	y1	x2	y2	length
98
	258.02	7.71	266.89	3.70	9.73
	341.04	17.03	299.95	33.46	44.26
	343.03	17.07	376.85	3.61	36.40
	385.21	44.36	343.02	60.06	45.02
	411.12	25.68	405.00	28.12	6.59
	242.13	13.80	254.03	8.52	13.02
	340.94	103.96	299.98	118.93	43.61
	387.93	43.26	420.93	30.82	35.26
	256.10	50.07	296.05	34.53	42.87
	407.59	51.47	415.00	48.82	7.87
	241.98	55.95	253.98	50.93	13.01
	359.13	63.16	367.01	60.32	8.38
	339.02	61.06	300.03	76.10	41.79
	387.03	87.73	421.01	75.03	36.28
	296.02	77.04	257.99	91.96	40.85
	315.43	85.94	326.99	81.05	12.55
	359.32	87.35	368.03	83.75	9.42
	383.01	88.46	342.98	103.53	42.77
	385.01	132.01	341.08	147.07	46.45
	340.47	190.48	383.02	176.05	44.93
	273.05	95.06	279.00	92.51	6.48
	254.00	93.02	242.13	97.77	12.79
	407.08	95.10	415.06	92.71	8.34
	415.11	96.16	406.95	98.84	8.59
	340.23	147.23	298.95	161.94	43.82
	366.39	128.56	359.07	130.84	7.67
	420.97	119.40	386.97	131.54	36.10
	296.01	120.02	257.92	134.39	40.70
	313.27	124.26	324.89	120.28	12.28
	384.33	219.40	342.09	233.35	44.49
	254.02	135.06	240.92	139.69	13.90
	406.19	140.22	413.98	137.11	8.38
	276.62	141.56	283.95	138.79	7.84
	258.02	176.09	297.36	162.30	41.69
	387.02	175.11	421.08	163.70	35.91
	254.05	177.12	240.93	181.72	13.90
	414.20	187.44	406.07	190.31	8.62
	299.90	204.22	339.17	190.70	41.53
	340.39	233.44	299.00	247.00	43.56
	270.99	205.44	276.00	203.98	5.22
	258.03	218.13	297.35	205.26	41.37
	296.21	247.44	257.14	260.70	41.26
	386.17	219.46	420.97	207.91	36.67
	240.87	223.46	254.86	218.87	14.73
	384.05	263.04	341.89	276.43	44.23
	280.87	243.82	273.08	246.28	8.17
	283.97	226.39	277.66	228.44	6.63
	339.92	276.94	257.05	302.47	86.71
	385.99	262.97	420.99	251.96	36.69
	242.03	265.10	253.99	260.98	12.65
	383.96	306.97	421.03	296.09	38.63
	406.16	277.38	415.00	274.00	9.46
	340.56	319.49	382.88	306.77	44.19
	297.06	332.05	340.02	320.02	44.62
	364.19	296.22	356.73	298.56	7.82
	241.00	307.00	253.88	302.73	13.57
	311.92	307.89	329.05	302.61	17.92
	273.96	305.43	279.00	304.14	5.20
	296.34	332.38	256.89	344.44	41.25
	386.00	349.98	421.02	340.08	36.40
	240.98	348.92	253.96	344.80	13.62
	341.91	362.27	382.08	350.64	41.82
	298.90	374.33	338.00	363.02	40.71
