vx	vy	vz	score	numLines
-0.08428722	0.99644138	-0.00049770	7008.81	311
0.84844624	0.52928136	0.00046423	4150.38	65
-0.83975606	0.54296368	0.00045196	2320.43	65

nLines	x1	y1	x2	y2	length
311
	17.84	3.99	16.33	24.97	21.03
	75.97	4.00	75.30	17.99	14.00
	107.06	4.06	106.33	31.02	26.97
	139.89	4.00	139.51	11.04	7.06
	156.08	4.01	154.74	243.03	239.02
	191.88	4.00	192.35	12.07	8.08
	251.22	3.99	252.33	23.05	19.09
	278.99	4.00	279.53	11.99	8.01
	294.83	13.24	294.80	18.84	5.60
	330.00	4.00	331.28	22.04	18.09
	398.32	22.00	396.53	3.94	18.15
	416.94	4.00	417.58	12.04	8.06
	177.14	6.01	177.33	35.96	29.95
	338.05	142.00	336.07	117.01	25.07
	221.87	7.00	223.01	33.00	26.03
	305.50	10.00	306.05	30.00	20.00
	374.94	11.00	377.51	32.09	21.24
	46.16	11.98	44.34	36.98	25.07
	140.33	15.00	139.25	44.01	29.03
	191.61	16.97	192.48	45.04	28.09
	278.68	17.93	280.48	41.97	24.11
	353.73	18.96	356.34	41.01	22.21
	418.33	20.98	420.32	39.02	18.15
	410.44	22.00	410.84	30.09	8.10
	23.25	41.81	24.73	31.12	10.79
	75.85	23.01	74.03	50.00	27.06
	251.58	27.97	252.85	55.04	27.10
	330.70	27.94	333.10	51.99	24.17
	399.22	30.99	400.95	48.99	18.08
	16.05	32.01	14.68	56.15	24.18
	107.22	35.01	105.83	63.03	28.05
	106.09	65.06	105.00	96.00	30.96
	377.86	37.01	380.36	59.00	22.13
	177.47	37.98	177.41	69.95	31.97
	222.61	37.93	224.21	65.99	28.11
	307.30	39.97	307.34	61.91	21.95
	44.85	42.01	43.02	68.00	26.05
	355.41	46.94	357.39	69.01	22.16
	140.21	47.99	138.82	77.02	29.07
	279.76	47.99	281.71	72.98	25.07
	191.62	49.01	192.99	78.00	29.02
	241.31	71.94	240.51	62.98	8.99
	74.67	53.97	73.02	82.00	28.07
	400.95	55.00	403.75	76.00	21.19
	252.42	58.92	254.17	86.02	27.15
	333.09	58.99	334.62	81.00	22.06
	15.18	60.00	12.68	86.05	26.17
	299.94	68.03	300.89	79.92	11.93
	379.58	64.96	382.26	86.95	22.16
	308.44	69.01	309.45	91.99	23.00
	103.90	130.01	104.73	98.83	31.19
	223.55	70.99	224.10	98.01	27.03
	176.88	72.00	177.45	104.08	32.09
	43.50	72.98	41.63	100.08	27.16
	397.94	84.02	398.79	93.86	9.87
	358.30	76.99	360.02	99.00	22.08
	281.93	81.00	283.14	105.02	24.05
	139.32	81.98	138.45	112.01	30.04
	192.14	81.97	193.32	112.98	31.03
	323.04	89.98	324.04	99.02	9.09
	403.62	83.02	406.87	105.02	22.24
	73.45	85.95	72.49	116.46	30.52
	334.18	87.01	336.25	111.04	24.12
	253.58	89.89	255.29	118.99	29.15
	13.31	90.97	10.84	117.99	27.13
	302.03	99.99	302.85	110.88	10.92
	382.04	94.00	383.88	114.01	20.09
	309.30	99.01	310.83	122.98	24.01
	210.97	108.02	211.56	118.02	10.03
	349.02	107.99	349.94	116.97	9.02
	223.69	103.02	225.33	133.00	30.03
	274.92	112.04	275.83	123.89	11.89
	42.06	104.99	39.78	132.96	28.06
	361.75	127.99	359.70	105.02	23.06
	177.06	106.00	177.69	140.04	34.05
	328.93	118.03	329.52	129.66	11.64
	283.14	111.01	283.87	136.98	25.98
	405.93	110.99	407.94	132.00	21.11
	69.77	184.84	70.88	150.93	33.93
	139.38	115.03	138.09	147.01	32.00
	192.38	117.00	193.54	148.04	31.06
	72.38	118.96	70.61	148.95	30.04
	373.83	125.05	374.99	133.99	9.01
	22.39	135.92	23.55	127.02	8.97
	420.42	138.99	419.38	131.02	8.04
	11.41	121.91	9.29	150.02	28.19
	383.94	122.01	385.77	144.01	22.08
	254.57	122.96	256.04	152.00	29.07
	311.09	131.00	312.79	156.04	25.10
	399.50	151.01	399.19	144.97	6.05
	104.58	133.94	103.05	165.00	31.10
	362.54	135.03	364.09	159.00	24.03
	40.41	136.94	38.59	166.07	29.19
	224.48	136.98	225.60	168.13	31.17
	408.15	140.00	410.67	161.98	22.13
	177.07	142.00	177.74	175.04	33.04
	283.63	141.84	285.40	170.01	28.22
	337.41	146.97	339.85	174.02	27.16
	138.38	150.98	138.18	184.13	33.14
	192.61	151.96	193.56	184.06	32.12
	386.30	151.98	389.06	176.01	24.19
	9.68	153.98	7.66	183.12	29.21
	255.35	157.01	256.97	186.00	29.03
	85.33	158.20	84.21	168.88	10.74
	311.83	160.99	314.21	188.03	27.14
	404.56	169.97	405.86	180.94	11.05
	363.73	165.00	365.77	189.96	25.05
	116.92	185.03	116.84	177.92	7.10
	103.99	169.00	102.55	201.18	32.21
	39.28	169.98	36.90	200.00	30.11
	411.02	170.00	413.13	192.02	22.12
	225.33	170.90	226.23	202.03	31.14
	284.88	175.00	286.99	204.00	29.07
	177.18	178.01	177.86	213.04	35.03
	339.29	177.96	341.49	206.05	28.18
	388.53	181.96	391.01	207.00	25.17
	327.71	183.13	328.80	192.92	9.85
	4.75	241.97	5.83	218.88	23.12
	8.04	187.00	5.77	216.03	29.12
	69.89	187.01	68.40	218.04	31.06
	138.07	186.99	137.33	219.04	32.06
	192.89	187.99	193.80	219.98	32.01
	256.48	189.86	258.04	221.99	32.16
	313.95	195.00	315.42	220.96	26.00
	365.70	195.97	368.10	222.01	26.15
	412.48	197.93	414.95	221.00	23.20
	44.03	218.99	45.03	210.01	9.03
	112.03	222.98	111.92	209.97	13.01
	35.59	242.00	35.76	236.84	5.16
	102.65	202.75	101.83	237.02	34.28
	37.53	203.95	35.63	235.12	31.23
	225.55	206.96	227.28	239.04	32.12
	329.84	216.07	330.58	226.04	10.00
	378.92	214.06	379.66	223.94	9.91
	287.00	211.00	288.14	238.02	27.04
	341.58	211.06	342.98	238.00	26.98
	390.86	213.00	392.44	237.04	24.10
	177.31	215.01	178.14	243.00	28.00
	380.71	218.06	380.97	226.99	8.93
	68.96	222.00	68.16	243.00	21.01
	136.64	221.62	137.52	241.99	20.39
	193.11	223.98	194.24	242.96	19.02
	302.89	231.05	303.96	241.99	10.99
	257.76	226.00	258.14	242.00	15.99
	315.02	227.00	316.12	241.99	15.03
	367.84	227.99	368.95	242.00	14.06
	415.30	227.96	416.89	242.01	14.13
	215.62	368.95	215.99	376.99	8.05
	417.42	370.01	416.39	361.87	8.20
	62.97	362.00	62.71	367.03	5.04
	98.74	361.94	97.67	392.08	30.16
	178.99	362.00	179.08	455.99	93.99
	194.98	362.00	195.80	376.99	15.00
	230.30	362.01	230.27	393.00	30.99
	29.50	363.01	28.42	382.07	19.08
	135.50	363.00	134.80	376.94	13.96
	153.58	363.01	151.18	634.00	271.00
	262.31	363.03	262.89	368.99	5.98
	293.37	363.00	294.51	385.04	22.07
	351.03	363.00	352.02	377.00	14.04
	377.78	363.00	379.99	392.00	29.08
	322.67	366.94	325.23	399.99	33.15
	63.34	370.97	61.53	407.11	36.18
	262.61	372.75	264.32	408.99	36.29
	247.96	382.02	249.10	393.04	11.08
	403.87	375.99	405.55	404.96	29.02
	135.47	379.89	134.83	418.02	38.14
	195.10	380.99	196.19	419.02	38.04
	351.83	381.96	354.17	414.01	32.14
	28.86	386.01	26.66	421.07	35.14
	286.96	398.01	287.22	409.07	11.07
	294.10	388.98	296.27	424.01	35.10
	280.81	399.06	280.60	409.85	10.79
	271.42	392.99	271.93	400.02	7.05
	205.28	410.07	205.28	400.09	9.98
	98.13	395.99	96.72	433.03	37.07
	379.70	395.79	382.25	428.01	32.33
	229.82	397.04	231.39	435.02	38.01
	115.45	419.52	115.85	408.94	10.58
	312.98	427.76	312.20	415.95	11.84
	324.86	404.99	326.62	438.04	33.10
	113.13	406.07	112.57	414.88	8.83
	61.89	411.00	58.84	489.02	78.07
	406.04	411.00	409.11	441.01	30.16
	394.82	419.09	395.33	427.91	8.84
	263.65	412.90	265.09	449.01	36.13
	25.25	464.95	23.42	503.21	38.30
