vx	vy	vz	score	numLines
0.00011638	0.99999999	-0.00002343	1918.29	160
-0.99900939	-0.04449980	-0.00004529	1843.34	143
0.08348044	0.99650922	-0.00061804	560.12	59

nLines	x1	y1	x2	y2	length
160
	392.08	46.99	391.93	53.00	6.01
	149.63	72.03	150.32	143.11	71.08
	391.64	81.03	391.92	90.00	8.98
	375.42	143.02	375.26	112.89	30.13
	324.04	126.00	324.00	137.00	11.00
	408.99	128.47	408.96	147.97	19.50
	392.79	130.07	393.22	141.99	11.93
	399.91	130.01	399.99	142.00	11.99
	379.50	131.14	379.94	143.00	11.87
	385.96	131.01	386.07	142.00	11.00
	405.28	131.01	405.29	141.99	10.98
	372.23	156.02	373.91	179.96	24.00
	390.72	145.97	390.91	156.02	10.06
	411.59	160.18	411.34	176.02	15.84
	390.16	160.98	390.24	178.93	17.95
	493.86	174.01	493.93	183.98	9.98
	15.80	175.02	15.20	202.03	27.02
	97.12	175.95	96.94	192.03	16.08
	155.16	183.96	156.60	203.98	20.07
	456.45	185.74	457.10	210.97	25.24
	268.89	187.99	269.13	194.00	6.01
	307.28	188.77	307.17	205.95	17.18
	372.02	199.00	371.66	213.04	14.04
	185.54	191.18	185.17	202.82	11.64
	493.05	191.01	493.33	209.79	18.79
	280.94	193.00	281.21	222.00	29.00
	340.66	193.07	340.85	201.11	8.05
	328.98	194.00	329.12	200.00	6.00
	400.78	199.11	401.25	211.97	12.87
	410.39	198.23	410.11	211.00	12.77
	415.99	201.00	416.73	212.03	11.06
	389.71	202.92	389.64	211.00	8.07
	332.18	211.20	332.66	219.99	8.80
	321.70	221.10	321.70	215.04	6.06
	304.29	211.99	304.59	222.78	10.79
	309.32	220.97	308.84	213.01	7.98
	345.81	211.96	345.93	224.05	12.10
	463.39	212.67	462.95	231.02	18.35
	337.88	213.99	337.79	221.01	7.02
	312.80	215.09	312.77	222.13	7.04
	368.34	218.06	369.00	230.00	11.96
	417.38	218.11	418.64	269.98	51.88
	390.24	219.11	390.46	270.03	50.92
	161.20	219.89	160.86	226.90	7.02
	175.39	221.07	175.60	227.07	6.01
	403.09	222.96	403.85	270.01	47.05
	459.31	222.08	458.90	231.95	9.87
	467.51	222.21	467.11	231.02	8.82
	372.10	223.98	372.98	260.01	36.04
	414.00	225.00	414.14	237.98	12.98
	304.16	225.92	304.07	231.01	5.09
	338.04	226.00	338.14	232.97	6.98
	187.61	231.48	188.13	241.01	9.55
	183.03	232.97	182.93	238.99	6.01
	534.42	232.96	534.44	239.93	6.97
	348.87	237.03	349.08	242.98	5.95
	368.68	238.04	369.28	249.98	11.95
	412.32	241.02	412.21	252.04	11.02
	377.29	242.04	377.27	270.04	27.99
	454.44	245.02	454.27	250.09	5.08
	482.20	250.04	483.27	274.02	24.00
	70.84	254.99	71.36	284.99	30.01
	468.87	250.96	469.35	257.91	6.96
	22.93	252.01	22.10	283.96	31.96
	116.82	287.05	116.08	256.99	30.06
	408.86	253.01	409.00	269.12	16.12
	415.35	253.89	414.81	269.03	15.15
	27.17	254.96	26.68	282.00	27.04
	15.71	256.02	16.30	282.03	26.02
	160.24	255.97	160.76	327.01	71.04
	40.32	284.01	40.25	268.98	15.03
	177.07	257.02	177.43	269.00	11.98
	464.51	257.95	464.13	271.95	14.00
	279.30	262.92	280.94	292.01	29.14
	321.29	261.17	320.67	298.93	37.77
	475.77	261.04	475.56	276.00	14.95
	360.90	263.00	360.99	300.00	37.00
	372.19	264.00	372.57	273.86	9.87
	459.57	266.32	459.70	276.01	9.69
	176.55	289.09	176.63	274.00	15.09
	366.59	264.97	367.68	295.00	30.04
